Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Kong, L., Cheng, J., Zhu, Y., Ding, Y., Meng, J., Chen, Z., Xie, Q., Guo, Y., Li, J., Yang, S., Gong, Z.","Degradation of the ABA co-receptor ABI1 by PUB12/13 U-box E3 ligases",2015,"Nature Communications","6",, 8630,"","",,,10.1038/ncomms9630,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84944931048&partnerID=40&md5=86922dfd7ae135c348201e9d2e24d8d6",Article,Scopus,2-s2.0-84944931048
"Zheng, Z., Yu, H., Miki, D., Jin, D., Zhang, Q., Ren, Z., Gong, Z., Zhang, H., Zhu, J.-K.","Involvement of Multiple Gene-Silencing Pathways in a Paramutation-like Phenomenon in Arabidopsis",2015,"Cell Reports","11","8",,"1160","1167",,,10.1016/j.celrep.2015.04.034,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929946902&partnerID=40&md5=140c38beb7c832f5de2590a88909915e",Article,Scopus,2-s2.0-84929946902
"Lang, Z., Lei, M., Wang, X., Tang, K., Miki, D., Zhang, H., Mangrauthia, S.K., Liu, W., Nie, W., Ma, G., Yan, J., Duan, C.-G., Hsu, C.-C., Wang, C., Tao, W., Gong, Z., Zhu, J.-K.","The Methyl-CpG-Binding Protein MBD7 Facilitates Active DNA Demethylation to Limit DNA Hyper-Methylation and Transcriptional Gene Silencing",2015,"Molecular Cell","57","6",,"971","983",,1,10.1016/j.molcel.2015.01.009,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925261224&partnerID=40&md5=d6128616ecf5f4f083f8f5319f3b7cd1",Article,Scopus,2-s2.0-84925261224
"Ding, Y., Li, H., Zhang, X., Xie, Q., Gong, Z., Yang, S.","OST1 kinase modulates freezing tolerance by enhancing ICE1 stability in arabidopsis",2015,"Developmental Cell","32","3",,"278","289",,13,10.1016/j.devcel.2014.12.023,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922806620&partnerID=40&md5=bca8e11a5d6ec7ea2bb140df5b49d195",Article,Scopus,2-s2.0-84922806620
"Wang, C., Dong, X., Jin, D., Zhao, Y., Xie, S., Li, X., He, X., Lang, Z., Lai, J., Zhu, J.-K., Gong, Z.","Methyl-CpG-binding domain protein MBD7 is required for active DNA demethylation in arabidopsis",2015,"Plant Physiology","167","3",,"905","914",,,10.1104/pp.114.252106,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923650135&partnerID=40&md5=65fb6b12dffff83af140d9ff19312ec8",Article,Scopus,2-s2.0-84923650135
"Shi, Y., Gong, Z.","One SNP in COLD1 Determines Cold Tolerance during Rice Domestication",2015,"Journal of Genetics and Genomics","42","4",,"133","134",,,10.1016/j.jgg.2015.03.007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928826351&partnerID=40&md5=8bfe15f62f5fc873f5df52e908e20c09",Letter,Scopus,2-s2.0-84928826351
"Zhao, Y., Xu, T., Shen, C.-Y., Xu, G.-H., Chen, S.-X., Song, L.-Z., Li, M.-J., Wang, L.-L., Zhu, Y., Lv, W.-T., Gong, Z.-Z., Liu, C.-M., Deng, X.","Identification of a retroelement from the resurrection plant Boea hygrometrica that confers osmotic and alkaline tolerance in Arabidopsis thaliana",2014,"PLoS ONE","9","5", e98098,"","",,2,10.1371/journal.pone.0098098,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901324736&partnerID=40&md5=eb982ea5737f6a12136a2f694cfe1104",Article,Scopus,2-s2.0-84901324736
"Zhao, Y., Xie, S., Li, X., Wang, C., Chen, Z., Lai, J., Gong, Z.","REPRESSOR OF SILENCING5 encodes a member of the small heat shock protein family and is required for DNA demethylation in Arabidopsis",2014,"Plant Cell","26","6",,"2660","2675",,2,10.1105/tpc.114.126730,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904968487&partnerID=40&md5=1eba3d5d57986d567ad2afcb1f7d634d",Article,Scopus,2-s2.0-84904968487
"Luo, X., Chen, Z., Gao, J., Gong, Z.","Abscisic acid inhibits root growth in Arabidopsis through ethylene biosynthesis",2014,"Plant Journal","79","1",,"44","55",,11,10.1111/tpj.12534,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84903310687&partnerID=40&md5=46140531af9496fb2a729da27ebe52cd",Article,Scopus,2-s2.0-84903310687
"Yang, L., Zhang, J., He, J., Qin, Y., Hua, D., Duan, Y., Chen, Z., Gong, Z.","ABA-Mediated ROS in Mitochondria Regulate Root Meristem Activity by Controlling PLETHORA Expression in Arabidopsis",2014,"PLoS Genetics","10","12",,"","",18,,10.1371/journal.pgen.1004791,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84919608384&partnerID=40&md5=40bdf28ee6b62157d5e9988aaefcb57d",Article,Scopus,2-s2.0-84919608384
"Yao, T., Jin, D., Liu, Q., Gong, Z.","Abscisic acid suppresses the highly occurred somatic homologous recombination in arabidopsis rfc1 mutant",2013,"Journal of Genetics and Genomics","40","9",,"465","471",,1,10.1016/j.jgg.2013.05.006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884351508&partnerID=40&md5=265d6e5937e7dca07a21be1ef74b563d",Article,Scopus,2-s2.0-84884351508
"Zhang, X., Jiang, L., Wang, G., Yu, L., Zhang, Q., Xin, Q., Wu, W., Gong, Z., Chen, Z.","Structural Insights into the Abscisic Acid Stereospecificity by the ABA Receptors PYR/PYL/RCAR",2013,"PLoS ONE","8","7", e67477,"","",,12,10.1371/journal.pone.0067477,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879744733&partnerID=40&md5=bbfd008993f2bee56516e187b1496415",Article,Scopus,2-s2.0-84879744733
