Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Lee, J.-H., Heuser, J.E., Roth, R., Goodenough, U.","Eisosome ultrastructure and evolution in fungi, microalgae, and lichens",2015,"Eukaryotic Cell","14","10",,"1017","1042",,1,10.1128/EC.00106-15,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942942323&partnerID=40&md5=d26ad7c7174454d6dbf75bab14b3a860",Article,Scopus,2-s2.0-84942942323
"Goodenough, U.","Historical perspective on Chlamydomonas as a model for basic research: 1950-1970",2015,"Plant Journal","82","3",,"365","369",,1,10.1111/tpj.12794,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928966790&partnerID=40&md5=e8d32ff27eaa70e24060ae3b58625dcd",Article,Scopus,2-s2.0-84928966790
"Goodenough, U.","Honoring nature all the way down",2015,"Journal for the Study of Religion, Nature and Culture","9","2",,"176","180",,,10.1558/jsrnc.v9i2.27266,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942572758&partnerID=40&md5=928b9c1924a7919b2fc02751b237a1e4",Review,Scopus,2-s2.0-84942572758
"Goodenough, U., Heitman, J.","Origins of eukaryotic sexual reproduction",2014,"Cold Spring Harbor Perspectives in Biology","6","3",,"","",,3,10.1101/cshperspect.a016154,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897671020&partnerID=40&md5=79bde16fd45cb39591fd7b2ba03a6bba",Article,Scopus,2-s2.0-84897671020
"Goodenough, U., Blaby, I., Casero, D., Gallaher, S.D., Goodson, C., Johnson, S., Lee, J.-H., Merchant, S.S., Pellegrini, M., Roth, R., Rusch, J., Singh, M., Umen, J.G., Weiss, T.L., Wulan, T.","The path to triacylglyceride obesity in the sta6 strain of Chlamydomonas reinhardtii",2014,"Eukaryotic Cell","13","5",,"591","613",,13,10.1128/EC.00013-14,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899936462&partnerID=40&md5=bfefea607c001aba91f0a362370e026e",Article,Scopus,2-s2.0-84899936462
"Ramundo, S., Casero, D., Mühlhaus, T., Hemme, D., Sommer, F., Crèvecoeur, M., Rahire, M., Schroda, M., Rusch, J., Goodenough, U., Pellegrini, M., Perez-Perez, M.E., Crespo, J.L., Schaad, O., Civic, N., Rochaix, J.D.","Conditional depletion of the chlamydomonas chloroplast ClpP protease activates nuclear genes involved in autophagy and plastid protein quality control",2014,"Plant Cell","26","5",,"2201","2222",,9,10.1105/tpc.114.124842,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84903650276&partnerID=40&md5=4d99c958a3669eec0d62ad4c15b6a487",Article,Scopus,2-s2.0-84903650276
"Scholz, M.J., Weiss, T.L., Jinkerson, R.E., Jing, J., Roth, R., Goodenough, U., Posewitz, M.C., Gerken, H.G.","Ultrastructure and composition of the Nannochloropsis gaditana cell wall",2014,"Eukaryotic Cell","13","11",,"1450","1464",,9,10.1128/EC.00183-14.,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908344548&partnerID=40&md5=595a6ad1f1911ecc065862f2a6f13b5b",Article,Scopus,2-s2.0-84908344548
"Weiss, T.L., Roth, R., Goodson, C., Vitha, S., Black, I., Azadi, P., Rusch, J., Holzenburg, A., Devarenne, T.P., Goodenough, U.","Colony organization in the green alga Botryococcus braunii (Race B) is specified by a complex extracellular matrix",2012,"Eukaryotic Cell","11","12",,"1424","1440",,30,10.1128/EC.00184-12,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870407838&partnerID=40&md5=0202659883fcba37a55edd3cc0e774bc",Article,Scopus,2-s2.0-84870407838
"Goodson, C., Roth, R., Wang, Z.T., Goodenough, U.","Structural correlates of cytoplasmic and chloroplast lipid body synthesis in Chlamydomonas reinhardtii and stimulation of lipid body production with acetate boost",2011,"Eukaryotic Cell","10","12",,"1592","1606",,74,10.1128/EC.05242-11,"http://www.scopus.com/inward/record.url?eid=2-s2.0-82555193810&partnerID=40&md5=741e55c376e318fc31aff244a7db6695",Article,Scopus,2-s2.0-82555193810
"Schmid, S.L., Carnes, M., Goodenough, U., Hopkins, N., Leboy, P., Masur, S., Valian, V., ASCB Women in Cell Biology Committee","A richer and more diverse future for cell biology.",2010,"Molecular biology of the cell","21","22",,"3821","3822",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79952559261&partnerID=40&md5=1c9527868ce8b2bf78df722d14f8780f",Article,Scopus,2-s2.0-79952559261
"Wang, Z.T., Ullrich, N., Joo, S., Waffenschmidt, S., Goodenough, U.","Algal lipid bodies: Stress induction, purification, and biochemical characterization in wild-type and starchless chlamydomonas reinhardtit",2009,"Eukaryotic Cell","8","12",,"1856","1868",,222,10.1128/EC.00272-09,"http://www.scopus.com/inward/record.url?eid=2-s2.0-73349097525&partnerID=40&md5=f31086389ac497091fe3965a3f78b932",Article,Scopus,2-s2.0-73349097525
"Snell, W.J., Goodenough, U.W.","Flagellar Adhesion, Flagellar-Generated Signaling, and Gamete Fusion during Mating",2009,"The Chlamydomonas Sourcebook 3-Vol set","3",,,"369","394",,8,10.1016/B978-0-12-370873-1.00049-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-69449086120&partnerID=40&md5=47f47497fcc507a7a666feb6ff75c0fb",Book Chapter,Scopus,2-s2.0-69449086120
"Worden, A.Z., Lee, J.-H., Mock, T., Rouzé, P., Simmons, M.P., Aerts, A.L., Allen, A.E., Cuvelier, M.L., Derelle, E., Everett, M.V., Foulon, E., Grimwood, J., Gundlach, H., Henrissat, B., Napoli, C., McDonald, S.M., Parker, M.S., Rombauts, S., Salamov, A., Von Dassow, P., Badger, J.H., Coutinho, P.M., Demir, E., Dubchak, I., Gentemann, C., Eikrem, W., Gready, J.E., John, U., Lanier, W., Lindquist, E.A., Lucas, S., Mayer, K.F.X., Moreau, H., Not, F., Otillar, R., Panaud, O., Pangilinan, J., Paulsen, I., Piegu, B., Poliakov, A., Robbens, S., Schmutz, J., Toulza, E., Wyss, T., Zelensky, A., Zhou, K., Armbrust, E.V., Bhattacharya, D., Goodenough, U.W., Van De Peer, Y., Grigoriev, I.V.","Green evolution and dynamic adaptations revealed by genomes of the marine picoeukaryotes micromonas",2009,"Science","324","5924",,"268","272",,242,10.1126/science.1167222,"http://www.scopus.com/inward/record.url?eid=2-s2.0-64849088316&partnerID=40&md5=f3aedc3d8f7536708197666a7b968c3d",Article,Scopus,2-s2.0-64849088316
"Lee, J.-H., Lin, H., Joo, S., Goodenough, U.","Early Sexual Origins of Homeoprotein Heterodimerization and Evolution of the Plant KNOX/BELL Family",2008,"Cell","133","5",,"829","840",,52,10.1016/j.cell.2008.04.028,"http://www.scopus.com/inward/record.url?eid=2-s2.0-43949141781&partnerID=40&md5=dde3e39c46db8de5e56b92ff097a2dff",Article,Scopus,2-s2.0-43949141781
"Goodenough, U.","The emergence of sex",2007,"Zygon","42","4",,"857","872",,,10.1111/j.1467-9744.2007.00877.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-36549090529&partnerID=40&md5=3cbdef16d37bbe24ca8bc974482a4bf4",Article,Scopus,2-s2.0-36549090529
"Lee, J.-H., Waffenschmidt, S., Small, L., Goodenough, U.","Between-species analysis of short-repeat modules in cell wall and sex-related hydroxyproline-rich glycoproteins of Chlamydomonas",2007,"Plant Physiology","144","4",,"1813","1826",,19,10.1104/pp.107.100891,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34547925245&partnerID=40&md5=ee8a5d711f672ba22fbceaef3721d3a1",Article,Scopus,2-s2.0-34547925245
"Goodenough, U., Lin, H., Lee, J.-H.","Sex determination in Chlamydomonas",2007,"Seminars in Cell and Developmental Biology","18","3",,"350","361",,49,10.1016/j.semcdb.2007.02.006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34547655805&partnerID=40&md5=967f3b5edf1c77998e7945389566fe6e",Review,Scopus,2-s2.0-34547655805
"Lin, H., Goodenough, U.W.","Gametogenesis in the Chlamydomonas reinhardtii minus mating type is controlled by two genes, MID and MTD1",2007,"Genetics","176","2",,"913","925",,33,10.1534/genetics.106.066167,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34250742725&partnerID=40&md5=edf2b374b79077fb682dab9323610ff7",Article,Scopus,2-s2.0-34250742725
"Ferris, P.J., Waffenschmidt, S., Umen, J.G., Lin, H., Lee, J.-H., Ishida, K., Kubo, T., Lau, J., Goodenough, U.W.","Plus and minus sexual agglutinins from Chlamydomonas reinhardtii",2005,"Plant Cell","17","2",,"597","615",,37,10.1105/tpc.104.028035,"http://www.scopus.com/inward/record.url?eid=2-s2.0-27944431671&partnerID=40&md5=24fb5cba2d92a72c3cc1f42c62349368",Article,Scopus,2-s2.0-27944431671
"Goodenough, U.","Reductionism and holism, chance and selection, mechanism and mind",2005,"Zygon","40","2",,"369","380",,5,10.1111/j.1467-9744.2005.00669.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33748341754&partnerID=40&md5=41f8fc3bef429246528145cd2cd09a54",Article,Scopus,2-s2.0-33748341754
"Goodenough, U., Deacon, T.W.","From biology to consciousness to morality",2003,"Zygon","38","4",,"801","819",,29,10.1111/zygo.2010.45,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33748357154&partnerID=40&md5=90f8d102a64c2af973b31878f508630d",Article,Scopus,2-s2.0-33748357154
"Ferris, P.J., Virginia Armbrust, E., Goodenough, U.W.","Genetic structure of the mating-type locus of Chlamydomonas reinbardtii",2002,"Genetics","160","1",,"181","200",,81,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036160614&partnerID=40&md5=ba8a4f631f7e9a06461cae64ff3e94d9",Article,Scopus,2-s2.0-0036160614
"Goodenough, U.","Vertical and horizontal transcendence",2001,"Zygon","36","1",,"21","31",,18,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33750225709&partnerID=40&md5=4766db49a682052d5b263601cfc9f607",Article,Scopus,2-s2.0-33750225709
"Goodenough, U.","A setback to the dialogue: Response to huston smith",2001,"Zygon","36","2",,"201","206",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33750167161&partnerID=40&md5=3c5d02556a0184e54d93f44194836cd9",Article,Scopus,2-s2.0-33750167161
"Umen, J.G., Goodenough, U.W.","Chloroplast DNA methylation and inheritance in Chlamydomonas",2001,"Genes and Development","15","19",,"2585","2597",,40,10.1101/gad.906701,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035477135&partnerID=40&md5=a63cf4f12dc1115ef37750f28005c30f",Article,Scopus,2-s2.0-0035477135
"Umen, J.G., Goodenough, U.W.","Control of cell division by a retinoblastoma protein homolog in Chlamydomonas",2001,"Genes and Development","15","13",,"1652","1661",,104,10.1101/gad.892101,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035395939&partnerID=40&md5=6d075fa9ea0b8b2ec48dbb4a2a0924a8",Article,Scopus,2-s2.0-0035395939
"Ferris, P.J., Woessner, J.P., Waffenschmidt, S., Kilz, S., Drees, J., Goodenough, U.W.","Glycosylated polyproline II rods with kinks as a structural motif in plant hydroxyproline-rich glycoproteins",2001,"Biochemistry","40","9",,"2978","2987",,57,10.1021/bi0023605,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035814919&partnerID=40&md5=0aa26a9c54f473150104d72b1f6a6cb4",Article,Scopus,2-s2.0-0035814919
"Goodenough, U.","Religiopoiesis",2000,"Zygon","35","3",,"561","XI",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33749829674&partnerID=40&md5=4888190c0da6465aeb83810c8407d71b",Article,Scopus,2-s2.0-33749829674
"Goodenough, U.","The sacred depths of nature: excerpts",2000,"Zygon","35","3",,"567","XI",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33749857859&partnerID=40&md5=a39679b3f286f71cddb287f608e64304",Article,Scopus,2-s2.0-33749857859
