Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Sharma, R., Xia, X., Cano, L.M., Evangelisti, E., Kemen, E., Judelson, H., Oome, S., Sambles, C., van den Hoogen, D.J., Kitner, M., Klein, J., Meijer, H.J.G., Spring, O., Win, J., Zipper, R., Bode, H.B., Govers, F., Kamoun, S., Schornack, S., Studholme, D.J., Van den Ackerveken, G., Thines, M.","Genome analyses of the sunflower pathogen Plasmopara halstedii provide insights into effector evolution in downy mildews and Phytophthora",2015,"BMC Genomics","16","1", 741,"","",,,10.1186/s12864-015-1904-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943182233&partnerID=40&md5=bb21b0bd16ca3164625428508447203c",Article,Scopus,2-s2.0-84943182233
"Sheng, Y., Wang, Y., Meijer, H.J.G., Yang, X., Hua, C., Ye, W., Tao, K., Liu, X., Govers, F., Wang, Y.","The heat shock transcription factor PsHSF1 of Phytophthora sojae is required for oxidative stress tolerance and detoxifying the plant oxidative burst",2015,"Environmental Microbiology","17","4",,"1351","1364",,,10.1111/1462-2920.12609,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926410043&partnerID=40&md5=c286db2eb210b14cc3e834efd40a57c1",Article,Scopus,2-s2.0-84926410043
"Du, Y., Berg, J., Govers, F., Bouwmeester, K.","Immune activation mediated by the late blight resistance protein R1 requires nuclear localization of R1 and the effector AVR1",2015,"New Phytologist","207","3",,"735","747",,2,10.1111/nph.13355,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84936173198&partnerID=40&md5=e17438c989fba56516eb9e51005bcf80",Article,Scopus,2-s2.0-84936173198
"Wang, Y., Cordewener, J.H.G., America, A.H.P., Shan, W., Bouwmeester, K., Govers, F.","Arabidopsis lectin receptor kinases LecRK-IX.1 and LecRK-IX.2 are functional analogs in regulating phytophthora resistance and plant cell death",2015,"Molecular Plant-Microbe Interactions","28","9",,"1032","1048",,,10.1094/MPMI-02-15-0025-R,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942509996&partnerID=40&md5=fd00bb2861c4c5d03981b4264f1872fb",Article,Scopus,2-s2.0-84942509996
"Schoina, C., Govers, F.","The oomycete phytophthora infestans, the irish potato famine pathogen",2015,"Principles of Plant-Microbe Interactions: Microbes for Sustainable Agriculture",,,,"371","378",,,10.1007/978-3-319-08575-3_39,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84944584803&partnerID=40&md5=c46691722711c8885945aced8b584f54",Book Chapter,Scopus,2-s2.0-84944584803
"Kamoun, S., Furzer, O., Jones, J.D.G., Judelson, H.S., Ali, G.S., Dalio, R.J.D., Roy, S.G., Schena, L., Zambounis, A., Panabières, F., Cahill, D., Ruocco, M., Figueiredo, A., Chen, X.-R., Hulvey, J., Stam, R., Lamour, K., Gijzen, M., Tyler, B.M., Grünwald, N.J., Mukhtar, M.S., Tomé, D.F.A., Tör, M., Van Den Ackerveken, G., Mcdowell, J., Daayf, F., Fry, W.E., Lindqvist-Kreuze, H., Meijer, H.J.G., Petre, B., Ristaino, J., Yoshida, K., Birch, P.R.J., Govers, F.","The Top 10 oomycete pathogens in molecular plant pathology",2015,"Molecular Plant Pathology","16","4",,"413","434",,9,10.1111/mpp.12190,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928215460&partnerID=40&md5=2888a0309fc37034a475dd66c773a02a",Article,Scopus,2-s2.0-84928215460
"Hua, C., Kots, K., Ketelaar, T., Govers, F., Meijer, H.J.G.","Effect of flumorph on F-actin dynamics in the potato late blight pathogen Phytophthora infestans",2015,"Phytopathology","105","4",,"419","423",,,10.1094/PHYTO-04-14-0119-R,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928157642&partnerID=40&md5=ab28a26865708db103738866b451aaf7",Article,Scopus,2-s2.0-84928157642
"Du, Y., Mpina, M.H., Birch, P.R.J., Bouwmeester, K., Govers, F.","Phytophthora infestans RXLR effector AVR1 interacts with exocyst component Sec5 to manipulate plant immunity",2015,"Plant Physiology","169","3",,"1975","1990",,,10.1104/pp.15.01169,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946230790&partnerID=40&md5=743bf2dbf7a4ca4f0c4b678fadc245e5",Article,Scopus,2-s2.0-84946230790
"Hofberger, J.A., Nsibo, D.L., Govers, F., Bouwmeester, K., Schranz, M.E.","A complex interplay of tandem- and whole-genome duplication drives expansion of the L-type lectin receptor kinase gene family in the Brassicaceae",2015,"Genome Biology and Evolution","7","3",,"720","734",,2,10.1093/gbe/evv020,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928918527&partnerID=40&md5=06e34a7c6a832cca25a394ac001d2413",Article,Scopus,2-s2.0-84928918527
"Resjö, S., Ali, A., Meijer, H.J.G., Seidl, M.F., Snel, B., Sandin, M., Levander, F., Govers, F., Andreasson, E.","Quantitative label-free phosphoproteomics of six different life stages of the late blight pathogen phytophthora infestans reveals abundant phosphorylation of members of the CRN effector family",2014,"Journal of Proteome Research","13","4",,"1848","1859",,4,10.1021/pr4009095,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898755900&partnerID=40&md5=3394b9f96371552cf434ebc607172e9a",Article,Scopus,2-s2.0-84898755900
