Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Matsubara, K., O’Meally, D., Azad, B., Georges, A., Sarre, S.D., Graves, J.A.M., Matsuda, Y., Ezaz, T.","Amplification of microsatellite repeat motifs is associated with the evolutionary differentiation and heterochromatinization of sex chromosomes in Sauropsida",2015,"Chromosoma",,,,"","",13,,10.1007/s00412-015-0531-z,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937596864&partnerID=40&md5=d4190faa2cfe804cf4a7594fb3a8c177",Article in Press,Scopus,2-s2.0-84937596864
"Holleley, C.E., O'Meally, D., Sarre, S.D., Graves, J.A.M., Ezaz, T., Matsubara, K., Azad, B., Zhang, X., Georges, A.","Sex reversal triggers the rapid transition from genetic to temperature-dependent sex",2015,"Nature","523","7558",,"79","82",,1,10.1038/nature14574,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937528549&partnerID=40&md5=301256bd109e7ce3d240b0d895e6c11a",Article,Scopus,2-s2.0-84937528549
"Miller, H.C., O'Meally, D., Ezaz, T., Amemiya, C., Graves, J.A.M., Edwards, S.","Major histocompatibility complex genes map to two chromosomes in an evolutionarily ancient reptile, the tuatara sphenodon punctatus",2015,"G3: Genes, Genomes, Genetics","5","7",,"1439","1451",,,10.1534/g3.115.017467,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937551981&partnerID=40&md5=044e7247d4eb30f5df7f717b270f44b3",Article,Scopus,2-s2.0-84937551981
"Matsubara, K., Sarre, S.D., Georges, A., Matsuda, Y., Graves, J.A.M., Ezaz, T.","Highly differentiated ZW sex microchromosomes in the australian varanus species evolved through rapid amplification of repetitive sequences",2014,"PLoS ONE","9","4", e95226,"","",,1,10.1371/journal.pone.0095226,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899682487&partnerID=40&md5=4278b19a0172486f3416b5e59efe5a81",Article,Scopus,2-s2.0-84899682487
"Bender, H.S., Graves, J.A.M., Deakin, J.E.","Pathogenesis and molecular biology of a transmissible tumor in the Tasmanian devil",2014,"Annual Review of Animal Biosciences","2",,,"165","187",,1,10.1146/annurev-animal-022513-114204,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906235463&partnerID=40&md5=a9c9bb045687e46afd93f9c7a67bf530",Article,Scopus,2-s2.0-84906235463
"Graves, J.A.M.","The epigenetic sole of sex and dosage compensation",2014,"Nature Genetics","46","3",,"215","217",,3,10.1038/ng.2903,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84895884272&partnerID=40&md5=4c993b587238a3ac78c4c930dadc70f1",Short Survey,Scopus,2-s2.0-84895884272
"Matsubara, K., Gamble, T., Matsuda, Y., Zarkower, D., Sarre, S.D., Georges, A., Graves, J.A.M., Ezaz, T.","Non-homologous sex chromosomes in two geckos (Gekkonidae: Gekkota) with female heterogamety",2014,"Cytogenetic and Genome Research","143","4",,"251","258",,2,10.1159/000366172,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908573395&partnerID=40&md5=20186a64e6da4a6fac9a940195693879",Article,Scopus,2-s2.0-84908573395
"Graves, J.A.M.","Avian sex, sex chromosomes, and dosage compensation in the age of genomics",2014,"Chromosome Research","22","1",,"45","57",,4,10.1007/s10577-014-9409-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84900417384&partnerID=40&md5=9d58798a6f67d2afc8f226402e7bc6c1",Review,Scopus,2-s2.0-84900417384
"Ezaz, T., Azad, B., O'Meally, D., Young, M.J., Matsubara, K., Edwards, M.J., Zhang, X., Holleley, C.E., Deakin, J.E., Graves, J.A.M., Georges, A., Edwards, S.V., Sarre, S.D.","Sequence and gene content of a large fragment of a lizard sex chromosome and evaluation of candidate sex differentiating gene R-spondin 1",2013,"BMC Genomics","14","1", 899,"","",,5,10.1186/1471-2164-14-899,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890284136&partnerID=40&md5=71e65a4eca729bc9b190908e83362404",Article,Scopus,2-s2.0-84890284136
"Deakin, J.E., Delbridge, M.L., Koina, E., Harley, N., Alsop, A.E., Wang, C., Patel, V.S., Graves, J.A.M.","Reconstruction of the ancestral marsupial karyotype from comparative gene maps",2013,"BMC Evolutionary Biology","13","1", 258,"","",,2,10.1186/1471-2148-13-258,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84887957264&partnerID=40&md5=b51f581f29a660acfb05e6e3d1908d9a",Article,Scopus,2-s2.0-84887957264
"Graves, J.A.M., Renfree, M.B.","Marsupials in the age of genomics",2013,"Annual Review of Genomics and Human Genetics","14",,,"393","420",,3,10.1146/annurev-genom-091212-153452,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884312862&partnerID=40&md5=34eb196e846df795dbc92cd920460d05",Review,Scopus,2-s2.0-84884312862
"Graves, J.A.M.","Kangaroo gene mapping and sequencing: Insights into mammalian genome evolution",2013,"Australian Journal of Zoology","61","1",,"4","12",,2,10.1071/ZO13002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880491247&partnerID=40&md5=9beb9eab983a7f606870c1e158f5ee9f",Review,Scopus,2-s2.0-84880491247
"Nishimoto, M., Katano, M., Yamagishi, T., Hishida, T., Kamon, M., Suzuki, A., Hirasaki, M., Nabeshima, Y., Nabeshima, Y.-I., Katsura, Y., Satta, Y., Deakin, J.E., Graves, J.A.M., Kuroki, Y., Ono, R., Ishino, F., Ema, M., Takahashi, S., Kato, H., Okuda, A.","In Vivo Function and Evolution of the Eutherian-Specific Pluripotency Marker UTF1",2013,"PLoS ONE","8","7", e68119,"","",,5,10.1371/journal.pone.0068119,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879991010&partnerID=40&md5=a46e817625bcbe3401e611b705a17c52",Article,Scopus,2-s2.0-84879991010
"Livernois, A.M., Waters, S.A., Deakin, J.E., Graves, J.A.M., Waters, P.D.","Independent Evolution of Transcriptional Inactivation on Sex Chromosomes in Birds and Mammals",2013,"PLoS Genetics","9","7", e1003635,"","",,5,10.1371/journal.pgen.1003635,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880770271&partnerID=40&md5=915a89e7c7a6337a6dcd6722dff2fca8",Article,Scopus,2-s2.0-84880770271
