Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Weng, Y., Colle, M., Wang, Y., Yang, L., Rubinstein, M., Sherman, A., Ophir, R., Grumet, R.","QTL mapping in multiple populations and development stages reveals dynamic quantitative trait loci for fruit size in cucumbers of different market classes",2015,"Theoretical and Applied Genetics","128","9",,"1747","1763",,,10.1007/s00122-015-2544-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939466050&partnerID=40&md5=2bfd0c414d9f284aac4d76b4be180f08",Article,Scopus,2-s2.0-84939466050
"Rubinstein, M., Katzenellenbogen, M., Eshed, R., Rozen, A., Katzir, N., Colle, M., Yang, L., Grumet, R., Weng, Y., Sherman, A., Ophir, R.","Ultrahigh-density linkage map for cultivated cucumber (Cucumis sativus L.) using a single-nucleotide polymorphism genotyping array",2015,"PLoS ONE","10","4", e0124101,"","",,1,10.1371/journal.pone.0124101,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928813477&partnerID=40&md5=51b7a357a5c322998440107daa3d2bf5",Article,Scopus,2-s2.0-84928813477
"Zawedde, B.M., Ghislain, M., Magembe, E., Amaro, G.B., Grumet, R., Hancock, J.","Characterization of the genetic diversity of Uganda’s sweet potato (Ipomoea batatas) germplasm using microsatellites markers",2015,"Genetic Resources and Crop Evolution","62","4",,"501","513",,,10.1007/s10722-014-0175-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928324012&partnerID=40&md5=57913de3e2d0d6935d0adc286745660f",Article,Scopus,2-s2.0-84928324012
"Switzenberg, J.A., Beaudry, R.M., Grumet, R.","Effect of CRC::etr1-1 transgene expression on ethylene production, sex expression, fruit set and fruit ripening in transgenic melon (Cucumis melo L.)",2014,"Transgenic Research","24","3",,"497","507",,1,10.1007/s11248-014-9853-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929843375&partnerID=40&md5=d0c42670736e75e057dbf6ab1d9f1a60",Article,Scopus,2-s2.0-84929843375
"Zawedde, B.M., Harris, C., Alajo, A., Hancock, J., Grumet, R.","Factors Influencing Diversity of Farmers' Varieties of Sweet Potato in Uganda: Implications for Conservation",2014,"Economic Botany",,,,"","",,,10.1007/s12231-014-9278-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906072493&partnerID=40&md5=c9b54aaa6134ced7b202bc7fd1168f76",Article in Press,Scopus,2-s2.0-84906072493
"Colle, M., Straley, E.N., Makela, S.B., Hammar, S.A., Grumet, R.","Screening the cucumber plant introduction collection for young fruit resistance to Phytophthora capsici",2014,"HortScience","49","3",,"244","249",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896276969&partnerID=40&md5=e00c718dacdb1ae5da9fa87bb1bb8bbd",Article,Scopus,2-s2.0-84896276969
"Switzenberg, J.A., Little, H.A., Hammar, S.A., Grumet, R.","Floral primordia-targeted ACS (1-aminocyclopropane-1-carboxylate synthase) expression in transgenic Cucumis melo implicates fine tuning of ethylene production mediating unisexual flower development",2014,"Planta","240","4",,"797","808",,1,10.1007/s00425-014-2118-y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907709670&partnerID=40&md5=274547a35837f5c658a8dd7512769208",Article,Scopus,2-s2.0-84907709670
"Zawedde, B.M., Harris, C., Alajo, A., Hancock, J., Grumet, R.","Factors Influencing Diversity of Farmers’ Varieties of Sweet Potato in Uganda: Implications for Conservation",2014,"Economic Botany","68","3",,"337","349",,,10.1007/s12231-014-9278-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908469962&partnerID=40&md5=38530a2a5ae1cf4b28555a3cd4e6ae0d",Article,Scopus,2-s2.0-84908469962
"Chan, Z., Loescher, W., Grumet, R.","Transcriptional variation in response to salt stress in commonly used Arabidopsis thaliana accessions.",2013,"Plant physiology and biochemistry : PPB / Société française de physiologie végétale","73",,,"189","201",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892651358&partnerID=40&md5=098f8a4d1965d8c880a53c78e9595e71",Article,Scopus,2-s2.0-84892651358
"Chan, Z., Loescher, W., Grumet, R.","Transcriptional variation in response to salt stress in commonly used Arabidopsis thaliana accessions",2013,"Plant Physiology and Biochemistry","73",,,"1","13",,4,10.1016/j.plaphy.2013.09.013,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885920969&partnerID=40&md5=3d9443386a01ee9c05357cb875a513a5",Article,Scopus,2-s2.0-84885920969
"Wang, Y., Yang, L., Zheng, Z., Grumet, R., Loescher, W., Zhu, J.-K., Yang, P., Hu, Y., Chan, Z.","Transcriptomic and Physiological Variations of Three Arabidopsis Ecotypes in Response to Salt Stress",2013,"PLoS ONE","8","7", e69036,"","",,8,10.1371/journal.pone.0069036,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880746061&partnerID=40&md5=06c845b72237b23e786bb557dc4394e5",Article,Scopus,2-s2.0-84880746061
"Grumet, R., Colle, M., Ando, K., Xie, D.-S., Havenga, L., Switzenberg, J.A.","Modified plant architecture to enhance crop disease control: Genetic control and possible value of upright fruit position in cucumber",2013,"European Journal of Plant Pathology","135","3",,"545","560",,1,10.1007/s10658-012-0087-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873702767&partnerID=40&md5=84b781092229c8e5db81e28d5fed40a5",Article,Scopus,2-s2.0-84873702767
"Grumet, R., Hancock, J.F., Maredia, K.M., Weebadde, C.","Environmental safety of genetically engineered crops",2012,"Environmental Safety of Genetically Engineered Crops",,,,"1","235",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906165202&partnerID=40&md5=2a9bd7431b5207bd141548b36d10af60",Book,Scopus,2-s2.0-84906165202
"Grumet, R., Wolfenbarger, L., Ferenczi, A.","Future possible genetically engineered crops and traits and their potential environmental impacts",2012,"Environmental Safety of Genetically Engineered Crops",,,,"47","57",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84857922780&partnerID=40&md5=b7005481f6b9fedef3729255b6e9b88a",Book Chapter,Scopus,2-s2.0-84857922780
"Grumet, R.","Production of genetically engineered crops, relationship to conventional plant breeding, and implications for safety assessment",2012,"Environmental Safety of Genetically Engineered Crops",,,,"3","13",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906133026&partnerID=40&md5=ee510ad1721d10a5af271a90e07e701a",Book Chapter,Scopus,2-s2.0-84906133026
"Zawedde, B.M., Sooriyapathirana, S.S., Bigelow, P.J., Hancock, J.F., Grumet, R.","Assessing quality, content, and accessibility of web information about plant biotechnology",2012,"International Journal of Biotechnology","12","3",,"198","223",,,10.1504/IJBT.2012.050239,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84869156379&partnerID=40&md5=c2cdfa269f7361b1b4dd6305e3124b45",Article,Scopus,2-s2.0-84869156379
"Ando, K., Carr, K.M., Grumet, R.","Transcriptome analyses of early cucumber fruit growth identifies distinct gene modules associated with phases of development",2012,"BMC Genomics","13","1", 518,"","",,11,10.1186/1471-2164-13-518,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84866792774&partnerID=40&md5=bdb6aeca0b49b2ba85cb3640bd2b1e0f",Article,Scopus,2-s2.0-84866792774
"Chan, Z., Bigelow, P.J., Loescher, W., Grumet, R.","Comparison of salt stress resistance genes in transgenic Arabidopsis thaliana indicates that extent of transcriptomic change may not predict secondary phenotypic or fitness effects",2012,"Plant Biotechnology Journal","10","3",,"284","300",,9,10.1111/j.1467-7652.2011.00661.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84857915614&partnerID=40&md5=2f9182f1623f341356b4adf3550c2fbd",Article,Scopus,2-s2.0-84857915614
"Call, A.D., Criswell, A.D., Wehner, T.C., Ando, K., Grumet, R.","Resistance of cucumber cultivars to a new strain of cucurbit downy mildew",2012,"HortScience","47","2",,"171","178",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84862105470&partnerID=40&md5=555526b1206f7f199bfa5f5fa91546ef",Article,Scopus,2-s2.0-84862105470
"Chan, Z., Grumet, R., Loescher, W.","Global gene expression analysis of transgenic, mannitol-producing, and salt-tolerant Arabidopsis thaliana indicates widespread changes in abiotic and biotic stress-related genes",2011,"Journal of Experimental Botany","62","14",,"4787","4803",,27,10.1093/jxb/err130,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80051960781&partnerID=40&md5=00d4124e8a51da470e0f84fe76263b45",Article,Scopus,2-s2.0-80051960781
"Loescher, W., Chan, Z., Grumet, R.","Options for developing salt-tolerant crops",2011,"HortScience","46","8",,"1085","1092",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80051962269&partnerID=40&md5=2b83e68f100d7287f8f4a024c82a2ca8",Article,Scopus,2-s2.0-80051962269
"Ando, K., Grumet, R.","Transcriptional profiling of rapidly growing cucumber fruit by 454-pyrosequencing analysis",2010,"Journal of the American Society for Horticultural Science","135","4",,"291","302",,11,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77954920576&partnerID=40&md5=0ed48d497850bacf037fc13e307cdac9",Article,Scopus,2-s2.0-77954920576
"Ando, K., Hammar, S., Grumet, R.","Age-related resistance of diverse Cucurbit fruit to infection by phytophthora capsici",2009,"Journal of the American Society for Horticultural Science","134","2",,"176","182",,18,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-66949161144&partnerID=40&md5=262a2eab149e361be8776e0778d1dcf1",Article,Scopus,2-s2.0-66949161144
"Little, H.A., Grumet, R., Hancock, J.F.","Modified ethylene signaling as an example of engineering for complex traits: Secondary effects and implications for environmental risk assessment",2009,"HortScience","44","1",,"94","101",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-58849094561&partnerID=40&md5=8aed901824996174dafd5dc959b0c061",Review,Scopus,2-s2.0-58849094561
