Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Becker, S.R., Byrne, P.F., Reid, S.D., Bauerle, W.L., McKay, J.K., Haley, S.D.","Root traits contributing to drought tolerance of synthetic hexaploid wheat in a greenhouse study",2015,"Euphytica",,,,"","",12,,10.1007/s10681-015-1574-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84944547504&partnerID=40&md5=130df6732cc49fede6bae71e6adf44c5",Article in Press,Scopus,2-s2.0-84944547504
"El-Feki, W.M., Byrne, P.F., Reid, S.D., Haley, S.D.","Registration of CO940610/‘Platte’ wheat doubled haploid mapping population",2015,"Journal of Plant Registrations","9","3",,"419","423",,,10.3198/jpr2014.12.0085crmp,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940375741&partnerID=40&md5=0ca46be1d4c38263a2395561f6106cd7",Article,Scopus,2-s2.0-84940375741
"Lopez-Vera, E.E., Nelson, S., Singh, R.P., Basnet, B.R., Haley, S.D., Bhavani, S., Huerta-Espino, J., Xoconostle-Cazares, B.G., Ruiz-Medrano, R., Rouse, M.N., Singh, S.","Resistance to stem rust Ug99 in six bread wheat cultivars maps to chromosome 6DS",2014,"Theoretical and Applied Genetics","127","1",,"231","239",,8,10.1007/s00122-013-2212-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892740476&partnerID=40&md5=abfebd8f7f47d7ee6b0c9ce821794408",Article,Scopus,2-s2.0-84892740476
"Ostlie, M., Haley, S.D., Anderson, V., Shaner, D., Manmathan, H., Beil, C., Westra, P.","Development and characterization of mutant winter wheat (Triticum aestivum L.) accessions resistant to the herbicide quizalofop",2014,"Theoretical and Applied Genetics","128","2",,"343","351",,,10.1007/s00122-014-2434-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925496229&partnerID=40&md5=a550ede3f80cb74177bfa3f9ed2991e9",Article,Scopus,2-s2.0-84925496229
"Haley, S.D., Johnson, J.J., Peairs, F.B., Stromberger, J.A., Hudson-Arns, E.E., Seifert, S.A., Valdez, V.A., Kottke, R.A., Rudolph, J.B., Bai, G., Chen, X., Bowden, R.L., Jin, Y., Kolmer, J.A., Chen, M.-S., Seabourn, B.W., Dowell, F.E.","Registration of 'antero' wheat",2014,"Journal of Plant Registrations","8","2",,"165","168",,,10.3198/jpr2013.12.0072crc,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899815182&partnerID=40&md5=77398b5c3d837ed9be8d71e0697cf1c8",Article,Scopus,2-s2.0-84899815182
"Edae, E.A., Byrne, P.F., Haley, S.D., Lopes, M.S., Reynolds, M.P.","Genome-wide association mapping of yield and yield components of spring wheat under contrasting moisture regimes",2014,"Theoretical and Applied Genetics","127","4",,"791","807",,12,10.1007/s00122-013-2257-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897058661&partnerID=40&md5=99814bb764103b5cccc44d7fb8452ca4",Article,Scopus,2-s2.0-84897058661
"Anderson, V.A., Haley, S.D., Peairs, F.B., Van Eck, L., Leach, J.E., Lapitan, N.L.V.","Virus-induced gene silencing suggests (1,3;1,4)-β-glucanase is a susceptibility factor in the compatible russian wheat aphid-wheat interaction",2014,"Molecular Plant-Microbe Interactions","27","9",,"913","922",,2,10.1094/MPMI-05-13-0141-R,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906271400&partnerID=40&md5=d3a73a6658351c20ed71bb137d344141",Article,Scopus,2-s2.0-84906271400
"Liu, S., Rudd, J.C., Bai, G., Haley, S.D., Ibrahim, A.M.H., Xue, Q., Hays, D.B., Graybosch, R.A., Devkota, R.N., St. Amand, P.","Molecular markers linked to important genes in hard winter wheat",2014,"Crop Science","54","4",,"1304","1321",,2,10.2135/cropsci2013.08.0564,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84903185629&partnerID=40&md5=02bee8101fcf9f51fd7ef1fba56045c5",Review,Scopus,2-s2.0-84903185629
"Haley, S.D., Johnson, J.J., Peairs, F.B., Stromberger, J.A., Hudson-Arns, E.E., Seifert, S.A., Kottke, R.A., Valdez, V.A., Nachtman, J.J., Rudolph, J.B., Bai, G., Chen, X., Bowden, R.L., Jin, Y., Kolmer, J.A., Chen, M.-S., Seabourn, B.W.","Registration of 'cowboy' wheat",2014,"Journal of Plant Registrations","8","2",,"169","172",,,10.3198/jpr2013.12.0075crc,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899845110&partnerID=40&md5=39dd9bf887b74924f0f984000ce06b82",Article,Scopus,2-s2.0-84899845110
"Edae, E.A., Byrne, P.F., Manmathan, H., Haley, S.D., Moragues, M., Lopes, M.S., Reynolds, M.P.","Association mapping and nucleotide sequence variation in five drought tolerance candidate genes in spring wheat",2013,"Plant Genome","6","2",,"","",,4,10.3835/plantgenome2013.04.0010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883745780&partnerID=40&md5=5493bd2ed1f3c8e51143f5dc18309bed",Article,Scopus,2-s2.0-84883745780
