Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Ben-Tov, D., Abraham, Y., Stav, S., Thompson, K., Loraine, A., Elbaum, R., de Souza, A., Pauly, M., Kieber, J.J., Harpaz-Saad, S.","COBRA-LIKE2, a member of the glycosylphosphatidylinositol-anchored COBRA-LIKE family, plays a role in cellulose deposition in arabidopsis seed coat mucilage secretory cells",2015,"Plant Physiology","167","3",,"711","724",,3,10.1104/pp.114.240671,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923641855&partnerID=40&md5=94e55e90226320501c1564550704b52c",Article,Scopus,2-s2.0-84923641855
"Harpaz-Saad, S., Western, T.L., Kieber, J.J.","The FEI2-SOS5 pathway and CELLULOSE SYNTHASE 5 are required for cellulose biosynthesis in the arabidopsis seed coat and affect pectin mucilage structure",2012,"Plant Signaling and Behavior","7","2",,"","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860997757&partnerID=40&md5=f2ab53e1687258ee2866c941b69d9470",Article,Scopus,2-s2.0-84860997757
"Harpaz-Saad, S., Western, T.L., Kieber, J.J.","The FEI2-SOS5 pathway and CELLULOSE SYNTHASE 5 are required for cellulose biosynthesis in the Arabidopsis seed coat and affect pectin mucilage structure.",2012,"Plant signaling & behavior","7","2",,"285","288",,7,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84867299154&partnerID=40&md5=4a08a791509821856e7136007b5285af",Article,Scopus,2-s2.0-84867299154
"Harpaz-Saad, S., McFarlane, H.E., Xu, S., Divi, U.K., Forward, B., Western, T.L., Kieber, J.J.","Cellulose synthesis via the FEI2 RLK/SOS5 pathway and CELLULOSE SYNTHASE 5 is required for the structure of seed coat mucilage in Arabidopsis",2011,"Plant Journal","68","6",,"941","953",,28,10.1111/j.1365-313X.2011.04760.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-83555163697&partnerID=40&md5=481fdb61faa1189c73e225d527dcb8b7",Article,Scopus,2-s2.0-83555163697
"Azoulay-Shemer, T., Harpaz-Saad, S., Eyal, Y., Goldschmidt, E.E.","Pathway of chlorophyll breakdown in citrus fruit peel, as compared with arabidopsis leaves and other plant systems",2011,"Acta Horticulturae","892",,,"335","342",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80053186576&partnerID=40&md5=bd45c6227eb64fffad9947d37048ebf0",Conference Paper,Scopus,2-s2.0-80053186576
"Azoulay-Shemer, T., Harpaz-Saad, S., Cohen-Peer, R., Mett, A., Spicer, V., Lovat, N., Krokhin, O., Brand, A., Gidoni, D., Standing, K.G., Goldschmidt, E.E., Eyal, Y.","Dual N- and C-terminal processing of citrus chlorophyllase precursor within the plastid membranes leads to the mature enzyme",2011,"Plant and Cell Physiology","52","1",,"70","83",,7,10.1093/pcp/pcq174,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79251503001&partnerID=40&md5=f117210c60959c3b5bb1086389d808e2",Article,Scopus,2-s2.0-79251503001
"Berger, Y., Harpaz-Saad, S., Brand, A., Melnik, H., Sirding, N., Alvarez, J.P., Zinder, M., Samach, A., Eshed, Y., Ori, N.","The NAC-domain transcription factor GOBLET specifies leaflet boundaries in compound tomato leaves",2009,"Development","136","5",,"823","832",,113,10.1242/dev.031625,"http://www.scopus.com/inward/record.url?eid=2-s2.0-65549111340&partnerID=40&md5=687e0fc50362e9704a16f7004a02051b",Article,Scopus,2-s2.0-65549111340
"Shemer, T.A., Harpaz-Saad, S., Belausov, E., Lovat, N., Krokhin, O., Spicer, V., Standing, K.G., Goldschmidt, E.E., Eyal, Y.","Citrus chlorophyllase dynamics at ethylene-induced fruit color-break: A study of chlorophyllase expression, posttranslational processing kinetics, and in situ intracellular localization",2008,"Plant Physiology","148","1",,"108","118",,50,10.1104/pp.108.124933,"http://www.scopus.com/inward/record.url?eid=2-s2.0-55549085568&partnerID=40&md5=5854ac5f800c98095885aabf1d58be52",Article,Scopus,2-s2.0-55549085568
"Harpaz-Saad, S., Azoulay, T., Arazi, T., Ben-Yaakov, E., Mett, A., Shiboleth, Y.M., Hörtensteiner, S., Gidoni, D., Gal-On, A., Goldschmidt, E.E., Eyal, Y.","Chlorophyllase is a rate-limiting enzyme in chlorophyll catabolism and is posttranslationally regulated",2007,"Plant Cell","19","3",,"1007","1022",,72,10.1105/tpc.107.050633,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34250738549&partnerID=40&md5=578f81514931aeee32053f16b1d6cd0d",Article,Scopus,2-s2.0-34250738549
"Ben-Yaakov, E., Harpaz-Saad, S., Galili, D., Eyal, Y., Goldschmidt, E.","The relationship between chlorophyllase activity and chlorophyll degradation during the course of leaf senescence in various plant species",2006,"Israel Journal of Plant Sciences","54","2",,"129","135",,10,10.1560/IJPS_54_2_129,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34250378746&partnerID=40&md5=274692094c7247f80ee480c17e570500",Article,Scopus,2-s2.0-34250378746
