Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Sprink, T., Metje, J., Hartung, F.","Plant genome editing by novel tools: TALEN and other sequence specific nucleases",2015,"Current Opinion in Biotechnology","32",,,"47","53",,1,10.1016/j.copbio.2014.11.010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84911496075&partnerID=40&md5=5600f39331ec5e093ebdfdc2dd5363b5",Review,Scopus,2-s2.0-84911496075
"Sprink, T., Hartung, F.","The splicing fate of plant SPO11 genes",2014,"Frontiers in Plant Science","5","MAY", 214,"","",,1,10.3389/fpls.2014.00214,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902269370&partnerID=40&md5=ecbcd9e06d985daaed32eb5779caf8c5",Article,Scopus,2-s2.0-84902269370
"Schröpfer, S., Kobbe, D., Hartung, F., Knoll, A., Puchta, H.","Defining the roles of the N-terminal region and the helicase activity of RECQ4A in DNA repair and homologous recombination in Arabidopsis",2014,"Nucleic Acids Research","42","3",,"1684","1697",,6,10.1093/nar/gkt1004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896724870&partnerID=40&md5=b4ddc5c58013fe7ea5da89bbf0f0abc8",Article,Scopus,2-s2.0-84896724870
"Hartung, F., Schiemann, J.","Precise plant breeding using new genome editing techniques: Opportunities, safety and regulation in the EU",2014,"Plant Journal","78","5",,"742","752",,18,10.1111/tpj.12413,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901594468&partnerID=40&md5=7b7c9bc7d509a2f4fbda5a422db498a1",Article,Scopus,2-s2.0-84901594468
"Bonnet, S., Knoll, A., Hartung, F., Puchta, H.","Different functions for the domains of the Arabidopsis thaliana RMI1 protein in DNA cross-link repair, somatic and meiotic recombination",2013,"Nucleic Acids Research","41","20",,"9349","9360",,4,10.1093/nar/gkt730,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890097854&partnerID=40&md5=8b304e4b658934a8339b1b35009a39c0",Article,Scopus,2-s2.0-84890097854
"Sparrow, P., Broer, I., Hood, E.E., Eversole, K., Hartung, F., Schiemann, J.","Risk assessment and regulation of molecular farming - A comparison between Europe and US",2013,"Current Pharmaceutical Design","19","31",,"5513","5530",,7,10.2174/1381612811319310007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881332183&partnerID=40&md5=5be5f328018b12f3a2a5369566615557",Article,Scopus,2-s2.0-84881332183
"Podevin, N., Davies, H.V., Hartung, F., Nogué, F., Casacuberta, J.M.","Site-directed nucleases: A paradigm shift in predictable, knowledge-based plant breeding",2013,"Trends in Biotechnology","31","6",,"375","383",,20,10.1016/j.tibtech.2013.03.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878125012&partnerID=40&md5=72c8781c17f4c210c20ec06ff5ec042d",Review,Scopus,2-s2.0-84878125012
"Mannuss, A., Dukowic-Schulze, S., Suer, S., Hartung, F., Pacher, M., Puchta, H.","RAD5A, RECQ4A, AND MUS81 have specific functions in homologous recombination and define different pathways of dna repair in Arabidopsis thaliana",2010,"Plant Cell","22","10",,"3318","3330",,30,10.1105/tpc.110.078568,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78649518584&partnerID=40&md5=40c5fbe64ee1615748d19df33fc681ac",Article,Scopus,2-s2.0-78649518584
"Blanck, S., Kobbe, D., Hartung, F., Fengler, K., Focke, M., Puchta, H.","A SRS2 homolog from Arabidopsis thaliana disrupts recombinogenic DNA intermediates and facilitates single strand annealing",2009,"Nucleic Acids Research","37","21", gkp753,"7163","7176",,6,10.1093/nar/gkp753,"http://www.scopus.com/inward/record.url?eid=2-s2.0-75349098893&partnerID=40&md5=0077aca1e9bde3077d5730f234d8f093",Article,Scopus,2-s2.0-75349098893
"Geuting, V., Kobbe, D., Hartung, F., Diirr, J., Focke, M., Puchta, H.","Two distinct MUS81-EME1 complexes from arabidopsis process holliday junctions1[w]",2009,"Plant Physiology","150","2",,"1062","1071",,14,10.1104/pp.109.136846,"http://www.scopus.com/inward/record.url?eid=2-s2.0-66649107495&partnerID=40&md5=a1f38e0e14f704a6d37cb39fe4eaee02",Article,Scopus,2-s2.0-66649107495
"Hartung, F., Suer, S., Knoll, A., Wurz-Wildersinn, R., Puchta, H.","Topoisomerase 3α and RMI1 suppress somatic crossovers and are essential for resolution of meiotic recombination intermediates in Arabidopsis thaliana",2008,"PLoS Genetics","4","12", e1000285,"","",,35,10.1371/journal.pgen.1000285,"http://www.scopus.com/inward/record.url?eid=2-s2.0-58149144728&partnerID=40&md5=42caec8a763fbfc481133a46220e6344",Article,Scopus,2-s2.0-58149144728
"Hartung, F., Suer, S., Puchta, H.","Two closely related RecQ helicases have antagonistic roles in homologous recombination and DNA repair in Arabidopsis thaliana",2007,"Proceedings of the National Academy of Sciences of the United States of America","104","47",,"18836","18841",,56,10.1073/pnas.0705998104,"http://www.scopus.com/inward/record.url?eid=2-s2.0-36749085205&partnerID=40&md5=bce60ecf8a9725f4e383ad240b57d8cc",Article,Scopus,2-s2.0-36749085205
"Hartung, F., Wurz-Wildersinn, R., Fuchs, J., Schubert, I., Suer, S., Puchta, H.","The catalytically active tyrosine residues of both SPO11-1 and SPO11-2 are required for meiotic double-strand break induction in Arabidopsis",2007,"Plant Cell","19","10",,"3090","3099",,42,10.1105/tpc.107.054817,"http://www.scopus.com/inward/record.url?eid=2-s2.0-37249010135&partnerID=40&md5=f0920c9850b931bfe88c059120d2450f",Article,Scopus,2-s2.0-37249010135
"Hartung, F., Suer, S., Bergmann, T., Puchta, H.","The role of AtMUS81 in DNA repair and its genetic interaction with the helicase AtRecQ4A",2006,"Nucleic Acids Research","34","16",,"4438","4448",,45,10.1093/nar/gkl576,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33750025126&partnerID=40&md5=a6270de83b6b1b0f1e1068fc0aa3f6ef",Article,Scopus,2-s2.0-33750025126
"Hartung, F., Puchta, H.","The RecQ gene family in plants",2006,"Journal of Plant Physiology","163","3",,"287","296",,40,10.1016/j.jplph.2005.10.013,"http://www.scopus.com/inward/record.url?eid=2-s2.0-30944447473&partnerID=40&md5=150b33de247883daf4142e3a3160447f",Review,Scopus,2-s2.0-30944447473
"Heitzeberg, F., Chen, I.-P., Hartung, F., Orel, N., Angelis, K.J., Puchta, H.","The Rad17 homologue of Arabidopsis is involved in the regulation of DNA damage repair and homologous recombination",2004,"Plant Journal","38","6",,"954","968",,33,10.1111/j.1365-313X.2004.02097.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-2942750410&partnerID=40&md5=71ecb52cf8c40419640d787ea9edf512",Article,Scopus,2-s2.0-2942750410
"Hartung, F., Puchta, H.","What comparative genomics tells us about the evolution of eukaryotic genes involved in recombinations",2004,"Current Genomics","5","2",,"109","121",,6,10.2174/1389202043489917,"http://www.scopus.com/inward/record.url?eid=2-s2.0-1442351166&partnerID=40&md5=e3c8ae18223d6c3e1823a54b03c13763",Review,Scopus,2-s2.0-1442351166
"Plchova, H., Hartung, F., Puchta, H.","Biochemical Characterization of an Exonuclease from Arabidopsis thaliana Reveals Similarities to the DNA Exonuclease of the Human Werner Syndrome Protein",2003,"Journal of Biological Chemistry","278","45",,"44128","44138",,19,10.1074/jbc.M303891200,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0242582500&partnerID=40&md5=9b36f1a846e547b023a293114671620a",Article,Scopus,2-s2.0-0242582500
"Hartung, F., Blattner, F.R., Puchta, H.","Intron gain and loss in the evolution of the conserved eukaryotic recombination machinery",2002,"Nucleic Acids Research","30","23",,"5175","5181",,25,10.1093/nar/gkf649,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036924976&partnerID=40&md5=ee725e5767b218b8e06c1efa020dec8e",Review,Scopus,2-s2.0-0036924976
