Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Hamilton, E.S., Jensen, G.S., Maksaev, G., Katims, A., Sherp, A.M., Haswell, E.S.","Mechanosensitive channel MSL8 regulates osmotic forces during pollen hydration and germination",2015,"Science","350","6259",,"438","441",,1,10.1126/science.aac6014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84944722397&partnerID=40&md5=4209e21ff9104634c58a3eabe886c0f6",Article,Scopus,2-s2.0-84944722397
"Maksaev, G., Haswell, E.S.","Expressing and characterizing mechanosensitive channels in Xenopus oocytes",2015,"Methods in Molecular Biology","1309",,,"151","169",,,10.1007/978-1-4939-2697-8_13,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929648945&partnerID=40&md5=b31d6a0413736b17219b79d462708472",Article,Scopus,2-s2.0-84929648945
"Hamilton, E.S., Schlegel, A.M., Haswell, E.S.","United in diversity: Mechanosensitive ion channels in plants",2015,"Annual Review of Plant Biology","66",,,"113","137",,1,10.1146/annurev-arplant-043014-114700,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928881395&partnerID=40&md5=e76c351767a7d6c9f198a0a71461162d",Article,Scopus,2-s2.0-84928881395
"Brady, S.M., Burow, M., Busch, W., Carlborg, Ö., Denby, K.J., Glazebrook, J., Hamilton, E.S., Harmer, S.L., Haswell, E.S., Maloof, J.N., Springer, N.M., Kliebenstein, D.J.","Reassess the t test: Interact with all your data via ANOVA",2015,"Plant Cell","27","8",,"2088","2094",,1,10.1105/tpc.15.00238,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941313296&partnerID=40&md5=c1e9125e02596f5200c6edf1870d7350",Article,Scopus,2-s2.0-84941313296
"Bell, S.M., Blumstein, J., Brose, K., Carroll, A., Chang, J., Charles, J., Haswell, E.S., Michelitsch, M., Owens, J.C., Patil, C.K., Smith, R., Tupy, J., Walsh, E., Ware, T.","Defining success in graduate school",2014,"Molecular Biology of the Cell","25","13",,"1942","1944",,2,10.1091/mbc.E14-03-0793,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84903512450&partnerID=40&md5=58515c92f0ba934f1891aca4eec2229e",Article,Scopus,2-s2.0-84903512450
"Veley, K.M., Maksaev, G., Frick, E.M., January, E., Kloepper, S.C., Haswell, E.S.","Arabidopsis MSL10 has a regulated cell death signaling activity that is separable from its mechanosensitive ion channel activity",2014,"Plant Cell","26","7",,"3115","3131",,4,10.1105/tpc.114.128082,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907360172&partnerID=40&md5=87089e838ea45d7228e6a81cdd61ae5d",Article,Scopus,2-s2.0-84907360172
"Wilson, M.E., Basu, M.R., Bhaskara, G.B., Verslues, P.E., Haswell, E.S.","Plastid osmotic stress activates cellular stress responses in Arabidopsis",2014,"Plant Physiology","165","1",,"119","128",,4,10.1104/pp.114.236620,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899868179&partnerID=40&md5=766aeb592651554c5f28def2735afe3d",Article,Scopus,2-s2.0-84899868179
"Monshausen, G.B., Haswell, E.S.","A force of nature: Molecular mechanisms of mechanoperception in plants",2013,"Journal of Experimental Botany","64","15",,"4663","4680",,27,10.1093/jxb/ert204,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84887910492&partnerID=40&md5=464f5656fc7c761b7be3ec21b37d2ac3",Review,Scopus,2-s2.0-84887910492
"Wilson, M.E., Maksaev, G., Haswell, E.S.","MscS-like mechanosensitive channels in plants and microbes",2013,"Biochemistry","52","34",,"5708","5722",,15,10.1021/bi400804z,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883218029&partnerID=40&md5=a680abca0d278cb1f3021a07175c863a",Article,Scopus,2-s2.0-84883218029
"Maksaev, G., Haswell, E.S.","Recent characterizations of MscS and its homologs provide insight into the basis of ion selectivity in mechanosensitive channels",2013,"Channels","7","3",,"215","220",,3,10.4161/chan.24505,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878239576&partnerID=40&md5=c6ca9b5b323ca21a1e8deda73b76496a",Article,Scopus,2-s2.0-84878239576
"Maksaev, G., Haswell, E.S.","MscS-Like10 is a stretch-activated ion channel from Arabidopsis thaliana with a preference for anions",2012,"Proceedings of the National Academy of Sciences of the United States of America","109","46",,"19015","19020",,25,10.1073/pnas.1213931109,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84869216943&partnerID=40&md5=bad98b5de7651f7b63b488fbea32a46d",Article,Scopus,2-s2.0-84869216943
"Jensen, G.S., Haswell, E.S.","Functional analysis of conserved motifs in the mechanosensitive channel homolog MscS-Like2 from Arabidopsis thaliana",2012,"PLoS ONE","7","6", e40336,"","",,10,10.1371/journal.pone.0040336,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863111737&partnerID=40&md5=343e7e9c00677d1f7534c06891563a3d",Article,Scopus,2-s2.0-84863111737
"Veley, K.M., Haswell, E.S.","Plastids and pathogens: Mechanosensitive channels and survival in a hypoosmotic world",2012,"Plant Signaling and Behavior","7","6",,"668","671",,7,10.4161/psb.19991,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863882792&partnerID=40&md5=3243c3a891a14a86689ddbc6e08b00e8",Article,Scopus,2-s2.0-84863882792
"Veley, K.M., Marshburn, S., Clure, C.E., Haswell, E.S.","Mechanosensitive channels protect plastids from hypoosmotic stress during normal plant growth",2012,"Current Biology","22","5",,"408","413",,36,10.1016/j.cub.2012.01.027,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84857993679&partnerID=40&md5=84a527fe2f877fe6e0182fbdd0ec8259",Article,Scopus,2-s2.0-84857993679
"Wilson, M., Haswell, E.","A role for mechanosensitive channels in chloroplast and bacterial fission.",2012,"Plant signaling & behavior","7","2",,"157","160",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84867289553&partnerID=40&md5=544f9199c4cea6b59940eae97f99a2c9",Article,Scopus,2-s2.0-84867289553
"Wilson, M.E., Haswell, E.S.","A role for mechanosensitive channels in chloroplast and bacterial fission",2012,"Plant Signaling and Behavior","7","2",,"","",,7,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860895136&partnerID=40&md5=b93809b722446059a3f8cb0ec61baa0d",Article,Scopus,2-s2.0-84860895136
"Maksaev, G., Haswell, E.S.","Expression and characterization of the bacterial mechanosensitive channel MscS in Xenopus laevis oocytes",2011,"Journal of General Physiology","138","6",,"641","649",,13,10.1085/jgp.201110723,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84855499182&partnerID=40&md5=e73eb3fcdcbcb81514a1bb79006ee8be",Article,Scopus,2-s2.0-84855499182
