Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Dellero, Y., Mauve, C., Boex-Fontvieille, E., Flesch, V., Jossier, M., Tcherkez, G., Hodges, M.","Experimental evidence for a hydride transfer mechanism in plant glycolate oxidase catalysis",2015,"Journal of Biological Chemistry","290","3",,"1689","1698",,,10.1074/jbc.M114.618629,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922256221&partnerID=40&md5=77ed6b220871128246ae3c8e4e172387",Article,Scopus,2-s2.0-84922256221
"Dellero, Y., Lamothe-Sibold, M., Jossier, M., Hodges, M.","Arabidopsis thaliana ggt1 photorespiratory mutants maintain leaf carbon/nitrogen balance by reducing RuBisCO content and plant growth",2015,"Plant Journal","83","6",,"1005","1018",,,10.1111/tpj.12945,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941144003&partnerID=40&md5=8b377984f7b68f79564e843bd733684d",Article,Scopus,2-s2.0-84941144003
"Boex-Fontvieille, E., Jossier, M., Davanture, M., Zivy, M., Hodges, M., Tcherkez, G.","Differential Protein Phosphorylation Regulates Chloroplast Movement in Response to Strong Light and Darkness in Arabidopsis thaliana",2014,"Plant Molecular Biology Reporter",,,,"1","15",,,10.1007/s11105-014-0707-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894252252&partnerID=40&md5=257c27aaa65ec2bb5a93033ab6b35a49",Article in Press,Scopus,2-s2.0-84894252252
"Boex-Fontvieille, E., Daventure, M., Jossier, M., Hodges, M., Zivy, M., Tcherkez, G.","Phosphorylation pattern of Rubisco activase in Arabidopsis leaves",2014,"Plant Biology","16","3",,"550","557",,3,10.1111/plb.12100,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898037938&partnerID=40&md5=e8acc03bd719b5c32a5782750ac2207f",Article,Scopus,2-s2.0-84898037938
"Boex-Fontvieille, E., Davanture, M., Jossier, M., Zivy, M., Hodges, M., Tcherkez, G.","Photosynthetic activity influences cellulose biosynthesis and phosphorylation of proteins involved therein in Arabidopsis leaves",2014,"Journal of Experimental Botany","65","17",,"4997","5010",,3,10.1093/jxb/eru268,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907419348&partnerID=40&md5=ac61f00a787881cda7dca465f453aeff",Article,Scopus,2-s2.0-84907419348
"Guérinier, T., Millan, L., Crozet, P., Oury, C., Rey, F., Valot, B., Mathieu, C., Vidal, J., Hodges, M., Thomas, M., Glab, N.","Phosphorylation of p27KIP1 homologs KRP6 and 7 by SNF1-related protein kinase-1 links plant energy homeostasis and cell proliferation",2013,"Plant Journal","75","3",,"515","525",,12,10.1111/tpj.12218,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880819318&partnerID=40&md5=a417f2d8cb07b5ba9285a5c030f80d89",Article,Scopus,2-s2.0-84880819318
"Boex-Fontvieille, E.R.A., Gauthier, P.P.G., Gilard, F., Hodges, M., Tcherkez, G.G.B.","A new anaplerotic respiratory pathway involving lysine biosynthesis in isocitrate dehydrogenase-deficient Arabidopsis mutants",2013,"New Phytologist","199","3",,"673","682",,4,10.1111/nph.12319,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880302846&partnerID=40&md5=0459958d916fa6a23e8f86dbef4e5930",Article,Scopus,2-s2.0-84880302846
"Boex-Fontvieille, E., Daventure, M., Jossier, M., Zivy, M., Hodges, M., Tcherkez, G.","Photosynthetic Control of Arabidopsis Leaf Cytoplasmic Translation Initiation by Protein Phosphorylation",2013,"PLoS ONE","8","7", e70692,"","",,4,10.1371/journal.pone.0070692,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880790826&partnerID=40&md5=faa138ec6e662488173c25d39eaf4e4a",Article,Scopus,2-s2.0-84880790826
"Hodges, M., Jossier, M., Boex-Fontvieille, E., Tcherkez, G.","Protein phosphorylation and photorespiration",2013,"Plant Biology","15","4",,"694","706",,4,10.1111/j.1438-8677.2012.00719.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879503182&partnerID=40&md5=50212bd578b9811e7e68e4b68abe5c87",Review,Scopus,2-s2.0-84879503182
"Gauthier, P.P.G., Lamothe, M., Mahé, A., Molero, G., Nogués, S., Hodges, M., Tcherkez, G.","Metabolic origin of δ15N values in nitrogenous compounds from Brassica napus L. leaves",2013,"Plant, Cell and Environment","36","1",,"128","137",,15,10.1111/j.1365-3040.2012.02561.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870511596&partnerID=40&md5=862d94fc0c61e4a5b7a8efec45c88e94",Article,Scopus,2-s2.0-84870511596
