Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Hollingworth, R.M.","Preface to the Special Issue: Insecticide and acaricide modes of action and their role in resistance and its management",2015,"Pesticide Biochemistry and Physiology","121",,,"1","2",,,10.1016/j.pestbp.2015.04.008,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930377757&partnerID=40&md5=06f4ed0be8ad8df90d901e852f8a95f6",Editorial,Scopus,2-s2.0-84930377757
"Tabashnik, B.E., Mota-Sanchez, D., Whalon, M.E., Hollingworth, R.M., Carrière, Y.","Defining terms for proactive management of resistance to Bt crops and pesticides",2014,"Journal of Economic Entomology","107","2",,"496","507",,19,10.1603/EC13458,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898458981&partnerID=40&md5=7c3e08e153874c00c847cd78037126e2",Article,Scopus,2-s2.0-84898458981
"Mota-Sanchez, D., Cregg, B.M., McCullough, D.G., Poland, T.M., Hollingworth, R.M.","Distribution of trunk-injected 14C-imidacloprid in ash trees and effects on emerald ash borer (Coleoptera: Buprestidae) adults",2009,"Crop Protection","28","8",,"655","661",,16,10.1016/j.cropro.2009.03.012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-67349220681&partnerID=40&md5=29a8a8eefed1a92cd1d98f2248b21415",Article,Scopus,2-s2.0-67349220681
"Mota-Sanchez, D., Wise, J.C., Poppen, R.V., Gut, L.J., Hollingworth, R.M.","Resistance of codling moth, Cydia pomonella (L.) (Lepidoptera: Tortricidae), larvae in Michigan to insecticides with different modes of action and the impact on field residual activity",2008,"Pest Management Science","64","9",,"881","890",,31,10.1002/ps.1576,"http://www.scopus.com/inward/record.url?eid=2-s2.0-49949104068&partnerID=40&md5=8a71021b4a55b510738dfb229e2cfeee",Article,Scopus,2-s2.0-49949104068
"Hollingworth, R.M., Dong, K.","The biochemical and molecular genetic basis of resistance to pesticides in arthropods",2008,"Global Pesticide Resistance in Arthropods",,,,"40","89",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84856963696&partnerID=40&md5=48a22810323afd1b7c3693fa10c8aab4",Book Chapter,Scopus,2-s2.0-84856963696
"Whalon, M.E., Mota-Sanchez, D., Hollingworth, R.M.","Analysis of global pesticide resistance in arthropods",2008,"Global Pesticide Resistance in Arthropods",,,,"5","31",,43,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890225024&partnerID=40&md5=327ac35204b81e7656dbff8bdc852f16",Book Chapter,Scopus,2-s2.0-84890225024
"Whalon, M.E., Mota-Sanchez, D., Hollingworth, R.M.","Global pesticide resistance in arthropods",2008,"Global Pesticide Resistance in Arthropods",,,,"1","169",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890196603&partnerID=40&md5=adb803449e793715c8082b0ba16fa5ec",Book,Scopus,2-s2.0-84890196603
"Mota-Sanchez, D., Whalon, M.E., Hollingworth, R.M., Xue, Q.","Documentation of pesticide resistance in arthropods",2008,"Global Pesticide Resistance in Arthropods",,,,"32","39",,5,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-82055177228&partnerID=40&md5=523f3eef90a3b5bf9995446eff33020c",Book Chapter,Scopus,2-s2.0-82055177228
"Tan, J., Salgado, V.L., Hollingworth, R.M.","Neural actions of imidacloprid and their involvement in resistance in the Colorado potato beetle, Leptinotarsa decemlineata (Say)",2008,"Pest Management Science","64","1",,"37","47",,15,10.1002/ps.1464,"http://www.scopus.com/inward/record.url?eid=2-s2.0-38349041690&partnerID=40&md5=c544fe2247ccc2ed27b4f15c467a0b5c",Article,Scopus,2-s2.0-38349041690
"Tan, J., Galligan, J.J., Hollingworth, R.M.","Agonist actions of neonicotinoids on nicotinic acetylcholine receptors expressed by cockroach neurons",2007,"NeuroToxicology","28","4",,"829","842",,48,10.1016/j.neuro.2007.04.002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34447324612&partnerID=40&md5=1743be10c38f0676914cc24e369c56f9",Article,Scopus,2-s2.0-34447324612
"Mota-Sanchez, D., Hollingworth, R.M., Grafius, E.J., Moyer, D.D.","Resistance and cross-resistance to neonicotinoid insecticides and spinosad in the Colorado potato beetle, Leptinotarsa decemlineata (Say) (Coleoptera: Chrysomelidae)",2006,"Pest Management Science","62","1",,"30","37",,122,10.1002/ps.1120,"http://www.scopus.com/inward/record.url?eid=2-s2.0-32044437873&partnerID=40&md5=18152be5221639b8c461f6a348c17d5f",Conference Paper,Scopus,2-s2.0-32044437873
"Ahmad, M., Hollingworth, R.M.","Synergism of insecticides provides evidence of metabolic mechanisms of resistance in the obliquebanded leafroller Choristoneura rosaceana (Lepidoptera: Tortricidae)",2004,"Pest Management Science","60","5",,"465","473",,30,10.1002/ps.829,"http://www.scopus.com/inward/record.url?eid=2-s2.0-2342437631&partnerID=40&md5=027ce279ee1dd0f5a05318f4df935a50",Article,Scopus,2-s2.0-2342437631
"Hollingworth, R.M., Bjeldanes, L.F., Bolger, M., Kimber, I., Meade, B.J., Taylor, S.L., Wallace, K.B.","The safety of genetically modified foods produced through biotechnology",2003,"Toxicological Sciences","71","1",,"2","8",,36,10.1093/toxsci/71.1.2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037253748&partnerID=40&md5=8a451d2d056dffe21e04b57fc04715e3",Review,Scopus,2-s2.0-0037253748
"Ahmad, M., Hollingworth, R.M., Wise, J.C.","Broad-spectrum insecticide resistance in obliquebanded leafroller Choristoneura rosaceana (Lepidoptera: Tortricidae) from Michigan",2002,"Pest Management Science","58","8",,"834","838",,51,10.1002/ps.531,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036063188&partnerID=40&md5=94880045df719e974835e4f250f3b362",Article,Scopus,2-s2.0-0036063188
"Hollingworth, R.M.","New insecticides: Mode of action and selective toxicity",2001,"ACS Symposium Series","774",,,"238","255",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0041848710&partnerID=40&md5=e6e164c2218f541a3e0437a2d05d7288",Article,Scopus,2-s2.0-0041848710
"Hiripi, L., Nagy, L., Hollingworth, R.M.","In vitro and in vivo effects of formamidines in locust (Locusta migratoria migratorioides)",1999,"Acta Biologica Hungarica","50","1-3",,"81","87",,10,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032702137&partnerID=40&md5=43f4a66452cd7408b1cebea793d049ee",Article,Scopus,2-s2.0-0032702137
"Robinson, G.E., Heuser, L.M., LeConte, Y., Lenquette, F., Hollingworth, R.M.","Neurochemicals aid bee nestmate recognition [7]",1999,"Nature","399","6736",,"534","535",,49,10.1038/21095,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033542416&partnerID=40&md5=32f3464e125de6433e04d14a3b73ea58",Letter,Scopus,2-s2.0-0033542416
"Hollingworth, R.M.","Mechanisms of action and toxicity of new pesticides that disrupt oxidative phosphorylation",1998,"Reviews in Toxicology","2","1-4",,"253","266",,9,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032466817&partnerID=40&md5=bfff0d083f00274f68ddf1ae848ee831",Review,Scopus,2-s2.0-0032466817
"Hedin, P.A., Hollingworth, R.M.","New Applications for Phytochemical Pest-Control Agents",1997,"ACS Symposium Series","658",,,"X","12",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0347172953&partnerID=40&md5=a8f710649886fc7c0df2282cbc84ab4f",Article,Scopus,2-s2.0-0347172953
"Landolt, J.L., Ahammadsahib, K.I., Hollingworth, R.M., Barr, R., Crane, F.L., Buerckv, N.L., McCabe, G.P., McLaughlin, J.L.","Determination of structure-activity relationships of Annonaceous acetogenins by inhibition of oxygen uptake in rat liver mitochondria",1995,"Chemico-Biological Interactions","98","1",,"1","13",,56,10.1016/0009-2797(95)03628-Y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028856989&partnerID=40&md5=ed1474ecbca1d2cf59c9a934adac09b9",Article,Scopus,2-s2.0-0028856989
"Koller, C.N., Bauer, L.S., Hollingworth, R.M.","A Method for in Vivo Radiolabeling Bacillus thuringiensis Native δ-Endotoxin Crystals",1995,"Journal of Invertebrate Pathology","66","1",,"90","91",,,10.1006/jipa.1995.1066,"http://www.scopus.com/inward/record.url?eid=2-s2.0-58149364448&partnerID=40&md5=6a131e8d0ad25adbaa2f0bbb918ac7dc",Article,Scopus,2-s2.0-58149364448
"Hollingworth, R.M., Kurihara, N., Miyamoto, J., Otto, S., Paulson, G.D.","Detection and significance of active metabolites of agrochemicals and related xenobiotics in animals (technical report)",1995,"Pure and Applied Chemistry","67","8-9",,"1487","1532",,9,10.1351/pac199567081487,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0542422580&partnerID=40&md5=249642be24bdb4a6d2a4cc05a268208b",Article,Scopus,2-s2.0-0542422580
"Ahammadsahib, K.I., Hollingworth, R.M., Whalon, M.E., Ioannidis, P.M., Grafius, E.J.","Polysubstrate Monooxygenases and Other Xenobiotic-Metabolizing Enzymes in Susceptible and Resistant Colorado Potato Beetle",1994,"Pesticide Biochemistry and Physiology","49","1",,"1","12",,11,10.1006/pest.1994.1029,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028005964&partnerID=40&md5=9006f8a92d01c0c2d6a59d2ec214041f",Article,Scopus,2-s2.0-0028005964
"Treacy, M., Miller, T., Black, B., Gard, I., Hunt, D., Hollingworth, R.M.","Uncoupling activity and pesticidal properties of pyrroles",1994,"Biochemical Society Transactions","22","1",,"244","247",,27,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028344019&partnerID=40&md5=04bebc11df854540267effb5c1bb0a68",Conference Paper,Scopus,2-s2.0-0028344019
"Hollingworth, R.M., Ahammadsahib, K.I., Gadelhak, G., McLaughlin, J.L.","New inhibitors of Complex I of the mitochondrial electron transport chain with activity as pesticides",1994,"Biochemical Society Transactions","22","1",,"230","233",,103,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028326253&partnerID=40&md5=09a5d3691ed7f1d2e7ef45359e316c85",Conference Paper,Scopus,2-s2.0-0028326253
"Wierenga, J.M., Hollingworth, R.M.","The role of metabolic enzymes in insecticide-resistant Colorado potato beetles",1994,"Pesticide Science","40","4",,"259","264",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028056834&partnerID=40&md5=6d3c9c78b64212f63c12150b39129232",Article,Scopus,2-s2.0-0028056834
"Ahammadsahib, K.I., Hollingworth, R.M., McGovren, J.P., Hui, Y.-H., McLaughlin, J.L.","Mode of action of bullatacin: A potent antitumor and pesticidal Annonaceous acetogenin",1993,"Life Sciences","53","14",,"1113","1120",,138,10.1016/0024-3205(93)90547-G,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0027182618&partnerID=40&md5=bbc4f23b13dd10c944cc811c47879c3d",Article,Scopus,2-s2.0-0027182618
"Wierenga, J.M., Hollingworth, R.M.","Inhibition of insect acetylcholinesterase by the potato glycoalkaloid alpha-chaconine.",1992,"Natural toxins","1","2",,"96","99",,22,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0027019035&partnerID=40&md5=40256485df254320e88d495e9214fc43",Article,Scopus,2-s2.0-0027019035
"Koller, C.N., Bauer, L.S., Hollingworth, R.M.","Characterization of the pH-mediated solubility of Bacillus thuringiensis var. san diego native δ-endotoxin crystals",1992,"Biochemical and Biophysical Research Communications","184","2",,"692","699",,46,10.1016/0006-291X(92)90645-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0026684615&partnerID=40&md5=b3a8b6704032990ac1a120a5dd822943",Article,Scopus,2-s2.0-0026684615
"Orr, N., Orr, G.L., Hollingworth, R.M.","The Sf9 cell line as a model for studying insect octopamine-receptors",1992,"Insect Biochemistry and Molecular Biology","22","6",,"591","597",,21,10.1016/0965-1748(92)90036-E,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0000095660&partnerID=40&md5=2d8320a7a3377b0d074e17e5f896c981",Article,Scopus,2-s2.0-0000095660
"Masler, E.P., Kelly, T.J., Menn, J.J., Nachman, R.J., Holman, G.M., Zitnan, D., Takeda, M., Sauman, I., Sehnal, F., Segal, D., Altaratz, M., Richard, D.S., Gilbert, L.I., Applebaum, S.W., Shaaya, E., Lehmberg, E., Schooley, D.S., Ferenz, H.-J., Raina, A.K., Altstein, M., Gazit, Y., Dunkelblum, E., Rafaeli, A., Hirsch, J., Soroker, V., Kamensky, B., Shani, A., Ujvary, I., Dickens, J.C., Kamm, J.A., McDonough, L.M., Mazor, M., Kehat, M., Hefetz, A., Bar-Zakay, I., Peleg, B.A., Tumlinson, J.H., Casida, J.E., Cole, L.C., Deng, Y.L., Palmer, C.J., Hollingworth, R.M., Orr, N., Orr, G.L., Eldefrawi, M.E., Eldefrawi, A.T., Prestwich, G.D., Zlotkin, E., Eitan, M., Fowler, E., Moyer, M., Adams, M.E., Gordon, D., Moskowitz, H., Handler, A.M., Gomez, S.P., O'Brochta, D.A., Raccah, B., Gal-On, A., Antignus, Y., Federici, B.A., Miller, L.K., Tomalski, M.D., O'Reilly, D.R., Eldridge, J.R., Gross, O., Tussen, P., Tal, J., Ward, V., Umetsu, T., Possee, R., McCutchen, B.F., Maeda, S., Ichinose, R., Harshman, L., Choudary, P., Beethan, J., Bonning, B., Hammock, B.D., Cohen, E., Ishaaya, I., Yamamoto, I., Yawetz, A., Zook-Rimon, Z., Dotan, A., Aharonson, N., Katan, J., Mingelgrin, U., Gerstl, Z., Muszkat, L., Bir, L., Ascher, K.R.S.","Corrections",1991,"Phytoparasitica","19","4",,"311","",,,10.1007/BF02980968,"http://www.scopus.com/inward/record.url?eid=2-s2.0-65749310084&partnerID=40&md5=c4088c75df2b2055b0823f652b7478c1",Erratum,Scopus,2-s2.0-65749310084
"Orr, G.L., Orr, N., Hollingworth, R.M.","Distribution and pharmacological characterization of muscarinic-cholinergic receptors in the cockroach brain.",1991,"Archives of insect biochemistry and physiology","16","2",,"107","122",,15,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0026275436&partnerID=40&md5=479a123779193cdc7289d68f9b4998a1",Article,Scopus,2-s2.0-0026275436
"Raffa, R.B., Orr, N., Connelly, C.D., Hollingworth, R.M.","XAMI and DCDM, agonists at cAMP-associated octopamine receptors in cockroach nerve cord, produce centrally mediated antinociception in mice",1991,"Brain Research","559","2",,"211","219",,,10.1016/0006-8993(91)90004-F,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0025993578&partnerID=40&md5=fffd33ccc1a77429469ee5b78ce54482",Article,Scopus,2-s2.0-0025993578
"Leavitt, R.A., Kells, J.J., Bunkelmann, J.R., Hollingworth, R.M.","Assessing atrazine persistence in soil following a severe drought",1991,"Bulletin of Environmental Contamination and Toxicology","46","1",,"22","29",,12,10.1007/BF01688250,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0026036403&partnerID=40&md5=7aaaf6bb6355cb5ca667e1bebf0cd1d5",Article,Scopus,2-s2.0-0026036403
"Orr, N., Orr, G.L., Hollingworth, R.M.","Characterization of a potent agonist of the insect octopamine-receptor-coupled adenylate cyclase",1991,"Insect Biochemistry","21","3",,"335","340",,13,10.1016/0020-1790(91)90024-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0000610651&partnerID=40&md5=ee895cd75c2f1760c826f77bf9c30386",Article,Scopus,2-s2.0-0000610651
"Wierenga, J.M., Hollingworth, R.M.","Octopamine uptake and metabolism in the insect nervous system",1990,"Journal of Neurochemistry","54","2",,"479","489",,32,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0025156745&partnerID=40&md5=44ff83861137125be3d921518ec33445",Article,Scopus,2-s2.0-0025156745
"Cowles, R.S., Miller, J.R., Hollingworth, R.M., Abdel-Aal, M.T., Szurdoki, F., Bauer, K., Matolcsy, G.","Cinnamyl derivatives and monoterpenoids as nonspecific ovipositional deterrents of the onion fly",1990,"Journal of Chemical Ecology","16","8",,"2401","2428",,9,10.1007/BF01017465,"http://www.scopus.com/inward/record.url?eid=2-s2.0-14444272585&partnerID=40&md5=b75e50c26752b9506d9d94a2c4394bea",Article,Scopus,2-s2.0-14444272585
"Orr, G.L., Orr, N., Hollingworth, R.M.","Localization and pharmacological characterization of nicotinic-cholinergic binding sites in cockroach brain using α- and neuronal bungarotoxin",1990,"Insect Biochemistry","20","6",,"557","566",,11,10.1016/0020-1790(90)90067-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0001025246&partnerID=40&md5=58e8010d141a5a5b79f6feef05128013",Article,Scopus,2-s2.0-0001025246
"Orr, G.L., Hollingworth, R.M.","Agonist-induced desensitization of an octopamine receptor",1990,"Insect Biochemistry","20","3",,"239","244",,12,10.1016/0020-1790(90)90040-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0345650208&partnerID=40&md5=4c666c094d717c0edb804f4bd0a75fb0",Article,Scopus,2-s2.0-0345650208
"Fukuto, T.R., Hansen, L.G., Hollingworth, R.M., Wilkinson, C.F.","Robert L. Metcalf",1989,"Environmental Toxicology and Chemistry","8","8",,"647","648",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-45249126063&partnerID=40&md5=ade867ff4ba554dd72193327a7ab2133",Editorial,Scopus,2-s2.0-45249126063
"Levi, P.E., Hollingworth, R.M., Hodgson, E.","Differences in oxidative dearylation and desulfuration of fenitrothion by cytochrome P-450 isozymes and in the subsequent inhibition of monooxygenase activity",1988,"Pesticide Biochemistry and Physiology","32","3",,"224","231",,52,10.1016/0048-3575(88)90105-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0024237228&partnerID=40&md5=53b944285b030b1441dedf17f780c5dd",Article,Scopus,2-s2.0-0024237228
"Hsu, W.H., Smith, B.E., Hollingworth, R.M.","The bradycardic and mydriatic effects of chlorodimeform and its demethylated analogs in the rat: Anatagonism by idazoxan but not by prazosin",1988,"Life Sciences","43","23",,"1897","1904",,1,10.1016/S0024-3205(88)80007-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0023780898&partnerID=40&md5=bd5229b38210b48e6b5e58bbe99f696d",Article,Scopus,2-s2.0-0023780898
"Ghali, G.Z., Hollingworth, R.M.","Influence of mixed function oxygenase metabolism on the acute neurotoxicity of the pesticide chlordimeform in mice",1985,"NeuroToxicology","6","2",,"215","238",,7,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0022254325&partnerID=40&md5=afa70b545894f0c2c7c06e621d6179b1",Article,Scopus,2-s2.0-0022254325
"Hashemzadeh, H., Hollingworth, R.M., Voliva, A.","Receptors for 3H-octopamine in the adult firefly light organ",1985,"Life Sciences","37","5",,"433","440",,18,10.1016/0024-3205(85)90405-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0021892789&partnerID=40&md5=030a26c313f7e7fff96563f1037a706c",Article,Scopus,2-s2.0-0021892789
"Omar, D., Murdock, L.L., Hollingworth, R.M.","Actions of pharmacological agents on 5-hydroxytryptamine and dopamine in the cockroach nervous system (Periplaneta americana L.)",1982,"Comparative Biochemistry and Physiology. Part C, Comparative","73","2",,"423","429",,25,10.1016/0306-4492(82)90147-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0020444153&partnerID=40&md5=c431b8e341e556b864b99552d61e153e",Article,Scopus,2-s2.0-0020444153
"Nizamani, S.M., Hollingworth, R.M.","Fentrifanil: A diarylamine acaricide with potent mitochondrial uncoupling activity",1980,"Biochemical and Biophysical Research Communications","96","2",,"704","710",,5,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0019164925&partnerID=40&md5=0708c0e0ad0299e953c47f138b864b24",Article,Scopus,2-s2.0-0019164925
"Hollingworth, R.M.","Biorational approaches to new pesticides and growth regulators",1980,"Journal of Agricultural and Food Chemistry","28","1",,"1","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33847087155&partnerID=40&md5=12d17dfdc36375dad6e286178f7a889d",Conference Paper,Scopus,2-s2.0-33847087155
"Hollingworth, R.M., Murdock, L.L.","Formamidine pesticides: Octopamine-like actions in a firefly",1980,"Science","208","4439",,"74","76",,75,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0019152960&partnerID=40&md5=18778468cce1d52fbee9006ce33cba38",Article,Scopus,2-s2.0-0019152960
"Hollingworth, R.M., Leister, J., Ghali, G.","Mode of action of formamidine pesticides: An evaluation of mono amine oxidase as the target",1979,"Chemico-Biological Interactions","24","1",,"35","49",,17,10.1016/0009-2797(79)90101-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0018317721&partnerID=40&md5=13ce74e1ea12ad3fe33e40060227042d",Article,Scopus,2-s2.0-0018317721
"Lund, A.E., Hollingworth, R.M., Shankland, D.L.","Chlordimeform: Plant protection by a sublethal, noncholinergic action on the central nervous system",1979,"Pesticide Biochemistry and Physiology","11","1-3",,"117","128",,20,10.1016/0048-3575(79)90052-X,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0018396768&partnerID=40&md5=aba5dd623f9e54ed3140105e88fe4e28",Article,Scopus,2-s2.0-0018396768
"Yim, G.K.W., Holsapple, M.P., Pfister, W.R., Hollingworth, R.M.","Prostaglandin synthesis inhibited by formamidine pesticides",1978,"Life Sciences","23","25",,"2509","2515",,37,10.1016/0024-3205(78)90176-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0018250425&partnerID=40&md5=856ef277a2dab4691078a051185ff014",Article,Scopus,2-s2.0-0018250425
"Pfister, W.R., Hollingworth, R.M., Yim, G.K.W.","Increased feeding in rats treated with chlordimeform and related formamidines: A new class of appetite stimulants",1978,"Psychopharmacology","60","1",,"47","51",,12,10.1007/BF00429178,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0018225451&partnerID=40&md5=c235a085a4c7a2966de479c8b77b18a0",Article,Scopus,2-s2.0-0018225451
"Schroeder, M.E., Shankland, D.L., Hollingworth, R.M.","The effects of dieldrin and isomeric aldrin diols on synaptic transmission in the American cockroach and their relevance to the dieldrin poisoning syndrome",1977,"Pesticide Biochemistry and Physiology","7","5",,"403","415",,13,10.1016/0048-3575(77)90001-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0017668776&partnerID=40&md5=e9f53727019ae59059e760907be0dce7",Article,Scopus,2-s2.0-0017668776
"Holsapple, M.P., Blake, D.E., Hollingworth, R.M., Yim, G.K.W.","Prostaglandin synthetase inhibition by a formamidine pesticide",1977,"Pharmacologist","19","2",,"","",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0017409141&partnerID=40&md5=fec37618b95fe8423725768bf8b98220",,Scopus,2-s2.0-0017409141
"Cammer, P.A., Hollingworth, R.M.","Unusual substrate specificity in the oxidative dearylation of paraoxon analogs by mouse hepatic microsomal enzymes",1976,"Biochemical Pharmacology","25","15",,"1799","1807",,4,10.1016/0006-2952(76)90419-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0017065956&partnerID=40&md5=83c49b4d7dda101ddc57db815297b7fa",Article,Scopus,2-s2.0-0017065956
"Hollingworth, R.M.","Chemistry, biological activity, and uses of formamidine pesticides.",1976,"Environmental Health Perspectives","14",,,"57","69",,68,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0017101643&partnerID=40&md5=525bc2dc0ffe1107233e486a2db1361d",Review,Scopus,2-s2.0-0017101643
"Abo-Khatwa, N., Hollingworth, R.M.","Pesticidal chemicals affecting some energy-linked functions of rat liver mitochondria In vitro",1974,"Bulletin of Environmental Contamination and Toxicology","12","4",,"446","454",,10,10.1007/BF01684981,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0016259363&partnerID=40&md5=d268e293ec7686fc7e389c521971b029",Article,Scopus,2-s2.0-0016259363
"Hollingworth, R.M., Alstott, R.L., Donell Litzenberg, R.","Glutathione S-aryl transferase in the metabolism of parathion and its analogs",1973,"Life Sciences","13","3",,"191","199",,32,10.1016/0024-3205(73)90018-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0015816841&partnerID=40&md5=2acdbd500e9b5466978526c1413be6b5",Article,Scopus,2-s2.0-0015816841
"Abo-Khatwa, N., Hollingworth, R.M.","Chlordimeform: Uncoupling activity against rat liver mitochondria",1973,"Pesticide Biochemistry and Physiology","3","4",,"358","369",,9,10.1016/0048-3575(73)90063-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0015718104&partnerID=40&md5=2c793576b99c082427ab595e2c819120",Article,Scopus,2-s2.0-0015718104
