Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Horvath, D.M., Pauly, M.H., Hutton, S.F., Vallad, G.E., Scott, J.W., Jones, J.B., Stall, R.E., Dahlbeck, D., Staskawicz, B.J., Tricoli, D., Deynze, A.V.","The pepper Bs2 gene confers effective field resistance to bacterial leaf spot and yield enhancement in Florida tomatoes",2015,"Acta Horticulturae","1069",,,"47","52",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928348340&partnerID=40&md5=9b1cd309078b2fe3052f7f8df1a4d01e",Article,Scopus,2-s2.0-84928348340
"Schornack, S., Moscou, M.J., Ward, E.R., Horvath, D.M.","Engineering plant disease resistance based on TAL effectors",2013,"Annual Review of Phytopathology","51",,,"383","406",,24,10.1146/annurev-phyto-082712-102255,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881454574&partnerID=40&md5=60b1efabce9705ee4d4879478765f1a0",Article,Scopus,2-s2.0-84881454574
"Dangl, J.L., Horvath, D.M., Staskawicz, B.J.","Pivoting the plant immune system from dissection to deployment",2013,"Science","341","6147",,"746","751",,107,10.1126/science.1236011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881413993&partnerID=40&md5=40ab3c5303d060232beda9553f328729",Review,Scopus,2-s2.0-84881413993
"Horvath, D.M., Stall, R.E., Jones, J.B., Pauly, M.H., Vallad, G.E., Dahlbeck, D., Staskawicz, B.J., Scott, J.W.","Transgenic resistance confers effective field level control of bacterial spot disease in tomato",2012,"PLoS ONE","7","8", e42036,"","",,16,10.1371/journal.pone.0042036,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84864774608&partnerID=40&md5=67197a9d464164b7a9948ba99348db7e",Article,Scopus,2-s2.0-84864774608
"Wulff, B.B.H., Horvath, D.M., Ward, E.R.","Improving immunity in crops: New tactics in an old game",2011,"Current Opinion in Plant Biology","14","4",,"468","476",,23,10.1016/j.pbi.2011.04.002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79961170822&partnerID=40&md5=59b59393c3ae1844b2f4ea98e9aeaded",Review,Scopus,2-s2.0-79961170822
"Horvath, D.M., Huang, D.J., Chua, N.-H.","Four classes of salicylate-induced tobacco genes",1998,"Molecular Plant-Microbe Interactions","11","9",,"895","905",,58,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032167729&partnerID=40&md5=f1c63b354c35a260aaf8aedefe66b458",Article,Scopus,2-s2.0-0032167729
"McNellis, T.W., Mudgett, M.B., Li, K., Aoyama, T., Horvath, D., Chua, N.-H., Staskawicz, B.J.","Glucocorticoid-inducible expression of a bacterial avirulence gene in transgenic ARABIDOPSIS INDUCES Hypersensitive cell death",1998,"Plant Journal","14","2",,"247","257",,107,10.1046/j.1365-313X.1998.00106.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032053081&partnerID=40&md5=8e1ca1dfb96b02894dfc0e31cea38670",Article,Scopus,2-s2.0-0032053081
"Horvath, D.M., Chua, N.-H.","Identification of an immediate-early salicylic acid-inducible tobacco gene and characterization of induction by other compounds",1996,"Plant Molecular Biology","31","5",,"1061","1072",,90,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030221153&partnerID=40&md5=5946844ef86a3d44c97f7152d5562e81",Review,Scopus,2-s2.0-0030221153
"Qin, X.-F., Holuigue, L., Horvath, D.M., Chua, N.-H.","Immediate early transcription activation by salicylic acid via the cauliflower mosaic virus as-1 element",1994,"Plant Cell","6","6",,"863","874",,128,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028446513&partnerID=40&md5=403b2698daf9a2447eadb33b5c2e9f77",Article,Scopus,2-s2.0-0028446513
"Horvath, D.M., Chua, N.-H.","The role of salicylic acid in systemic acquired resistance",1994,"Current Opinion in Biotechnology","5","2",,"131","136",,4,10.1016/S0958-1669(05)80025-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028299757&partnerID=40&md5=f9417ead666d198df00b464693a9a815",Article,Scopus,2-s2.0-0028299757
