Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Nie, Z., Feher, V., Natala, S., McBride, C., Kiryanov, A., Jones, B., Lam, B., Liu, Y., Kaldor, S., Stafford, J., Hikami, K., Uchiyama, N., Kawamoto, T., Hikichi, Y., Matsumoto, S.-I., Amano, N., Zhang, L., Hosfield, D., Skene, R., Zou, H., Cao, X., Ichikawa, T.","Discovery of TAK-960: An orally available small molecule inhibitor of polo-like kinase 1 (PLK1)",2013,"Bioorganic and Medicinal Chemistry Letters","23","12",,"3662","3666",,11,10.1016/j.bmcl.2013.02.083,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878111171&partnerID=40&md5=8ef0cbdb4708e48a2ed0211a142ee93f",Article,Scopus,2-s2.0-84878111171
"Balbas, M.D., Evans, M.J., Hosfield, D.J., Wongvipat, J., Arora, V.K., Watson, P.A., Chen, Y., Greene, G.L., Shen, Y., Sawyers, C.L.","Overcoming mutation-based resistance to antiandrogens with rational drug design",2013,"eLife","2013","2", e00499,"","",,73,10.7554/eLife.00499,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879067087&partnerID=40&md5=7dae85aec32e46eebcb3f8fa67955c10",Article,Scopus,2-s2.0-84879067087
"Cheruvallath, Z.S., Gwaltney II, S.L., Sabat, M., Tang, M., Feng, J., Wang, H., Miura, J., Guntupalli, P., Jennings, A., Hosfield, D., Lee, B., Wu, Y.","Design, synthesis and SAR of novel glucokinase activators",2013,"Bioorganic and Medicinal Chemistry Letters","23","7",,"2166","2171",,7,10.1016/j.bmcl.2013.01.093,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875228325&partnerID=40&md5=c621999bf7aad4c8b0551c3829baef66",Article,Scopus,2-s2.0-84875228325
"Tsutakawa, S.E., Shin, D.S., Mol, C.D., Izumi, T., Arvai, A.S., Mantha, A.K., Szczesny, B., Ivanov, I.N., Hosfield, D.J., Maiti, B., Pique, M.E., Frankel, K.A., Hitomi, K., Cunningham, R.P., Mitra, S., Tainer, J.A.","Conserved structural chemistry for incision activity in structurally non-homologous apurinic/apyrimidinic endonuclease APE1 and endonuclease IV DNA repair enzymes",2013,"Journal of Biological Chemistry","288","12",,"8445","8455",,19,10.1074/jbc.M112.422774,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875412272&partnerID=40&md5=ed1a9e9fbb4515453d9101a1d9058eca",Article,Scopus,2-s2.0-84875412272
"Tomita, N., Hayashi, Y., Suzuki, S., Oomori, Y., Aramaki, Y., Matsushita, Y., Iwatani, M., Iwata, H., Okabe, A., Awazu, Y., Isono, O., Skene, R.J., Hosfield, D.J., Miki, H., Kawamoto, T., Hori, A., Baba, A.","Structure-based discovery of cellular-active allosteric inhibitors of FAK",2013,"Bioorganic and Medicinal Chemistry Letters","23","6",,"1779","1785",,11,10.1016/j.bmcl.2013.01.047,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874658250&partnerID=40&md5=0eae84473d83376abe78b109ffcf0d43",Article,Scopus,2-s2.0-84874658250
"Iwatani, M., Iwata, H., Okabe, A., Skene, R.J., Tomita, N., Hayashi, Y., Aramaki, Y., Hosfield, D.J., Hori, A., Baba, A., Miki, H.","Discovery and characterization of novel allosteric FAK inhibitors",2013,"European Journal of Medicinal Chemistry","61",,,"49","60",,7,10.1016/j.ejmech.2012.06.035,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874938176&partnerID=40&md5=8651306377473bb81778d5bb2a21826d",Article,Scopus,2-s2.0-84874938176
"Fradera, X., Vu, D., Nimz, O., Skene, R., Hosfield, D., Wynands, R., Cooke, A.J., Haunsø, A., King, A., Bennett, D.J., McGuire, R., Uitdehaag, J.C.M.","X-Ray structures of the LXRα LBD in its homodimeric form and implications for heterodimer signaling",2010,"Journal of Molecular Biology","399","1",,"120","132",,14,10.1016/j.jmb.2010.04.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77953083339&partnerID=40&md5=5715ca483b85471047711d81a8c92e89",Article,Scopus,2-s2.0-77953083339
"Mol, C.D., Okada, K., Hosfield, D.J.","Protein Kinase Structural Biology: Methods and Strategies for Targeted Drug Discovery",2009,"Kinase Inhibitor Drugs",,,,"485","500",,,10.1002/9780470524961.ch19,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84889812778&partnerID=40&md5=c63d2500f2b48d222a971104821edf46",Book Chapter,Scopus,2-s2.0-84889812778
"Hosfield, D.J., Mol, C.D.","Targeting inactive kinases: Structure as foundation for cancer drug discovery",2008,"Cancer Drug Design and Discovery",,,,"229","252",,3,10.1016/B978-012369448-5.50013-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873139174&partnerID=40&md5=73abd2ab50a756d4bedce1e114c108e5",Book Chapter,Scopus,2-s2.0-84873139174
"Garcin, E.D., Hosfield, D.J., Desai, S.A., Haas, B.J., Björas, M., Cunningham, R.P., Tainer, J.A.","DNA apurinic-apyrimidinic site binding and excision by endonuclease IV",2008,"Nature Structural and Molecular Biology","15","5",,"515","522",,54,10.1038/nsmb.1414,"http://www.scopus.com/inward/record.url?eid=2-s2.0-43249130475&partnerID=40&md5=a7573978813bd6238e9808d390b74a27",Article,Scopus,2-s2.0-43249130475
