Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Christensen, S.A., Huffaker, A., Kaplan, F., Sims, J., Ziemann, S., Doehlemann, G., Ji, L., Schmitz, R.J., Kolomiets, M.V., Alborn, H.T., Mori, N., Jander, G., Ni, X., Sartor, R.C., Byers, S., Abdo, Z., Schmelz, E.A.","Maize death acids, 9-lipoxygenase-derived cyclopente(a)nones, display activity as cytotoxic phytoalexins and transcriptional mediators",2015,"Proceedings of the National Academy of Sciences of the United States of America","112","36",,"11407","11412",,1,10.1073/pnas.1511131112,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941236954&partnerID=40&md5=9e008e78167ef8facd365a5ed914d041",Article,Scopus,2-s2.0-84941236954
"Huffaker, A.","Plant elicitor peptides in induced defense against insects",2015,"Current Opinion in Insect Science","9",, 150,"44","50",,1,10.1016/j.cois.2015.06.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937543089&partnerID=40&md5=f0a6ff783675361f829ecb1782a9e562",Article,Scopus,2-s2.0-84937543089
"Tzin, V., Fernandez-Pozo, N., Richter, A., Schmelz, E.A., Schoettner, M., Schäfer, M., Ahern, K.R., Meihls, L.N., Kaur, H., Huffaker, A., Mori, N., Degenhardt, J., Mueller, L.A., Jander, G.","Dynamic maize responses to aphid feeding are revealed by a time series of transcriptomic and metabolomic assays",2015,"Plant Physiology","169","3",,"1727","1743",,,10.1104/pp.15.01039,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946223070&partnerID=40&md5=146e57a383fa5ad4c10d915f9c0f941e",Article,Scopus,2-s2.0-84946223070
"Vaughan, M.M., Christensen, S., Schmelz, E.A., Huffaker, A., Mcauslane, H.J., Alborn, H.T., Romero, M., Allen, L.H., Teal, P.E.A.","Accumulation of terpenoid phytoalexins in maize roots is associated with drought tolerance",2015,"Plant, Cell and Environment","38","11",,"2195","2207",,,10.1111/pce.12482,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84945481339&partnerID=40&md5=9a87eaf50de68da122145e138619fe60",Article,Scopus,2-s2.0-84945481339
"Ni, X., Toews, M.D., Buntin, G.D., Carpenter, J.E., Huffaker, A., Schmelz, E.A., Cottrell, T.E., Abdo, Z.","Influence of brown stink bug feeding, planting date and sampling time on common smut infection of maize",2014,"Insect Science",,,,"","",,1,10.1111/1744-7917.12149,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906072186&partnerID=40&md5=2677879d46000183172c2d58217de2bc",Article in Press,Scopus,2-s2.0-84906072186
"Martins, V.F., Vaughan, M.M., Huffaker, A., Schmelz, E.A., Christensen, S., Sims, J., Benda, N.D., Swerbilow, J., Alborn, H., Teal, P.E.","Seed Treatment with Live or Dead Fusarium verticillioides Equivalently Reduces the Severity of Subsequent Stalk Rot",2014,"Journal of Phytopathology","162","3",,"201","204",,,10.1111/jph.12177,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893741441&partnerID=40&md5=cf49c70263957b5be1fe6ff151d1edf1",Article,Scopus,2-s2.0-84893741441
"Shen, J., Tieman, D., Jones, J.B., Taylor, M.G., Schmelz, E., Huffaker, A., Bies, D., Chen, K., Klee, H.J.","A 13-lipoxygenase, TomloxC, is essential for synthesis of C5 flavour volatiles in tomato",2014,"Journal of Experimental Botany","65","2",,"419","428",,17,10.1093/jxb/ert382,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893262077&partnerID=40&md5=c0269160821a1bfc85cf760b1256d29b",Article,Scopus,2-s2.0-84893262077
"Ni, X., Wilson, J.P., Toews, M.D., Buntin, G.D., Lee, R.D., Li, X., Lei, Z., He, K., Xu, W., Li, X., Huffaker, A., Schmelz, E.A.","Evaluation of spatial and temporal patterns of insect damage and aflatoxin level in the pre-harvest corn fields to improve management tactics",2014,"Insect Science","21","5",,"572","583",,1,10.1111/j.1744-7917.2012.01531.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907810413&partnerID=40&md5=fc423b3d08c223532a6b6ed5a7992c9b",Article,Scopus,2-s2.0-84907810413
"Schmelz, E.A., Huffaker, A., Sims, J.W., Christensen, S.A., Lu, X., Okada, K., Peters, R.J.","Biosynthesis, elicitation and roles of monocot terpenoid phytoalexins",2014,"Plant Journal","79","4",,"659","678",,21,10.1111/tpj.12436,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906066728&partnerID=40&md5=c246ebef8a97f306929f7129512f9503",Article,Scopus,2-s2.0-84906066728
"Vaughan, M.M., Huffaker, A., Schmelz, E.A., Dafoe, N.J., Christensen, S., Sims, J., Martins, V.F., Swerbilow, J., Romero, M., Alborn, H.T., Allen, L.H., Teal, P.E.A.","Effects of elevated [CO2] on maize defence against mycotoxigenic Fusarium verticillioides",2014,"Plant, Cell and Environment","37","12",,"2691","2706",,4,10.1111/pce.12337,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84905460600&partnerID=40&md5=4ea1127f39fa37620f87e45cdaa7b9bc",Article,Scopus,2-s2.0-84905460600
"Ni, X., Toews, M.D., Buntin, G.D., Carpenter, J.E., Huffaker, A., Schmelz, E.A., Cottrell, T.E., Abdo, Z.","Influence of brown stink bug feeding, planting date and sampling time on common smut infection of maize",2014,"Insect Science","21","5",,"564","571",,1,10.1111/1744-7917.12149,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907854825&partnerID=40&md5=f52033b3851a85b6a87aee0de3b84ab9",Article,Scopus,2-s2.0-84907854825
"Dafoe, N.J., Thomas, J.D., Shirk, P.D., Legaspi, M.E., Vaughan, M.M., Huffaker, A., Teal, P.E., Schmelz, E.A.","European corn borer (Ostrinia nubilalis) induced responses enhance susceptibility in maize.",2013,"PloS one","8","9", e73394,"","",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897921858&partnerID=40&md5=d4a9eb71136cc4aee1d64368e9c6b1be",Article,Scopus,2-s2.0-84897921858
"Yamaguchi, Y., Pearce, G., Huffaker, A.","Defense Signal Peptides",2013,"Handbook of Biologically Active Peptides",,,,"5","14",,,10.1016/B978-0-12-385095-9.00002-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884919249&partnerID=40&md5=ecb85ec6107fc0ecfc11e61bd5568da9",Book Chapter,Scopus,2-s2.0-84884919249
"Huffaker, A., Pearce, G., Veyrat, N., Erb, M., Turlings, T.C.J., Sartor, R., Shen, Z., Briggs, S.P., Vaughan, M.M., Alborn, H.T., Teal, P.E.A., Schmelz, E.A.","Plant elicitor peptides are conserved signals regulating direct and indirect antiherbivore defense",2013,"Proceedings of the National Academy of Sciences of the United States of America","110","14",,"5707","5712",,28,10.1073/pnas.1214668110,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875832054&partnerID=40&md5=d32557285152c86cdb1800d6b6a33ff9",Article,Scopus,2-s2.0-84875832054
"Anderson, R.G., Casady, M.S., Fee, R.A., Vaughan, M.M., Deb, D., Fedkenheuer, K., Huffaker, A., Schmelz, E.A., Tyler, B.M., McDowell, J.M.","Homologous RXLR effectors from Hyaloperonospora arabidopsidis and Phytophthora sojae suppress immunity in distantly related plants",2012,"Plant Journal","72","6",,"882","893",,19,10.1111/j.1365-313X.2012.05079.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871941915&partnerID=40&md5=dd6092cd35fdc2f70c624489239e7aea",Article,Scopus,2-s2.0-84871941915
"Schmelz, E.A., Huffaker, A., Carroll, M.J., Alborn, H.T., Ali, J.G., Teal, P.E.A.","An amino acid substitution inhibits specialist herbivore production of an antagonist effector and recovers insect-induced plant defenses",2012,"Plant Physiology","160","3",,"1468","1478",,5,10.1104/pp.112.201061,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84868311058&partnerID=40&md5=accd52becab09118c30f941e9ec15b0c",Article,Scopus,2-s2.0-84868311058
