Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Glaeser, S.P., Imani, J., Alabid, I., Guo, H., Kumar, N., Kämpfer, P., Hardt, M., Blom, J., Goesmann, A., Rothballer, M., Hartmann, A., Kogel, K.-H.","Non-pathogenic Rhizobium radiobacter F4 deploys plant beneficial activity independent of its host Piriformospora indica",2015,"ISME Journal",,,,"","",,,10.1038/ismej.2015.163,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84945157146&partnerID=40&md5=00c3c32a2058de7d07ac052e3e947681",Article in Press,Scopus,2-s2.0-84945157146
"Abdellatef, E., Will, T., Koch, A., Imani, J., Vilcinskas, A., Kogel, K.-H.","Silencing the expression of the salivary sheath protein causes transgenerational feeding suppression in the aphid Sitobion avenae",2015,"Plant Biotechnology Journal","13","6",,"849","857",,,10.1111/pbi.12322,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84936847450&partnerID=40&md5=d35e42facbecc552596c8902e9674d92",Article,Scopus,2-s2.0-84936847450
"Langen, G., von Einem, S., Koch, A., Imani, J., Pai, S.B., Manohar, M., Ehlers, K., Choi, H.W., Claar, M., Schmidt, R., Mang, H.-G., Bordiya, Y., Kang, H.-G., Klessig, D.F., Kogel, K.-H.","The compromised recognition of turnip crinkle virus1 subfamily of microrchidia ATPases regulates disease resistance in barley to biotrophic and necrotrophic pathogens",2014,"Plant Physiology","164","2",,"866","878",,5,10.1104/pp.113.227488,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893464718&partnerID=40&md5=e01a3802b4067daf5a037153557a01ac",Article,Scopus,2-s2.0-84893464718
"Dey, S., Wenig, M., Langen, G., Sharma, S., Kugler, K.G., Knappe, C., Hause, B., Bichlmeier, M., Babaeizad, V., Imani, J., Janzik, I., Stempfl, T., Hückelhoven, R., Kogel, K.-H., Mayer, K.F.X., Corina Vlot, A.","Bacteria-triggered systemic immunity in barley is associated with WRKY and ETHYLENE RESPONSIVE FACTORs but not with salicylic acid",2014,"Plant Physiology","166","4",,"2133","2151",,3,10.1104/pp.114.249276,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84914133213&partnerID=40&md5=0062fb649f335117d2bac8d6b645dde0",Article,Scopus,2-s2.0-84914133213
"Koch, A., Kumar, N., Weber, L., Keller, H., Imani, J., Kogel, K.-H.","Host-induced gene silencing of cytochrome P450 lanosterol C14α-demethylase-encoding genes confers strong resistance to Fusarium species",2013,"Proceedings of the National Academy of Sciences of the United States of America","110","48",,"19324","19329",,21,10.1073/pnas.1306373110,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84888359241&partnerID=40&md5=0ad88f974653e626a1d1cc7ddbbe29be",Article,Scopus,2-s2.0-84888359241
"Reitz, M.U., Pai, S., Imani, J., Schäfer, P.","New insights into the subcellular localization of tubby-like proteins and their participation in the Arabidopsis-piriformospora indica interaction",2013,"Plant Signaling and Behavior","8","8",,"","",,2,10.4161/psb.25198,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881067526&partnerID=40&md5=082de7ea13f614315985ef421b26f603",Article,Scopus,2-s2.0-84881067526
"Koch, A., Khalifa, W., Langen, G., Vilcinskas, A., Kogel, K.-H., Imani, J.","The Antimicrobial Peptide Thanatin Reduces Fungal Infections in Arabidopsis",2012,"Journal of Phytopathology","160","10",,"606","610",,6,10.1111/j.1439-0434.2012.01946.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84866170108&partnerID=40&md5=dfe208aa3c62421d13fec33679520a05",Article,Scopus,2-s2.0-84866170108
"Reitz, M.U., Bissue, J.K., Zocher, K., Attard, A., Hückelhoven, R., Becker, K., Imani, J., Eichmann, R., Schäfer, P.","The subcellular localization of tubby-like proteins and participation in stress signaling and root colonization by the mutualist Piriformospora indica",2012,"Plant Physiology","160","1",,"349","364",,13,10.1104/pp.112.201319,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84865848147&partnerID=40&md5=909dbc4f80aa17ef56f96ba6d1791dbb",Article,Scopus,2-s2.0-84865848147
"Vijayan, S., Imani, J., Tanneeru, K., Guruprasad, L., Kogel, K.H., Kirti, P.B.","Enhanced antifungal and insect α-amylase inhibitory activities of Alpha-TvD1, a peptide variant of Tephrosia villosa defensin (TvD1) generated through in vitro mutagenesis",2012,"Peptides","33","2",,"220","229",,4,10.1016/j.peptides.2011.12.020,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84858795712&partnerID=40&md5=f963b75af1144c851e3ba745f2330762",Article,Scopus,2-s2.0-84858795712
"Wangorsch, A., Weigand, D., Peters, S., Mahler, V., Fötisch, K., Reuter, A., Imani, J., Dewitt, A.M., Kogel, K.-H., Lidholm, J., Vieths, S., Scheurer, S.","Identification of a Dau c PRPlike protein (Dau c 1.03) as a new allergenic isoform in carrots (cultivar Rodelika)",2012,"Clinical and Experimental Allergy","42","1",,"156","166",,3,10.1111/j.1365-2222.2011.03900.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84655169544&partnerID=40&md5=0f9ca197cd6401af1a0eb4ec78c92c30",Article,Scopus,2-s2.0-84655169544
"Imani, J., Li, L., Schäfer, P., Kogel, K.-H.","STARTS - A stable root transformation system for rapid functional analyses of proteins of the monocot model plant barley",2011,"Plant Journal","67","4",,"726","735",,7,10.1111/j.1365-313X.2011.04620.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80051664479&partnerID=40&md5=56a8ec2f564860c889f90967b23a2cac",Article,Scopus,2-s2.0-80051664479
"Peters, S., Imani, J., Mahler, V., Foetisch, K., Kaul, S., Paulus, K.E., Scheurer, S., Vieths, S., Kogel, K.-H.","Dau c 1.01 and Dau c 1.02-silenced transgenic carrot plants show reduced allergenicity to patients with carrot allergy",2011,"Transgenic Research","20","3",,"547","556",,6,10.1007/s11248-010-9435-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79955854565&partnerID=40&md5=6fc9642daf128356156d0c1a09fdc1a1",Article,Scopus,2-s2.0-79955854565
"Kogel, K.-H., Voll, L.M., Schäfer, P., Jansen, C., Wu, Y., Langen, G., Imani, J., Hofmann, J., Schmiedl, A., Sonnewald, S., Von Wettstein, D., Cook, R.J., Sonnewald, U.","Transcriptome and metabolome profiling of field-grown transgenic barley lack induced differences but show cultivar-specific variances",2010,"Proceedings of the National Academy of Sciences of the United States of America","107","14",,"6198","6203",,49,10.1073/pnas.1001945107,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77950909162&partnerID=40&md5=ded7d90e90b37480e6899a4ffb6afac4",Article,Scopus,2-s2.0-77950909162
"Frederico, A.M., Campos, M.D., Cardoso, H.G., Imani, J., Arnholdt-Schmitt, B.","Alternative oxidase involvement in Daucus carota somatic embryogenesis",2009,"Physiologia Plantarum","137","4",,"498","508",,11,10.1111/j.1399-3054.2009.01278.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70450270874&partnerID=40&md5=b43edd4ad05f83c8436e72a138be3c88",Article,Scopus,2-s2.0-70450270874
"Rahnamaeian, M., Langen, G., Imani, J., Khalifa, W., Altincicek, B., Von Wettstein, D., Kogel, K.-H., Vilcinskas, A.","Insect peptide metchnikowin confers on barley a selective capacity for resistance to fungal ascomycetes pathogens",2009,"Journal of Experimental Botany","60","14",,"4105","4114",,32,10.1093/jxb/erp240,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70349671455&partnerID=40&md5=d22c307b6200802333da76e877304ba3",Article,Scopus,2-s2.0-70349671455
"Pathuri, I.P., Imani, J., Babaeizad, V., Kogel, K.-H., Eichmann, R., Hückelhoven, R.","Ectopic expression of barley constitutively activated ROPs supports susceptibility to powdery mildew and bacterial wildfire in tobacco",2009,"European Journal of Plant Pathology","125","2",,"317","327",,3,10.1007/s10658-009-9484-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70350716364&partnerID=40&md5=7585f0662c533a7c9ba991e1f2f1a768",Article,Scopus,2-s2.0-70350716364
"Babaeizad, V., Imani, J., Kogel, K.-H., Eichmann, R., Hückelhoven, R.","Over-expression of the cell death regulator BAX inhibitor-1 in barley confers reduced or enhanced susceptibility to distinct fungal pathogens",2009,"Theoretical and Applied Genetics","118","3",,"455","463",,36,10.1007/s00122-008-0912-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-58549102305&partnerID=40&md5=817798c3673a8a0fd3d1eb454e982dbf",Article,Scopus,2-s2.0-58549102305
"Uliaie, E.D., Farsi, M., Ghreyazie, B., Imani, J.","Effects of genotype and AgNO3 on shoot regeneration in winter cultivars of rapeseed (Brassica napus)",2008,"Pakistan Journal of Biological Sciences","11","16",,"2040","2043",,3,10.3923/pjbs.2008.2040.2043,"http://www.scopus.com/inward/record.url?eid=2-s2.0-57649221183&partnerID=40&md5=7ddcab04e885e780b75e2efeac2b3739",Article,Scopus,2-s2.0-57649221183
"Sharma, M., Schmid, M., Rothballer, M., Hause, G., Zuccaro, A., Imani, J., Kämpfer, P., Domann, E., Schäfer, P., Hartmann, A., Kogel, K.-H.","Detection and identification of bacteria intimately associated with fungi of the order Sebacinales",2008,"Cellular Microbiology","10","11",,"2235","2246",,41,10.1111/j.1462-5822.2008.01202.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-54049140006&partnerID=40&md5=83b2401b4df7074ffc5dace42f2f5e14",Article,Scopus,2-s2.0-54049140006
"Deshmukh, S., Hückelhoven, R., Schäfer, P., Imani, J., Sharma, M., Weiss, M., Waller, F., Kogel, K.-H.","The root endophytic fungus Pirifomospora indica requires host cell for proliferation during mutualistic symbiosis with barley",2006,"Proceedings of the National Academy of Sciences of the United States of America","103","49",,"18450","18457",,139,10.1073/pnas.0605697103,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33845488696&partnerID=40&md5=c3707f2b6435329bf1136ca05c760b72",Article,Scopus,2-s2.0-33845488696
"Imani, J., Baltruschat, H., Stein, E., Jia, G., Vogelsberg, J., Kogel, K.-H., Hückelhoven, R.","Expression of barley BAX Inhibitor-1 in carrots confers resistance to Botrytis cinerea",2006,"Molecular Plant Pathology","7","4",,"279","284",,21,10.1111/j.1364-3703.2006.00339.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33745247390&partnerID=40&md5=5af4729dabe63400043fc4332d164504",Article,Scopus,2-s2.0-33745247390
"Langen, G., Imani, J., Altincicek, B., Kieseritzky, G., Kogel, K.-H., Vilcinskas, A.","Transgenic expression of gallerimycin, a novel antifungal insect defensin from the greater wax moth Galleria mellonella, confers resistance to pathogenic fungi in tobacco",2006,"Biological Chemistry","387","5",,"549","557",,38,10.1515/BC.2006.071,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33746047082&partnerID=40&md5=2b8536da0ce14ea36f4a4930c6d03f35",Article,Scopus,2-s2.0-33746047082
"Schultheiss, H., Hensel, G., Imani, J., Broeders, S., Sonnewald, U., Kogel, K.-H., Kumlehn, J., Hückelhoven, R.","Ectopic expression of constitutively activated RACB in barley enhances susceptibility to powdery mildew and abiotic stress",2005,"Plant Physiology","139","1",,"353","362",,32,10.1104/pp.105.066613,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33644792655&partnerID=40&md5=357b534eaaaa5cc80c0a422de7be2869",Review,Scopus,2-s2.0-33644792655
"Eisa, S., Koyro, H.W., Kogel, K.H., Imani, J.","Induction of somatic embryogenesis in cultured cells of Chenopodium quinoa",2005,"Plant Cell, Tissue and Organ Culture","81","2",,"243","246",,3,10.1007/s11240-004-4793-z,"http://www.scopus.com/inward/record.url?eid=2-s2.0-17644399526&partnerID=40&md5=c6569263cd0490de23d771a6e5008cfe",Article,Scopus,2-s2.0-17644399526
"Rroço, E., Kosegarten, H., Harizaj, F., Imani, J., Mengel, K.","The importance of soil microbial activity for the supply of iron to sorghum and rape",2003,"European Journal of Agronomy","19","4",,"487","493",,22,10.1016/S1161-0301(02)00185-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0042412205&partnerID=40&md5=37d6b7bfd0b83cfb8f0c40854c1b0a71",Article,Scopus,2-s2.0-0042412205
"Peiter, E., Imani, J., Yan, F., Schubert, S.","A novel procedure for gentle isolation and separation of intact infected and uninfected protoplasts from the central tissue of Vicia faba L. root nodules",2003,"Plant, Cell and Environment","26","7",,"1117","1126",,6,10.1046/j.1365-3040.2003.01036.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0038134178&partnerID=40&md5=1f0d5f31a2b494cb6c1503bf88d636c3",Article,Scopus,2-s2.0-0038134178
"Imani, J., Berting, A., Nitsche, S., Schaefer, S., Gerlich, W.H., Neumann, K.-H.","The integration of a major hepatitis B virus gene into cell-cycle synchronized carrot cell suspension cultures and its expression in regenerated carrot plants",2002,"Plant Cell, Tissue and Organ Culture","71","2",,"157","164",,23,10.1023/A:1019903216459,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036836433&partnerID=40&md5=5cc256c6891d652197c203c17bf8831e",Article,Scopus,2-s2.0-0036836433
"Pleschka, E., Mashayekhi-Nezamabadi, K., Imani, J., Lein, C., Neumann, K.-H.","The significance of carbohydrates in somatic embryogenesis of carrot tissue cultures",2001,"Journal of Applied Botany","75","5-6",,"188","194",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035661995&partnerID=40&md5=c57370185a83157fa926316e31cc3e8b",Article,Scopus,2-s2.0-0035661995
"Imani, J., Tran Thi, L., Langen, G., Arnholdt-Schmitt, B., Roy, S., Lein, C., Kumar, A., Neumann, K.-H.","Somatic embryogenesis and DNA organization of genomes from selected Daucus species",2001,"Plant Cell Reports","20","6",,"537","541",,12,10.1007/s002990100363,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034786948&partnerID=40&md5=6ed753eac6d7a9f43c9e7c0638937cd9",Article,Scopus,2-s2.0-0034786948
"Grieb, B., Schäfer, F., Imani, J., Nezamabadi Mashayekhi, K., Arnholdt-Schmitt, B., Neumann, K.H.","Changes in soluble proteins and phytohormone concentrations of cultured carrot petiole explants during induction of somatic embryogenesis (Daucus carota L.)",1997,"Journal of Applied Botany","71","3-4",,"94","103",,19,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031457914&partnerID=40&md5=2d8446d6a644c6ec1cb582671ae2a6ee",Article,Scopus,2-s2.0-0031457914
