Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Huang, J.-P., Tunc-Ozdemir, M., Chang, Y., Jones, A.M.","Cooperative control between AtRGS1 and AtHXK1 in a WD40-repeat protein pathway in Arabidopsis thaliana",2015,"Frontiers in Plant Science","6","OCTOBER", 851,"","",,,10.3389/fpls.2015.00851,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84944314005&partnerID=40&md5=9c5762aa9d3d59e3878d2df6490f56d6",Article,Scopus,2-s2.0-84944314005
"Wolfenstetter, S., Chakravorty, D., Kula, R., Urano, D., Trusov, Y., Sheahan, M.B., McCurdy, D.W., Assmann, S.M., Jones, A.M., Botella, J.R.","Evidence for an unusual transmembrane configuration of AGG3, a class C Gγ subunit of Arabidopsis",2015,"Plant Journal","81","3",,"388","398",,3,10.1111/tpj.12732,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921603833&partnerID=40&md5=af0fb9c7c14c1b87409b68a53495cac4",Article,Scopus,2-s2.0-84921603833
"Urano, D., Jackson, D., Jones, A.M.","A G protein alpha null mutation confers prolificacy potential in maize",2015,"Journal of Experimental Botany","66","15",,"4511","4515",,,10.1093/jxb/erv215,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940121459&partnerID=40&md5=1b041a9e6d16ce2b95ef9632d68abb10",Article,Scopus,2-s2.0-84940121459
"Urano, D., Czarnecki, O., Wang, X., Jones, A.M., Chen, J.-G.","Arabidopsis receptor of activated c kinase1 phosphorylation by WITH NO LYSINE8 KINASE",2015,"Plant Physiology","167","2",,"507","516",,2,10.1104/pp.114.247460,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921953067&partnerID=40&md5=49fde5ae2b0424ede74d68de6e393ae0",Article,Scopus,2-s2.0-84921953067
"Colaneri, A.C., Jones, A.M.","The wiring diagram for plant G signaling",2014,"Current Opinion in Plant Biology","22",,,"56","64",,,10.1016/j.pbi.2014.09.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907500809&partnerID=40&md5=eee3f3e39a73e0d766a09d27f1e56a22",Review,Scopus,2-s2.0-84907500809
"Anderson, J.L., Ellis, J.P., Jones, A.M.","Understanding early elementary children's conceptual knowledge of plant structure and function through drawings",2014,"CBE Life Sciences Education","13","3",,"375","386",,1,10.1187/cbe.13-12-0230,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907353036&partnerID=40&md5=07f20bbf90b756c115793f0ce5477353",Article,Scopus,2-s2.0-84907353036
"Colaneri, A.C., Tunc-Ozdemir, M., Huang, J.P., Jones, A.M.","Growth attenuation under saline stress is mediated by the heterotrimeric G protein complex",2014,"BMC Plant Biology","14","1", 129,"","",,10,10.1186/1471-2229-14-129,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902548185&partnerID=40&md5=a67b8edb00f41bfa822036e27f757f29",Article,Scopus,2-s2.0-84902548185
"Montgomery, E.R., Temple, B.R.S., Peters, K.A., Tolbert, C.E., Booker, B.K., Martin, J.W., Hamilton, T.P., Tagliatela, A.C., Smolski, W.C., Rogers, S.L., Jones, A.M., Meigs, T.E.","Gα12 structural determinants of Hsp90 interaction are necessary for serum response element-mediated transcriptional activation",2014,"Molecular Pharmacology","85","4",,"586","597",,2,10.1124/mol.113.088443,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896884147&partnerID=40&md5=3dfff3dcfd266824c4801122a3f237c2",Article,Scopus,2-s2.0-84896884147
"Fu, Y., Lim, S., Urano, D., Tunc-Ozdemir, M., Phan, N.G., Elston, T.C., Jones, A.M.","Reciprocal encoding of signal intensity and duration in a glucose-sensing circuit",2014,"Cell","156","5",,"1084","1095",,12,10.1016/j.cell.2014.01.013,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896879753&partnerID=40&md5=25910508ec92cdb7f22c24bf1965393b",Article,Scopus,2-s2.0-84896879753
"Urano, D., Dong, T., Bennetzen, J.L., Jones, A.M.","Adaptive evolution of signaling partners",2014,"Molecular Biology and Evolution","32","4",,"998","1007",,,10.1093/molbev/msu404,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926640891&partnerID=40&md5=ad0ff18d2f9b1083a7802d3ac495cca6",Article,Scopus,2-s2.0-84926640891
