Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Li, X., Umen, J.G., Jonikas, M.C.","Erratum: Waking sleeping algal cells (Proceedings of the National Academy of Sciences of the United States of America (2014) 111 (15610-15611) DOI: 10.1073/pnas.1418295111)",2015,"Proceedings of the National Academy of Sciences of the United States of America","112","6",,"E596","",,,10.1073/pnas.1500845112,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922597901&partnerID=40&md5=de8c285a2afecd0659756caae27dadf7",Erratum,Scopus,2-s2.0-84922597901
"Atkinson, N., Feike, D., Mackinder, L.C.M., Meyer, M.T., Griffiths, H., Jonikas, M.C., Smith, A.M., Mccormick, A.J.","Introducing an algal carbon-concentrating mechanism into higher plants: Location and incorporation of key components",2015,"Plant Biotechnology Journal",,,,"","",,,10.1111/pbi.12497,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946430767&partnerID=40&md5=76b7d374adb4c00a01f25be7a3a79400",Article in Press,Scopus,2-s2.0-84946430767
"Terashima, M., Freeman, E.S., Jinkerson, R.E., Jonikas, M.C.","A fluorescence-activated cell sorting-based strategy for rapid isolation of high-lipid Chlamydomonas mutants",2015,"Plant Journal","81","1",,"147","159",,5,10.1111/tpj.12682,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84920160432&partnerID=40&md5=90694834d5ce8380058ad78cbf8aeda8",Article,Scopus,2-s2.0-84920160432
"Jinkerson, R.E., Jonikas, M.C.","Molecular techniques to interrogate and edit the Chlamydomonas nuclear genome",2015,"Plant Journal","82","3",,"393","412",,5,10.1111/tpj.12801,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929048842&partnerID=40&md5=aecd01994fe23a4dc5a92dfdefc9da06",Article,Scopus,2-s2.0-84929048842
"Lia, X., Umenb, J.G., Jonikas, M.C.","Waking sleeping algal cells",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","44",,"15610","15611",,,10.1073/pnas.1418295111,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84914695672&partnerID=40&md5=0910fbf4cd62cc9b081ba0196531ba6f",Note,Scopus,2-s2.0-84914695672
"Avasthi, P., Onishi, M., Karpiak, J., Yamamoto, R., Mackinder, L., Jonikas, MartinC., Sale, WinfieldS., Shoichet, B., Pringle, JohnR., Marshall, WallaceF.","Actin Is Required for IFT Regulation in Chlamydomonas reinhardtii",2014,"Current Biology",,,,"","",,2,10.1016/j.cub.2014.07.038,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906030694&partnerID=40&md5=c321fe9822ace09766b35078d1a53d70",Article in Press,Scopus,2-s2.0-84906030694
"Zhang, R., Patena, W., Armbruster, U., Gang, S.S., Blum, S.R., Jonikas, M.C.","High-throughput genotyping of green algal mutants reveals random distribution of mutagenic insertion sites and endonucleolytic cleavage of transforming DNA",2014,"Plant Cell","26","4",,"1398","1409",,16,10.1105/tpc.114.124099,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901447887&partnerID=40&md5=5a7d540c5b13039950d0b1e16aa8be8e",Article,Scopus,2-s2.0-84901447887
"Avasthi, P., Onishi, M., Karpiak, J., Yamamoto, R., Mackinder, L., Jonikas, M.C., Sale, W.S., Shoichet, B., Pringle, J.R., Marshall, W.F.","Actin is required for IFT regulation in chlamydomonas reinhardtii",2014,"Current Biology","24","17",,"2025","2032",,,10.1016/j.cub.2014.07.038,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907968286&partnerID=40&md5=629224af75961b7876e4181f89491f1c",Article,Scopus,2-s2.0-84907968286
"Yang, W., Catalanotti, C., D’adamo, S., Wittkopp, T.M., Ingram-Smith, C.J., Mackinder, L., Miller, T.E., Heuberger, A.L., Peers, G., Smith, K.S., Jonikas, M.C., Grossman, A.R., Posewitz, M.C.","Alternative acetate production pathways in chlamydomonas reinhardtii during dark anoxia and the dominant role of chloroplasts in fermentative acetate production",2014,"Plant Cell","26","11",,"4499","4518",,5,10.1105/tpc.114.129965,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84919816924&partnerID=40&md5=4fd0f291cb21b45a38cc86fffefec729",Article,Scopus,2-s2.0-84919816924
"Vembar, S.S., Jonikas, M.C., Hendershot, L.M., Weissman, J.S., Brodsky, J.L.","J domain co-chaperone specificity defines the role of BiP during protein translocation",2010,"Journal of Biological Chemistry","285","29",,"22484","22494",,22,10.1074/jbc.M110.102186,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77954604855&partnerID=40&md5=882e1f91b1a9de56435e2e82fb7942f7",Article,Scopus,2-s2.0-77954604855
"Battle, A., Jonikas, M.C., Walter, P., Weissman, J.S., Koller, D.","Automated identification of pathways from quantitative genetic interaction data",2010,"Molecular Systems Biology","6",, 379,"","",,48,10.1038/msb.2010.27,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77953245945&partnerID=40&md5=ebac801461304b5d0480c9ddb9fc0935",Article,Scopus,2-s2.0-77953245945
"Jonikas, M.C., Collins, S.R., Denic, V., Oh, E., Quan, E.M., Schmid, V., Weibezahn, J., Schwappach, B., Walter, P., Weissman, J.S., Schuldiner, M.","Comprehensive characterization of genes required for protein folding in the endoplasmic reticulum",2009,"Science","323","5922",,"1693","1697",,227,10.1126/science.1167983,"http://www.scopus.com/inward/record.url?eid=2-s2.0-63449128473&partnerID=40&md5=858fdc71aca70e90dc163c4a21038ac6",Article,Scopus,2-s2.0-63449128473
"Haass, F.A., Jonikas, M., Walter, P., Weissman, J.S., Jan, Y.-N., Jan, L.Y., Schuldiner, M.","Identification of yeast proteins necessary for cell-surface function of a potassium channel",2007,"Proceedings of the National Academy of Sciences of the United States of America","104","46",,"18079","18084",,24,10.1073/pnas.0708765104,"http://www.scopus.com/inward/record.url?eid=2-s2.0-36749064494&partnerID=40&md5=b3ba7f78e78fe3dd0b69daf45fe89c6c",Article,Scopus,2-s2.0-36749064494
