Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Muñoz, A., Chu, M., Marris, P.I., Sagaram, U.S., Kaur, J., Shah, D.M., Read, N.D.","Specific domains of plant defensins differentially disrupt colony initiation, cell fusion and calcium homeostasis in Neurospora crassa",2014,"Molecular Microbiology","92","6",,"1357","1374",,6,10.1111/mmi.12634,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902117889&partnerID=40&md5=60b2de16fe4ca9e18c345ebf00ba7377",Article,Scopus,2-s2.0-84902117889
"Sagaram, U.S., El-Mounadi, K., Buchko, G.W., Berg, H.R., Kaur, J., Pandurangi, R.S., Smith, T.J., Shah, D.M.","Structural and functional studies of a phosphatidic acid-binding antifungal plant defensin MtDef4: Identification of an RGFRRR motif governing fungal cell entry",2013,"PLoS ONE","8","12", e82485,"","",,10,10.1371/journal.pone.0082485,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891754133&partnerID=40&md5=f77d4731ca28ea8a0dcf5c9fe760b44f",Article,Scopus,2-s2.0-84891754133
"Allen, A., Islamovic, E., Kaur, J., Gold, S., Shah, D., Smith, T.J.","The virally encoded killer proteins from Ustilago maydis",2013,"Fungal Biology Reviews","26","4",,"166","173",,2,10.1016/j.fbr.2012.10.001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84872938355&partnerID=40&md5=fc6810f9799d2142515fd32fb9be7e13",Review,Scopus,2-s2.0-84872938355
"Kaur, J., Thokala, M., Robert-Seilaniantz, A., Zhao, P., Peyret, H., Berg, H., Pandey, S., Jones, J., Shah, D.","Subcellular targeting of an evolutionarily conserved plant defensin MtDef4.2 determines the outcome of plant-pathogen interaction in transgenic Arabidopsis",2012,"Molecular Plant Pathology","13","9",,"1032","1046",,8,10.1111/j.1364-3703.2012.00813.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84867994597&partnerID=40&md5=7474a016472fa1dd5d723905a9bad363",Article,Scopus,2-s2.0-84867994597
"Sagaram, U.S., Kaur, J., Shah, D.","Antifungal plant defensins: Structure-activity relationships, modes of action, and biotech applications",2012,"ACS Symposium Series","1095",,,"317","336",,1,10.1021/bk-2012-1095.ch015,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84905584039&partnerID=40&md5=c0e7a4d677b8176b0dd203de3a9b6de4",Conference Paper,Scopus,2-s2.0-84905584039
"Kaur, J., Sagaram, U.S., Shah, D.","Can plant defensins be used to engineer durable commercially useful fungal resistance in crop plants?",2011,"Fungal Biology Reviews","25","3",,"128","135",,10,10.1016/j.fbr.2011.07.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80052279915&partnerID=40&md5=cf00e75ce7bc64d0b46ed4b2ac322aa4",Review,Scopus,2-s2.0-80052279915
"Allen, A., Islamovic, E., Kaur, J., Gold, S., Shah, D., Smith, T.J.","Transgenic maize plants expressing the Totivirus antifungal protein, KP4, are highly resistant to corn smut",2011,"Plant Biotechnology Journal","9","8",,"857","864",,8,10.1111/j.1467-7652.2011.00590.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80052543303&partnerID=40&md5=7e8933bf0ef13acdaf0f266de8e3e507",Article,Scopus,2-s2.0-80052543303
"Sagaram, U.S., Pandurangi, R., Kaur, J., Smith, T.J., Shah, D.M.","Structure-activity determinants in antifungal plant defensins msdef1 and mtdef4 with different modes of action against fusarium graminearum",2011,"PLoS ONE","6","4", e18550,"","",,44,10.1371/journal.pone.0018550,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79954591422&partnerID=40&md5=be49da6670dd55a86a6e73506671e104",Article,Scopus,2-s2.0-79954591422
"Ramamoorthy, V., Cahoon, E.B., Thokala, M., Kaur, J., Li, J., Shah, D.M.","Sphingolipid C-9 methyltransferases are important for growth and virulence but not for sensitivity to antifungal plant defensins in Fusarium graminearum",2009,"Eukaryotic Cell","8","2",,"217","229",,22,10.1128/EC.00255-08,"http://www.scopus.com/inward/record.url?eid=2-s2.0-59249083889&partnerID=40&md5=189310f755ec9cbae8834ed295b65bb1",Article,Scopus,2-s2.0-59249083889
"Kaur, J., Saini, R.G., Kaur, L.","Gene effects for partial stripe rust resistance in six bread wheat cultivars",2003,"Cereal Research Communications","31","1-2",,"41","48",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0038661797&partnerID=40&md5=fc7d7c09bf9af68aad79f369a350bd95",Article,Scopus,2-s2.0-0038661797
