Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Ssekiwoko, F., Kiggundu, A., Tushemereirwe, W.K., Karamura, E., Kunert, K.","Xanthomonas vasicola pv. musacearum down-regulates selected defense genes during its interaction with both resistant and susceptible banana",2015,"Physiological and Molecular Plant Pathology","90",,,"21","26",,,10.1016/j.pmpp.2015.02.007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925340636&partnerID=40&md5=2d71e5dd54a28cac714df203cdcf3025",Article,Scopus,2-s2.0-84925340636
"Mahuku, G., Lockhart, B.E., Wanjala, B., Jones, M.W., Kimunye, J.N., Stewart, L.R., Cassone, B.J., Sevgan, S., Nyasani, J.O., Kusia, E., Kumar, P.L., Niblett, C.L., Kiggundu, A., Asea, G., Pappu, H.R., Wangai, A., Prasanna, B.M., Redinbaugh, M.G.","Maize lethal necrosis (MLN), an emerging threat to maize-based food security in sub-Saharan Africa",2015,"Phytopathology","105","7",,"956","965",,1,10.1094/PHYTO-12-14-0367-FI,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937948867&partnerID=40&md5=6c117b963b1a2e5e149921b00ff4ae7f",Article,Scopus,2-s2.0-84937948867
"Ssali, R.T., Kiggundu, A., Lorenzen, J., Karamura, E., Tushemereirwe, W., Viljoen, A.","Inheritance of resistance to Fusarium oxysporum f. sp. cubense race 1 in bananas",2013,"Euphytica","194","3",,"425","430",,2,10.1007/s10681-013-0971-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84887133563&partnerID=40&md5=c73a020f3c088061e52a98dfaf5bbd7f",Article,Scopus,2-s2.0-84887133563
"Nakacwa, R., Kiggundu, A., Talwana, H., Namaganda, J., Lilley, C., Tushemereirwe, W., Atkinson, H.","Nematode 18S rRNA gene is a reliable tool for environmental biosafety assessment of transgenic banana in confined field trials",2013,"Transgenic Research","22","5",,"1003","1010",,,10.1007/s11248-013-9712-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884586877&partnerID=40&md5=12e264ac401ff6646cd310708fc2a809",Article,Scopus,2-s2.0-84884586877
"Mumbanza, F.M., Kiggundu, A., Tusiime, G., Tushemereirwe, W.K., Niblett, C., Bailey, A.","In vitro antifungal activity of synthetic dsRNA molecules against two pathogens of banana, Fusarium oxysporum f. sp. cubense and Mycosphaerella fijiensis",2013,"Pest Management Science","69","10",,"1155","1162",,1,10.1002/ps.3480,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883655147&partnerID=40&md5=d4238dfe368d5d02db5f77ba58005a0c",Article,Scopus,2-s2.0-84883655147
"Tripathi, L., Tripathi, J.N., Tushemereirwe, W.K., Arinaitwe, G., Kiggundu, A.","Transgenic bananas with enhanced resistance against Xanthomonas wilt disease",2013,"Acta Horticulturae","974",,,"81","90",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878254062&partnerID=40&md5=2e6cebabae79d2f07201e9ea6ebe3d51",Conference Paper,Scopus,2-s2.0-84878254062
"Racovita, M., Obonyo, D.N., Abdallah, R., Anguzu, R., Bamwenda, G., Kiggundu, A., Maganga, H., Muchiri, N., Nzeduru, C., Otadoh, J., Rumjaun, A., Suleiman, I., Sunil, M., Tepfer, M., Timpo, S., van der Walt, W., Kaboré-Zoungrana, C., Nfor, L., Craig, W.","Experiences in sub-Saharan Africa with GM crop risk communication: outcome of a workshop.",2013,"GM crops & food","4","1",,"19","27",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84887025824&partnerID=40&md5=02c2c0e52e1fadc7f8b3b3d845f4c1e9",Review,Scopus,2-s2.0-84887025824
"Karamura, D., Kiggundu, A., Karamura, E.","The complementarity of farmers' and botanical descriptors of the East African highland banana cultivars (Musa, AAA)",2011,"Acta Horticulturae","897",,,"107","112",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80053365635&partnerID=40&md5=54531d3cf3c16a5dac4297d15d708606",Conference Paper,Scopus,2-s2.0-80053365635
"Shotkoski, F.A., Tripathi, L., Kiggundu, A., Arinaitwe, G., Tushemereirwe, W.","Role of biotechnology and transgenics in bananas (Musa spp.) in Africa",2010,"Acta Horticulturae","879",,,"275","280",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80053145323&partnerID=40&md5=5ae4b1ab71d409994aa72437e184dcf7",Conference Paper,Scopus,2-s2.0-80053145323
"Schlüter, U., Benchabane, M., Munger, A., Kiggundu, A., Vorster, J., Goulet, M.-C., Cloutier, C., Michaud, D.","Recombinant protease inhibitors for herbivore pest control: A multitrophic perspective",2010,"Journal of Experimental Botany","61","15",,"4169","4183",,44,10.1093/jxb/erq166,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77958056674&partnerID=40&md5=40c4bd81f08a931ee38aed7892b7536a",Article,Scopus,2-s2.0-77958056674
