Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Chikh-Ali, M., Rowley, J.S., Kuhl, J., Gray, S.M., Karasev, A.V.","Evidence of a Monogenic Nature of the Nz Gene Conferring Resistance Against Potato virus y Strain Z (PVYZ) in Potato",2014,"American Journal of Potato Research","91","6",,"649","654",,1,10.1007/s12230-014-9395-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84916934672&partnerID=40&md5=0da3e006a69dd66ac29c57abb2fd814a",Article,Scopus,2-s2.0-84916934672
"Ellison, M.T., Fischinger, F., Zemetra, R.S., Kuhl, J.C.","Use of pyrosequencing technology to genotype imidazolinone-tolerant wheat",2013,"Crop Science","53","5",,"2021","2027",,,10.2135/cropsci2013.01.0048,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881506369&partnerID=40&md5=b5726a263835b2e78a156f933e48d81f",Article,Scopus,2-s2.0-84881506369
"Payyavula, R.S., Navarre, D.A., Kuhl, J., Pantoja, A.","Developmental effects on phenolic, flavonol, anthocyanin, and carotenoid metabolites and gene expression in potatoes",2013,"Journal of Agricultural and Food Chemistry","61","30",,"7357","7365",,5,10.1021/jf401522k,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881083686&partnerID=40&md5=2284774dc52d264e858aa354b67a5df6",Article,Scopus,2-s2.0-84881083686
"Huang, W., Miao, M., Kud, J., Niu, X., Ouyang, B., Zhang, J., Ye, Z., Kuhl, J.C., Liu, Y., Xiao, F.","SlNAC1, a stress-related transcription factor, is fine-tuned on both the transcriptional and the post-translational level",2013,"New Phytologist","197","4",,"1214","1224",,6,10.1111/nph.12096,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873249768&partnerID=40&md5=954f80b123adaf2aed762a2ce6497542",Article,Scopus,2-s2.0-84873249768
"Takeoka, G.R., Dao, L., Harden, L., Pantoja, A., Kuhl, J.C.","Antioxidant activity, phenolic and anthocyanin contents of various rhubarb (Rheum spp.) varieties",2013,"International Journal of Food Science and Technology","48","1",,"172","178",,2,10.1111/j.1365-2621.2012.03174.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871301250&partnerID=40&md5=8ae20ef4f42704de0e47999f8fe9699d",Article,Scopus,2-s2.0-84871301250
"Du, X., Miao, M., Ma, X., Liu, Y., Kuhl, J.C., Martin, G.B., Xiao, F.","Plant programmed cell death caused by an autoactive form of Prf is suppressed by co-expression of the Prf LRR domain",2012,"Molecular Plant","5","5",,"1058","1067",,5,10.1093/mp/sss014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84866411400&partnerID=40&md5=a4cbd62be77b1a71e49992acb67cc56e",Article,Scopus,2-s2.0-84866411400
"Payyavula, R.S., Navarre, D.A., Kuhl, J.C., Pantoja, A., Pillai, S.S.","Differential effects of environment on potato phenylpropanoid and carotenoid expression",2012,"BMC Plant Biology","12",, 39,"","",,19,10.1186/1471-2229-12-39,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84858376032&partnerID=40&md5=1ec77990001219508964db0140c63968",Article,Scopus,2-s2.0-84858376032
"Chiapella, J.O., DeBoer, V.L., Amico, G.C., Kuhl, J.C.","A morphological and molecular study in the Deschampsia cespitosa complex (Poaceae; Poeae; Airinae) in northern North America",2011,"American Journal of Botany","98","8",,"1366","1380",,6,10.3732/ajb.1000495,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84858387237&partnerID=40&md5=04dff8a3a08c1a404858ddd534030fec",Article,Scopus,2-s2.0-84858387237
"Pantoja, A., Kuhl, J.C.","Morphologic variation in the USDA/ARS rhubarb germplasm collection",2010,"Plant Genetic Resources: Characterisation and Utilisation","8","1",,"35","41",,2,10.1017/S1479262109990116,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77954541210&partnerID=40&md5=4f298145a514dcdd82aed77c8dd13cf4",Article,Scopus,2-s2.0-77954541210
"Kuhl, J.C., Deboer, V.L.","Genetic diversity of rhubarb cultivars",2008,"Journal of the American Society for Horticultural Science","133","4",,"587","592",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-47749095925&partnerID=40&md5=730f4168429aeed616747cfabca13615",Article,Scopus,2-s2.0-47749095925
