Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Krishnamurthy, P., Tan, X.F., Lim, T.K., Lim, T.-M., Kumar, P.P., Loh, C.-S., Lin, Q.","Data in support of the proteomic analysis of plasma membrane and tonoplast from the leaves of mangrove plant Avicennia officinalis",2015,"Data in Brief","5",,,"646","652",,,10.1016/j.dib.2015.10.016,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946057223&partnerID=40&md5=674c8fb5877e23be4bd8848429868032",Article,Scopus,2-s2.0-84946057223
"Tan, W.-K., Lim, T.-K., Loh, C.-S., Kumar, P., Lin, Q.","Proteomic Characterisation of the salt gland- enriched tissues of the mangrove tree species avicennia officinalis",2015,"PLoS ONE","10","7", e0133386,"","",,,10.1371/journal.pone.0133386,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941368120&partnerID=40&md5=9baffe820e7734aeb6bc455732d4ef7a",Article,Scopus,2-s2.0-84941368120
"Yaish, M.W., Kumar, P.P.","Salt tolerance research in date palm tree (Phoenix dactylifera L.), past, present, and future perspectives",2015,"Frontiers in Plant Science","6","MAY", 348,"1","5",,1,10.3389/fpls.2015.00348,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934878586&partnerID=40&md5=6ad45b085f00d7f915819dc4b4bbecce",Article,Scopus,2-s2.0-84934878586
"Sherif, S., El-Sharkawy, I., Mathur, J., Ravindran, P., Kumar, P., Paliyath, G., Jayasankar, S.","A stable JAZ protein from peach mediates the transition from outcrossing to self-pollination",2015,"BMC Biology","13","1", 11,"","",,,10.1186/s12915-015-0124-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925132506&partnerID=40&md5=69829517fb5aa445d4bf4d807894aa55",Article,Scopus,2-s2.0-84925132506
"Bhaskar, R.V., Mohanty, B., Verma, V., Wijaya, E., Kumar, P.P.","A hormone-responsive C1-domain-containing protein At5g17960 mediates stress response in Arabidopsis thaliana",2015,"PLoS ONE","10","1", e0115418,"","",,,10.1371/journal.pone.0115418,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921058812&partnerID=40&md5=78dec857c59910a8734a7d047cf0daed",Article,Scopus,2-s2.0-84921058812
"Tan, W.-K., Ang, Y., Lim, T.-K., Lim, T.-M., Kumar, P., Loh, C.-S., Lin, Q.","Proteome profile of salt gland-rich epidermis extracted from a salt-tolerant tree species",2015,"Electrophoresis",,,,"","",,,10.1002/elps.201500023,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939630951&partnerID=40&md5=d014297bc1cb9ce2c183531cc440eb8f",Article in Press,Scopus,2-s2.0-84939630951
"Li, J., Zhao, Y., Chu, H., Wang, L., Fu, Y., Liu, P., Upadhyaya, N., Chen, C., Mou, T., Feng, Y., Kumar, P., Xu, J.","SHOEBOX Modulates Root Meristem Size in Rice through Dose-Dependent Effects of Gibberellins on Cell Elongation and Proliferation",2015,"PLoS Genetics","11","8", e1005464,"","",21,,10.1371/journal.pgen.1005464,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940754424&partnerID=40&md5=2fb089de52794269cc078254bc4b75fa",Article,Scopus,2-s2.0-84940754424
"Verma, V., Sivaraman, J., Srivastava, A.K., Sadanandom, A., Kumar, P.P.","Destabilization of interaction between cytokinin signaling intermediates AHP1 and ARR4 modulates Arabidopsis development",2015,"New Phytologist","206","2",,"726","737",,,10.1111/nph.13297,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925059069&partnerID=40&md5=b296090c32dd37319add2fd1dcdfa5de",Article,Scopus,2-s2.0-84925059069
"El-Sharkawy, I., Sherif, S.M., Jones, B., Mila, I., Kumar, P.P., Bouzayen, M., Jayasankar, S.","TIR1-like auxin-receptors are involved in the regulation of plum fruit development",2014,"Journal of Experimental Botany","65","18",,"5205","5215",,,10.1093/jxb/eru279,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929989637&partnerID=40&md5=b7e65f489b315ae9f4b51777f47c22b8",Article,Scopus,2-s2.0-84929989637
"El-Sharkawy, I., Sherif, S., El Kayal, W., Mahboob, A., Abubaker, K., Ravindran, P., Jyothi-Prakash, P.A., Kumar, P.P., Jayasankar, S.","Characterization of gibberellin-signalling elements during plum fruit ontogeny defines the essentiality of gibberellin in fruit development",2014,"Plant Molecular Biology","84","4-5",,"399","413",,3,10.1007/s11103-013-0139-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893722031&partnerID=40&md5=1773394979559f2819ceff430c865691",Article,Scopus,2-s2.0-84893722031
