Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Yan, S., Liang, Y., Zhang, J., Chen, Z., Liu, C.-M.","Autoxidated linolenic acid inhibits aflatoxin biosynthesis in Aspergillus flavus via oxylipin species",2015,"Fungal Genetics and Biology","81",,,"229","237",,1,10.1016/j.fgb.2014.11.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937818292&partnerID=40&md5=225e0ada45b1db89d48f8390d505d978",Article,Scopus,2-s2.0-84937818292
"Li, C., Liu, C., Li, Y., Zhu, X., Wang, Z.","Facile synthesis of a pyrrole-fused dibenzo[a,e]pentalene and its application as a new extended, ladder-type fused aromatic system",2015,"Chemical Communications","51","4",,"693","696",,1,10.1039/c4cc07721k,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84918502542&partnerID=40&md5=e147f64dc0716d8c6d7c75952159a2f7",Article,Scopus,2-s2.0-84918502542
"El-Shabrawi, H.M., Asker, M., Aly, U.I., Ghareeb, H., Gabr, A.M.M., Hanafy, M.S., Liu, C.M.","In vitro functional analysis of synthetic Cupep-1 and Cupep-2 peptides from phloem sap of Chinese long cucumber",2015,"Plant Tissue Culture and Biotechnology","25","1",,"71","85",,,10.3329/ptcb.v25i1.24127,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84936998796&partnerID=40&md5=652b790764bfd196fb157ba3008d506d",Article,Scopus,2-s2.0-84936998796
"Liu, C.-M.","AUXIN BINDING PROTEIN 1 (ABP1): A matter of fact",2015,"Journal of Integrative Plant Biology","57","3",,"234","235",,2,10.1111/jipb.12339,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923847165&partnerID=40&md5=905ea7f4a8d6d94283777e4c4fc49f2c",Note,Scopus,2-s2.0-84923847165
"Xu, T.-T., Ren, S.-C., Song, X.-F., Liu, C.-M.","CLE19 expressed in the embryo regulates both cotyledon establishment and endosperm development in Arabidopsis",2015,"Journal of Experimental Botany","66","17",,"5217","5227",,3,10.1093/jxb/erv293,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939600780&partnerID=40&md5=32c9852ce7824922bd408e7f82522121",Article,Scopus,2-s2.0-84939600780
"Liu, C., Xiao, C., Li, Y., Hu, W., Li, Z., Wang, Z.","High performance, air stable n-type single crystal transistors based on core-tetrachlorinated perylene diimides",2014,"Chemical Communications","50","83",,"12462","12464",,7,10.1039/c4cc05896h,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907841935&partnerID=40&md5=3ae237a5bf848f048df97de304b1eb05",Article,Scopus,2-s2.0-84907841935
"Sun, K., Xiao, C., Liu, C., Fu, W., Wang, Z., Li, Z.","Thermally sensitive self-assembly of glucose-functionalized tetrachloro-perylene bisimides: From twisted ribbons to microplates",2014,"Langmuir","30","37",,"11040","11045",,1,10.1021/la502532g,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928553392&partnerID=40&md5=a8fa86eab51062f407b2e0a188eba073",Article,Scopus,2-s2.0-84928553392
"Lu, X., Zhang, D., Li, S., Su, Y., Liang, Q., Meng, H., Shen, S., Fan, Y., Liu, C., Zhang, C.","FtsHi4 is essential for embryogenesis due to its influence on chloroplast development in Arabidopsis",2014,"PLoS ONE","9","6", e99741,"","",,,10.1371/journal.pone.0099741,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84903525366&partnerID=40&md5=550ac7310be26cd0e286ee7bbc36a8cc",Article,Scopus,2-s2.0-84903525366
"Zhang, Z., Song, Y., Liu, C.-M., Thomma, B.P.H.J.","Mutational analysis of the Ve1 immune receptor that mediates Verticillium resistance in tomato",2014,"PLoS ONE","9","6", e99511,"","",,2,10.1371/journal.pone.0099511,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902687767&partnerID=40&md5=673b9202b53bfe4a56ca1b82ce8d3ab7",Article,Scopus,2-s2.0-84902687767
"Zhao, Y., Xu, T., Shen, C.-Y., Xu, G.-H., Chen, S.-X., Song, L.-Z., Li, M.-J., Wang, L.-L., Zhu, Y., Lv, W.-T., Gong, Z.-Z., Liu, C.-M., Deng, X.","Identification of a retroelement from the resurrection plant Boea hygrometrica that confers osmotic and alkaline tolerance in Arabidopsis thaliana",2014,"PLoS ONE","9","5", e98098,"","",,2,10.1371/journal.pone.0098098,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901324736&partnerID=40&md5=eb982ea5737f6a12136a2f694cfe1104",Article,Scopus,2-s2.0-84901324736
