Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Long, B.M., Bahar, N.H.A., Atkin, O.K.","Contributions of photosynthetic and non-photosynthetic cell types to leaf respiration in Vicia fabaL. and their responses to growth temperature",2015,"Plant, Cell and Environment","38","11",,"2263","2276",,,10.1111/pce.12544,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84945443044&partnerID=40&md5=3a6eb0877c49b81cd027e6232761fc16",Article,Scopus,2-s2.0-84945443044
"Whitehead, L., Long, B.M., Dean Price, G., Badger, M.R.","Comparing the in vivo function of α-carboxysomes and β-carboxysomes in two model cyanobacteria",2014,"Plant Physiology","165","1",,"398","411",,6,10.1104/pp.114.237941,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899788379&partnerID=40&md5=ea9252e615a6d916b644181869c2aed3",Article,Scopus,2-s2.0-84899788379
"De Araujo, C., Arefeen, D., Tadesse, Y., Long, B.M., Price, G.D., Rowlett, R.S., Kimber, M.S., Espie, G.S.","Identification and characterization of a carboxysomal γ-carbonic anhydrase from the cyanobacterium Nostoc sp. PCC 7120",2014,"Photosynthesis Research","121","2-3",,"135","150",,2,10.1007/s11120-014-0018-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904747085&partnerID=40&md5=6ed9319502fcded8fa1f2603b268986e",Conference Paper,Scopus,2-s2.0-84904747085
"Rae, B.D., Long, B.M., Badger, M.R., Price, G.D.","Functions, compositions, and evolution of the two types of carboxysomes: Polyhedral microcompartments that facilitate CO2 fixation in cyanobacteria and some proteobacteria",2013,"Microbiology and Molecular Biology Reviews","77","3",,"357","379",,38,10.1128/MMBR.00061-12,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884528591&partnerID=40&md5=f412b437b38cfd4b5aaf1ee67948681d",Review,Scopus,2-s2.0-84884528591
"Rae, B.D., Long, B.M., Whitehead, L.F., Förster, B., Badger, M.R., Price, G.D.","Cyanobacterial carboxysomes: Microcompartments that facilitate CO 2 fixation",2013,"Journal of Molecular Microbiology and Biotechnology","23","4-5",,"300","307",,11,10.1159/000351342,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881504287&partnerID=40&md5=fb52c8bfb4f2ac7d936b59c8a6b13466",Article,Scopus,2-s2.0-84881504287
"Rae, B.D., Long, B.M., Badger, M.R., Price, G.D.","Structural determinants of the outer shell of β-carboxysomes in Synechococcus elongatus PCC 7942: Roles for CcmK2, K3-K4, CcmO, and CcmL",2012,"PLoS ONE","7","8", e43871,"","",,19,10.1371/journal.pone.0043871,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84865191456&partnerID=40&md5=cdb9254cc30ff2b781903d84d7596afc",Article,Scopus,2-s2.0-84865191456
"Jähnichen, S., Long, B.M., Petzoldt, T.","Microcystin production by Microcystis aeruginosa: Direct regulation by multiple environmental factors",2011,"Harmful Algae","12",,,"95","104",,10,10.1016/j.hal.2011.09.002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-81455158760&partnerID=40&md5=9d4a8a9c0f2240ad1e4cf682f4b06a8f",Article,Scopus,2-s2.0-81455158760
"Long, B.M., Rae, B.D., Badger, M.R., Price, G.D.","Over-expression of the β-carboxysomal CcmM protein in Synechococcus PCC7942 reveals a tight co-regulation of carboxysomal carbonic anhydrase (CcaA) and M58 content",2011,"Photosynthesis Research","109","1-3",,"33","45",,23,10.1007/s11120-011-9659-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84856947618&partnerID=40&md5=0f290fa48dc6b13e70812434af1f7c0b",Conference Paper,Scopus,2-s2.0-84856947618
"Long, B.M., Tucker, L., Badger, M.R., Dean Price, G.","Functional cyanobacterial β-carboxysomes have an absolute requirement for both long and short forms of the CcmM protein",2010,"Plant Physiology","153","1",,"285","293",,33,10.1104/pp.110.154948,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77951980276&partnerID=40&md5=d2198b1659a4040c2d6b4f283100dd7b",Article,Scopus,2-s2.0-77951980276
"Long, B.M.","Evidence that sulfur metabolism plays a role in microcystin production by Microcystis aeruginosa",2010,"Harmful Algae","9","1",,"74","81",,1,10.1016/j.hal.2009.08.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70449520179&partnerID=40&md5=c533d57020204232e9893a0d431add4f",Article,Scopus,2-s2.0-70449520179
