Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Virdi, K.S., Laurie, J.D., Xu, Y.-Z., Yu, J., Shao, M.-R., Sanchez, R., Kundariya, H., Wang, D., Riethoven, J.-J.M., Wamboldt, Y., Arrieta-Montiel, M.P., Shedge, V., Mackenzie, S.A.","Arabidopsis MSH1 mutation alters the epigenome and produces heritable changes in plant growth",2015,"Nature Communications","6",, 6386,"","",,1,10.1038/ncomms7386,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924072832&partnerID=40&md5=40edf5b1eb8a5121879b3f005d5e2946",Article,Scopus,2-s2.0-84924072832
"Yang, X., Kundariya, H., Xu, Y.-Z., Sandhu, A., Yu, J., Hutton, S.F., Zhang, M., Mackenzie, S.A.","Muts HOMOLOG1-derived epigenetic breeding potential in tomato",2015,"Plant Physiology","168","1",,"222","232",,,10.1104/pp.15.00075,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929470533&partnerID=40&md5=cb7bee9271c4cd92ea5ae2b2d08fa6d7",Article,Scopus,2-s2.0-84929470533
"De La Rosa Santamaria, R., Shao, M.-R., Wang, G., Nino-Liu, D.O., Kundariya, H., Wamboldt, Y., Dweikat, I., Mackenzie, S.A.","MSH1-induced non-genetic variation provides a source of phenotypic diversity in Sorghum bicolor",2014,"PLoS ONE","9","10", e108407,"","",,2,10.1371/journal.pone.0108407,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84920816651&partnerID=40&md5=4e23690ad36670109540c8adfa2ba6c1",Article,Scopus,2-s2.0-84920816651
"Block, A., Widhalm, J.R., Fatihi, A., Cahoon, R.E., Wamboldt, Y., Elowsky, C., Mackenzie, S.A., Cahoon, E.B., Chapple, C., Dudareva, N., Basset, G.J.","The origin and biosynthesis of the benzenoid moiety of ubiquinone (Coenzyme Q) in Arabidopsis",2014,"Plant Cell","26","5",,"1938","1948",,7,10.1105/tpc.114.125807,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84903581554&partnerID=40&md5=3a15852ff782749c2fd5d9d83659dc26",Article,Scopus,2-s2.0-84903581554
"Stern, D., Mackenzie, S.","The plant science decadal vision: Response to the Martin commentary",2013,"Plant Cell","25","12",,"4775","4776",,,10.1105/tpc.113.251291,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893078028&partnerID=40&md5=1ee02dd1d40b44b228da8151bae8744f",Note,Scopus,2-s2.0-84893078028
"Block, A., Fristedt, R., Rogers, S., Kumar, J., Barnes, B., Barnes, J., Elowsky, C.G., Wamboldt, Y., Mackenzie, S.A., Redding, K., Merchant, S.S., Basset, G.J.","Functional modeling identifies paralogous solanesyl-diphosphate synthases that assemble the side chain of plastoquinone-9 in plastids",2013,"Journal of Biological Chemistry","288","38",,"27594","27606",,5,10.1074/jbc.M113.492769,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884563750&partnerID=40&md5=2991a2c954eb837b1150a99f381e1ba2",Article,Scopus,2-s2.0-84884563750
"Forouzesh, E., Goel, A., MacKenzie, S.A., Turner, J.A.","In vivo extraction of Arabidopsis cell turgor pressure using nanoindentation in conjunction with finite element modeling",2013,"Plant Journal","73","3",,"509","520",,13,10.1111/tpj.12042,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875051000&partnerID=40&md5=b23e9d1ea7b31358489745f214d9d1d8",Article,Scopus,2-s2.0-84875051000
"Mackenzie, S.","Male sterility and hybrid seed production",2012,"Plant Biotechnology and Agriculture",,,,"185","194",,1,10.1016/B978-0-12-381466-1.00012-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874406166&partnerID=40&md5=5af51c2a27a22c9b339fca304278fd5f",Book Chapter,Scopus,2-s2.0-84874406166
"Sun, P., Arrieta-Montiel, M.P., Mackenzie, S.A.","Utility of in vitro culture to the study of plant mitochondrial genome configuration and its dynamic features",2012,"Theoretical and Applied Genetics","125","3",,"449","454",,,10.1007/s00122-012-1844-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84866852097&partnerID=40&md5=a6e6186c8d8a6d592e0c9d6487d89866",Article,Scopus,2-s2.0-84866852097
"Xu, Y.-Z., de la Rosa Santamaria, R., Virdi, K.S., Arrieta-Montiel, M.P., Razvi, F., Li, S., Ren, G., Yu, B., Alexander, D., Guo, L., Feng, X., Dweikat, I.M., Clemente, T.E., Mackenzie, S.A.","The chloroplast triggers developmental reprogramming when MutS HOMOLOG1 is suppressed in plants",2012,"Plant Physiology","159","2",,"710","720",,12,10.1104/pp.112.196055,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84861843772&partnerID=40&md5=d886ab5003dce30c4e9a838c207cc61a",Article,Scopus,2-s2.0-84861843772
