Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Manosalva, P., Manohar, M., Von Reuss, S.H., Chen, S., Koch, A., Kaplan, F., Choe, A., Micikas, R.J., Wang, X., Kogel, K.-H., Sternberg, P.W., Williamson, V.M., Schroeder, F.C., Klessig, D.F.","Conserved nematode signalling molecules elicit plant defenses and pathogen resistance",2015,"Nature Communications","6",, 7795,"","",,,10.1038/ncomms8795,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937932044&partnerID=40&md5=b2ea5e96b1e584d628678b3672e421dc",Article,Scopus,2-s2.0-84937932044
"Manohar, M., Tian, M., Moreau, M., Park, S.-W., Choi, H.W., Fei, Z., Friso, G., Asif, M., Manosalva, P., Von Dahl, C.C., Shi, K., Ma, S., Dinesh-Kumar, S.P., O'doherty, I., Schroeder, F.C., Van Wijk, K.J., Klessig, D.F.","Identification of multiple salicylic acid-binding proteins using two high throughput screens",2015,"Frontiers in Plant Science","5","JAN",,"","",14,5,10.3389/fpls.2014.00777,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922248106&partnerID=40&md5=c32c4504b7a397cc6453e0530282e125",Article,Scopus,2-s2.0-84922248106
"Manosalva, P., Manohar, M., Kogel, K.-H., Kang, H.-G., Klessig, D.F.","The GHKL ATPase MORC1 modulates species-specific plant immunity in solanaceae",2015,"Molecular Plant-Microbe Interactions","28","8",,"927","942",,,10.1094/MPMI-12-14-0401-R,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939130296&partnerID=40&md5=876ef01539412620de393b3a0f6ef629",Article,Scopus,2-s2.0-84939130296
"Tonnessen, B.W., Manosalva, P., Lang, J.M., Baraoidan, M., Bordeos, A., Mauleon, R., Oard, J., Hulbert, S., Leung, H., Leach, J.E.","Rice phenylalanine ammonia-lyase gene OsPAL4 is associated with broad spectrum disease resistance",2014,"Plant Molecular Biology","87","3",,"273","286",,1,10.1007/s11103-014-0275-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921718416&partnerID=40&md5=e6b3918281ce3c129376f0e12a2d1e47",Article,Scopus,2-s2.0-84921718416
"Kang, H.-G., Woo Choi, H., Von Einem, S., Manosalva, P., Ehlers, K., Liu, P.-P., Buxa, S.V., Moreau, M., Mang, H.-G., Kachroo, P., Kogel, K.-H., Klessig, D.F.","Erratum: CRT1 is a nuclear-translocated MORC endonuclease that participates in multiple levels of plant immunity (Nature Communications (2012) 3 (1297) DOI: 10.1038/ncomms2279)",2013,"Nature Communications","4",, 1546,"","",,,10.1038/ncomms2558,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874621247&partnerID=40&md5=c41f26f89a3fd09e71c0f3d5525769ce",Erratum,Scopus,2-s2.0-84874621247
"Kang, H.-G., Woo Choi, H., Von Einem, S., Manosalva, P., Ehlers, K., Liu, P.-P., Buxa, S.V., Moreau, M., Mang, H.-G., Kachroo, P., Kogel, K.-H., Klessig, D.F.","CRT1 is a nuclear-translocated MORC endonuclease that participates in multiple levels of plant immunity",2012,"Nature Communications","3",, 1297,"","",,8,10.1038/ncomms2279,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871729499&partnerID=40&md5=4cd0c5b3a5644cbfdd46b9cf0ecca271",Article,Scopus,2-s2.0-84871729499
"Manosalva, P.M., Bruce, M., Leach, J.E.","Rice 14-3-3 protein (GF14e) negatively affects cell death and disease resistance",2011,"Plant Journal","68","5",,"777","787",,16,10.1111/j.1365-313X.2011.04728.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-82355181084&partnerID=40&md5=f071b1055868f38a7fb813084dea4f78",Article,Scopus,2-s2.0-82355181084
"Manosalva, P.M., Park, S.-W., Forouhar, F., Tong, L., Fry, W.E., Klessig, D.F.","Methyl esterase 1 (StMES1) is required for systemic acquired resistance in potato",2010,"Molecular Plant-Microbe Interactions","23","9",,"1151","1163",,19,10.1094/MPMI-23-9-1151,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77955520686&partnerID=40&md5=6a72ac6317fd338193d53390b961f0ed",Article,Scopus,2-s2.0-77955520686
"Davidson, R.M., Manosalva, P.M., Snelling, J., Bruce, M., Leung, H., Leach, J.E.","Rice germin-like proteins: Allelic diversity and relationships to early stress responses",2010,"Rice","3","1",,"43","55",,8,10.1007/s12284-010-9038-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80055043254&partnerID=40&md5=90729039bab686c8c3f9e97d5b148e58",Article,Scopus,2-s2.0-80055043254
"Davidson, R.M., Reeves, P.A., Manosalva, P.M., Leach, J.E.","Germins: A diverse protein family important for crop improvement",2009,"Plant Science","177","6",,"499","510",,41,10.1016/j.plantsci.2009.08.012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70349759315&partnerID=40&md5=1de9f197bd09007ab2c9cac9cf50b83e",Review,Scopus,2-s2.0-70349759315
"Manosalva, P.M., Davidson, R.M., Liu, B., Zhu, X., Hulbert, S.H., Leung, H., Leach, J.E.","A Germin-like protein gene family functions as a complex quantitative trait locus conferring broad-spectrum disease resistance in rice",2009,"Plant Physiology","149","1",,"286","296",,94,10.1104/pp.108.128348,"http://www.scopus.com/inward/record.url?eid=2-s2.0-58449134895&partnerID=40&md5=365af0adf3e9099a5cf31c479d79b413",Article,Scopus,2-s2.0-58449134895
