Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Fernandez-Pozo, N., Rosli, H.G., Martin, G.B., Mueller, L.A.","The SGN VIGS tool: User-friendly software to design virus-induced gene silencing (VIGS) Constructs for functional genomics",2015,"Molecular Plant","8","3",,"486","488",,,10.1016/j.molp.2014.11.024,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925209133&partnerID=40&md5=bd1dd880fe50a10cdd8e5dbcc4efd2be",Letter,Scopus,2-s2.0-84925209133
"Nugent, S.L., Meng, F., Martin, G.B., Altier, C.","Acquisition of iron is required for growth of Salmonella spp. in tomato fruit",2015,"Applied and Environmental Microbiology","81","11",,"3663","3670",,,10.1128/AEM.04257-14,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930019835&partnerID=40&md5=e1f7be344d3f65749531d81752126898",Article,Scopus,2-s2.0-84930019835
"Boyle, P.C., Martin, G.B.","Greasy tactics in the plant-pathogen molecular arms race",2015,"Journal of Experimental Botany","66","6",,"1607","1616",,3,10.1093/jxb/erv059,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937974622&partnerID=40&md5=4dffb237cf3882dcef451de472c5a3a5",Review,Scopus,2-s2.0-84937974622
"Strickler, S.R., Bombarely, A., Munkvold, J.D., York, T., Menda, N., Martin, G.B., Mueller, L.A.","Comparative genomics and phylogenetic discordance of cultivated tomato and close wild relatives",2015,"PeerJ","2015","2", e793,"","",,,10.7717/peerj.793,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926433609&partnerID=40&md5=f42f390e475d0a49307f2d5011119ecc",Article,Scopus,2-s2.0-84926433609
"Rosli, H.G., Martin, G.B.","Functional genomics of tomato for the study of plant immunity",2015,"Briefings in Functional Genomics","14","4",,"291","301",,1,10.1093/bfgp/elv007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938071709&partnerID=40&md5=0ce876ad1a6debdee585ec08b87a9da1",Article,Scopus,2-s2.0-84938071709
"Mathieu, J., Schwizer, S., Martin, G.B.","Pto Kinase Binds Two Domains of AvrPtoB and Its Proximity to the Effector E3 Ligase Determines if It Evades Degradation and Activates Plant Immunity",2014,"PLoS Pathogens","10","7", e1004227,"","",,3,10.1371/journal.ppat.1004227,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84905408436&partnerID=40&md5=b93a4d0ad516f530283a95e94860be30",Article,Scopus,2-s2.0-84905408436
"Veluchamy, S., Hind, S.R., Dunham, D.M., Martin, G.B., Panthee, D.R.","Natural variation for responsiveness to flg22, flgII-28, and csp22 and Pseudomonas syringae pv. tomato in heirloom tomatoes",2014,"PLoS ONE","9","9", e106119,"","",,3,10.1371/journal.pone.0106119,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928166394&partnerID=40&md5=0d40166867e5f15ae4cbb90641827f07",Article,Scopus,2-s2.0-84928166394
"Rosli, H.G., Zheng, Y., Pombo, M.A., Zhong, S., Bombarely, A., Fei, Z., Collmer, A., Martin, G.B.","Transcriptomics-based screen for genes induced by flagellin and repressed by pathogen effectors identifies a cell wall-associated kinase involved in plant immunity",2013,"Genome Biology","14","12", R139,"","",,11,10.1186/gb-2013-14-12-r139,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890505536&partnerID=40&md5=cf1b1c4c0cd74577a4239a78b6aa2e6d",Article,Scopus,2-s2.0-84890505536
"Hassanien, S.E., Ramadan, A.M., Azeiz, A.Z.A., Mohammed, R.A., Hassan, S.M., Shokry, A.M., Atef, A., Kamal, K.B.H., Rabah, S., Sabir, J.S.M., Abuzinadah, O.A., El-Domyati, F.M., Martin, G.B., Bahieldin, A.","Thymoquinone causes multiple effects, including cell death, on dividing plant cells",2013,"Comptes Rendus - Biologies","336","11-12",,"546","556",,1,10.1016/j.crvi.2013.10.007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84889079139&partnerID=40&md5=5e82a48b44cbdbdbe9df7702b720a1b9",Article,Scopus,2-s2.0-84889079139
"Clarke, C.R., Chinchilla, D., Hind, S.R., Taguchi, F., Miki, R., Ichinose, Y., Martin, G.B., Leman, S., Felix, G., Vinatzer, B.A.","Allelic variation in two distinct Pseudomonas syringae flagellin epitopes modulates the strength of plant immune responses but not bacterial motility",2013,"New Phytologist","200","3",,"847","860",,24,10.1111/nph.12408,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885431170&partnerID=40&md5=7ac55bc45b05a323f196c544ef453f93",Article,Scopus,2-s2.0-84885431170
