Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Carlson, A.S., Dole, J.M., Matthysse, A.G., Hoffmann, W.A., Kornegay, J.L.","Bacteria species and solution pH effect postharvest quality of cut Zinnia elegans",2015,"Scientia Horticulturae","194",,,"71","78",,,10.1016/j.scienta.2015.07.044,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939428371&partnerID=40&md5=3d5444ac13ec034dec21028947beb89d",Article,Scopus,2-s2.0-84939428371
"Mathews, S.L., Smith, R.B., Matthysse, A.G.","A comparison of the retention of pathogenic Escherichia coliO157 by sprouts, leaves and fruits",2014,"Microbial Biotechnology","7","6",,"570","579",,,10.1111/1751-7915.12165,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84911877108&partnerID=40&md5=e27a1f623be8e99d940dd1a534b4005e",Article,Scopus,2-s2.0-84911877108
"MacGregor, B.J., Biddle, J.F., Harbort, C., Matthysse, A.G., Teske, A.","Sulfide oxidation, nitrate respiration, carbon acquisition, and electron transport pathways suggested by the draft genome of a single orange Guaymas Basin Beggiatoa (Cand. Maribeggiatoa) sp. filament",2013,"Marine Genomics","11",,,"53","65",,5,10.1016/j.margen.2013.08.001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885847502&partnerID=40&md5=315d315dfc7584fc13eea484b9ba1266",Article,Scopus,2-s2.0-84885847502
"MacGregor, B.J., Biddle, J.F., Siebert, J.R., Staunton, E., Hegg, E.L., Matthysse, A.G., Teske, A.","Why orange guaymas basin Beggiatoa spp. are orange: Single-filament-genome-enabled identification of an abundant octaheme cytochrome with hydroxylamine oxidase, hydrazine oxidase, and nitrite reductase activities",2013,"Applied and Environmental Microbiology","79","4",,"1183","1190",,9,10.1128/AEM.02538-12,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874692323&partnerID=40&md5=07a97542355eedca316e4a5ee115f93f",Article,Scopus,2-s2.0-84874692323
"Matthysse, A.G., Deora, R., Mishra, M., Torres, A.G.","Polysaccharides cellulose, poly-β-1,6-N-acetyl-D-glucosamine, and colanic acid are required for optimal binding of Escherichia coli O157:H7 strains to alfalfa sprouts and K-12 strains to plastic but not for binding to epithelial cells",2008,"Applied and Environmental Microbiology","74","8",,"2384","2390",,42,10.1128/AEM.01854-07,"http://www.scopus.com/inward/record.url?eid=2-s2.0-42349091211&partnerID=40&md5=bded3b9609910a6a7602786a9bc8fc70",Article,Scopus,2-s2.0-42349091211
"Matthysse, A.G., Jaeckel, P., Jeter, C.","attG and attC mutations of Agrobacterium tumefaciens are dominant negative mutations that block attachment and virulence",2008,"Canadian Journal of Microbiology","54","4",,"241","247",,7,10.1139/W08-005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-42149185013&partnerID=40&md5=0f958f251a405a31c8252327f364697f",Article,Scopus,2-s2.0-42149185013
"Torres, A.G., Jeter, C., Langley, W., Matthysse, A.G.","Differential binding of Escherichia coli O157:H7 to alfalfa, human epithelial cells, and plastic is mediated by a variety of surface structures",2005,"Applied and Environmental Microbiology","71","12",,"8008","8015",,55,10.1128/AEM.71.12.8008-8015.2005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-29144536839&partnerID=40&md5=db9bfd5484f15c1976172954920d8312",Article,Scopus,2-s2.0-29144536839
"Jeter, C., Matthysse, A.G.","Characterization of the binding of diarrheagenic strains of E. coli to plant surfaces and the role of curli in the interaction of the bacteria with alfalfa sprouts",2005,"Molecular Plant-Microbe Interactions","18","11",,"1235","1242",,44,10.1094/MPMI-18-1235,"http://www.scopus.com/inward/record.url?eid=2-s2.0-26944499382&partnerID=40&md5=d538712d19ecfc11f2d8b5bdf4c9bf19",Article,Scopus,2-s2.0-26944499382
"Matthysse, A.G., Marry, M., Krall, L., Kaye, M., Ramey, B.E., Fuqua, C., White, A.R.","The effect of cellulose overproduction on binding and biofilm formation on roots by Agrobacterium tumefaciens",2005,"Molecular Plant-Microbe Interactions","18","9",,"1002","1010",,45,10.1094/MPMI-18-1002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-23844484586&partnerID=40&md5=74987fdc3f16b3211117716ce6845a1b",Article,Scopus,2-s2.0-23844484586
"Ramey, B.E., Matthysse, A.G., Fuqua, C.","The FNR-type transcriptional regulator SinR controls maturation of Agrobacterium tumefaciens biofilms",2004,"Molecular Microbiology","52","5",,"1495","1511",,29,10.1111/j.1365-2958.2004.04079.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-2942566582&partnerID=40&md5=f336c2ca11781b0da0610af6fd38be8d",Article,Scopus,2-s2.0-2942566582
"Matthysse, A.G., Deschet, K., Williams, M., Marry, M., White, A.R., Smith, W.C.","A functional cellulose synthase from ascidian epidermis",2004,"Proceedings of the National Academy of Sciences of the United States of America","101","4",,"986","991",,58,10.1073/pnas.0303623101,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0742270968&partnerID=40&md5=1be32e2fd40dbe95d168f2dedee78964",Article,Scopus,2-s2.0-0742270968
"Zhu, Y., Nam, J., Carpita, N.C., Matthysse, A.G., Gelvin, S.B.","Agrobacterium-Mediated Root Transformation Is Inhibited by Mutation of an Arabidopsis Cellulose Synthase-Like Gene",2003,"Plant Physiology","133","3",,"1000","1010",,55,10.1104/pp.103.030726,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0344583764&partnerID=40&md5=0879e5455e61df5ea18961b7ab20b04c",Article,Scopus,2-s2.0-0344583764
"Rosen, R., Matthysse, A.G., Becher, D., Biran, D., Yura, T., Hecker, M., Ron, E.Z.","Proteome analysis of plant-induced proteins of Agrobacterium tumefaciens",2003,"FEMS Microbiology Ecology","44","3",,"355","360",,20,10.1016/S0168-6496(03)00077-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0038397440&partnerID=40&md5=b6a5b077bd60e5a8a07b1de3d4c89fac",Article,Scopus,2-s2.0-0038397440
"Zhu, Y., Nam, J., Humara, J.M., Mysore, K.S., Lee, L.-Y., Cao, H., Valentine, L., Li, J., Kaiser, A.D., Kopecky, A.L., Hwang, H.-H., Bhattacharjee, S., Rao, P.K., Tzfira, T., Rajagopal, J., Yi, H., Veena, Yadav, B.S., Crane, Y.M., Lin, K., Larcher, Y., Gelvin, M.J.K., Knue, M., Ramos, C., Zhao, X., Davis, S.J., Kim, S.-I., Ranjith-Kumar, C.T., Choi, Y.-J., Hallan, V.K., Chattopadhyay, S., Sui, X., Ziemienowicz, A., Matthysse, A.G., Citovsky, V., Hohn, B., Gelvin, S.B.","Identification of Arabidopsis rat mutants",2003,"Plant Physiology","132","2",,"494","505",,106,10.1104/pp.103.020420,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037783253&partnerID=40&md5=9f075acf2a55199911efbe6724a2b81f",Article,Scopus,2-s2.0-0037783253
"Bash, R., Matthysse, A.G.","Attachment to roots and virulence of a chvB mutant of Agrobacterium tumefaciens are temperature sensitive",2002,"Molecular Plant-Microbe Interactions","15","2",,"160","163",,10,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036187475&partnerID=40&md5=9b2533e6273d578452c1b0a7e092b633",Article,Scopus,2-s2.0-0036187475
"Fuqua, C., Matthysse, A.G.","Methods for studying bacterial biofilms associated with plants",2001,"Methods in Enzymology","337",,,"3","18",,7,10.1016/S0076-6879(01)37003-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034914846&partnerID=40&md5=3142e875800e742b7ac6ebdb2badc538",Article,Scopus,2-s2.0-0034914846
"Matthysse, A.G., Mcmahan, S.","The Effect of the Agrobacterium tumefaciens attR Mutation on Attachment and Root Colonization Differs between Legumes and Other Dicots",2001,"Applied and Environmental Microbiology","67","3",,"1070","1075",,14,10.1128/AEM.67.3.1070-1075.2001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035291172&partnerID=40&md5=f9f63f1db01dc36e6643ec55e7cb3dcf",Article,Scopus,2-s2.0-0035291172
"Matthysse, A.G., Yarnall, H., Boles, S.B., McMahan, S.","A region of the Agrobacterium tumefaciens chromosome containing genes required for virulence and attachment to host cells",2000,"Biochimica et Biophysica Acta - Gene Structure and Expression","1490","1-2",,"208","212",,34,10.1016/S0167-4781(99)00250-X,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033957659&partnerID=40&md5=65a47d11735cd11d2156dd94d6e5e944",Article,Scopus,2-s2.0-0033957659
"Nam, J., Mysore, K.S., Zheng, C., Knue, M.K., Matthysse, A.G., Gelvin, S.B.","Identification of T-DNA tagged Arabidopsis mutants that are resistant to transformation by Agrobacterium",1999,"Molecular and General Genetics","261","3",,"429","438",,138,10.1007/s004380050985,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033005219&partnerID=40&md5=387089a07df6779529b98c9f2c4ff5a2",Article,Scopus,2-s2.0-0033005219
"Matthysse, A.G., Mcmahan, S.","Root colonization by Agrobacteriurn tumefaciens is reduced in cel, attB, attD, and attR mutants",1998,"Applied and Environmental Microbiology","64","7",,"2341","2345",,55,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031595993&partnerID=40&md5=4bad41ffea96c12625a100353edd9a28",Article,Scopus,2-s2.0-0031595993
"Reuhs, B.L., Kim, J.S., Matthysse, A.G.","Attachment of Agrobacterium tumefaciens to carrot cells and Arabidopsis wound sites is correlated with the presence of a cell-associated, acidic polysaccharide",1997,"Journal of Bacteriology","179","17",,"5372","5379",,34,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030885611&partnerID=40&md5=15efd8a0a1efecb093689d4ca14b85e1",Article,Scopus,2-s2.0-0030885611
"Nam, J., Matthysse, A.G., Gelvin, S.B.","Differences in susceptibility of arabidopsis ecotypes to crown gall disease may result from a deficiency in T-DNA integration",1997,"Plant Cell","9","3",,"317","333",,99,10.1105/tpc.9.3.317,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031105076&partnerID=40&md5=8852e712f0bf5d8e26128dd7b00199ab",Article,Scopus,2-s2.0-0031105076
"Matthysse, A.G., Stretton, S., Dandie, C., McClure, N.C., Goodman, A.E.","Construction of GFP vectors for use in gram-negative bacteria other than Escherichia coli",1996,"FEMS Microbiology Letters","145","1",,"87","94",,91,10.1016/0378-1097(96)00392-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030589188&partnerID=40&md5=86b7dd8645f3ca2f9f15df48bbb55dde",Article,Scopus,2-s2.0-0030589188
"Matthysse, A.G., Yarnall, H.A., Young, N.","Requirement for genes with homology to ABC transport systems for attachment and virulence of Agrobacterium tumefaciens",1996,"Journal of Bacteriology","178","17",,"5302","5308",,74,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0029813129&partnerID=40&md5=8391ee4e1c7b776902f6900b7689b6fa",Article,Scopus,2-s2.0-0029813129
"Matthysse, A.G.","Observation and measurement of bacterial adhesion to plants",1995,"Methods in Enzymology","253",,,"189","206",,3,10.1016/S0076-6879(95)53019-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0029041830&partnerID=40&md5=c9b76ca6361631a6231dd6a1e80c2bf4",Article,Scopus,2-s2.0-0029041830
"Matthysse, A.G., Thomas, D.L., White, A.R.","Mechanism of cellulose synthesis in Agrobacterium tumefaciens",1995,"Journal of Bacteriology","177","4",,"1076","1081",,88,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028847509&partnerID=40&md5=fc95901f22ae99e7bf96c572467baf96",Article,Scopus,2-s2.0-0028847509
"Matthysse, A.G., White, S., Lightfoot, R.","Genes required for cellulose synthesis in Agrobacterium tumefaciens",1995,"Journal of Bacteriology","177","4",,"1069","1075",,117,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028814992&partnerID=40&md5=7249d27cd2193f776f78cce2895637f5",Article,Scopus,2-s2.0-0028814992
"Matthysse, A.G.","Conditioned medium promotes the attachment of Agrobacterium tumefaciens strain NT 1 to carrot cells",1994,"Protoplasma","183","1-4",,"131","136",,11,10.1007/BF01276821,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028188297&partnerID=40&md5=ea6980df53f35d21f510f590133f72db",Article,Scopus,2-s2.0-0028188297
"Wagner, V.T., Matthysse, A.G.","Involvement of a vitronectin-like protein in attachment of Agrobacterium tumefaciens to carrot suspension culture cells",1992,"Journal of Bacteriology","174","18",,"5999","6003",,46,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0026706361&partnerID=40&md5=4412368085d4037ef190a233109e4ee2",Note,Scopus,2-s2.0-0026706361
"Goldman, R.C., Capobianco, J.O., Doran, C.C., Matthysse, A.G.","Inhibition of lipopolysaccharide synthesis in Agrobacterium tumefaciens and Aeromonas salmonicida",1992,"Journal of General Microbiology","138","7",,"1527","1533",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0026707356&partnerID=40&md5=cb90180a513b00097ef765dd5d4c86d8",Article,Scopus,2-s2.0-0026707356
"Minnemeyer, S.L., Lightfoot, R., Matthysse, A.G.","A semiquantitative bioassay for relative virulence of Agrobacterium tumefaciens strains on Bryophyllum daigremontiana",1991,"Journal of Bacteriology","173","23",,"7723","7724",,11,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0025751620&partnerID=40&md5=9fa37313580726f1c7be548b3df01746",Note,Scopus,2-s2.0-0025751620
"Metts, J., West, J., Doares, S.H., Matthysse, A.G.","Characterization of three Agrobacterium tumefaciens avirulent mutants with chromosomal mutations that affect induction of vir genes",1991,"Journal of Bacteriology","173","3",,"1080","1087",,11,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0026096421&partnerID=40&md5=c9fbcffa093ddad1493b1222509746ee",Article,Scopus,2-s2.0-0026096421
"Robertson Crews, J.L., Colby, S., Matthysse, A.G.","Agrobacterium rhizogenes mutants that fail to bind to plant cells",1990,"Journal of Bacteriology","172","11",,"6182","6188",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0025166180&partnerID=40&md5=04257dc2cd2a5d31cfd363b34801cbfd",Article,Scopus,2-s2.0-0025166180
"Robinette, D., Matthysse, A.G.","Inhibition by Agrobacterium tumefaciens and Pseudomonas savastanoi of development of the hypersensitive response elicited by Pseudomonas syringae pv. phaseolicola",1990,"Journal of Bacteriology","172","10",,"5742","5749",,58,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0025080111&partnerID=40&md5=56772b6cbf7cbe80840b40a8769fd032",Article,Scopus,2-s2.0-0025080111
"Robertson, J.L., Holliday, T., Matthysse, A.G.","Mapping of Agrobacterium tumefaciens chromosomal genes affecting cellulose synthesis and bacterial attachment to host cells.",1988,"Journal of Bacteriology","170","3",,"1408","1411",,21,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0023975780&partnerID=40&md5=fd96cca314b2772c51bea6dbba713ed9",Article,Scopus,2-s2.0-0023975780
"Deasey, M.C., Matthysse, A.G.","Characterization, growth, and scanning electron microscopy of mutants of Pseudomonas syringae pv. phaseolicola which fail to elicit a hypersensitive response in host and non-host plants",1988,"Physiological and Molecular Plant Pathology","33","3",,"443","457",,,10.1016/0885-5765(88)90010-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-45449124124&partnerID=40&md5=2e723690cdebf8b297a105172d2d89ad",Article,Scopus,2-s2.0-45449124124
"Matthysse, A.G.","A method for the bacterial elicitation of a hypersensitive-like response in plant cell cultures",1987,"Journal of Microbiological Methods","7","4-5",,"183","191",,,10.1016/0167-7012(87)90039-X,"http://www.scopus.com/inward/record.url?eid=2-s2.0-45949118747&partnerID=40&md5=45186359ff129e8cf2a381cf770732a3",Article,Scopus,2-s2.0-45949118747
"Matthysse, A.G.","Characterization of nonattaching mutants of Agrobacterium tumefaciens",1987,"Journal of Bacteriology","169","1",,"313","323",,65,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0023089392&partnerID=40&md5=4188750ce9c686116047081aabfc9b2c",Article,Scopus,2-s2.0-0023089392
"Matthysse, A.G.","Initial interactions of Agrobacterium tumefaciens with plant host cells.",1986,"Critical reviews in microbiology","13","3",,"281","307",,39,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0022522358&partnerID=40&md5=8d2b6321a950e67fa10e8c2cf6767015",Review,Scopus,2-s2.0-0022522358
"Sykes, L.C., Matthysse, A.G.","Time required for tumor induction by Agrobacterium tumefaciens",1986,"Applied and Environmental Microbiology","52","3",,"597","598",,13,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0022532936&partnerID=40&md5=4214c93b93f74271233f81a391a344c0",Article,Scopus,2-s2.0-0022532936
"Matthysse, A.G.","Role of bacterial cellulose fibrils in Agrobacterium tumefaciens infection",1983,"Journal of Bacteriology","154","2",,"906","915",,84,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0020577275&partnerID=40&md5=6c8e1384ee8bfda54642c9948611d374",Article,Scopus,2-s2.0-0020577275
"Matthysse, A.G., Gurlitz, R.H.G.","Plant cell range for attachment of Agrobacterium tumefaciens to tissue culture cells",1982,"Physiological Plant Pathology","21","3",,"381","387",,12,10.1016/0048-4059(82)90073-X,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0001561751&partnerID=40&md5=841c5d0f3442ba753176dc29c94763ac",Article,Scopus,2-s2.0-0001561751
