Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Szövényi, P., Perroud, P.-F., Symeonidi, A., Stevenson, S., Quatrano, R.S., Rensing, S.A., Cuming, A.C., Mcdaniel, S.F.","De novo assembly and comparative analysis of the Ceratodon purpureus transcriptome",2015,"Molecular Ecology Resources","15","1",,"203","215",,2,10.1111/1755-0998.12284,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923113519&partnerID=40&md5=e0d0b3408f0a755c8e12d4554f09ac76",Article,Scopus,2-s2.0-84923113519
"Magdy, M., Werner, O., Mcdaniel, S.F., Goffinet, B., Ros, R.M.","Genomic scanning using AFLP to detect loci under selection in the moss Funaria hygrometrica along a climate gradient in the Sierra Nevada Mountains, Spain",2015,"Plant Biology",,,,"","",,,10.1111/plb.12381,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941248169&partnerID=40&md5=0cfae52f963a99be7bc46cbaf7152150",Article in Press,Scopus,2-s2.0-84941248169
"Neubig, K.M., Blanchard, O.J., Whitten, W.M., Mcdaniel, S.F.","Molecular phylogenetics of Kosteletzkya (Malvaceae, Hibisceae) reveals multiple independent and successive polyploid speciation events",2015,"Botanical Journal of the Linnean Society","179","3",,"421","435",,,10.1111/boj.12330,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84944150778&partnerID=40&md5=28399a73e5ba859b3a93d53f95d760bf",Article,Scopus,2-s2.0-84944150778
"Beike, A.K., Von Stackelberg, M., Schallenberg-Rüdinger, M., Hanke, S.T., Follo, M., Quandt, D., McDaniel, S.F., Reski, R., Tan, B.C., Rensing, S.A.","Molecular evidence for convergent evolution and allopolyploid speciation within the Physcomitrium-Physcomitrella species complex",2014,"BMC Evolutionary Biology","14","1", 158,"","",,2,10.1186/1471-2148-14-158,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904083562&partnerID=40&md5=427a674a55d15f1ce275362fa2f0fa07",Article,Scopus,2-s2.0-84904083562
"Norrell, T.E., Jones, K.S., Payton, A.C., McDaniel, S.F.","Meiotic sex ratio variation in natural populations of ceratodon purpureus (Ditrichaceae)",2014,"American Journal of Botany","101","9",,"1572","1576",,1,10.3732/ajb.1400156,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907916601&partnerID=40&md5=9b49eb77cc140db353083d75671f4b04",Article,Scopus,2-s2.0-84907916601
"Szövényi, P., Devos, N., Weston, D.J., Yang, X., Hock, Z., Shaw, J.A., Shimizu, K.K., McDaniel, S.F., Wagner, A.","Efficient purging of deleteriousmutations in plants with haploid selfing",2014,"Genome Biology and Evolution","6","5",,"1238","1252",,4,10.1093/gbe/evu099,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902995537&partnerID=40&md5=fe05b74f50f40a5bb94e0f86f261099d",Article,Scopus,2-s2.0-84902995537
"Mcdaniel, S.F., Neubig, K.M., Payton, A.C., Quatrano, R.S., Cove, D.J.","Recent Gene-Capture On The Uv Sex Chromosomes Of The Moss Ceratodon Purpureus",2013,"Evolution","67","10",,"2811","2822",,8,10.1111/evo.12165,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885060089&partnerID=40&md5=d6b6f9ae5e101de9eb319fd5d3362a86",Article,Scopus,2-s2.0-84885060089
"Mcdaniel, S.F., Atwood, J., Burleigh, J.G.","Recurrent evolution of dioecy in bryophytes",2013,"Evolution","67","2",,"567","572",,12,10.1111/j.1558-5646.2012.01808.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873056867&partnerID=40&md5=8bf096c6156108e8899e2d486c1f0ccb",Article,Scopus,2-s2.0-84873056867
"Stech, M., McDaniel, S.F., Hernández-Maqueda, R., Ros, R.M., Werner, O., Muñoz, J., Quandt, D.","Phylogeny of haplolepideous mosses - Challenges and perspectives",2012,"Journal of Bryology","34","3",,"173","186",,12,10.1179/1743282012Y.0000000014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84866520547&partnerID=40&md5=d3d325fc1b5a61ceb50786d0195b45be",Article,Scopus,2-s2.0-84866520547
"McDaniel, S.F., Perroud, P.-F.","Invited perspective: Bryophytes as models for understanding the evolution of sexual systems",2012,"Bryologist","115","1",,"1","11",,3,10.1639/0007-2745-115.1.1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860256292&partnerID=40&md5=47b2258bb11fc3633857364deaf80634",Review,Scopus,2-s2.0-84860256292
