Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"McAllister, C., Blaine, R., Kron, P., Bennett, B., Garrett, H., Kidson, J., Matzenbacher, B., Glotzbach, A., Miller, A.J.","Environmental correlates of cytotype distribution in andropogon gerardii (Poaceae)",2015,"American Journal of Botany","102","1",,"92","102",,1,10.3732/ajb.1400296,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921272900&partnerID=40&md5=2222b2adf0a6e8ae0b033793e1e444f9",Article,Scopus,2-s2.0-84921272900
"Miller, A.J., Matasci, N., Schwaninger, H., Aradhya, M.K., Prins, B., Zhong, G.-Y., Simon, C., Buckler, E.S., Myles, S.","Erratum: Vitis phylogenomics: Hybridization intensities from a SNP array outperform genotype calls (PLoS ONE (2014) 9:1)",2014,"PLoS ONE","9","1",,"","",,,10.1371/annotation/283e5eba-a65d-42a3-a430-6ca0be86147c,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897013036&partnerID=40&md5=2aa7ab71850583d0112fc25a8e4bfd24",Erratum,Scopus,2-s2.0-84897013036
"Albrecht, M.A., Broecker, L.A., Romero-Hernandez, C., Miller, A.J.","Conservation genetics of edaphic endemics in naturally isolated habitats: A case study with Geocarpon minimum (Caryophyllaceae)",2014,"Journal of the Torrey Botanical Society","141","1",,"1","13",,,10.3159/TORREY-D-13-00052.1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84900557356&partnerID=40&md5=5a54f2c91d762229616fadb12b24b78a",Article,Scopus,2-s2.0-84900557356
"Gross, B.L., Kellogg, E.A., Miller, A.J.","Speaking of food: Connecting basic and applied plant science",2014,"American Journal of Botany","101","10",,"1597","1600",,1,10.3732/ajb.1400409,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907988185&partnerID=40&md5=71094c1c3f30d0f3a5e7b5cbff73a993",Article,Scopus,2-s2.0-84907988185
"Miller, A.J., Matasci, N., Schwaninger, H., Aradhya, M.K., Prins, B., Zhong, G.-Y., Simon, C., Buckler, E.S., Myles, S.","Vitis phylogenomics: Hybridization intensities from a SNP array outperform genotype calls",2013,"PLoS ONE","8","11", e78680,"","",,3,10.1371/journal.pone.0078680,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893580899&partnerID=40&md5=f2992eb91da52836f8683d92683d9365",Article,Scopus,2-s2.0-84893580899
"Miller, A.","Out in the cold - How big and how old? Genetic fingerprinting reveals long-lived individuals withstand climatic oscillations in the arctic-alpine",2012,"Molecular Ecology","21","5",,"1036","1037",,,10.1111/j.1365-294X.2012.05467.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84857526679&partnerID=40&md5=50516a0cef1bc89ebf1d097faab3a720",Review,Scopus,2-s2.0-84857526679
"Grauke, L.J., Mendoza-Herrera, M.A., Miller, A.J., Wood, B.W.","Geographic patterns of genetic variation in native pecans",2011,"Tree Genetics and Genomes","7","5",,"917","932",,6,10.1007/s11295-011-0384-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80052717932&partnerID=40&md5=14735833d9d7ada323f6b25c6501edc9",Article,Scopus,2-s2.0-80052717932
"Miller, A.J., Gross, B.L.","From forest to field: Perennial fruit crop domestication",2011,"American Journal of Botany","98","9",,"1389","1414",,49,10.3732/ajb.1000522,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84857518353&partnerID=40&md5=d17179f71fbdbd136f8bf66a3800edd9",Review,Scopus,2-s2.0-84857518353
"Gunn, B.F., Aradhya, M., Salick, J.M., Miller, A.J., Yongping, Y., Lin, L., Xian, H.","Genetic variation in walnuts (Juglans regia and J. sigillata; Juglandaceae): Species distinctions, human impacts, and the conservation of agrobiodiversity in Yunnan, China",2010,"American Journal of Botany","97","4",,"660","671",,14,10.3732/ajb.0900114,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77950101055&partnerID=40&md5=9bd2efdb4d93b5aba60622626e06d498",Article,Scopus,2-s2.0-77950101055
"Sampliner, D., Miller, A.","Ethnobotany of horseradish (Armoracia rusticana, Brassicaceae) and its wild relatives (Armoracia spp.): Reproductive biology and local uses in their native ranges",2009,"Economic Botany","63","3",,"303","313",,9,10.1007/s12231-009-9088-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70350719378&partnerID=40&md5=ccfdf1d18c236cf8839bb994e77cd77e",Article,Scopus,2-s2.0-70350719378
"Miller, A.J.","Characterization of a domesticated tree lineage (Spondias purpurea, Anacardiaceae) based on nuclear and chloroplast sequence data",2008,"Journal of the Torrey Botanical Society","135","4",,"463","474",,2,10.3159/08-RA-020R.1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-58149386041&partnerID=40&md5=eaeffa31518f412885e17cbcc3e0a24e",Article,Scopus,2-s2.0-58149386041
"Yi, T., Miller, A.J., Wen, J.","Phylogeny of Rhus (Anacardiaceae) based on sequences of nuclear Nia-i3 intron and chloroplast trnC-trnD",2007,"Systematic Botany","32","2",,"379","391",,14,10.1600/036364407781179635,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34447299926&partnerID=40&md5=778c0a03ed1309c1ca5b8ac40c9ac494",Article,Scopus,2-s2.0-34447299926
"Miller, A.J., Knouft, J.H.","GIS-based characterization of the geographic distributions of wild and cultivated populations of the mesoamerican fruit tree Spondias purpurea (Anacardiaceae)",2006,"American Journal of Botany","93","12",,"1757","1767",,20,10.3732/ajb.93.12.1757,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34250788864&partnerID=40&md5=aa1ec33ee1150d1ad8120c956002a853",Article,Scopus,2-s2.0-34250788864
"Miller, A.J., Schaal, B.A.","Domestication and the distribution of genetic variation in wild and cultivated populations of the Mesoamerican fruit tree Spondias purpurea L. (Anacardiaceae)",2006,"Molecular Ecology","15","6",,"1467","1480",,71,10.1111/j.1365-294X.2006.02834.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33645857948&partnerID=40&md5=8d78804352ce1cfae4bc1afc6dd7d43e",Article,Scopus,2-s2.0-33645857948
"Miller, A., Schaal, B.","Domestication of a Mesoamerican cultivated fruit tree, Spondias purpurea",2005,"Proceedings of the National Academy of Sciences of the United States of America","102","36",,"12801","12806",,56,10.1073/pnas.0505447102,"http://www.scopus.com/inward/record.url?eid=2-s2.0-24644471848&partnerID=40&md5=1d1d8ae56c77eea98723b8dfb88e01f8",Article,Scopus,2-s2.0-24644471848
"Yi, T., Miller, A.J., Wen, J.","Phylogenetic and biogeographic diversification of Rhus (Anacardiaceae) in the Northern Hemisphere",2004,"Molecular Phylogenetics and Evolution","33","3",,"861","879",,39,10.1016/j.ympev.2004.07.006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-7444225822&partnerID=40&md5=bfacd6dea65508a9565f2b39e1657b74",Article,Scopus,2-s2.0-7444225822
