Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Mladenov, P., Finazzi, G., Bligny, R., Moyankova, D., Zasheva, D., Boisson, A.-M., Brugière, S., Krasteva, V., Alipieva, K., Simova, S., Tchorbadjieva, M., Goltsev, V., Ferro, M., Rolland, N., Djilianov, D.","In vivo spectroscopy and NMR metabolite fingerprinting approaches to connect the dynamics of photosynthetic and metabolic phenotypes in resurrection plant Haberlea rhodopensis during desiccation and recovery",2015,"Frontiers in Plant Science","6","JULY", 564,"1","14",,,10.3389/fpls.2015.00564,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937837386&partnerID=40&md5=f0138c7bb3041d9e91e920f0697e3fdd",Article,Scopus,2-s2.0-84937837386
"Georgieva, M., Moyankova, D., Djilianov, D., Uzunova, K., Miloshev, G.","Methanol extracts from the resurrection plant Haberlea rhodopensis ameliorate cellular vitality in chronologically ageing Saccharomyces cerevisiae cells",2015,"Biogerontology","16","4",,"461","472",,,10.1007/s10522-015-9566-z,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84933673988&partnerID=40&md5=7eb6c11820ded103c570c648a5e2a8ba",Article,Scopus,2-s2.0-84933673988
"Petrova, G., Moyankova, D., Nishii, K., Forrest, L., Tsiripidis, I., Drouzas, A.D., Djilianov, D., Möller, M.","The european paleoendemic haberlea rhodopensis (Gesneriaceae) has an oligocene origin and a pleistocene diversification and occurs in a long-persisting refugial area in southeastern europe",2015,"International Journal of Plant Sciences","176","6",,"499","514",,,10.1086/681990,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84936750537&partnerID=40&md5=61e072bdecc1e7b303aebe4ca33348c5",Article,Scopus,2-s2.0-84936750537
"Moyankova, D., Lyubenova, A., Slavov, S., Djilianov, D.","Extracts of the endemic resurrection plant Haberlea rhodopensis stimulate in vitro growth of various Phytophthora spp. pathogens",2014,"European Journal of Plant Pathology","138","1",,"149","155",,,10.1007/s10658-013-0315-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891557844&partnerID=40&md5=7164e233d525b8c6e60c3c8627d3083a",Article,Scopus,2-s2.0-84891557844
"Moyankova, D., Mladenov, P., Berkov, S., Peshev, D., Georgieva, D., Djilianov, D.","Metabolic profiling of the resurrection plant Haberlea rhodopensis during desiccation and recovery",2014,"Physiologia Plantarum","152","4",,"675","687",,4,10.1111/ppl.12212,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84911452507&partnerID=40&md5=3b6802f1f61e4bf0af0bc2a2565a59e2",Article,Scopus,2-s2.0-84911452507
"Petrova, G., Dzhambazova, T., Moyankova, D., Georgieva, D., Michova, A., Djilianov, D., Möller, M.","Morphological variation, genetic diversity and genome size of critically endangered Haberlea (Gesneriaceae) populations in Bulgaria do not support the recognition of two different species",2014,"Plant Systematics and Evolution","300","1",,"29","41",,4,10.1007/s00606-013-0857-z,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891663012&partnerID=40&md5=d8b4e9e77651f34d28540e23efe2254d",Article,Scopus,2-s2.0-84891663012
"Moyankova, D., Hinkov, A., Georgieva, D., Shishkov, S., Djilianov, D.","Inhibitory effect of extracts from haberlea rhodopensis Friv. Against herpes simplex virus",2014,"Comptes Rendus de L'Academie Bulgare des Sciences","67","10",,"1369","1376",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908432576&partnerID=40&md5=c780df2070edd7d1d4a69a8936801715",Article,Scopus,2-s2.0-84908432576
"Moyankova, D., Georgieva, D., Batchvarova, R., Slavov, S., Djiljanov, D.","Effect of extracts from the resurrection plant Haberlea rhodopensis on in vitro growth of plant pathogens",2013,"Comptes Rendus de L'Academie Bulgare des Sciences","66","9",,"1269","1272",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884782960&partnerID=40&md5=dd1b8569dad356e1f08374064d563a58",Article,Scopus,2-s2.0-84884782960
"Djilianov, D.L., Dobrev, P.I., Moyankova, D.P., Vankova, R., Georgieva, D.T., Gajdošová, S., Motyka, V.","Dynamics of Endogenous Phytohormones during Desiccation and Recovery of the Resurrection Plant Species Haberlea rhodopensis",2013,"Journal of Plant Growth Regulation","32","3",,"564","574",,9,10.1007/s00344-013-9323-y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881227780&partnerID=40&md5=53d07b317b9c3cfeddc405a91ec36259",Article,Scopus,2-s2.0-84881227780
"Doltchinkova, V., Angelova, P., Ivanova, E., Djilianov, D., Moyankova, D., Konstantinova, T., Atanassov, A.","Surface electric charge of thylakoid membranes from genetically modified tobacco plants under freezing stress",2013,"Journal of Photochemistry and Photobiology B: Biology","119",,,"22","30",,1,10.1016/j.jphotobiol.2012.12.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871903522&partnerID=40&md5=a39e502b34d8b509d54c9072d8bb6a0c",Article,Scopus,2-s2.0-84871903522
"Hayrabedyan, S., Todorova, K., Zasheva, D., Moyankova, D., Georgieva, D., Todorova, J., Djilianov, D.","Haberlea rhodopensis has potential as a new drug source based on its broad biological modalities",2013,"Biotechnology and Biotechnological Equipment","27","1",,"3553","3560",,3,10.5504/BBEQ.2012.0112,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874513113&partnerID=40&md5=9a575c349cba7099c540635048da6b41",Article,Scopus,2-s2.0-84874513113
"Djilianov, D., Ivanov, S., Moyankova, D., Miteva, L., Kirova, E., Alexieva, V., Joudi, M., Peshev, D., Van den Ende, W.","Sugar ratios, glutathione redox status and phenols in the resurrection species Haberlea rhodopensis and the closely related non-resurrection species Chirita eberhardtii",2011,"Plant Biology","13","5",,"767","776",,24,10.1111/j.1438-8677.2010.00436.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79961027330&partnerID=40&md5=152a4c2fb1f50ea0c861f7e0b3fe4e67",Article,Scopus,2-s2.0-79961027330
"Petrova, G., Tosheva, A., Mladenov, P., Moyankova, D., Djilianov, D.","Ex situ collection of model resurrection plant Haberlea rhodopensis as a prerequisite for biodiversity and conservation studies",2010,"Biotechnology and Biotechnological Equipment","24","3",,"1955","1959",,6,10.2478/V10133-010-0070-Y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77957745690&partnerID=40&md5=011c8463361254d6706f302a87579295",Article,Scopus,2-s2.0-77957745690
"Djilianov, D., Ivanov, S., Georgieva, T., Moyankova, D., Berkov, S., Petrova, G., Mladenov, P., Christov, N., Hristozova, N., Peshev, D., Tchorbadjieva, M., Alexieva, V., Tosheva, A., Nikolova, M., Ionkova, I., Van Den Ende, W.","A holistic approach to resurrection plants. Haberlea rhodopensis - A case study",2009,"Biotechnology and Biotechnological Equipment","23","4",,"1414","1416",,9,10.2478/V10133-009-0005-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-73349108430&partnerID=40&md5=aa65344945ced5afd198e62beaf1bfff",Review,Scopus,2-s2.0-73349108430
"Ionkova, I., Ninov, St., Antonova, I., Moyankova, D., Georgieva, T., Djilianov, D.","DPPH radical scavenging activity of in vitro regenerated Haberlea rhodopensis Friv. plants",2008,"Pharmacia","55","1-4",,"22","25",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-67849094488&partnerID=40&md5=843d058cad1a1b5d9391c6614d0f33eb",Article,Scopus,2-s2.0-67849094488
