Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Gerttula, S., Zinkgraf, M., Muday, G.K., Lewis, D.R., Ibatullin, F.M., Brumer, H., Hart, F., Mansfield, S.D., Filkov, V., Groover, A.","Transcriptional and hormonal regulation of gravitropism of woody stems in populus",2015,"Plant Cell","27","10",,"2800","2813",,,10.1105/tpc.15.00531,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946782272&partnerID=40&md5=e2e5387b6221d8ad0fb759229425a262",Article,Scopus,2-s2.0-84946782272
"Norris, J.L., Patton, K.L., Huang, S., John, D.J., Muday, G.K.","First and second order Markov posterior probabilities on multiple time-course data sets",2015,"Conference Proceedings - IEEE SOUTHEASTCON","2015-June","June", 7132880,"","",,,10.1109/SECON.2015.7132880,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938149637&partnerID=40&md5=facd56445e83b7cd27de9fd074a061b6",Conference Paper,Scopus,2-s2.0-84938149637
"Watkins, J.M., Hechler, P.J., Muday, G.K.","Ethylene-induced flavonol accumulation in guard cells suppresses reactive oxygen species and moderates stomatal aperture",2014,"Plant Physiology","164","4",,"1707","1717",,14,10.1104/pp.113.233528,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898723275&partnerID=40&md5=3ccc0a04043afe8ba0eadb3d7570809a",Article,Scopus,2-s2.0-84898723275
"Chrispeels, H.E., Klosterman, M.L., Martin, J.B., Lundy, S.R., Watkins, J.M., Gibson, C.L., Muday, G.K.","Undergraduates achieve learning gains in plant genetics through peer teaching of secondary students",2014,"CBE Life Sciences Education","13","4",,"641","652",,,10.1187/cbe.14-01-0007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84914112858&partnerID=40&md5=512484d9aaf0437a15cc4b36a2a828cd",Article,Scopus,2-s2.0-84914112858
"Sanz, L., Fernández-Marcos, M., Modrego, A., Lewis, D.R., Muday, G.K., Pollmann, S., Dueñas, M., Santos-Buelga, C., Lorenzo, O.","Nitric oxide plays a role in stem cell niche homeostasis through its interaction with auxin",2014,"Plant Physiology","166","4",,"1972","1984",,3,10.1104/pp.114.247445,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84914141824&partnerID=40&md5=ec104d168e7b228c4e8d144abc6404c7",Article,Scopus,2-s2.0-84914141824
"Patton, K.L., John, D.J., Norris, J.L., Lewis, D.R., Muday, G.K.","Hierarchical probabilistic interaction modeling for multiple gene expression replicates",2014,"IEEE/ACM Transactions on Computational Biology and Bioinformatics","11","2", 6710120,"336","346",,3,10.1109/TCBB.2014.2299804,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901434306&partnerID=40&md5=d2aa41c999f7ca995c55b4c5f7a5649e",Article,Scopus,2-s2.0-84901434306
"Cho, M., Henry, E.M., Lewis, D.R., Wu, G., Muday, G.K., Spalding, E.P.","Block of ATP-binding cassette B19 ion channel activity by 5-nitro-2-(3-phenylpropylamino)-benzoic acid impairs polar auxin transport and root gravitropism",2014,"Plant Physiology","166","4",,"2091","2099",,,10.1104/pp.114.250860,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84914158342&partnerID=40&md5=95cc8ed75021ca8818bfd0db209bc157",Article,Scopus,2-s2.0-84914158342
"Maloney, G.S., DiNapoli, K.T., Muday, G.K.","The anthocyanin reduced tomato mutant demonstrates the role of flavonols in tomato lateral root and root hair development",2014,"Plant Physiology","166","2",,"614","631",,7,10.1104/pp.114.240507,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907736450&partnerID=40&md5=c68e7e0c2e85feb1f709fe37360d23f0",Article,Scopus,2-s2.0-84907736450
"Lewis, D.R., Olex, A.L., Lundy, S.R., Turkett, W.H., Fetrow, J.S., Muday, G.K.","A kinetic analysis of the auxin transcriptome reveals cell wall remodeling proteins that modulate lateral root development in Arabidopsis",2013,"Plant Cell","25","9",,"3329","3346",,13,10.1105/tpc.113.114868,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84886496719&partnerID=40&md5=ff6f6ee2d465aa4f5b49ba97093cea55",Article,Scopus,2-s2.0-84886496719
"Sukumar, P., Maloney, G.S., Muday, G.K.","Localized induction of the ATP-binding cassette B19 Auxin transporter enhances adventitious root formation in Arabidopsis",2013,"Plant Physiology","162","3",,"1392","1405",,13,10.1104/pp.113.217174,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879717743&partnerID=40&md5=897a3d11ffc5a736ec2fb74b225ac49a",Article,Scopus,2-s2.0-84879717743
