Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Sawler, J., Stout, J.M., Gardner, K.M., Hudson, D., Vidmar, J., Butler, L., Page, J.E., Myles, S.","The genetic structure of marijuana and hemp",2015,"PLoS ONE","10","8", e0133292,"","",,1,10.1371/journal.pone.0133292,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942267284&partnerID=40&md5=1d9234f476c43ef36590fab115a4b9af",Article,Scopus,2-s2.0-84942267284
"Myles, S., Mahanil, S., Harriman, J., Gardner, K.M., Franklin, J.L., Reisch, B.I., Ramming, D.W., Owens, C.L., Li, L., Buckler, E.S., Cadle-Davidson, L.","Genetic mapping in grapevine using SNP microarray intensity values",2015,"Molecular Breeding","35","3",,"","",12,1,10.1007/s11032-015-0288-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923659079&partnerID=40&md5=ba1b40bfe88b0e9797a4b4b56e8358e4",Article,Scopus,2-s2.0-84923659079
"Miller, A.J., Matasci, N., Schwaninger, H., Aradhya, M.K., Prins, B., Zhong, G.-Y., Simon, C., Buckler, E.S., Myles, S.","Erratum: Vitis phylogenomics: Hybridization intensities from a SNP array outperform genotype calls (PLoS ONE (2014) 9:1)",2014,"PLoS ONE","9","1",,"","",,,10.1371/annotation/283e5eba-a65d-42a3-a430-6ca0be86147c,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897013036&partnerID=40&md5=2aa7ab71850583d0112fc25a8e4bfd24",Erratum,Scopus,2-s2.0-84897013036
"McClure, K.A., Sawler, J., Gardner, K.M., Money, D., Myles, S.","Genomics: A potential panacea for the perennial problem",2014,"American Journal of Botany","101","10",,"1780","1790",,2,10.3732/ajb.1400143,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908010301&partnerID=40&md5=fd6b886fb2514d08f29b057ed5f1ad48",Article,Scopus,2-s2.0-84908010301
"Gardner, K.M., Brown, P., Cooke, T.F., Cann, S., Costa, F., Bustamante, C., Velasco, R., Troggio, M., Myles, S.","Fast and cost-effective genetic mapping in apple using next-generation sequencing",2014,"G3: Genes, Genomes, Genetics","4","9",,"1681","1687",,3,10.1534/g3.114.011023,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907916544&partnerID=40&md5=2ef7f42253181b99542210a85c023edf",Article,Scopus,2-s2.0-84907916544
"Chitwood, D.H., Ranjan, A., Martinez, C.C., Headland, L.R., Thiem, T., Kumar, R., Covington, M.F., Hatcher, T., Naylor, D.T., Zimmerman, S., Downs, N., Raymundo, N., Buckler, E.S., Maloof, J.N., Aradhya, M., Prins, B., Li, L., Myles, S., Sinha, N.R.","A modern ampelography: A genetic basis for leaf shape and venation patterning in grape",2014,"Plant Physiology","164","1",,"259","272",,13,10.1104/pp.113.229708,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891774122&partnerID=40&md5=1a2ba69f7fd6ca0ad0775c05c878de1f",Article,Scopus,2-s2.0-84891774122
"Miller, A.J., Matasci, N., Schwaninger, H., Aradhya, M.K., Prins, B., Zhong, G.-Y., Simon, C., Buckler, E.S., Myles, S.","Vitis phylogenomics: Hybridization intensities from a SNP array outperform genotype calls",2013,"PLoS ONE","8","11", e78680,"","",,3,10.1371/journal.pone.0078680,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893580899&partnerID=40&md5=f2992eb91da52836f8683d92683d9365",Article,Scopus,2-s2.0-84893580899
"Sawler, J., Reisch, B., Aradhya, M.K., Prins, B., Zhong, G.-Y., Schwaninger, H., Simon, C., Buckler, E., Myles, S.","Genomics assisted ancestry deconvolution in grape",2013,"PLoS ONE","8","11", e80791,"","",,4,10.1371/journal.pone.0080791,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892742324&partnerID=40&md5=430722075fa5a2ed91074a2de7be661e",Article,Scopus,2-s2.0-84892742324
"Myles, S.","Improving fruit and wine: What does genomics have to offer?",2013,"Trends in Genetics","29","4",,"190","196",,10,10.1016/j.tig.2013.01.006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880513155&partnerID=40&md5=64b1ad02685515b7e9bea465899fb2c9",Review,Scopus,2-s2.0-84880513155
"Emanuelli, F., Lorenzi, S., Grzeskowiak, L., Catalano, V., Stefanini, M., Troggio, M., Myles, S., Martinez-Zapater, J.M., Zyprian, E., Moreira, F.M., Grando, M.S.","Genetic diversity and population structure assessed by SSR and SNP markers in a large germplasm collection of grape",2013,"BMC Plant Biology","13","1", 39,"","",,36,10.1186/1471-2229-13-39,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874597356&partnerID=40&md5=c01ab5fe98f060954bf8fdbc7cfbc254",Article,Scopus,2-s2.0-84874597356
"Kenny, E.E., Timpson, N.J., Sikora, M., Yee, M.-C., Moreno-Estrada, A., Eng, C., Huntsman, S., Burchard, E.G., Stoneking, M., Bustamante, C.D., Myles, S.","Melanesian blond hair is caused by an amino acid change in TYRP1",2012,"Science","336","6081",,"554","",,21,10.1126/science.1217849,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860428499&partnerID=40&md5=c3d408f05a7d9ae141f43e312166ec66",Short Survey,Scopus,2-s2.0-84860428499
