Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Escudero, L., Al-Refai, M., Nieto, C., Laatsch, H., Malpartida, F., Seco, E.M.","New rimocidin/CE-108 derivatives obtained by a crotonyl-CoA carboxylase/reductase gene disruption in Streptomyces diastaticus var. 108: Substrates for the polyene carboxamide synthase PcsA",2015,"PLoS ONE","10","8", e0135891,"","",,,10.1371/journal.pone.0135891,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942437127&partnerID=40&md5=b6be1711316d130ef7a4f6ec6e26575e",Article,Scopus,2-s2.0-84942437127
"Nieto, C., López-Salmerón, V., Davière, J.-M., Prat, S.","ELF3-PIF4 interaction regulates plant growth independently of the evening complex",2015,"Current Biology","25","2",,"187","193",,8,10.1016/j.cub.2014.10.070,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921385840&partnerID=40&md5=8ac98c6f7c69e0d859f086bb0cc304c3",Article,Scopus,2-s2.0-84921385840
"Nieto, C., Rodríguez-Moreno, L., Rodríguez-Hernández, A.M., Aranda, M.A., Truniger, V.","Nicotiana benthamiana resistance to non-adapted Melon necrotic spot virus results from an incompatible interaction between virus RNA and translation initiation factor 4E",2011,"Plant Journal","66","3",,"492","501",,16,10.1111/j.1365-313X.2011.04507.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79955383643&partnerID=40&md5=8e8a3067c39bf83a934eaf5b1f2c986e",Article,Scopus,2-s2.0-79955383643
"Seco, E.M., Miranzo, D., Nieto, C., Malpartida, F.","The pcsA gene from Streptomyces diastaticus var. 108 encodes a polyene carboxamide synthase with broad substrate specificity for polyene amides biosynthesis",2010,"Applied Microbiology and Biotechnology","85","6",,"1797","1807",,6,10.1007/s00253-009-2193-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-76849095672&partnerID=40&md5=af63774a99d3d1c2db3996146cafa489",Article,Scopus,2-s2.0-76849095672
"Truniger, V., Nieto, C., González-Ibeas, D., Aranda, M.","Mechanism of plant eIF4E-mediated resistance against a Carmovirus (Tombusviridae): Cap-independent translation of a viral RNA controlled in cis by an (a)virulence determinant",2008,"Plant Journal","56","5",,"716","727",,30,10.1111/j.1365-313X.2008.03630.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-57449113002&partnerID=40&md5=2784902e4960edc65d23492b27f46afe",Article,Scopus,2-s2.0-57449113002
"Nieto, C., Piron, F., Dalmais, M., Marco, C.F., Moriones, E., Gómez-Guillamón, M.L., Truniger, V., Gómez, P., Garcia-Mas, J., Aranda, M.A., Bendahmane, A.","EcoTILLING for the identification of allelic variants of melon elF4E, a factor that controls virus susceptibility",2007,"BMC Plant Biology","7",, 34,"","",,63,10.1186/1471-2229-7-34,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34547229133&partnerID=40&md5=315314783c1262b23d1308bb496c6aa4",Article,Scopus,2-s2.0-34547229133
"Nieto, C., Morales, M., Orjeda, G., Clepet, C., Monfort, A., Sturbois, B., Puigdomènech, P., Pitrat, M., Caboche, M., Dogimont, C., Garcia-Mas, J., Aranda, M.A., Bendahmane, A.","An eIF4E allele confers resistance to an uncapped and non-polyadenylated RNA virus in melon",2006,"Plant Journal","48","3",,"452","462",,92,10.1111/j.1365-313X.2006.02885.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33749989090&partnerID=40&md5=44d822ec3306843cc8336e30835134e1",Article,Scopus,2-s2.0-33749989090
"Morales, M., Orjeda, G., Nieto, C., Van Leeuwen, H., Monfort, A., Charpentier, M., Caboche, M., Arús, P., Puigdomènech, P., Aranda, M.A., Dogimont, C., Bendahmane, A., Garcia-Mas, J.","A physical map covering the nsv locus that confers resistance to Melon necrotic spot virus in melon (Cucumis melo L.)",2005,"Theoretical and Applied Genetics","111","5",,"914","922",,21,10.1007/s00122-005-0019-y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-26944467584&partnerID=40&md5=95a833d911e21f24040c5c49a2efad7a",Article,Scopus,2-s2.0-26944467584
"Díaz, J.A., Nieto, C., Moriones, E., Truniger, V., Aranda, M.A.","Molecular characterization of a Melon necrotic spot virus strain that overcomes the resistance in melon and nonhost plants",2004,"Molecular Plant-Microbe Interactions","17","6",,"668","675",,41,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-2442492016&partnerID=40&md5=513e708f6f866c44caf983f0280cfe5a",Article,Scopus,2-s2.0-2442492016
"Diaz-Pendon, J.A., Truniger, V., Nieto, C., Garcia-Mas, J., Bendahmane, A., Aranda, M.A.","Advances in understanding recessive resistance to plant viruses",2004,"Molecular Plant Pathology","5","3",,"223","333",,78,10.1111/j.1364-3703.2004.00223.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-2542601616&partnerID=40&md5=658aeb47de9d0750322eabb49f721c3a",Short Survey,Scopus,2-s2.0-2542601616
