Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Waadt, R., Manalansan, B., Rauniyar, N., Munemasa, S., Booker, M.A., Brandt, B., Waadt, C., Nusinow, D.A., Kay, S.A., Kunz, H.-H., Schumacher, K., Delong, A., Yates, J.R., Schroeder, J.I.","Identification of Open Stomata1-interacting proteins reveals interactions with Sucrose Non-Fermenting1-Related Protein Kinases2 and with type 2A protein phosphatases that function in abscisic acid responses",2015,"Plant Physiology","169","1",,"760","779",,,10.1104/pp.15.00575,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940937918&partnerID=40&md5=e51a20477434f5f7942b5b2de557eb8a",Article,Scopus,2-s2.0-84940937918
"Chow, B.Y., Helfer, A., Nusinow, D.A., Kay, S.A.","ELF3 recruitment to the PRR9 promoter requires other Evening Complex members in the Arabidopsis circadian clock",2012,"Plant Signaling and Behavior","7","2",,"","",,3,10.4161/psb.7.2.18766,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860908662&partnerID=40&md5=1646144d65eace3ee0e70aa4829a5a14",Article,Scopus,2-s2.0-84860908662
"Chow, B.Y., Helfer, A., Nusinow, D.A., Kay, S.A.","ELF3 recruitment to the PRR9 promoter requires other Evening Complex members in the Arabidopsis circadian clock.",2012,"Plant signaling & behavior","7","2",,"170","173",,26,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84867300888&partnerID=40&md5=0179f2a8697ad22b46d1dba362ce8d4e",Article,Scopus,2-s2.0-84867300888
"Nusinow, D.A., Helfer, A., Hamilton, E.E., King, J.J., Imaizumi, T., Schultz, T.F., Farré, E.M., Kay, S.A.","The ELF4-ELF3-""LUX complex links the circadian clock to diurnal control of hypocotyl growth",2011,"Nature","475","7356",,"398","404",,157,10.1038/nature10182,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79960621365&partnerID=40&md5=0b17a25633c0e32d49f9a8fcc1b14596",Article,Scopus,2-s2.0-79960621365
"Helfer, A., Nusinow, D.A., Chow, B.Y., Gehrke, A.R., Bulyk, M.L., Kay, S.A.","LUX ARRHYTHMO encodes a nighttime repressor of circadian gene expression in the Arabidopsis core clock",2011,"Current Biology","21","2",,"126","133",,84,10.1016/j.cub.2010.12.021,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79151483227&partnerID=40&md5=30939b4a24ca9a81901eb0f118f78614",Article,Scopus,2-s2.0-79151483227
"Zhang, E.E., Liu, Y., Dentin, R., Pongsawakul, P.Y., Liu, A.C., Hirota, T., Nusinow, D.A., Sun, X., Landais, S., Kodama, Y., Brenner, D.A., Montminy, M., Kay, S.A.","Cryptochrome mediates circadian regulation of cAMP signaling and hepatic gluconeogenesis",2010,"Nature Medicine","16","10",,"1152","1156",,148,10.1038/nm.2214,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77957821693&partnerID=40&md5=53c5679da41cd125a6ea011e13714939",Article,Scopus,2-s2.0-77957821693
"Chang, E.Y., Ferreira, H., Somers, J., Nusinow, D.A., Owen-Hughes, T., Narlikar, G.J.","MacroH2A allows ATP-dependent chromatin remodeling by SWI/SNF and ACF complexes but specifically reduces recruitment of SWI/SNF",2008,"Biochemistry","47","51",,"13726","13732",,31,10.1021/bi8016944,"http://www.scopus.com/inward/record.url?eid=2-s2.0-58149170575&partnerID=40&md5=8048025af2e71e43bd144caa4d2b20c6",Article,Scopus,2-s2.0-58149170575
"Sawa, M., Nusinow, D.A., Kay, S.A., Imaizumi, T.","FKF1 and GIGANTEA complex formation is required for day-length measurement in Arabidopsis",2007,"Science","318","5848",,"261","265",,299,10.1126/science.1146994,"http://www.scopus.com/inward/record.url?eid=2-s2.0-35348910170&partnerID=40&md5=ce826e64075fa6c596dde7018231d5f5",Article,Scopus,2-s2.0-35348910170
"Nusinow, D.A., Sharp, J.A., Morris, A., Salas, S., Plath, K., Panning, B.","The Histone Domain of macroH2A1 Contains Several Dispersed Elements that Are Each Sufficient to Direct Enrichment on the Inactive X Chromosome",2007,"Journal of Molecular Biology","371","1",,"11","18",,12,10.1016/j.jmb.2007.05.063,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34447099478&partnerID=40&md5=9e0c7b595b13f262091e6d093d713f1b",Article,Scopus,2-s2.0-34447099478
"Nusinow, D.A., Hernández-Muñoz, I., Fazzio, T.G., Shah, G.M., Kraus, W.L., Panning, B.","Poly(ADP-ribose) polymerase 1 is inhibited by a histone H2A variant, macroH2A, and contributes to silencing of the inactive X chromosome",2007,"Journal of Biological Chemistry","282","17",,"12851","12859",,71,10.1074/jbc.M610502200,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34250359929&partnerID=40&md5=51f528b80eb659f2b27639acc19c296c",Article,Scopus,2-s2.0-34250359929
"Chu, F., Nusinow, D.A., Chalkley, R.J., Plath, K., Panning, B., Burlingame, A.L.","Mapping post-translational modifications of the histone variant MacroH2A1 using tandem mass spectrometry",2006,"Molecular and Cellular Proteomics","5","1",,"194","203",,53,10.1074/mcp.M500285-MCP200,"http://www.scopus.com/inward/record.url?eid=2-s2.0-31644449378&partnerID=40&md5=3a82989f71208e42e5b041cce4635ddd",Article,Scopus,2-s2.0-31644449378
"de la Cruz, C.C., Fang, J., Plath, K., Worringer, K.A., Nusinow, D.A., Zhang, Y., Panning, B.","Developmental regulation of Suz12 localization",2005,"Chromosoma","114","3",,"183","192",,18,10.1007/s00412-005-0008-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-25144461120&partnerID=40&md5=39c818e7485c2a175d5845442a03c163",Article,Scopus,2-s2.0-25144461120
"Hernández-Muñoz, I., Lund, A.H., Van Der Stoop, P., Boutsma, E., Muijrers, I., Verhoeven, E., Nusinow, D.A., Panning, B., Marahrens, Y., Van Lohuizen, M.","Stable X chromosome inactivation involves the PRC1 Polycomb complex and requires histone MACROH2A1 and the CULLIN3/SPOP ubiquitin E3 ligase",2005,"Proceedings of the National Academy of Sciences of the United States of America","102","21",,"7635","7640",,162,10.1073/pnas.0408918102,"http://www.scopus.com/inward/record.url?eid=2-s2.0-21144446865&partnerID=40&md5=6d923a4892cc830e34e53593a229af8a",Article,Scopus,2-s2.0-21144446865
"Nusinow, D.A., Panning, B.","Recognition and modification of seX chromosomes",2005,"Current Opinion in Genetics and Development","15","2",,"206","213",,12,10.1016/j.gde.2005.02.002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-15744385714&partnerID=40&md5=5204277f5ce24ffc5a25f5cbf988a46d",Review,Scopus,2-s2.0-15744385714
"Plath, K., Mlynarczyk-Evans, S., Nusinow, D.A., Panning, B.","Xist RNA and the mechanism of X chromosome inactivation",2002,"Annual Review of Genetics","36",,,"233","278",,239,10.1146/annurev.genet.36.042902.092433,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036948659&partnerID=40&md5=97c5dc86171b589c28f4f74d2fadf33c",Review,Scopus,2-s2.0-0036948659
"Choi, W.S., Yan, M., Nusinow, D., Gralla, J.D.","In vitro transcription and start site selection in Schizosaccharomyces pombe",2002,"Journal of Molecular Biology","319","5",,"1005","1013",,13,10.1016/S0022-2836(02)00329-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036303536&partnerID=40&md5=6e3bcbe816f2452b8f293cac3fbaf48a",Article,Scopus,2-s2.0-0036303536
