Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Kihara, S., Hartzler, D.A., Orf, G.S., Blankenship, R.E., Savikhin, S.","The fate of the triplet excitations in the fenna-matthews-olson complex",2015,"Journal of Physical Chemistry B","119","18",,"5765","5772",,,10.1021/jp512222c,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929000895&partnerID=40&md5=ee17d7f4b06efaf266923e5841e699e9",Article,Scopus,2-s2.0-84929000895
"King, J.D., Liu, H., He, G., Orf, G.S., Blankenship, R.E.","Chemical activation of the cyanobacterial orange carotenoid protein",2014,"FEBS Letters","588","24",,"4561","4565",,2,10.1016/j.febslet.2014.10.024,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84915820703&partnerID=40&md5=1d19a297219e1a82757569faf7ebfea6",Article,Scopus,2-s2.0-84915820703
"Niedzwiedzki, D.M., Orf, G.S., Tank, M., Vogl, K., Bryant, D.A., Blankenship, R.E.","Photophysical properties of the excited states of bacteriochlorophyll f in solvents and in chlorosomes",2014,"Journal of Physical Chemistry B","118","9",,"2295","2305",,3,10.1021/jp409495m,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897680896&partnerID=40&md5=e9b32ee09c0745bf2b143aa8bc08cc48",Article,Scopus,2-s2.0-84897680896
"Orf, G.S., Niedzwiedzki, D.M., Blankenship, R.E.","Intensity dependence of the excited state lifetimes and triplet conversion yield in the Fenna-Matthews-Olson antenna protein",2014,"Journal of Physical Chemistry B","118","8",,"2058","2069",,2,10.1021/jp411020a,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897639182&partnerID=40&md5=4e8953216aa13a5bbd60b41e184585d6",Article,Scopus,2-s2.0-84897639182
"Jiang, J., Zhang, H., Orf, G.S., Lu, Y., Xu, W., Harrington, L.B., Liu, H., Lo, C.S., Blankenship, R.E.","Evidence of functional trimeric chlorophyll a/c2-peridinin proteins in the dinoflagellate Symbiodinium",2014,"Biochimica et Biophysica Acta - Bioenergetics","1837","11",,"1904","1912",,2,10.1016/j.bbabio.2014.07.023,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907261562&partnerID=40&md5=21551cdcddfc3db6147c5161c2a7794f",Article,Scopus,2-s2.0-84907261562
"Orf, G.S., Blankenship, R.E.","Chlorosome antenna complexes from green photosynthetic bacteria",2013,"Photosynthesis Research","116","2-3",,"315","331",,41,10.1007/s11120-013-9869-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84887430297&partnerID=40&md5=4c7551aadd78d2bd2b14360010fbed77",Review,Scopus,2-s2.0-84887430297
"Orf, G.S., Tank, M., Vogl, K., Niedzwiedzki, D.M., Bryant, D.A., Blankenship, R.E.","Spectroscopic insights into the decreased efficiency of chlorosomes containing bacteriochlorophyll f",2013,"Biochimica et Biophysica Acta - Bioenergetics","1827","4",,"493","501",,8,10.1016/j.bbabio.2013.01.006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874044312&partnerID=40&md5=32043fba009ed4e1e1e758c71614bbe1",Article,Scopus,2-s2.0-84874044312
"Shah, V.B., Lakin, G., Orf, G.S., Blankenship, R.E., Biswas, P.","Biomimetic approach to synthesize sensitizers for hybrid solar cells",2013,"Conference Record of the IEEE Photovoltaic Specialists Conference",,, 6744329,"1084","1088",,,10.1109/PVSC.2013.6744329,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896474327&partnerID=40&md5=54631a4708f0852f61c320a93f3a2968",Conference Paper,Scopus,2-s2.0-84896474327
"An, W.-J., Co-Reyes, J., Shah, V.B., Wang, W.-N., Orf, G.S., Blankenship, R.E., Biswas, P.","Nano-biohybrid light-harvesting systems for solar energy applications",2012,"Materials Research Society Symposium Proceedings","1445",,,"1","6",,,10.1557/opl.2012.1220,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879250463&partnerID=40&md5=cdcf324c49ffe5cae642117b1a7c75d5",Conference Paper,Scopus,2-s2.0-84879250463
"Shah, V.B., Orf, G.S., Reisch, S., Harrington, L.B., Prado, M., Blankenship, R.E., Biswas, P.","Characterization and deposition of various light-harvesting antenna complexes by electrospray atomization",2012,"Analytical and Bioanalytical Chemistry","404","8",,"2329","2338",,6,10.1007/s00216-012-6368-x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870951978&partnerID=40&md5=ec9d49439fa79e907bfc028add0d7352",Article,Scopus,2-s2.0-84870951978
"Vogl, K., Tank, M., Orf, G.S., Blankenship, R.E., Bryant, D.A.","Bacteriochlorophyll f: Properties of chlorosomes containing the ""forbidden chlorophyll""",2012,"Frontiers in Microbiology","3","AUG",,"","",,17,10.3389/fmicb.2012.00298,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84866972899&partnerID=40&md5=05c2f13d47d3770b9fd0c31d6d110276",Article,Scopus,2-s2.0-84866972899
