Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Safaeizadeh, M., Saidi, A., Palukaitis, P.","Molecular characterization of cucumber mosaic virus isolates infecting tomato in Hamedan and Tehran provinces of Iran",2015,"Acta virologica","59","2",,"174","178",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938924208&partnerID=40&md5=992b3652f37e0c7db5ee7448eedd2580",Article,Scopus,2-s2.0-84938924208
"Palukaitis, P.","What has been happening with viroids?",2014,"Virus Genes",,,,"","",,1,10.1007/s11262-014-1110-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906462899&partnerID=40&md5=dfff9e37d811a26f5bf7c1f53c0581db",Article in Press,Scopus,2-s2.0-84906462899
"Mascia, T., Nigro, F., Abdallah, A., Ferrara, M., De Stradis, A., Faedda, R., Palukaitis, P., Gallitelli, D.","Gene silencing and gene expression in phytopathogenic fungi using a plant virus vector",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","11",,"4291","4296",,3,10.1073/pnas.1315668111,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896535047&partnerID=40&md5=e750a19cb878010908c952e7d921d5fd",Article,Scopus,2-s2.0-84896535047
"Palukaitis, P.","What has been happening with viroids?",2014,"Virus Genes","49","2",,"175","184",,2,10.1007/s11262-014-1110-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84919951433&partnerID=40&md5=26c44ca0755bb956ae6f9dbc1dc9db17",Review,Scopus,2-s2.0-84919951433
"Cillo, F., Palukaitis, P.","Transgenic resistance",2014,"Advances in Virus Research","90",,,"35","146",,2,10.1016/B978-0-12-801246-8.00002-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922267266&partnerID=40&md5=c0d852a3204e33235f051c06bccf5528",Article,Scopus,2-s2.0-84922267266
"Sahana, N., Kaur, H., Jain, R.K., Palukaitis, P., Canto, T., Praveen, S.","The asparagine residue in the FRNK box of potyviral helper-component protease is critical for its small RNA binding and subcellular localization",2014,"Journal of General Virology","95","PART 5",,"1167","1177",,4,10.1099/vir.0.060269-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899688378&partnerID=40&md5=05039b7cb8f55bd15a077a2782fcff5a",Article,Scopus,2-s2.0-84899688378
"Alishiri, A., Rakhshandehroo, F., Zamanizadeh, H.-R., Palukaitis, P.","Prevalence of Tobacco mosaic virus in Iran and evolutionary analyses of the coat protein gene",2013,"Plant Pathology Journal","29","3",,"260","273",,2,10.5423/PPJ.OA.09.2012.0145,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885777958&partnerID=40&md5=fdff3d09cc3b30a1d40069c2a7bb1d8e",Article,Scopus,2-s2.0-84885777958
"Aghamohammadi, V., Rakhshandehroo, F., Shams-Bakhsh, M., Palukaitis, P.","Distribution and genetic diversity of tomato mosaic virus isolates in Iran",2013,"Journal of Plant Pathology","95","2",,"339","347",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883163740&partnerID=40&md5=03ea169eb72ce5881e8966905f9c3eb5",Article,Scopus,2-s2.0-84883163740
"Chung, B.N., Yoon, J.-Y., Palukaitis, P.","Engineered resistance in potato against potato leafroll virus, potato virus A and potato virus y",2013,"Virus Genes","47","1",,"86","92",,1,10.1007/s11262-013-0904-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84882268253&partnerID=40&md5=74f23a2819f7a1d93b8c19e9197689de",Article,Scopus,2-s2.0-84882268253
"Palukaitis, P., Groen, S.C., Carr, J.P.","The Rumsfeld paradox: Some of the things we know that we don't know about plant virus infection",2013,"Current Opinion in Plant Biology","16","4",,"513","519",,7,10.1016/j.pbi.2013.06.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881614613&partnerID=40&md5=735be1f7719a6c3af083641aec79fd28",Review,Scopus,2-s2.0-84881614613
