Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Durbak, A.R., Phillips, K.A., Pike, S., O'Neill, M.A., Mares, J., Gallavotti, A., Malcomber, S.T., Gassmann, W., McSteen, P.","Transport of boron by the tassel-less1 aquaporin is critical for vegetative and reproductive development in maize",2014,"Plant Cell","26","7",,"2978","2995",,9,10.1105/tpc.114.125898,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907325344&partnerID=40&md5=28c3ac222d42bcda47268b270bd729dd",Article,Scopus,2-s2.0-84907325344
"Pike, S., Gao, F., Kim, M.J., Kim, S.H., Schachtman, D.P., Gassmann, W.","Members of the NPF3 transporter subfamily encode pathogen-inducible nitrate/nitrite transporters in grapevine and arabidopsis",2014,"Plant and Cell Physiology","55","1",,"162","170",,6,10.1093/pcp/pct167,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892764507&partnerID=40&md5=93977d561ed429aa847b74de96816f35",Article,Scopus,2-s2.0-84892764507
"Gao, F., Dai, R., Pike, S.M., Qiu, W., Gassmann, W.","Functions of EDS1-like and PAD4 genes in grapevine defenses against powdery mildew",2014,"Plant Molecular Biology","86","4-5",,"381","393",,3,10.1007/s11103-014-0235-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922063836&partnerID=40&md5=8b19f6837d1b5bad2fb29d6ba7d55ef1",Article,Scopus,2-s2.0-84922063836
"Li, J.-Y., Fu, Y.-L., Pike, S.M., Bao, J., Tian, W., Zhang, Y., Chen, C.-Z., Zhang, Y., Li, H.-M., Huang, J., Li, L.-G., Schroeder, J.I., Gassmann, W., Gong, J.-M.","The Arabidopsis nitrate transporter NRT1.8 functions in nitrate removal from the xylem sap and mediates cadmium tolerance",2010,"Plant Cell","22","5",,"1633","1646",,82,10.1105/tpc.110.075242,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77954396706&partnerID=40&md5=7c53adec173de21c780d958aec75932f",Article,Scopus,2-s2.0-77954396706
"Pike, S., Patel, A., Stacey, G., Gassmann, W.","Arabidopsis OPT6 is an oligopeptide transporter with exceptionally broad substrate specificity",2009,"Plant and Cell Physiology","50","11",,"1923","1932",,27,10.1093/pcp/pcp136,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70450235178&partnerID=40&md5=2bf4d79afb1d68e159b58877ecb8cb94",Article,Scopus,2-s2.0-70450235178
"Liu, Y., Ren, D., Pike, S., Pallardy, S., Gassmann, W., Zhang, S.","Chloroplast-generated reactive oxygen species are involved in hypersensitive response-like cell death mediated by a mitogen-activated protein kinase cascade",2007,"Plant Journal","51","6",,"941","954",,120,10.1111/j.1365-313X.2007.03191.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34548503443&partnerID=40&md5=142a92fc3eef80f3cfaf157d4da25afd",Article,Scopus,2-s2.0-34548503443
"Pike, S.M., Zhang, X.-C., Gassmann, W.","Electrophysiological characterization of the Arabidopsis avrRpt2-specific hypersensitive response in the absence of other bacterial signals",2005,"Plant Physiology","138","2",,"1009","1017",,22,10.1104/pp.104.047142,"http://www.scopus.com/inward/record.url?eid=2-s2.0-26944488712&partnerID=40&md5=65fc1b6cfe416200f013b6254453fc46",Article,Scopus,2-s2.0-26944488712
"Shomer, I., Novacky, A.J., Pike, S.M., Yermiyahu, U., Kinraide, T.B.","Electrical potentials of plant cell walls in response to the ionic environment",2003,"Plant Physiology","133","1",,"411","422",,41,10.1104/pp.103.024539,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0141674905&partnerID=40&md5=7ef04a38cabf6d766296eda7b7d079de",Article,Scopus,2-s2.0-0141674905
"Sivaguru, M., Pike, S., Gassmann, W., Baskin, T.I.","Aluminum rapidly depolymerizes cortical microtubules and depolarizes the plasma membrane: Evidence that these responses are mediated by a glutamate receptor",2003,"Plant and Cell Physiology","44","7",,"667","675",,118,10.1093/pcp/pcg094,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0043244885&partnerID=40&md5=ab2db716c84684d51f4c6d0f62a29f07",Article,Scopus,2-s2.0-0043244885
"Pike, S.M., Heinz, R., Walk, T., Jones, C., Kraus, G.A., Gassmann, W., Novacky, A.J., Niblack, T.L.","Is change in electrical potential or pH a hatching signal for Heterodera glycines?",2002,"Phytopathology","92","5",,"456","463",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036231542&partnerID=40&md5=8e8bef45a6cf996967ed7746f8ccfb6d",Article,Scopus,2-s2.0-0036231542
