Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"D'Amico, K.M., Horton, T.R., Maynard, C.A., Stehman, S.V., Oakes, A.D., Powell, W.A.","Comparisons of ectomycorrhizal colonization of transgenic American chestnut with those of the wild type, a conventionally bred hybrid, and related Fagaceae species",2015,"Applied and Environmental Microbiology","81","1",,"100","108",,,10.1128/AEM.02169-14,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84917692846&partnerID=40&md5=71d39f0918d46afcb38e2cc5ab0292d9",Article,Scopus,2-s2.0-84917692846
"Maynard, C.A., McGuigan, L.D., Oakes, A.D., Zhang, B., Newhouse, A.E., Northern, L.C., Chartrand, A.M., Will, L.R., Baier, K.M., Powell, W.A.","Chestnut, American (Castanea dentata (Marsh.) Borkh.)",2015,"Methods in Molecular Biology","1224",,,"143","161",,,10.1007/978-1-4939-1658-0_13,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84912570667&partnerID=40&md5=c57b21a5c1807eccc55ae9dd25b22740",Article,Scopus,2-s2.0-84912570667
"Nelson, C.D., Powell, W.A., Maynard, C.A., Baier, K.M., Newhouse, A., Merkle, S.A., Nairn, C.J., Kong, L., Carlson, J.E., Addo-Quaye, C., Staton, M.E., Hebard, F.V., Georgi, L.L., Abbott, A.G., Olukolu, B.A., Zhebentyayeva, T.","The forest health initiative, american chestnut (Castanea dentata) as a model for forest tree restoration: Biological research program",2014,"Acta Horticulturae","1019",,,"179","190",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899722331&partnerID=40&md5=973358a5f970e638cbcb10b65aaa0bb6",Conference Paper,Scopus,2-s2.0-84899722331
"Newhouse, A.E., Polin-McGuigan, L.D., Baier, K.A., Valletta, K.E.R., Rottmann, W.H., Tschaplinski, T.J., Maynard, C.A., Powell, W.A.","Transgenic american chestnuts show enhanced blight resistance and transmit the trait to T1 progeny",2014,"Plant Science","228",,,"88","97",,5,10.1016/j.plantsci.2014.04.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908206571&partnerID=40&md5=d5782d464c9cff3cae9ed83dc561dc3a",Article,Scopus,2-s2.0-84908206571
"Newhouse, A.E., Spitzer, J.E., Maynard, C.A., Powell, W.A.","Chestnut leaf inoculation assay as a rapid predictor of blight susceptibility",2014,"Plant Disease","98","1",,"4","9",,2,10.1094/PDIS-01-13-0047-RE,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84889684487&partnerID=40&md5=c4a1e8583ec654ceb312c359d239a24a",Article,Scopus,2-s2.0-84889684487
"Kong, L., Holtz, C.T., Nairn, C.J., Houke, H., Powell, W.A., Baier, K., Merkle, S.A.","Application of airlift bioreactors to accelerate genetic transformation in American chestnut",2014,"Plant Cell, Tissue and Organ Culture","117","1",,"39","50",,3,10.1007/s11240-013-0418-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897052705&partnerID=40&md5=21261b9f5b42654ad35b83dfe4457f94",Article,Scopus,2-s2.0-84897052705
"Zhang, B., Oakes, A.D., Newhouse, A.E., Baier, K.M., Maynard, C.A., Powell, W.A.","A threshold level of oxalate oxidase transgene expression reduces Cryphonectria parasitica-induced necrosis in a transgenic American chestnut (Castanea dentata) leaf bioassay",2013,"Transgenic Research","22","5",,"973","982",,9,10.1007/s11248-013-9708-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884589782&partnerID=40&md5=54f6369e5fff741eccb787ef67a9384b",Article,Scopus,2-s2.0-84884589782
"Oakes, A.D., Powell, W.A., McGuigan, L.D., Maynard, C.A.","Darkness and activated charcoal increase micropropagated American chestnut (Castanea dentata) rooting and acclimatization success",2013,"Acta Horticulturae","988",,,"85","92",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880260732&partnerID=40&md5=86538ca104003cb7b91170768f2c0b15",Article,Scopus,2-s2.0-84880260732
"Li, K., Liu, S., Tan, Y., Chao, N., Tian, X., Qi, L., Powell, W.A., Jiang, X., Gai, Y.","Optimized GC-MS method to simultaneously quantify acetylated aldose, ketose, and alditol for plant tissues based on derivatization in a methyl sulfoxide/1-methylimidazole system",2013,"Journal of Agricultural and Food Chemistry","61","17",,"4011","4018",,4,10.1021/jf3053862,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84877029071&partnerID=40&md5=d01d7fe8fcd7d8af8299ea53c6e7dade",Article,Scopus,2-s2.0-84877029071
"Barakat, A., Staton, M., Cheng, C.-H., Park, J., Yassin, N.B.M., Ficklin, S., Yeh, C.-C., Hebard, F., Baier, K., Powell, W., Schuster, S.C., Wheeler, N., Abbott, A., Carlson, J.E., Sederoff, R.","Chestnut resistance to the blight disease: Insights from transcriptome analysis",2012,"BMC Plant Biology","12",, 38,"","",,19,10.1186/1471-2229-12-38,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84862798216&partnerID=40&md5=1490fd17d507bb1bdbb790a5b740d98f",Article,Scopus,2-s2.0-84862798216
