Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Wade, L.J., Bartolome, V., Mauleon, R., Vasant, V.D., Prabakar, S.M., Chelliah, M., Kameoka, E., Nagendra, K., Reddy, K.R.K., Varma, C.M.K., Patil, K.G., Shrestha, R., Al-Shugeairy, Z., Al-Ogaidi, F., Munasinghe, M., Gowda, V., Semon, M., Suralta, R.R., Shenoy, V., Vadez, V., Serraj, R., Shashidhar, H.E., Yamauchi, A., Babu, R.C., Price, A., McNally, K.L., Henry, A.","Environmental response and genomic regions correlated with rice root growth and yield under drought in the oryzaSNP panel across multiple study systems",2015,"PLoS ONE","10","4", e0124127,"","",,,10.1371/journal.pone.0124127,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928901432&partnerID=40&md5=fe81eaa98de015bc210b738091e18fb9",Article,Scopus,2-s2.0-84928901432
"Norton, G.J., Williams, P.N., Adomako, E.E., Price, A.H., Zhu, Y., Zhao, F.-J., McGrath, S., Deacon, C.M., Villada, A., Sommella, A., Lu, Y., Ming, L., De Silva, P.M.C.S., Brammer, H., Dasgupta, T., Islam, M.R., Meharg, A.A.","Lead in rice: Analysis of baseline lead levels in market and field collected rice grains",2014,"Science of the Total Environment","485-486","1",,"428","434",,4,10.1016/j.scitotenv.2014.03.090,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84905649222&partnerID=40&md5=214b67c409f76bae11a1f5a7cfcc1488",Article,Scopus,2-s2.0-84905649222
"Cardoso, C., Zhang, Y., Jamil, M., Hepworth, J., Charnikhova, T., Dimkpa, S.O.N., Meharg, C., Wright, M.H., Liu, J., Meng, X., Wang, Y., Li, J., McCouch, S.R., Leyser, O., Price, A.H., Bouwmeester, H.J., Carolien, R.-S.","Erratum: Natural variation of rice strigolactone biosynthesis is associated with the deletion of two MAX1 orthologs (Proceedings of the National Academy of Sciences of the United States of America (2014) 111 (2379-2384) DOI: 10.1073/pnas.1317360111)",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","17",,"6528","",,1,10.1073/pnas.1405730111,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899654672&partnerID=40&md5=2117bd74cf662685354d3f5ea9021741",Erratum,Scopus,2-s2.0-84899654672
"Norton, G.J., Douglas, A., Lahner, B., Yakubova, E., Guerinot, M.L., Pinson, S.R.M., Tarpley, L., Eizenga, G.C., McGrath, S.P., Zhao, F.-J., Islam, M.R., Islam, S., Duan, G., Zhu, Y., Salt, D.E., Meharg, A.A., Price, A.H.","Genome wide association mapping of grain arsenic, copper, molybdenum and zinc in rice (Oryza sativa L.) grown at four international field sites",2014,"PLoS ONE","9","2", e89685,"","",,12,10.1371/journal.pone.0089685,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896110333&partnerID=40&md5=80762d358125708348582496c031ec09",Article,Scopus,2-s2.0-84896110333
"Cardoso, C., Zhang, Y., Jamil, M., Hepworth, J., Charnikhova, T., Dimkpa, S.O.N., Meharg, C., Wright, M.H., Liu, J., Meng, X., Wang, Y., Li, J., McCouch, S.R., Leyser, O., Price, A.H., Bouwmeester, H.J., Ruyter-Spira, C.","Natural variation of rice strigolactone biosynthesis is associated with the deletion of two MAX1 orthologs",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","6",,"2379","2384",,17,10.1073/pnas.1317360111,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893826202&partnerID=40&md5=c235e7acd468b0a746b9c3d8b46156fd",Article,Scopus,2-s2.0-84893826202
"Shrestha, R., Al-Shugeairy, Z., Al-Ogaidi, F., Munasinghe, M., Radermacher, M., Vandenhirtz, J., Price, A.H.","Comparing simple root phenotyping methods on a core set of rice genotypes",2014,"Plant Biology","16","3",,"632","642",,3,10.1111/plb.12096,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898039616&partnerID=40&md5=e45baa25839e4c6141b2fcd6fc6d2614",Article,Scopus,2-s2.0-84898039616
"Al-Shugeairy, Z., Islam, M.S., Shrestha, R., Al-Ogaidi, F., Norton, G.J., Price, A.H.","High throughput screening of rooting depth in rice using buried herbicide",2014,"Annals of Applied Biology","165","1",,"96","107",,2,10.1111/aab.12118,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902676420&partnerID=40&md5=0550c96d4282b26f2822ec2486013f16",Article,Scopus,2-s2.0-84902676420
"Ahmadi, N., Audebert, A., Bennett, M.J., Bishopp, A., de Oliveira, A.C., Courtois, B., Diedhiou, A., Diévart, A., Gantet, P., Ghesquière, A., Guiderdoni, E., Henry, A., Inukai, Y., Kochian, L., Laplaze, L., Lucas, M., Luu, D.T., Manneh, B., Mo, X., Muthurajan, R., Périn, C., Price, A., Robin, S., Sentenac, H., Sine, B., Uga, Y., Véry, A.A., Wissuwa, M., Wu, P., Xu, J.","The roots of future rice harvests",2014,"Rice","7","1",,"","",9,,10.1186/s12284-014-0029-y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84917695056&partnerID=40&md5=3f8ba2e2bdee017e46f527cbb036cd0a",Review,Scopus,2-s2.0-84917695056
"Batista, B.L., Nigar, M., Mestrot, A., Rocha, B.A., Júnior, F.B., Price, A.H., Raab, A., Feldmann, J.","Identification and quantification of phytochelatins in roots of rice to long-term exposure: Evidence of individual role on arsenic accumulation and translocation",2014,"Journal of Experimental Botany","65","6",,"1467","1479",,11,10.1093/jxb/eru018,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897380440&partnerID=40&md5=5385856af1d671c481bf7cd99e7da903",Article,Scopus,2-s2.0-84897380440
"Meharg, A.A., Norton, G., Deacon, C., Williams, P., Adomako, E.E., Price, A., Zhu, Y., Li, G., Zhao, F.-J., McGrath, S., Villada, A., Sommella, A., De Silva, P.M.C.S., Brammer, H., Dasgupta, T., Islam, M.R.","Variation in rice cadmium related to human exposure",2013,"Environmental Science and Technology","47","11",,"5613","5618",,24,10.1021/es400521h,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878627535&partnerID=40&md5=9198fb8ce422ba81a66a0b4507015160",Article,Scopus,2-s2.0-84878627535
