Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Raissig, M.T., Bemer, M., Baroux, C., Grossniklaus, U.","Genomic Imprinting in the Arabidopsis Embryo Is Partly Regulated by PRC2",2013,"PLoS Genetics","9","12", e1003862,"","",,15,10.1371/journal.pgen.1003862,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892719116&partnerID=40&md5=c49bc4110ae7c1795e612e3c0dd47f3e",Article,Scopus,2-s2.0-84892719116
"Raissig, M.T., Gagliardini, V., Jaenisch, J., Grossniklaus, U., Baroux, C.","Efficient and rapid isolation of early-stage embryos from Arabidopsis thaliana seeds.",2013,"Journal of visualized experiments : JoVE",,"76",,"","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893188214&partnerID=40&md5=96c46a30a4f68f9a537ad47a86a0fc73",Article,Scopus,2-s2.0-84893188214
"Raissig, M.T., Gagliardini, V., Jaenisch, J., Grossniklaus, U., Baroux, C.","Efficient and rapid isolation of early-stage embryos from Arabidopsis thaliana seeds",2013,"Journal of Visualized Experiments",,"76",,"","",,1,10.3791/50371,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878859005&partnerID=40&md5=75a38bf9c49555768de04af6b421cc3b",Article,Scopus,2-s2.0-84878859005
"Schmidt, A., Wöhrmann, H.J.P., Raissig, M.T., Arand, J., Gheyselinck, J., Gagliardini, V., Heichinger, C., Walter, J., Grossniklaus, U.","The Polycomb group protein MEDEA and the DNA methyltransferase MET1 interact to repress autonomous endosperm development in Arabidopsis",2013,"Plant Journal","73","5",,"776","787",,13,10.1111/tpj.12070,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874474410&partnerID=40&md5=0690d9957e7ed60b12396a74c94e50fb",Article,Scopus,2-s2.0-84874474410
"Baroux, C., Autran, D., Raissig, M.T., Grimanelli, D., Grossniklaus, U.","Parental contributions to the transcriptome of early plant embryos",2013,"Current Opinion in Genetics and Development","23","1",,"72","74",,6,10.1016/j.gde.2013.01.006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84877919660&partnerID=40&md5=00ac50879229f0c22c9f75cbf0695164",Note,Scopus,2-s2.0-84877919660
"Wöhrmann, H.J.P., Gagliardini, V., Raissig, M.T., Wehrle, W., Arand, J., Schmidt, A., Tierling, S., Page, D.R., Schöb, H., Walter, J., Grossniklaus, U.","Identification of a DNA methylationindependent imprinting control region at the Arabidopsis MEDEA locus",2012,"Genes and Development","26","16",,"1837","1850",,19,10.1101/gad.195123.112,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84865070375&partnerID=40&md5=9d0364b58b71092a879d9983da97cff1",Article,Scopus,2-s2.0-84865070375
"Lindner, H., Raissig, M.T., Sailer, C., Shimosato-Asano, H., Bruggmann, R., Grossniklaus, U.","SNP-ratio mapping (SRM): Identifying lethal alleles and mutations in complex genetic backgrounds by next-generation sequencing",2012,"Genetics","191","4",,"1381","1386",,16,10.1534/genetics.112.141341,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84865086989&partnerID=40&md5=e8824c0d2ad7a87861e13621fa2cf9b2",Note,Scopus,2-s2.0-84865086989
"Autran, D., Baroux, C., Raissig, M.T., Lenormand, T., Wittig, M., Grob, S., Steimer, A., Barann, M., Klostermeier, U.C., Leblanc, O., Vielle-Calzada, J.-P., Rosenstiel, P., Grimanelli, D., Grossniklaus, U.","Maternal epigenetic pathways control parental contributions to arabidopsis early embryogenesis",2011,"Cell","145","5",,"707","719",,80,10.1016/j.cell.2011.04.014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79957511516&partnerID=40&md5=9fe15e6e98193e38e46490903e06a6ce",Article,Scopus,2-s2.0-79957511516
"Baroux, C., Raissig, M.T., Grossniklaus, U.","Epigenetic regulation and reprogramming during gamete formation in plants",2011,"Current Opinion in Genetics and Development","21","2",,"124","133",,23,10.1016/j.gde.2011.01.017,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79953164071&partnerID=40&md5=32481ccca3bc1151dd56acf25539500f",Review,Scopus,2-s2.0-79953164071
"Raissig, M.T., Baroux, C., Grossniklaus, U.","Regulation and flexibility of genomic imprinting during seed development",2011,"Plant Cell","23","1",,"16","26",,65,10.1105/tpc.110.081018,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79952293152&partnerID=40&md5=ed06af29096586b38db738bdb5f4135e",Review,Scopus,2-s2.0-79952293152
