Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Bandrowski, A., Brush, M., Grethe, J.S., Haendel, M.A., Kennedy, D.N., Hill, S., Hof, P.R., Martone, M.E., Pols, M., Tan, S., Washington, N., Zudilova-Seinstra, E., Vasilevsky, N., Gonzalez-Beltran, A., Garcia-Castro, A., Kenall, A., Kessell, A., Chalmers, A., de Waard, A., Booty, C., Mietchen, D., Kavanagh, D., Kennedy, D., Iorns, E., van Hasselt, F., Murphy, F., Grethe, J., Smith, J., Deck, J., Schneider, J., Reiser, L., Sandström, M., Roelandse, M., Shimoyama, M., Martone, M., Sullivan, M., Giampoala, M., Haendel, M., Lauruhn, M., Gaudet, P., von Glasow, P., Fernandes, P., Murray-Rust, P., McQuilton, P., Nigam, R., Champieux, R., Crook, S., Shreejoy, S., Calin, S., Hagstrom, S., Richard, S., Sansone, S.-A., Clark, T., Alm, T., Whetzel, T.","The Resource Identification Initiative: A cultural shift in publishing",2015,"F1000Research","4",, 134,"","",,,10.12688/f1000research.6555.1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942100983&partnerID=40&md5=e2ce311466a010d85c76d5585099a6ec",Article,Scopus,2-s2.0-84942100983
"Berardini, T.Z., Reiser, L., Li, D., Mezheritsky, Y., Muller, R., Strait, E., Huala, E.","The arabidopsis information resource: Making and mining the ""gold standard"" annotated reference plant genome",2015,"Genesis","53","8",,"474","485",,,10.1002/dvg.22877,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939465979&partnerID=40&md5=6b5812dc1ba7dc0741701ac6d229b585",Article,Scopus,2-s2.0-84939465979
"Li, D., Dreher, K., Knee, E., Brkljacic, J., Grotewold, E., Berardini, T.Z., Lamesch, P., Garcia-Hernandez, M., Reiser, L., Huala, E.","Arabidopsis database and stock resources",2014,"Methods in Molecular Biology","1062",,,"65","96",,,10.1007/978-1-62703-580-4_4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934438130&partnerID=40&md5=e4c1eb8aafd930449054dd818fd4b49a",Article,Scopus,2-s2.0-84934438130
"Li, D., Dreher, K., Knee, E., Brkljacic, J., Grotewold, E., Berardini, T.Z., Lamesch, P., Garcia-Hernandez, M., Reiser, L., Huala, E.","Arabidopsis database and stock resources",2014,"Methods in Molecular Biology","1062",,,"65","96",,,10.1007/978-1-62703-580-4-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885675157&partnerID=40&md5=49b00b7ddccc58ff3bfe4916ece4d567",Article,Scopus,2-s2.0-84885675157
"Lamesch, P., Dreher, K., Swarbreck, D., Sasidharan, R., Reiser, L., Huala, E.","Using the arabidopsis information resource (TAIR) to find information about arabidopsis genes",2010,"Current Protocols in Bioinformatics",,"SUPPL. 30",,"1.11.1","1.11.51",,15,10.1002/0471250953.bi0111s9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77953238929&partnerID=40&md5=d36c5d45b7b9800a7a33be700b769631",Review,Scopus,2-s2.0-77953238929
"Avraham, S., Tung, C.-W., Ilic, K., Jaiswal, P., Kellogg, E.A., Mccouch, S., Pujar, A., Reiser, L., Rhee, S.Y., Sachs, M.M., Schaeffer, M., Stein, L., Stevens, P., Vincent, L., Zapata, F., Ware, D.","The Plant Ontology Database: A community resource for plant structure and developmental stages controlled vocabulary and annotations",2008,"Nucleic Acids Research","36","SUPPL. 1",,"D449","D454",,75,10.1093/nar/gkm908,"http://www.scopus.com/inward/record.url?eid=2-s2.0-38549134393&partnerID=40&md5=38ed0c7e33a4f93646eecbce2b26e20a",Article,Scopus,2-s2.0-38549134393
"Ilic, K., Kellogg, E.A., Jaiswal, P., Zapata, F., Stevens, P.F., Vincent, L.P., Avraham, S., Reiser, L., Pujar, A., Sachs, M.M., Whitman, N.T., McCouch, S.R., Schaeffer, M.L., Ware, D.H., Stein, L.D., Rhee, S.Y.","The plant structure ontology, a unified vocabulary of anatomy and morphology of a flowering plant",2007,"Plant Physiology","143","2",,"587","599",,61,10.1104/pp.106.092825,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34247192074&partnerID=40&md5=9d8c7e9d918d0ae1d64886774ab1575c",Article,Scopus,2-s2.0-34247192074
"Pujar, A., Jaiswal, P., Kellogg, E.A., Ilic, K., Vincent, L., Avraham, S., Stevens, P., Zapata, F., Reiser, L., Rhee, S.Y., Sachs, M.M., Schaeffer, M., Stein, L., Ware, D., McCouch, S.","Whole-plant growth stage ontology for angiosperms and its application in plant biology",2006,"Plant Physiology","142","2",,"414","428",,28,10.1104/pp.106.085720,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33750079855&partnerID=40&md5=70df6692714da6359f4b5090e1669ced",Article,Scopus,2-s2.0-33750079855
"Garcia-Hernandez, M., Reiser, L.","Using information from public Arabidopsis databases to aid research.",2006,"Methods in molecular biology (Clifton, N.J.)","323",,,"187","211",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33745285368&partnerID=40&md5=de3a32690410b3325ebcbf11304d689e",Article,Scopus,2-s2.0-33745285368
"Jaiswal, P., Avraham, S., Ilic, K., Kellogg, E.A., McCouch, S., Pujar, A., Reiser, L., Rhee, S.Y., Sachs, M.M., Schaeffer, M., Stein, L., Stevens, P., Vincent, L., Ware, D., Zapata, F.","Plant Ontology (PO): A controlled vocabulary of plant structures and growth stages",2005,"Comparative and Functional Genomics","6","7-8",,"388","397",,69,10.1002/cfg.496,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33644751190&partnerID=40&md5=fd64fb8646471b693c09dfdb58c91592",Article,Scopus,2-s2.0-33644751190
