Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Rellán-Álvarez, R., Lobet, G., Lindner, H., Pradier, P.-L., Sebastian, J., Yee, M.-C., Geng, Y., Trontin, C., Larue, T., Schrager-Lavelle, A., Haney, C.H., Nieu, R., Maloof, J., Vogel, J.P., Dinneny, J.R.","GLO-Roots: An imaging platform enabling multidimensional characterization of soil-grown root systems",2015,"eLife","4","AUGUST2015", e07597,"","",26,,10.7554/eLife.07597,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943802725&partnerID=40&md5=6d3aa2debd69fd2aa4e9684ecf1f8d71",Article,Scopus,2-s2.0-84943802725
"Sudre, D., Gutierrez-Carbonell, E., Lattanzio, G., Rellán-Álvarez, R., Gaymard, F., Wohlgemuth, G., Fiehn, O., Álvarez-Fernández, A., Zamarreño, A.M., Bacaicoa, E., Duy, D., García-Mina, J.-M., Abadía, J., Philippar, K., López-Millán, A.-F., Briat, J.-F.","Iron-dependent modifications of the flower transcriptome, proteome, metabolome, and hormonal content in an <",2013,"Journal of Experimental Botany","64","10",,"2665","2688",,9,10.1093/jxb/ert112,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879937784&partnerID=40&md5=a988b18cbc943b26c6bc43071916fb05",Article,Scopus,2-s2.0-84879937784
"Schuler, M., Rellán-Álvarez, R., Fink-Straube, C., Abadía, J., Bauera, P.","Nicotianamine functions in the phloem-based transport of iron to sink organs, in pollen development and pollen tube growth in Arabidopsis",2012,"Plant Cell","24","6",,"2380","2400",,40,10.1105/tpc.112.099077,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84864426728&partnerID=40&md5=88bbc0fdb0ffd21b68eadd580bb01e3f",Article,Scopus,2-s2.0-84864426728
"Navascués, J., Pérez-Rontomé, C., Sánchez, D.H., Staudinger, C., Wienkoop, S., Rellán-Álvarez, R., Becana, M.","Oxidative stress is a consequence, not a cause, of aluminum toxicity in the forage legume Lotus corniculatus",2012,"New Phytologist","193","3",,"625","636",,24,10.1111/j.1469-8137.2011.03978.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84855810417&partnerID=40&md5=866caaddf7b12342ec0fdb6c87e55eb7",Article,Scopus,2-s2.0-84855810417
"Rellán-Álvarez, R., El-Jendoubi, H., Wohlgemuth, G., Abadía, A., Fiehn, O., Abadía, J., Álvarez-Fernández, A.","Metabolite profile changes in xylem sap and leaf extracts of strategy I plants in response to iron deficiency and resupply",2011,"Frontiers in Plant Science","2","OCT", 66,"","",,15,10.3389/fpls.2011.00066,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873746765&partnerID=40&md5=ec762dbdc42c030deb99e321217bf47d",Article,Scopus,2-s2.0-84873746765
"Rellán-Álvarez, R., López-Gomollón, S., Abadía, J., Álvarez-Fernández, A.","Development of a new high-performance liquid chromatography-electrospray ionization time-of-flight mass spectrometry method for the determination of low molecular mass organic acids in plant tissue extracts",2011,"Journal of Agricultural and Food Chemistry","59","13",,"6864","6870",,14,10.1021/jf200482a,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79960057580&partnerID=40&md5=070306882b19ccc55d24a0e3cc04d2d9",Article,Scopus,2-s2.0-79960057580
"Abadía, J., Vázquez, S., Rellán-Álvarez, R., El-Jendoubi, H., Abadía, A., Álvarez-Fernández, A., López-Millán, A.F.","Towards a knowledge-based correction of iron chlorosis",2011,"Plant Physiology and Biochemistry","49","5",,"471","482",,71,10.1016/j.plaphy.2011.01.026,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79955140827&partnerID=40&md5=c616afeffcc94ea5ae7289353daf6a9d",Review,Scopus,2-s2.0-79955140827
"Sagardoy, R., Morales, F., Rellán-Álvarez, R., Abadía, A., Abadía, J., López-Millán, A.F.","Carboxylate metabolism in sugar beet plants grown with excess Zn",2011,"Journal of Plant Physiology","168","7",,"730","733",,15,10.1016/j.jplph.2010.10.012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79952624546&partnerID=40&md5=689e69c79e030d7e825527cd828dcac6",Article,Scopus,2-s2.0-79952624546
"Jiménez, S., Ollat, N., Deborde, C., Maucourt, M., Rellán-Álvarez, R., Moreno, M.T., Gogorcena, Y.","Metabolic response in roots of Prunus rootstocks submitted to iron chlorosis",2011,"Journal of Plant Physiology","168","5",,"415","423",,22,10.1016/j.jplph.2010.08.010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79251595637&partnerID=40&md5=fb479ec199a9cb7ea4d99d8fcebe2080",Article,Scopus,2-s2.0-79251595637
"Rodríguez-Celma, J., Rellán-Álvarez, R., Abadía, A., Abadía, J., López-Millán, A.-F.","Changes induced by two levels of cadmium toxicity in the 2-DE protein profile of tomato roots",2010,"Journal of Proteomics","73","9",,"1694","1706",,32,10.1016/j.jprot.2010.05.001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77954656356&partnerID=40&md5=0bc7369de38d262e60e62c6fdf9ea3e5",Article,Scopus,2-s2.0-77954656356
"Rellán-Álvarez, R., Andaluz, S., Rodríguez-Celma, J., Wohlgemuth, G., Zocchi, G., Álvarez-Fernández, A., Fiehn, O., López-Millán, A.F., Abadía, J.","Changes in the proteomic and metabolic profiles of Beta vulgaris root tips in response to iron deficiency and resupply",2010,"BMC Plant Biology","10",, 120,"","",,46,10.1186/1471-2229-10-120,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77953672453&partnerID=40&md5=1ba026fa22cc32fadae8b257b01251a4",Article,Scopus,2-s2.0-77953672453
"Pascual, I., Azcona, I., Aguirreolea, J., Morales, F., Corpas, F.J., Palma, J.M., Rellán-Álvarez, R., Sánchez-Díaz, M.","Growth, yield, and fruit quality of pepper plants amended with two sanitized sewage sludges",2010,"Journal of Agricultural and Food Chemistry","58","11",,"6951","6959",,16,10.1021/jf100282f,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77953165133&partnerID=40&md5=8055cbd018a4e9d73ed8dbd6f8af3de3",Article,Scopus,2-s2.0-77953165133
"Rellán-Álvarez, R., Giner-Martínez-Sierra, J., Orduna, J., Orera, I., Rodríguez-Castrilln, J.A., García-Alonso, J.I., Abadía, J., Álvarez-Fernández, A.","Identification of a Tri-Iron(III), Tri-Citrate Complex in the Xylem Sap of Iron-Deficient Tomato Resupplied with Iron: New Insights into Plant Iron Long-Distance Transport",2010,"Plant and Cell Physiology","51","1",,"91","102",,75,10.1093/pcp/pcp170,"http://www.scopus.com/inward/record.url?eid=2-s2.0-74549203240&partnerID=40&md5=0253ef5b901345096c6142d083510a46",Article,Scopus,2-s2.0-74549203240
"Martí, M.C., Camejo, D., Fernández-García, N., Rellán-Álvarez, R., Marques, S., Sevilla, F., Jiménez, A.","Effect of oil refinery sludges on the growth and antioxidant system of alfalfa plants",2009,"Journal of Hazardous Materials","171","1-3",,"879","885",,23,10.1016/j.jhazmat.2009.06.083,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70349316752&partnerID=40&md5=2f0e6ee3e97ddb6e147a94a65561b299",Article,Scopus,2-s2.0-70349316752
"Rellán-Álvarez, R., Abadía, J., Álvarez-Fernández, A.","Formation of metal-nicotianamine complexes as affected by pH, ligand exchange with citrate and metal exchange. A study by electrospray ionization time-of-flight mass spectrometry",2008,"Rapid Communications in Mass Spectrometry","22","10",,"1553","1562",,55,10.1002/rcm.3523,"http://www.scopus.com/inward/record.url?eid=2-s2.0-45149109934&partnerID=40&md5=15df4a9b5870d8ffb6e7eb926dfa34ef",Article,Scopus,2-s2.0-45149109934
"Ortega-Villasante, C., Hernández, L.E., Rellán-Álvarez, R., Del Campo, F.F., Carpena-Ruiz, R.O.","Rapid alteration of cellular redox homeostasis upon exposure to cadmium and mercury in alfalfa seedlings",2007,"New Phytologist","176","1",,"96","107",,70,10.1111/j.1469-8137.2007.02162.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34548438158&partnerID=40&md5=5179545cf147fec9e62e2eb4a9b51b40",Article,Scopus,2-s2.0-34548438158
"Rellán-Álvarez, R., Hernández, L.E., Abadía, J., Álvarez-Fernández, A.","Direct and simultaneous determination of reduced and oxidized glutathione and homoglutathione by liquid chromatography-electrospray/mass spectrometry in plant tissue extracts",2006,"Analytical Biochemistry","356","2",,"254","264",,54,10.1016/j.ab.2006.05.032,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33747878198&partnerID=40&md5=9687a92274e4637c8a39688a4651286c",Article,Scopus,2-s2.0-33747878198
"Rellán-Álvarez, R., Ortega-Villasante, C., Álvarez-Fernández, A., Campo, F.F.D., Hernández, L.E.","Stress responses of Zea mays to cadmium and mercury",2006,"Plant and Soil","279","1-2",,"41","50",,76,10.1007/s11104-005-3900-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-32544431929&partnerID=40&md5=e2bf0f97921de80705939b156a61bb17",Article,Scopus,2-s2.0-32544431929
"Ortega-Villasante, C., Rellán-Álvarez, R., Del Campo, F.F., Carpena-Ruiz, R.O., Hernández, L.E.","Cellular damage induced by cadmium and mercury in Medicago sativa",2005,"Journal of Experimental Botany","56","418",,"2239","2251",,126,10.1093/jxb/eri223,"http://www.scopus.com/inward/record.url?eid=2-s2.0-24944536376&partnerID=40&md5=85164551f13619780faadf373cd3a66a",Article,Scopus,2-s2.0-24944536376
