Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Dametto, A., Sperotto, R.A., Adamski, J.M., Blasi, T.A.R., Cargnelutti, D., de Oliveira, L.F.V., Ricachenevsky, F.K., Fregonezi, J.N., Mariath, J.E.A., da Cruz, R.P., Margis, R., Fett, J.P.","Cold tolerance in rice germinating seeds revealed by deep RNAseq analysis of contrasting indica genotypes",2015,"Plant Science","238",,,"1","12",,,10.1016/j.plantsci.2015.05.009,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930948164&partnerID=40&md5=f51d8ecee11b0f6890f4abe8d5850043",Article,Scopus,2-s2.0-84930948164
"Ricachenevsky, F.K., Menguer, P.K., Sperotto, R.A., Fett, J.P.","Got to hide your Zn away: Molecular control of Zn accumulation and biotechnological applications",2015,"Plant Science","236",,,"1","17",,,10.1016/j.plantsci.2015.03.009,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926391659&partnerID=40&md5=edf7cba69d4d912a61d852b0a56bbea7",Review,Scopus,2-s2.0-84926391659
"Sperotto, R.A., Ricachenevsky, F.K., Williams, L.E., Vasconcelos, M.W., Menguer, P.K.","From soil to seed: Micronutrient movement into and within the plant",2014,"Frontiers in Plant Science","5","SEP",,"","",3,4,10.3389/fpls.2014.00438,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908179226&partnerID=40&md5=e53335819806949c041e562a8d99f184",Editorial,Scopus,2-s2.0-84908179226
"Ricachenevsky, F.K., Sperotto, R.A.","There and back again, or always there? The evolution of rice combined strategy for Fe uptake",2014,"Frontiers in Plant Science","5","MAY", 189,"","",,2,10.3389/fpls.2014.00189,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901048419&partnerID=40&md5=9de5cdad740f2e2718c4148b7e722983",Article,Scopus,2-s2.0-84901048419
"Hermand, V., Julio, E., Dorlhac De Borne, F., Punshon, T., Ricachenevsky, F.K., Bellec, A., Gosti, F., Berthomieu, P.","Inactivation of two newly identified tobacco heavy metal ATPases leads to reduced Zn and Cd accumulation in shoots and reduced pollen germination",2014,"Metallomics","6","8",,"1427","1440",,1,10.1039/c4mt00071d,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904791123&partnerID=40&md5=5f7330118e98b287f48b5fc7ec584253",Article,Scopus,2-s2.0-84904791123
"Punshon, T., Tappero, R., Ricachenevsky, F.K., Hirschi, K., Nakata, P.A.","Contrasting calcium localization and speciation in leaves of the Medicago truncatula mutant cod5 analyzed via synchrotron X-ray techniques",2013,"Plant Journal","76","4",,"627","633",,2,10.1111/tpj.12322,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84886784687&partnerID=40&md5=5e5b0ac59f1857f55f771e648d6584b1",Article,Scopus,2-s2.0-84886784687
"Punshon, T., Ricachenevsky, F.K., Hindt, M.N., Socha, A.L., Zuber, H.","Methodological approaches for using synchrotron X-ray fluorescence (SXRF) imaging as a tool in ionomics: Examples from Arabidopsis thaliana",2013,"Metallomics","5","9",,"1133","1145",,7,10.1039/c3mt00120b,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883018555&partnerID=40&md5=5bc0bf30cf47807d10deed3f5cad84c2",Review,Scopus,2-s2.0-84883018555
"Menguer, P.K., Farthing, E., Peaston, K.A., Ricachenevsky, F.K., Fett, J.P., Williams, L.E.","Functional analysis of the rice vacuolar zinc transporter OsMTP1",2013,"Journal of Experimental Botany","64","10",,"2871","2883",,8,10.1093/jxb/ert136,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879896536&partnerID=40&md5=1633caf6a23d05e406f602dd2ae78914",Article,Scopus,2-s2.0-84879896536
"Ricachenevsky, F.K., Menguer, P.K., Sperotto, R.A.","kNACking on heaven's door: How important are NAC transcription factors for leaf senescence and Fe/Zn remobilization to seeds?",2013,"Frontiers in Plant Science","4","JUL", 226,"","",,6,10.3389/fpls.2013.00226,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84888325903&partnerID=40&md5=a56b0a984a751f6fada04f3c0f2a4d0f",Review,Scopus,2-s2.0-84888325903
"Sperotto, R.A., Ricachenevsky, F.K., de Waldow, V.A., Müller, A.L.H., Dressler, V.L., Fett, J.P.","Rice grain Fe, Mn and Zn accumulation: How important are flag leaves and seed number?",2013,"Plant, Soil and Environment","59","6",,"262","266",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878257040&partnerID=40&md5=ba67e247be327ec4c1320f842b2ddf7a",Article,Scopus,2-s2.0-84878257040
"Ricachenevsky, F.K., Menguer, P.K., Sperotto, R.A., Williams, L.E., Fett, J.P.","Roles of plant metal tolerance proteins (MTP) in metal storage and potential use in biofortification strategies",2013,"Frontiers in Plant Science","4","MAY", 144,"","",,10,10.3389/fpls.2013.00144,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84900867176&partnerID=40&md5=26abf2b3544c0e73c1d7340750f3496b",Review,Scopus,2-s2.0-84900867176
"Sperotto, R.A., Ricachenevsky, F.K., Waldow, V.D.A., Fett, J.P.","Iron biofortification in rice: It's a long way to the top",2012,"Plant Science","190",,,"24","39",,34,10.1016/j.plantsci.2012.03.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84859806622&partnerID=40&md5=edb3611e10da23fc8fc20d09676b2dbe",Review,Scopus,2-s2.0-84859806622
"Ricachenevsky, F.K., Sperotto, R.A., Menguer, P.K., Sperb, E.R., Lopes, K.L., Fett, J.P.","ZINC-INDUCED FACILITATOR-LIKE family in plants: Lineage-specific expansion in monocotyledons and conserved genomic and expression features among rice (Oryza sativa) paralogs",2011,"BMC Plant Biology","11",, 20,"","",,10,10.1186/1471-2229-11-20,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78951491918&partnerID=40&md5=052354f28b4c3932dd31a0e17d97348a",Article,Scopus,2-s2.0-78951491918
"Bruno, A.N., Carneiro-Ramos, M.S., Buffon, A., Pochmann, D., Ricachenevsky, F.K., Barreto-Chaves, M.L.M., Sarkis, J.J.F.","Thyroid hormones alter the adenine nucleotide hydrolysis in adult rat blood serum",2011,"BioFactors","37","1",,"40","45",,3,10.1002/biof.133,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79951643549&partnerID=40&md5=91193e2bae9c314bdff7c0ab497bb4a9",Article,Scopus,2-s2.0-79951643549
"Ricachenevsky, F.K., Sperotto, R.A., Menguer, P.K., Fett, J.P.","Identification of Fe-excess-induced genes in rice shoots reveals a WRKY transcription factor responsive to Fe, drought and senescence",2010,"Molecular Biology Reports","37","8",,"3735","3745",,7,10.1007/s11033-010-0027-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78149470404&partnerID=40&md5=3c41ce7e82549ae4761804fede949cd9",Article,Scopus,2-s2.0-78149470404
