Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Zhang, J., Khan, S.A., Hasse, C., Ruf, S., Heckel, D.G., Bock, R.","Full crop protection from an insect pest by expression of long double-stranded RNAs in plastids",2015,"Science","347","6225",,"991","994",,12,10.1126/science.1261680,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923778615&partnerID=40&md5=473926928f53747d4584fcbb60ecdc86",Article,Scopus,2-s2.0-84923778615
"Ehrnthaler, M., Scharff, L.B., Fleischmann, T.T., Hasse, C., Ruf, S., Bock, R.","Synthetic lethality in the tobacco plastid ribosome and its rescue at elevated growth temperatures",2014,"Plant Cell","26","2",,"765","776",,2,10.1105/tpc.114.123240,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897095246&partnerID=40&md5=b4067f04cf37dcc6318abbde8493d4e3",Article,Scopus,2-s2.0-84897095246
"Ruf, S., Bock, R.","Plastid transformation in tomato",2014,"Methods in Molecular Biology","1132",,,"265","276",,1,10.1007/978-1-62703-995-6_16,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84910120758&partnerID=40&md5=d76e211939dbeead78f3f8de0cc49d65",Article,Scopus,2-s2.0-84910120758
"Krech, K., Fu, H.-Y., Thiele, W., Ruf, S., Schöttler, M.A., Bock, R.","Reverse genetics in complex multigene operons by co-transformation of the plastid genome and its application to the open reading frame previously designated psbN",2013,"Plant Journal","75","6",,"1062","1074",,8,10.1111/tpj.12256,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883811893&partnerID=40&md5=4071ecae4f2f3e8b58d7c550f44e4ebb",Article,Scopus,2-s2.0-84883811893
"Lu, Y., Rijzaani, H., Karcher, D., Ruf, S., Bock, R.","Efficient metabolic pathway engineering in transgenic tobacco and tomato plastids with synthetic multigene operons",2013,"Proceedings of the National Academy of Sciences of the United States of America","110","8",,"E623","E632",,27,10.1073/pnas.1216898110,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874228036&partnerID=40&md5=5c8ce3fe9582888b1e94e1c830c34c3b",Article,Scopus,2-s2.0-84874228036
"Caroca, R., Howell, K.A., Hasse, C., Ruf, S., Bock, R.","Design of chimeric expression elements that confer high-level gene activity in chromoplasts",2013,"Plant Journal","73","3",,"368","379",,16,10.1111/tpj.12031,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873051879&partnerID=40&md5=b16c183b1063cab0917485ae156862fd",Article,Scopus,2-s2.0-84873051879
"Shanmugabalaji, V., Besagni, C., Piller, L.E., Douet, V., Ruf, S., Bock, R., Kessler, F.","Dual targeting of a mature plastoglobulin/fibrillin fusion protein to chloroplast plastoglobules and thylakoids in transplastomic tobacco plants",2013,"Plant Molecular Biology","81","1-2",,"13","25",,4,10.1007/s11103-012-9977-z,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871406031&partnerID=40&md5=7cc39a172af637720da116b45f244e81",Article,Scopus,2-s2.0-84871406031
"Alkatib, S., Scharff, L.B., Rogalski, M., Fleischmann, T.T., Matthes, A., Seeger, S., Schöttler, M.A., Ruf, S., Bock, R.","The Contributions of Wobbling and Superwobbling to the Reading of the Genetic Code",2012,"PLoS Genetics","8","11", e1003076,"","",,21,10.1371/journal.pgen.1003076,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870655121&partnerID=40&md5=60cd296d436bbb0f9e887d640a15727b",Article,Scopus,2-s2.0-84870655121
"Zhang, J., Ruf, S., Hasse, C., Childs, L., Scharff, L.B., Bock, R.","Identification of cis-elements conferring high levels of gene expression in non-green plastids",2012,"Plant Journal","72","1",,"115","128",,16,10.1111/j.1365-313X.2012.05065.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84866730262&partnerID=40&md5=224b5c87f6188837cf30ae338c63461d",Article,Scopus,2-s2.0-84866730262
"Krech, K., Ruf, S., Masduki, F.F., Thiele, W., Bednarczyk, D., Albus, C.A., Tiller, N., Hasse, C., Schöttler, M.A., Bock, R.","The plastid genome-encoded Ycf4 protein functions as a nonessential assembly factor for photosystem I in higher plants",2012,"Plant Physiology","159","2",,"579","591",,27,10.1104/pp.112.196642,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84861915754&partnerID=40&md5=7005409956835cddea4fc31aa77cbd37",Article,Scopus,2-s2.0-84861915754
"Ruf, S., Bock, R.","In vivo analysis of RNA editing in plastids.",2011,"Methods in molecular biology (Clifton, N.J.)","718",,,"137","150",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84855487711&partnerID=40&md5=c728519fcd2be879ddad2f5430f41c5f",Article,Scopus,2-s2.0-84855487711
"Elghabi, Z., Ruf, S., Bock, R.","Biolistic co-transformation of the nuclear and plastid genomes",2011,"Plant Journal","67","5",,"941","948",,13,10.1111/j.1365-313X.2011.04631.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80052262384&partnerID=40&md5=01a5adf688756401c9825e574e08da35",Article,Scopus,2-s2.0-80052262384
