Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Lu, S., Yin, X., Spollen, W., Zhang, N., Xu, D., Schoelz, J., Bilyeu, K., Zhang, Z.J.","Analysis of the siRNA-mediated gene silencing process targeting three homologous genes controlling soybean seed oil quality",2015,"PLoS ONE","10","6", e0129010,"","",,,10.1371/journal.pone.0129010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84936805407&partnerID=40&md5=024b5eef50e7afe7be8fe552a70d5f7c",Article,Scopus,2-s2.0-84936805407
"Lutz, L., Okenka, G., Schoelz, J., Leisner, S.","Mutations within A 35 amino acid region of P6 influence self-association, inclusion body formation, and Caulimovirus infectivity",2015,"Virology","476",,,"26","36",,,10.1016/j.virol.2014.11.017,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84916887250&partnerID=40&md5=391287643ac205e971b1c03edfd9cd80",Article,Scopus,2-s2.0-84916887250
"Zhang, Y., Angel, C.A., Valdes, S., Qiu, W., Schoelz, J.E.","Characterization of the promoter of Grapevine vein clearing virus",2015,"Journal of General Virology","96","1",,"165","169",,,10.1099/vir.0.069286-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84918784255&partnerID=40&md5=1af8731c8f1cfa1b471468525057ca70",Article,Scopus,2-s2.0-84918784255
"Adhab, M.A., Schoelz, J.E.","Report of the turnip aphid, Lipaphis erysimi (Kaltenbach, 1843) from Missouri, USA",2015,"Journal of Plant Protection Research","55","3",,"327","328",,,10.1515/jppr-2015-0035,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941620247&partnerID=40&md5=44088d26dc1170dde584b7707f9fdd14",Article,Scopus,2-s2.0-84941620247
"Guo, Q., Honesty, S., Xu, M.L., Zhang, Y., Schoelz, J., Qiu, W.","Genetic diversity and tissue and host specificity of Grapevine vein clearing virus",2014,"Phytopathology","104","5",,"539","547",,1,10.1094/PHYTO-03-13-0075-R,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899492403&partnerID=40&md5=dc2dd97076e48d277faff4b2a2c9f116",Article,Scopus,2-s2.0-84899492403
"Rodriguez, A., Angel, C.A., Lutz, L., Leisner, S.M., Nelson, R.S., Schoelz, J.E.","Association of the p6 Protein of Cauliflower Mosaic virus with Plasmodesmata and Plasmodesmal proteins",2014,"Plant Physiology","166","3",,"1345","1358",,2,10.1104/pp.114.249250,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908604563&partnerID=40&md5=ef531b774b43f5b903db63118133fe5e",Article,Scopus,2-s2.0-84908604563
"Angel, C.A., Lutz, L., Yang, X., Rodriguez, A., Adair, A., Zhang, Y., Leisner, S.M., Nelson, R.S., Schoelz, J.E.","The P6 protein of Cauliflower mosaic virus interacts with CHUP1, a plant protein which moves chloroplasts on actin microfilaments",2013,"Virology","443","2",,"363","374",,5,10.1016/j.virol.2013.05.028,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880509809&partnerID=40&md5=53285f3274aef9a022a66eb773ee9965",Article,Scopus,2-s2.0-84880509809
"Laliberté, J.-F., Moffett, P., Sanfaçon, H., Wang, A., Nelson, R.S., Schoelz, J.E.","e-Book on plant virus infection - A cell biology perspective",2013,"Frontiers in Plant Science","4","JUN", 203,"","",,3,10.3389/fpls.2013.00203,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897653141&partnerID=40&md5=9df93d0096c16145c35c2151f973b33e",Editorial,Scopus,2-s2.0-84897653141
"Angel, C.A., Schoelz, J.E.","A survey of resistance to tomato bushy stunt virus in the genus nicotiana reveals that the hypersensitive response is triggered by one of three different viral proteins",2013,"Molecular Plant-Microbe Interactions","26","2",,"240","248",,14,10.1094/MPMI-06-12-0157-R,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84872313843&partnerID=40&md5=ef09f7cebf606803dfdf30e3366b29f1",Review,Scopus,2-s2.0-84872313843
"Schoelz, J.E., Harries, P.A., Nelson, R.S.","Intracellular transport of plant viruses: Finding the door out of the cell",2011,"Molecular Plant","4","5",,"813","831",,75,10.1093/mp/ssr070,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80053463385&partnerID=40&md5=f74cdbce9eafb1f66c2c341e20ab673f",Review,Scopus,2-s2.0-80053463385
