Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Best, N.B., Hartwig, T., Budka, J.S., Bishop, B.J., Brown, E., Potluri, D.P.V., Cooper, B.R., Premachandra, G.S., Johnston, C.T., Schulz, B.","Soilless plant growth media influence the efficacy of phytohormones and phytohormone inhibitors",2014,"PLoS ONE","9","12", e107689,"","",,,10.1371/journal.pone.0107689,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84915747317&partnerID=40&md5=77332fe2e6cc3acca4eb333989f38ca6",Article,Scopus,2-s2.0-84915747317
"Kadam, U.S., Schulz, B., Lrudayaraj, J.","Detection and quantification of alternative splice sites in Arabidopsis genes AtDCL2 and AtPTB2 with highly sensitive surface enhanced Raman spectroscopy (SERS) and gold nanoprobes",2014,"FEBS Letters","588","9",,"1637","1643",,,10.1016/j.febslet.2014.02.061,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899631384&partnerID=40&md5=e3681897f2f4001c1f13be534d23b550",Article,Scopus,2-s2.0-84899631384
"Kim, B., Kwon, M., Jeon, J., Schulz, B., Corvalán, C., Jeong, Y.J., Choe, S.","The arabidopsis gulliver2/phyB mutant exhibits reduced sensitivity to brassinazole",2014,"Journal of Plant Biology","57","1",,"20","27",,3,10.1007/s12374-013-0380-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892513268&partnerID=40&md5=8ef58710c1a16f6203e128de859865cb",Article,Scopus,2-s2.0-84892513268
"Dockter, C., Gruszka, D., Braumann, I., Druka, A., Druka, I., Franckowiak, J., Gough, S.P., Janeczko, A., Kurowska, M., Lundqvist, J., Lundqvist, U., Marzec, M., Matyszczak, I., Müller, A.H., Oklestkova, J., Schulz, B., Zakhrabekova, S., Hansson, M.","Induced variations in brassinosteroid genes define barley height and sturdiness, and expand the green revolution genetic toolkit",2014,"Plant Physiology","166","4",,"1912","1927",,4,10.1104/pp.114.250738,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84914146005&partnerID=40&md5=1c9fa661bb799e172014b34b75a6f354",Article,Scopus,2-s2.0-84914146005
"Kadam, U., Moeller, C.A., Irudayaraj, J., Schulz, B.","Effect of T-DNA insertions on mRNA transcript copy numbers upstream and downstream of the insertion site in arabidopsis thaliana explored by surface enhanced raman spectroscopy",2014,"Plant Biotechnology Journal","12","5",,"568","577",,2,10.1111/pbi.12161,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901612488&partnerID=40&md5=dcf189703d5f3af1e149ea823295fb0b",Article,Scopus,2-s2.0-84901612488
"Hartwig, T., Corvalan, C., Best, N.B., Budka, J.S., Zhu, J.-Y., Choe, S., Schulz, B.","Propiconazole is a specific and accessible brassinosteroid (BR) biosynthesis inhibitor for arabidopsis and maize",2012,"PLoS ONE","7","5", e36625,"","",,30,10.1371/journal.pone.0036625,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860743162&partnerID=40&md5=cde3c52dd6deb56559f553cd3e847189",Article,Scopus,2-s2.0-84860743162
"Hartwig, T., Chuck, G.S., Fujioka, S., Klempien, A., Weizbauer, R., Potluri, D.P.V., Choe, S., Johal, G.S., Schulz, B.","Brassinosteroid control of sex determination in maize",2011,"Proceedings of the National Academy of Sciences of the United States of America","108","49",,"19814","19819",,40,10.1073/pnas.1108359108,"http://www.scopus.com/inward/record.url?eid=2-s2.0-83755177831&partnerID=40&md5=e98d7fbced8e5de00e593c81c37a3027",Article,Scopus,2-s2.0-83755177831
"Weizbauer, R., Peters, W.S., Schulz, B.","Geometric constraints and the anatomical interpretation of twisted plant organ phenotypes",2011,"Frontiers in Plant Science","2","OCT", 62,"","",,4,10.3389/fpls.2011.00062,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860485295&partnerID=40&md5=66193932c83f03f1cee964ab6cfcef4d",Article,Scopus,2-s2.0-84860485295
"Banks, J.A., Nishiyama, T., Hasebe, M., Bowman, J.L., Gribskov, M., DePamphilis, C., Albert, V.A., Aono, N., Aoyama, T., Ambrose, B.A., Ashton, N.W., Axtell, M.J., Barker, E., Barker, M.S., Bennetzen, J.L., Bonawitz, N.D., Chapple, C., Cheng, C., Correa, L.G.G., Dacre, M., DeBarry, J., Dreyer, I., Elias, M., Engstrom, E.M., Estelle, M., Feng, L., Finet, C., Floyd, S.K., Frommer, W.B., Fujita, T., Gramzow, L., Gutensohn, M., Harholt, J., Hattori, M., Heyl, A., Hirai, T., Hiwatashi, Y., Ishikawa, M., Iwata, M., Karol, K.G., Koehler, B., Kolukisaoglu, U., Kubo, M., Kurata, T., Lalonde, S., Li, K., Li, Y., Litt, A., Lyons, E., Manning, G., Maruyama, T., Michael, T.P., Mikami, K., Miyazaki, S., Morinaga, S.-I., TakashiMurata, Mueller-Roeber, B., Nelson, D.R., Obara, M., Oguri, Y., Olmstead, R.G., Onodera, N., Petersen, B.L., Pils, B., Prigge, M., Rensing, S.A., Riaño-Pachón, D.M., Roberts, A.W., Sato, Y., Scheller, H.V., Schulz, B., Schulz, C., Shakirov, E.V., Shibagaki, N., Shinohara, N., Shippen, D.E., Sørensen, I., Sotooka, R., Sugimoto, N., Sugita, M., Sumikawa, N., Tanurdzic, M., Theißen, G., Ulvskov, P., Wakazuki, S., Weng, J., Willats, W.W.G.T., Wipf, D., Wolf, P.G., Yang, L., Zimmer, A.D., Zhu, Q., Mitros, T., Hellsten, U., Loqué, D., Otillar, R., Salamov, A., Schmutz, J., Shapiro, H., Lindquist, E., Lucas, S., Rokhsar, D., Grigoriev, I.V.","The selaginella genome identifies genetic changes associated with the evolution of vascular plants",2011,"Science","332","6032",,"960","963",,226,10.1126/science.1203810,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79956309501&partnerID=40&md5=dd496782c3ea73b2a70c18f48d6cb150",Article,Scopus,2-s2.0-79956309501
"Maharjan, P.M., Schulz, B., Choe, S.","BIN2/DWF12 Antagonistically Transduces Brassinosteroid and Auxin Signals in the Roots of Arabidopsis",2011,"Journal of Plant Biology","54","2",,"126","134",,11,10.1007/s12374-010-9138-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79952538162&partnerID=40&md5=8e637401b09b8ff9d3d40d0260b33cfa",Article,Scopus,2-s2.0-79952538162
