Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Ge, X., Milenkovic, L., Suyama, K., Hartl, T., Purzner, T., Winans, A., Meyer, T., Scott, M.P.","Phosphodiesterase 4D acts downstream of Neuropilin to control Hedgehog signal transduction and the growth of medulloblastoma",2015,"eLife","4","September2015", e07068,"","",20,,10.7554/eLife.07068,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942026102&partnerID=40&md5=3e99f573a7de0cb59ac95cb07525a001",Article,Scopus,2-s2.0-84942026102
"Milenkovic, L., Weiss, L.E., Yoon, J., Roth, T.L., Su, Y.R.S., Sahl, S.J., Scott, M.P., Moerner, W.E.","Single-molecule imaging of Hedgehog pathway protein Smoothened in primary cilia reveals binding events regulated by Patched1",2015,"Proceedings of the National Academy of Sciences of the United States of America","112","27",,"8320","8325",,,10.1073/pnas.1510094112,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84936817681&partnerID=40&md5=00a2648cc4eff137442917ef7d9fb488",Article,Scopus,2-s2.0-84936817681
"Eisner, A., Pazyra-Murphy, M.F., Durresi, E., Zhou, P., Zhao, X., Chadwick, E.C., Xu, P.-X., Hillman, R.T., Scott, M.P., Greenberg, M.E., Segal, R.A.","The Eya1 phosphatase promotes shh signaling during hindbrain development and oncogenesis",2015,"Developmental Cell","33","1",,"22","36",,1,10.1016/j.devcel.2015.01.033,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926407491&partnerID=40&md5=c2d085e4f4bfb5d33ac4655206899371",Article,Scopus,2-s2.0-84926407491
"Roth, T.L., Milenkovic, L., Scott, M.P.","A rapid and simple method for DNA engineering using cycled ligation assembly",2014,"PLoS ONE","9","9", e107329,"","",,1,10.1371/journal.pone.0107329,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907158663&partnerID=40&md5=143e2fecf11c0f740b46f59ff87c7ee4",Article,Scopus,2-s2.0-84907158663
"Hartl, T.A., Scott, M.P.","Wing tips: The wing disc as a platform for studying Hedgehog signaling",2014,"Methods","68","1",,"199","206",,2,10.1016/j.ymeth.2014.02.002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901820019&partnerID=40&md5=35667ad3d4bbb5be7da299c68f1074df",Article,Scopus,2-s2.0-84901820019
"Cao, J., Ni, J., Ma, W., Shi, V., Milla, L.A., Park, S., Spletter, M.L., Tang, S., Zhang, J., Wei, X., Kim, S.K., Scott, M.P.","Insight into insulin secretion from transcriptome and genetic analysis of insulin-producing cells of Drosophila",2014,"Genetics","197","1",,"175","192",,3,10.1534/genetics.113.160663,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901359710&partnerID=40&md5=55b89975069b27fe1174702de3dfec50",Article,Scopus,2-s2.0-84901359710
"Hayden Gephart, M.G., Su, Y.S., Bandara, S., Tsai, F.-C., Hong, J., Conley, N., Rayburn, H., Milenkovic, L., Meyer, T., Scott, M.P.","Neuropilin-2 contributes to tumorigenicity in a mouse model of Hedgehog pathway medulloblastoma",2013,"Journal of Neuro-Oncology","115","2",,"161","168",,2,10.1007/s11060-013-1216-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84886592079&partnerID=40&md5=ea101192267cea1d2cf14ccd82c30e26",Article,Scopus,2-s2.0-84886592079
"Moore, S.J., Hayden Gephart, M.G., Bergen, J.M., Su, Y.S., Rayburn, H., Scott, M.P., Cochran, J.R.","Engineered knottin peptide enables noninvasive optical imaging of intracranial medulloblastoma",2013,"Proceedings of the National Academy of Sciences of the United States of America","110","36",,"14598","14603",,14,10.1073/pnas.1311333110,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883442008&partnerID=40&md5=abf37d42d3546595954cd78e05a9a3be",Article,Scopus,2-s2.0-84883442008
"Lopez, M.E., Scott, M.P.","Genetic dissection of a cell-autonomous neurodegenerative disorder: Lessons learned from mouse models of Niemann-Pick disease type C",2013,"DMM Disease Models and Mechanisms","6","5",,"1089","1100",,4,10.1242/dmm.012385,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883877051&partnerID=40&md5=ef049a9cae2a39635a47ab066c5a38be",Review,Scopus,2-s2.0-84883877051
"Barakat, M.T., Humke, E.W., Scott, M.P.","Kif3a is necessary for initiation and maintenance of medulloblastoma",2013,"Carcinogenesis","34","6",,"1382","1392",,5,10.1093/carcin/bgt041,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879004103&partnerID=40&md5=54ec62a272a3da0a46c5eeddf76f21ec",Article,Scopus,2-s2.0-84879004103
