Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Lee, J., Yun, J.-Y., Zhao, W., Shen, W.-H., Amasino, R.M.","A methyltransferase required for proper timing of the vernalization response in arabidopsis",2015,"Proceedings of the National Academy of Sciences of the United States of America","112","7",,"2269","2274",,2,10.1073/pnas.1423585112,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923166406&partnerID=40&md5=c1306b05f65abdc69649c11833ef42b2",Article,Scopus,2-s2.0-84923166406
"Shi, J., Dong, A., Shen, W.-H.","Epigenetic regulation of rice flowering and reproduction",2015,"Frontiers in Plant Science","5","JAN", 803,"1","13",,,10.3389/fpls.2014.00803,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922247986&partnerID=40&md5=bc38810a21da90833edea7b103c788ab",Article,Scopus,2-s2.0-84922247986
"Zhao, W., Shafiq, S., Berr, A., Shen, W.-H.","Genome-wide gene expression profiling to investigate molecular phenotypes of Arabidopsis mutants deprived in distinct histone methyltransferases and demethylases",2015,"Genomics Data","4",,,"143","145",,,10.1016/j.gdata.2015.04.006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929401809&partnerID=40&md5=2d4e248b56c4ac7b21ba545ba05b2199",Article,Scopus,2-s2.0-84929401809
"Zhou, W., Zhu, Y., Dong, A., Shen, W.-H.","Histone H2A/H2B chaperones: From molecules to chromatin-based functions in plant growth and development",2015,"Plant Journal","83","1",,"78","95",,2,10.1111/tpj.12830,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84932197783&partnerID=40&md5=14856dcdf7d356a6574d4643bdb5d671",Article,Scopus,2-s2.0-84932197783
"Berr, A., Shafiq, S., Pinon, V., Dong, A., Shen, W.-H.","The trxG family histone methyltransferase SET DOMAIN GROUP 26 promotes flowering via a distinctive genetic pathway",2015,"Plant Journal","81","2",,"316","328",,2,10.1111/tpj.12729,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84920715962&partnerID=40&md5=28357305f32e0067560b0e33484c39e8",Article,Scopus,2-s2.0-84920715962
"Feng, J., Shen, W.-H.","Dynamic regulation and function of histone monoubiquitination in plants",2014,"Frontiers in Plant Science","5","MAR", 83,"","",,11,10.3389/fpls.2014.00083,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901040144&partnerID=40&md5=fd7d7da56a66d1856a6b84c84a4f8eef",Review,Scopus,2-s2.0-84901040144
"Ménard, R., Verdier, G., Ors, M., Erhardt, M., Beisson, F., Shen, W.-H.","Histone H2B monoubiquitination is involved in the regulation of cutin and wax composition in arabidopsis thaliana",2014,"Plant and Cell Physiology","55","2",,"455","466",,9,10.1093/pcp/pct182,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893855380&partnerID=40&md5=573e22be73eaa47d1db74376464dcc89",Article,Scopus,2-s2.0-84893855380
"Shafiq, S., Berr, A., Shen, W.-H.","Combinatorial functions of diverse histone methylations in Arabidopsis thaliana flowering time regulation",2014,"New Phytologist","201","1",,"312","322",,11,10.1111/nph.12493,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84888303098&partnerID=40&md5=98f2c976c84ee4c193bec93158348dca",Article,Scopus,2-s2.0-84888303098
"Huang, Y., Jiang, L., Ruan, Y., Shen, W., Liu, C.","An allotetraploid Brassica napus early-flowering mutant has BnaFLC2-regulated flowering",2013,"Journal of the Science of Food and Agriculture","93","15",,"3763","3768",,,10.1002/jsfa.6254,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84887017825&partnerID=40&md5=b4bf8a08cc06d3045f1103d8660103ba",Article,Scopus,2-s2.0-84887017825
"Zhao, L., Huang, Y., Hu, Y., He, X., Shen, W., Liu, C., Ruan, Y.","Phylogenetic analysis of brassica rapa MATH-domain proteins",2013,"Current Genomics","14","3",,"214","223",,,10.2174/1389202911314030007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878654981&partnerID=40&md5=80da5f8ce8d9e0757b18704f6374142b",Article,Scopus,2-s2.0-84878654981
