Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Ridley, W.P., Harrigan, G.G., Breeze, M.L., Nemeth, M.A., Sidhu, R.S., Glenn, K.C.","Evaluation of compositional equivalence for multitrait biotechnology crops",2011,"Journal of Agricultural and Food Chemistry","59","11",,"5865","5876",,13,10.1021/jf103874t,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79958016501&partnerID=40&md5=83385912a492375d769466c4b4affd49",Article,Scopus,2-s2.0-79958016501
"McCann, M.C., Trujillo, W.A., Riordan, S.G., Sorbet, R., Bogdanova, N.N., Sidhu, R.S.","Comparison of the forage and grain composition from insect-protected and glyphosate-tolerant MON 88017 corn to conventional corn (Zea mays L.)",2007,"Journal of Agricultural and Food Chemistry","55","10",,"4034","4042",,31,10.1021/jf063499a,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34249945153&partnerID=40&md5=2dbc64569b5820f4df16973623747d7c",Conference Paper,Scopus,2-s2.0-34249945153
"Ridley, W.P., Sidhu, R.S., Pyla, P.D., Nemeth, M.A., Breeze, M.L., Astwood, J.D.","Comparison of the nutritional profile of glyphosate-tolerant corn event NK603 with that of conventional corn (Zea Mays L.)",2002,"Journal of Agricultural and Food Chemistry","50","25",,"7235","7243",,83,10.1021/jf0205662,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037021602&partnerID=40&md5=53033b477f6252d8ec39a3a356926704",Article,Scopus,2-s2.0-0037021602
"Sidhu, R.S., Hammond, B.G., Fuchs, R.L., Mutz, J.-N., Holden, L.R., George, B., Olson, T.","Glyphosate-tolerant corn: The composition and feeding value of grain from glyphosate-tolerant corn is equivalent to that of conventional corn (Zea mays L.)",2000,"Journal of Agricultural and Food Chemistry","48","6",,"2305","2312",,116,10.1021/jf000172f,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033946943&partnerID=40&md5=072ea0b72bd73cc96b4e0bf4d0ed78fa",Article,Scopus,2-s2.0-0033946943
"Kleine, H.P., Sidhu, R.S.","Synthesis of aryl β-d-mannopyranosides",1988,"Carbohydrate Research","182","2",,"307","312",,8,10.1016/0008-6215(88)84013-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0040508434&partnerID=40&md5=cc176707d1f7ea88bae7be06f19468b1",Article,Scopus,2-s2.0-0040508434
"Kleine, H.P., Weinberg, D.V., Kaufman, R.J., Sidhu, R.S.","Phase-transfer-catalyzed synthesis of 2,3,4,6-tetra-O-acetyl-β-d-galactopyranosides",1985,"Carbohydrate Research","142","2",,"333","337",,40,10.1016/0008-6215(85)85036-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0001665967&partnerID=40&md5=c08490f37351cfccfd73f16933df4156",Article,Scopus,2-s2.0-0001665967
"Kaufman, R.J., Sidhu, R.S.","Synthesis of aryl cluster glycosides by cyclotrimerization of 2-propynyl carbohydrate derivatives",1982,"Journal of Organic Chemistry","47","25",,"4941","4947",,43,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0001056273&partnerID=40&md5=b8270a076c4257b3520b078374f8a1e3",Article,Scopus,2-s2.0-0001056273
"Castanho, B.J., Graham, T.L., Kaufman, R.J., Sidhu, R.S.","Synthetic elicitors [1]",1982,"Science","217","4562",,"776","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-37049186901&partnerID=40&md5=a6075fa6a14043f466e96b8e120ad37f",Letter,Scopus,2-s2.0-37049186901
"Klemm, G.H., Kaufman, R.J., Sidhu, R.S.","Utility of dast (diethylaminosulfur trifluoride) in the chemistry of carbohydrates: synthesis of 3,4,6-trideoxy-3,4,6-triflouro-α-D-galactopyranosyl fluoride",1982,"Tetrahedron Letters","23","29",,"2927","2930",,7,10.1016/S0040-4039(00)87496-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-49049138490&partnerID=40&md5=3887aa31bc286f6b579a77223be16115",Article,Scopus,2-s2.0-49049138490
"Eaton, P.E., Sidhu, R.S., Langford, G.E., Cullison, D.A., Pietruszewski, C.L.","A new approach to all-cis triquinane synthesis and a new route to the C16-hexaquinane system",1981,"Tetrahedron","37","25",,"4479","4493",,13,10.1016/0040-4020(81)80015-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0004777962&partnerID=40&md5=72873d38109aa39584452590cd65d1f5",Article,Scopus,2-s2.0-0004777962
"Moore, H.W., Sing, Y.-L.L., Sidhu, R.S.","Synthesis of substituted quinones. 2,5-disubstituted 1,4-benzoquinones",1980,"Journal of Organic Chemistry","45","25",,"5057","5064",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-31344467206&partnerID=40&md5=163dfd74bd7704a132f9dc4a8bc959a1",Article,Scopus,2-s2.0-31344467206
"Moore, H.W., Sing, Y.L., Sidhu, R.S.","A simple synthetic route to 2,5-disubstituted 1,4-benzoquinones",1977,"Journal of Organic Chemistry","42","20",,"3320","3321",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0002812369&partnerID=40&md5=38378077df08d46fd1080831450a35f4",Article,Scopus,2-s2.0-0002812369
