Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Roux, M.E., Rasmussen, M.W., Palma, K., Lolle, S., Regué, A.M., Bethke, G., Glazebrook, J., Zhang, W., Sieburth, L., Larsen, M.R., Mundy, J., Petersen, M.","The mRNA decay factor PAT1 functions in a pathway including MAP kinase 4 and immune receptor SUMM2",2015,"EMBO Journal","34","5",,"593","608",,,10.15252/embj.201488645,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924080788&partnerID=40&md5=eea150aa7c23401ae207cfbacca69919",Article,Scopus,2-s2.0-84924080788
"Adhikari, E., Lee, D.-K., Giavalisco, P., Sieburth, L.E.","Long-distance signaling in bypass1 mutants: Bioassay development reveals the bps signal to be a metabolite",2013,"Molecular Plant","6","1",,"164","173",,5,10.1093/mp/sss129,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875732098&partnerID=40&md5=5ea93a4a4567bf68a49fcebef1073718",Article,Scopus,2-s2.0-84875732098
"Lee, D.K., Sieburth, L.E.","The bps signal: Embryonic arrest from an auxin-independent mechanism in bypass triple mutants",2012,"Plant Signaling and Behavior","7","6",,"698","700",,2,10.4161/.psb.20282,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863874756&partnerID=40&md5=c86112df4dc9c77fd515ae92c09a12ed",Article,Scopus,2-s2.0-84863874756
"Lee, D.-K., Van Norman, J.M., Murphy, C., Adhikari, E., Reed, J.W., Sieburth, L.E.","In the absence of BYPASS1-related gene function, the bps signal disrupts embryogenesis by an auxin-independent mechanism",2012,"Development","139","4",,"805","815",,6,10.1242/dev.077313,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84862910246&partnerID=40&md5=c48e31b55f33bfc15d721dae33f317c3",Article,Scopus,2-s2.0-84862910246
"Van Norman, J.M., Murphy, C., Sieburth, L.E.","BYPASS1: Synthesis of the mobile root-derived signal requires active root growth and arrests early leaf development",2011,"BMC Plant Biology","11",, 28,"","",,10,10.1186/1471-2229-11-28,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79551514357&partnerID=40&md5=30cdd52f68f734d47451dba4d136c6b0",Article,Scopus,2-s2.0-79551514357
"Zhang, W., Murphy, C., Sieburth, L.E.","Conserved RNaseII domain protein functions in cytoplasmic mRNA decay and suppresses Arabidopsis decapping mutant phenotypes",2010,"Proceedings of the National Academy of Sciences of the United States of America","107","36",,"15981","15985",,20,10.1073/pnas.1007060107,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77957662208&partnerID=40&md5=ca5e695d3c75783defb75a5bf454975e",Article,Scopus,2-s2.0-77957662208
"Lee, D.-K., Sieburth, L.E.","Plasmodesmata formation: Poking holes in walls with ise",2010,"Current Biology","20","11",,"R488","R490",,3,10.1016/j.cub.2010.03.047,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77955600664&partnerID=40&md5=f48b919b3369d80618030f23e9f8328a",Article,Scopus,2-s2.0-77955600664
"Sieburth, L.E., Lee, D.-K.","BYPASS1: How a tiny mutant tells a big story about root-to-shoot signaling",2010,"Journal of Integrative Plant Biology","52","1",,"77","85",,14,10.1111/j.1744-7909.2010.00902.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-73949106179&partnerID=40&md5=fa16c7399a6c3cfed7564e2d22189735",Review,Scopus,2-s2.0-73949106179
"Belostotsky, D.A., Sieburth, L.E.","Kill the messenger: mRNA decay and plant development",2009,"Current Opinion in Plant Biology","12","1",,"96","102",,37,10.1016/j.pbi.2008.09.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-58149314191&partnerID=40&md5=80adff6e071b484af8da0781e2b1198d",Review,Scopus,2-s2.0-58149314191
"Brodersen, P., Sakvarelidze-Achard, L., Bruun-Rasmussen, M., Dunoyer, P., Yamamoto, Y.Y., Sieburth, L., Voinnet, O.","Widespread translational inhibition by plant miRNAs and siRNAs",2008,"Science","320","5880",,"1185","1190",,646,10.1126/science.1159151,"http://www.scopus.com/inward/record.url?eid=2-s2.0-45849122499&partnerID=40&md5=f2df24c201d5f54733f11e5982632825",Article,Scopus,2-s2.0-45849122499
"Sieburth, L.E.","Plant Development: PXY and Polar Cell Division in the Procambium",2007,"Current Biology","17","15",,"R594","R596",,1,10.1016/j.cub.2007.05.066,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34547559561&partnerID=40&md5=e9b9f455cb69436d8ab4f1f55b1430b4",Short Survey,Scopus,2-s2.0-34547559561
"Goeres, D.C., Van Norman, J.M., Zhang, W., Fauver, N.A., Spencer, M.L., Sieburth, L.E.","Components of the Arabidopsis mRNA decapping complex are required for early seedling development",2007,"Plant Cell","19","5",,"1549","1564",,55,10.1105/tpc.106.047621,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34347398218&partnerID=40&md5=0e0ad335e5c287be1f6624022880d8cf",Article,Scopus,2-s2.0-34347398218
"Van Norman, J.M., Sieburth, L.E.","Dissecting the biosynthetic pathway for the bypass1 root-derived signal",2007,"Plant Journal","49","4",,"619","628",,38,10.1111/j.1365-313X.2006.02982.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33846929936&partnerID=40&md5=188e3dc7d2f626ac84629e065606cffd",Article,Scopus,2-s2.0-33846929936
"Sieburth, L.E., Muday, G.K., King, E.J., Benton, G., Kim, S., Metcalf, K.E., Meyers, L., Seamen, E., Van Norman, J.M.","SCARFACE encodes an ARF-GAP that is required for normal auxin efflux and vein patterning in Arabidopsis",2006,"Plant Cell","18","6",,"1396","1411",,81,10.1105/tpc.105.039008,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33745474856&partnerID=40&md5=37b609e22e4efca37c86b900422af6a1",Article,Scopus,2-s2.0-33745474856
"Sieburth, L.E., Deyholos, M.K.","Vascular development: The long and winding road",2006,"Current Opinion in Plant Biology","9","1",,"48","54",,58,10.1016/j.pbi.2005.11.008,"http://www.scopus.com/inward/record.url?eid=2-s2.0-29544442186&partnerID=40&md5=48b93dab89a7d567c1f7b453a44fc7c3",Review,Scopus,2-s2.0-29544442186
"Van Norman, J.M., Frederick, R.L., Sieburth, L.E.","BYPASS1 negatively regulates a root-derived signal that controls plant architecture",2004,"Current Biology","14","19",,"1739","1746",,50,10.1016/j.cub.2004.09.045,"http://www.scopus.com/inward/record.url?eid=2-s2.0-4644288601&partnerID=40&md5=24c0b62ad7d3a523b1ad3bfa6ed018ed",Article,Scopus,2-s2.0-4644288601
"Deyholos, M.K., Cavaness, G.F., Hall, B., King, E., Punwani, J., Van Norman, J., Sieburth, L.E.","Varicose, a WD-domain protein, is required for leaf blade",2003,"Development","130","26",,"6577","6588",,31,10.1242/dev.00909,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0347135607&partnerID=40&md5=c14b807606dc323d4c97d03efdcf4b15",Article,Scopus,2-s2.0-0347135607
"Saulsberry, A., Martin, P.R., O'Brien, T., Sieburth, L.E., Pickett, F.B.","The induced sector Arabidopsis apical embryonic fate map",2002,"Development","129","14",,"3403","3410",,15,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036637647&partnerID=40&md5=2601e37fde9be290a532c12bbfe416df",Article,Scopus,2-s2.0-0036637647
"Deyholos, M.K., Sieburth, L.E.","Separable whorl-specific expression and negative regulation by enhancer elements within the AGAMOUS second intron",2000,"Plant Cell","12","10",,"1799","1810",,102,10.1105/tpc.12.10.1799,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033763825&partnerID=40&md5=bd5e91ed73d98ac4f6566e1f4b43c95a",Article,Scopus,2-s2.0-0033763825
"Deyholos, M.K., Cordner, G., Beebe, D., Sieburth, L.E.","The SCARFACE gene is required for cotyledon and leaf vein patterning",2000,"Development","127","15",,"3205","3213",,90,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033845139&partnerID=40&md5=e39890c7557b4f85b63b96d5086e44f8",Article,Scopus,2-s2.0-0033845139
"Sieburth, L.E.","Auxin is required for leaf vein pattern in Arabidopsis",1999,"Plant Physiology","121","4",,"1179","1190",,181,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033396196&partnerID=40&md5=8d0571fb6d8a201270719ae0c04647a6",Article,Scopus,2-s2.0-0033396196
"Sieburth, L.E., Drews, G.N., Meyerowitz, E.M.","Non-autonomy of AGAMOUS function in flower development: Use of a Cre/loxP method for mosaic analysis in Arabidopsis",1998,"Development","125","21",,"4303","4312",,58,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031793181&partnerID=40&md5=55626523cbe0ce22b915b1b3b0390e49",Article,Scopus,2-s2.0-0031793181
"Jack, T., Sieburth, L., Meyerowitz, E.","Targeted misexpression of AGAMOUS in whorl 2 of Arabidopsis flowers",1997,"Plant Journal","11","4",,"825","839",,32,10.1046/j.1365-313X.1997.11040825.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031127887&partnerID=40&md5=46c6059908a1907f16751c606697f7d0",Article,Scopus,2-s2.0-0031127887
"Sieburth, L.E., Meyerowitz, E.M.","Molecular dissection of the AGAMOUS control region shows that cis elements for spatial regulation are located intragenically",1997,"Plant Cell","9","3",,"355","365",,259,10.1105/tpc.9.3.355,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031106359&partnerID=40&md5=8313ce16bcd48e306e8413c71eaa73e8",Article,Scopus,2-s2.0-0031106359
"Sieburth, L.E., Running, M.P., Meyerowitz, E.M.","Genetic separation of third and fourth whorl functions of AGAMOUS",1995,"Plant Cell","7","8",,"1249","1258",,102,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0029347059&partnerID=40&md5=a5fca47f8d8ec72d04a1c674f6a852e6",Article,Scopus,2-s2.0-0029347059
"Jack, T., Sieburth, L.E., Meyerowitz, E.M.","Genes that control flower development in Arabidopsis",1993,"Seminars in Developmental Biology","4","1",,"51","63",,7,10.1006/sedb.1993.1007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-38249004307&partnerID=40&md5=63905e342d43a4c3480c4fe29aaf2773",Article,Scopus,2-s2.0-38249004307
"Meyerowitz, E.M., Bowman, J.L., Brockman, L.L., Drews, G.N., Jack, T., Sieburth, L.E., Weigel, D.","A genetic and molecular model for flower development in Arabidopsis thaliana",1991,"Development","112","1 SUPPL.",,"157","167",,45,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-27244462286&partnerID=40&md5=70e8f05787f71f507fb40c8a7b1d983a",Article,Scopus,2-s2.0-27244462286
"Meyerowitz, E.M., Bowman, J.L., Brockman, L.L., Drews, G.N., Jack, T., Sieburth, L.E., Weigel, D.","A genetic and molecular model for flower development in Arabidopsis thaliana",1991,"Development","112","SUPPL. 1",,"157","167",,66,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0026303279&partnerID=40&md5=1ad6774aa9204d1d3c192b3a9ce00189",Conference Paper,Scopus,2-s2.0-0026303279
"Sieburth, L.E., Berry-Lowe, S., Schmidt, G.W.","Chloroplast RNA stability in Chlamydomonas: Rapid degradation of psbB and psbC transcripts in two nuclear mutants",1991,"Plant Cell","3","2",,"175","189",,37,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0001464138&partnerID=40&md5=fa129e750f9fd9779862fc8e2c2e4872",Article,Scopus,2-s2.0-0001464138
"Sutton, A., Sieburth, L.E., Bennett, J.","Light-dependent accumulation and localization of photosystem II proteins in maize.",1987,"European Journal of Biochemistry","164","3",,"571","578",,10,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0023643788&partnerID=40&md5=c7e71735cbf8ae1166085796ea64586f",Article,Scopus,2-s2.0-0023643788
"Williams, R.S., Shaw, E.K., Sieburth, L.E., Bennett, J.","Isolation of chlorophyll-binding proteins of green plants",1986,"Methods in Enzymology","118","C",,"338","352",,4,10.1016/0076-6879(86)18084-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77957072415&partnerID=40&md5=9237ec5dcad963c00eae75741bff6f91",Article,Scopus,2-s2.0-77957072415
