Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Drummond, R.S.M., Janssen, B.J., Luo, Z., Oplaat, C., Ledger, S.E., Wohlers, M.W., Snowden, K.C.","Environmental control of branching in Petunia",2015,"Plant Physiology","168","2",,"735","751",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84933074357&partnerID=40&md5=9f267c8fc25ba2270c7370e8e439e428",Article,Scopus,2-s2.0-84933074357
"Janssen, B.J., Drummond, R.S.M., Snowden, K.C.","Regulation of axillary shoot development",2014,"Current Opinion in Plant Biology","17","1",,"28","35",,14,10.1016/j.pbi.2013.11.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893476356&partnerID=40&md5=b8b38b8056ce1ae2bb0064d5c5eb9194",Review,Scopus,2-s2.0-84893476356
"Janssen, B.J., Snowden, K.C.","Strigolactone and karrikin signal perception: Receptors, enzymes, or both",2012,"Frontiers in Plant Science","3","DEC", 296,"","",,13,10.3389/fpls.2012.00296,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891525291&partnerID=40&md5=45d8335f7cf365ac7e7497d966988b8a",Review,Scopus,2-s2.0-84891525291
"Hamiaux, C., Drummond, R.S.M., Janssen, B.J., Ledger, S.E., Cooney, J.M., Newcomb, R.D., Snowden, K.C.","DAD2 is an α/β hydrolase likely to be involved in the perception of the plant branching hormone, strigolactone",2012,"Current Biology","22","21",,"2032","2036",,121,10.1016/j.cub.2012.08.007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84868514386&partnerID=40&md5=166056fbe4137f7a3bfabfc190e20a67",Article,Scopus,2-s2.0-84868514386
"Drummond, R.S.M., Sheehan, H., Simons, J.L., Martínez-Sánchez, N.M., Turner, R.M., Putterill, J., Snowden, K.C.","The expression of petunia strigolactone pathway genes is altered as part of the endogenous developmental program",2012,"Frontiers in Plant Science","2","JAN", 115,"","",,17,10.3389/fpls.2011.00115,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84865547116&partnerID=40&md5=0820f58e658bde1f1401c6e8e1833ebf",Article,Scopus,2-s2.0-84865547116
"Ledger, S.E., Janssen, B.J., Karunairetnam, S., Wang, T., Snowden, K.C.","Modified CAROTENOID CLEAVAGE DIOXYGENASE8 expression correlates with altered branching in kiwifruit (Actinidia chinensis)",2010,"New Phytologist","188","3",,"803","813",,26,10.1111/j.1469-8137.2010.03394.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77958538135&partnerID=40&md5=42f68e2283bd992faa5c744737083fc5",Article,Scopus,2-s2.0-77958538135
"Janssen, B.J., Drummond, R.S.M., Ledger, S.E., Snowden, K.C.","A positive approach to branching",2010,"Plant Signaling and Behavior","5","4",,"422","424",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77954981522&partnerID=40&md5=868357faa2df7e9a08b16f221c2d49dc",Article,Scopus,2-s2.0-77954981522
"Drummond, R.S.M., Marcela Martínez-Sánchez, N., Janssen, B.J., Templeton, K.R., Simons, J.L., Quinn, B.D., Karunairetnam, S., Snowden, K.C.","Petunia hybrida CAROTENOID CLEAVAGE DIOXYGENASE7 Is Involved in the Production of Negative and Positive Branching Signals in Petunia",2009,"Plant Physiology","151","4",,"1867","1877",,53,10.1104/pp.109.146720,"http://www.scopus.com/inward/record.url?eid=2-s2.0-71049156192&partnerID=40&md5=a93ba3bcc3a9f3f40abab91d8f0fa69f",Article,Scopus,2-s2.0-71049156192
"Drummond, R.S.M., Ledger, S.E., Simons, J.L., Janssen, B.J., Snowden, K.C.","Vegetative branching in Petunia",2009,"Petunia: Evolutionary, Developmental and Physiological Genetics (Second Edition)",,,,"157","177",,4,10.1007/978-0-387-84796-2_8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-71049184517&partnerID=40&md5=6164fe3b3f25500589f9771bd2c7da07",Book Chapter,Scopus,2-s2.0-71049184517
"Crowhurst, R.N., Gleave, A.P., MacRae, E.A., Ampomah-Dwamena, C., Atkinson, R.G., Beuning, L.L., Bulley, S.M., Chagne, D., Marsh, K.B., Matich, A.J., Montefiori, M., Newcomb, R.D., Schaffer, R.J., Usadel, B., Allan, A.C., Boldingh, H.L., Bowen, J.H., Davy, M.W., Eckloff, R., Ross, A.R., Fraser, L.G., Gera, E., Hellens, R.P., Janssen, B.J., Klages, K., Lo, K.R., MacDiarmid, R.M., Nain, B., McNeilage, M.A., Rassam, M., Richardson, A.C., Rikkerink, E.H.A., Ross, G.S., Schröder, R., Snowden, K.C., Souleyre, E.J.F., Templeton, M.D., Walton, E.F., Wang, D., Wang, M.Y., Wang, Y.Y., Wood, M., Wu, R., Yauk, Y.-K., Laing, W.A.","Analysis of expressed sequence tags from Actinidia: Applications of a cross species EST database for gene discovery in the areas of flavor, health, color and ripening",2008,"BMC Genomics","9",, 351,"","",,98,10.1186/1471-2164-9-351,"http://www.scopus.com/inward/record.url?eid=2-s2.0-49749083995&partnerID=40&md5=cea74bfb3bd024a46d904effd50d429b",Article,Scopus,2-s2.0-49749083995
"Janssen, B.J., Thodey, K., Schaffer, R.J., Alba, R., Balakrishnan, L., Bishop, R., Bowen, J.H., Crowhurst, R.N., Gleave, A.P., Ledger, S., McArtney, S., Pichler, F.B., Snowden, K.C., Ward, S.","Global gene expression analysis of apple fruit development from the floral bud to ripe fruit",2008,"BMC Plant Biology","8",, 16,"","",,74,10.1186/1471-2229-8-16,"http://www.scopus.com/inward/record.url?eid=2-s2.0-41649086110&partnerID=40&md5=96c38147fc9c728fb44ef87766813825",Article,Scopus,2-s2.0-41649086110
"Simons, J.L., Napoli, C.A., Janssen, B.J., Plummer, K.M., Snowden, K.C.","Analysis of the DECREASED APICAL DOMINANCE genes of petunia in the control of axillary branching",2007,"Plant Physiology","143","2",,"697","706",,65,10.1104/pp.106.087957,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34247218101&partnerID=40&md5=91fa93d80ccb4727f5e5c6911340de80",Article,Scopus,2-s2.0-34247218101
"Newcomb, R.D., Crowhurst, R.N., Gleave, A.P., Rikkerink, E.H.A., Allan, A.C., Beuning, L.L., Bowen, J.H., Gera, E., Jamieson, K.R., Janssen, B.J., Laing, W.A., McArtney, S., Nain, B., Ross, G.S., Snowden, K.C., Souleyre, E.J.F., Wallon, E.F., Yauk, Y.-K.","Analyses of expressed sequence tags from apple",2006,"Plant Physiology","141","1",,"147","166",,178,10.1104/pp.105.076208,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33745433580&partnerID=40&md5=b6721b4b6c7216472fc7bf3b9638d008",Article,Scopus,2-s2.0-33745433580
"Snowden, K.C., Simkin, A.J., Janssen, B.J., Templeton, K.R., Loucas, H.M., Simons, J.L., Karunairetnam, S., Gleave, A.P., Clark, D.G., Klee, H.J.","The Decreased apical dominance1/Petunia hybrida Carotenoid Cleavage Dioxygenase8 gene affects branch production and plays a role in leaf senescence, root growth, and flower development",2005,"Plant Cell","17","3",,"746","759",,189,10.1105/tpc.104.027714,"http://www.scopus.com/inward/record.url?eid=2-s2.0-18144377299&partnerID=40&md5=89cdb94504360bf6bd917a7a70d784f2",Article,Scopus,2-s2.0-18144377299
