Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Ellinger, D., Glöckner, A., Koch, J., Naumann, M., Stürtz, V., Schütt, K., Manisseri, C., Somerville, S.C., Voigt, C.A.","Interaction of the Arabidopsis GTPase RabA4c with its effector PMR4 results in complete penetration resistance to powdery mildew",2014,"Plant Cell","26","7",,"3185","3200",,3,10.1105/tpc.114.127779,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907353605&partnerID=40&md5=a3c4a09578301494f219c297cb5a7248",Article,Scopus,2-s2.0-84907353605
"Underwood, W., Somerville, S.C.","Perception of conserved pathogen elicitors at the plasma membrane leads to relocalization of the Arabidopsis PEN3 transporter",2013,"Proceedings of the National Academy of Sciences of the United States of America","110","30",,"12492","12497",,20,10.1073/pnas.1218701110,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880647751&partnerID=40&md5=60e6d0db27d923257db2332b05a4818c",Article,Scopus,2-s2.0-84880647751
"Naumann, M., Somerville, S.C., Voigt, C.A.","Differences in early callose deposition during adapted and non-adapted powdery mildew infection of resistant Arabidopsis lines",2013,"Plant Signaling and Behavior","8","6",,"e24408","1-e24408-4",,6,10.4161/psb.24408,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878599151&partnerID=40&md5=d49d98ee92c523095a16621cee8d5a75",Article,Scopus,2-s2.0-84878599151
"Ellinger, D., Naumann, M., Falter, C., Zwikowics, C., Jamrow, T., Manisseri, C., Somerville, S.C., Voigt, C.A.","Elevated early callose deposition results in complete penetration resistance to powdery mildew in Arabidopsis",2013,"Plant Physiology","161","3",,"1433","1444",,46,10.1104/pp.112.211011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874588285&partnerID=40&md5=6112246d8915fa8ff41ca272984f08e1",Article,Scopus,2-s2.0-84874588285
"Delgado-Cerezo, M., Sánchez-Rodríguez, C., Escudero, V., Miedes, E., Fernández, P.V., Jordá, L., Hernández-Blanco, C., Sánchez-Vallet, A., Bednarek, P., Schulze-Lefert, P., Somerville, S., Estevez, J.M., Persson, S., Molina, A.","Arabidopsis heterotrimeric G-protein regulates cell wall defense and resistance to necrotrophic fungi",2012,"Molecular Plant","5","1",,"98","114",,30,10.1093/mp/ssr082,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84856475224&partnerID=40&md5=0479d36209e9a1e844c0a111fe1e11f3",Article,Scopus,2-s2.0-84856475224
"Underwood, W., Koh, S., Somerville, S.C.","Visualizing cellular dynamics in plant-microbe interactions using fluorescent-tagged proteins.",2011,"Methods in molecular biology (Clifton, N.J.)","712",,,"283","291",,2,10.1007/978-1-61737-998-7_21,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79958264142&partnerID=40&md5=d88764d5b133f5d8d0a2a2d575f2edd7",Article,Scopus,2-s2.0-79958264142
"Manabe, Y., Nafisi, M., Verhertbruggen, Y., Orfila, C., Gille, S., Rautengarten, C., Cherk, C., Marcus, S.E., Somerville, S., Pauly, M., Paul Knox, J., Sakuragi, Y., Scheller, H.V.","Loss-of-function mutation of REDUCED WALL ACETYLATION2 in Arabidopsis leads to reduced cell wall acetylation and increased resistance to Botrytis cinerea",2011,"Plant Physiology","155","3",,"1068","1078",,56,10.1104/pp.110.168989,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79952308154&partnerID=40&md5=fd66ac0b14200cd29c2157b8e5c419d3",Article,Scopus,2-s2.0-79952308154
"Humphry, M., Bednarek, P., Kemmerling, B., Koh, S., Stein, M., Göbel, U., Stüber, K., Piślewska-Bednarek, M., Loraine, A., Schulze-Lefert, P., Somerville, S., Panstruga, R.","A regulon conserved in monocot and dicot plants defines a functional module in antifungal plant immunity",2010,"Proceedings of the National Academy of Sciences of the United States of America","107","50",,"21896","21901",,32,10.1073/pnas.1003619107,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78650753473&partnerID=40&md5=243da20fa22ebf140e398e379eafafb8",Article,Scopus,2-s2.0-78650753473
"Berrocal-Lobo, M., Stone, S., Yang, X., Antico, J., Callis, J., Ramonell, K.M., Somerville, S.","ATL9, a RING zinc finger protein with E3 ubiquitin ligase activity implicated in chitin- and NADPH oxidase-mediated defense responses",2010,"PLoS ONE","5","12", e14426,"","",,15,10.1371/journal.pone.0014426,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78650803161&partnerID=40&md5=a1b6e4b2c1a33e387e5fa64518f87f98",Article,Scopus,2-s2.0-78650803161
"Chen, L.-Q., Hou, B.-H., Lalonde, S., Takanaga, H., Hartung, M.L., Qu, X.-Q., Guo, W.-J., Kim, J.-G., Underwood, W., Chaudhuri, B., Chermak, D., Antony, G., White, F.F., Somerville, S.C., Mudgett, M.B., Frommer, W.B.","Sugar transporters for intercellular exchange and nutrition of pathogens",2010,"Nature","468","7323",,"527","532",,239,10.1038/nature09606,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78649481757&partnerID=40&md5=4346f64fa9bd2469005b668e5c44732e",Article,Scopus,2-s2.0-78649481757
