Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Sorek, N., Sorek, H., Kijac, A., Szemenyei, H.J., Bauer, S., Hématy, K., Wemmer, D.E., Somerville, C.R.","Erratum: The arabidopsis COBRA protein facilitates cellulose crystallization at the plasma membrane (The Journal of Biological Chemistry (2015) 290:42 (25274))",2015,"Journal of Biological Chemistry","290","42",,"25274","",,,10.1074/jbc.A114.607192,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84944463109&partnerID=40&md5=4979813a293caf651739dad3a652d743",Erratum,Scopus,2-s2.0-84944463109
"Sorek, N., Sorek, H., Kijac, A., Szemenyei, H.J., Bauer, S., Hématy, K., Wemmer, D.E., Somerville, C.R.","The Arabidopsis COBRA protein facilitates cellulose crystallization at the plasma membrane",2014,"Journal of Biological Chemistry","289","50",,"34911","34920",,5,10.1074/jbc.M114.607192,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84918797443&partnerID=40&md5=a33653b68dbd1edf6dae4cf38bad3d3e",Article,Scopus,2-s2.0-84918797443
"Sorek, N., Yeats, T.H., Szemenyei, H., Youngs, H., Somerville, C.R.","The implications of lignocellulosic biomass chemical composition for the production of advanced biofuels",2014,"BioScience","64","3",,"192","201",,3,10.1093/biosci/bit037,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899018609&partnerID=40&md5=ec21accc528bf1586d54ea0c3c9eb4dd",Article,Scopus,2-s2.0-84899018609
"Sorek, N., Akerman, A., Yalovsky, S.","Analysis of protein prenylation and S-acylation using gas chromatography-coupled mass spectrometry",2013,"Methods in Molecular Biology","1043",,,"121","134",,1,10.1007/978-1-62703-532-3_13,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922777258&partnerID=40&md5=849e19f497ed7b0a1519ec29ab21084b",Article,Scopus,2-s2.0-84922777258
"Sorek, N., Henis, Y.I., Yalovsky, S.","How prenylation and S-acylation regulate subcellular targeting and function of ROP GTPases",2011,"Plant Signaling and Behavior","6","7",,"108","111",,2,10.4161/psb.6.7.15578,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79959922569&partnerID=40&md5=e03f3ab50ed07eb75d5dfb0d2f9c8e9e",Article,Scopus,2-s2.0-79959922569
"Sorek, N., Henis, Y.I., Yalovsky, S.","How prenylation and S-acylation regulate subcellular targeting and function of ROP GTPases.",2011,"Plant signaling & behavior","6","7",,"1026","1029",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84859190482&partnerID=40&md5=0610583f32c703f4443d9efadd3bb32a",Article,Scopus,2-s2.0-84859190482
"Sorek, N., Gutman, O., Bar, E., Abu-Abied, M., Feng, X., Running, M.P., Lewinsohn, E., Ori, N., Sadot, E., Henis, Y.I., Yalovsky, S.","Differential effects of prenylation and S-acylation on type I and II ROPS membrane interaction and function",2011,"Plant Physiology","155","2",,"706","720",,31,10.1104/pp.110.166850,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79551700407&partnerID=40&md5=b960816ac876f611466ad366374cce07",Article,Scopus,2-s2.0-79551700407
"Sorek, N., Segev, O., Gutman, O., Bar, E., Richter, S., Poraty, L., Hirsch, J.A., Henis, Y.I., Lewinsohn, E., Jürgens, G., Yalovsky, S.","An S-acylation switch of conserved G domain cysteines is required for polarity signaling by ROP GTPases (Current Biology 2010) 20 (914-920))",2010,"Current Biology","20","14",,"1326","",,1,10.1016/j.cub.2010.07.008,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78049491356&partnerID=40&md5=5a15fc7b8b9e1da707ab8b91282eb299",Erratum,Scopus,2-s2.0-78049491356
"Sorek, N., Yalovsky, S.","Analysis of protein S-acylation by gas chromatography-coupled mass spectrometry using purified proteins.",2010,"Nature protocols","5","5",,"834","840",,3,10.1038/nprot.2010.33,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77954075983&partnerID=40&md5=03423616fcc5fe0f0b7acc9be410a146",Article,Scopus,2-s2.0-77954075983
"Sorek, N., Segev, O., Gutman, O., Bar, E., Richter, S., Poraty, L., Hirsch, J.A., Henis, Y.I., Lewinsohn, E., Jürgens, G., Yalovsky, S.","An S-Acylation Switch of Conserved G Domain Cysteines Is Required for Polarity Signaling by ROP GTPases",2010,"Current Biology","20","10",,"914","920",,32,10.1016/j.cub.2010.03.057,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77953136508&partnerID=40&md5=b7beeb38addb5ad685ecc18a6b4d4ebc",Article,Scopus,2-s2.0-77953136508
"Sorek, N., Yalovsky, S.","Analysis of protein S-acylation by gas chromatography-coupled mass spectrometry using purified proteins",2010,"Nature Protocols","5","5",,"842","848",,11,101038/nprot.2010.33,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77950838149&partnerID=40&md5=9f3965d17e8b113915983c89c5c6c825",Review,Scopus,2-s2.0-77950838149
"Sorek, N., Bloch, D., Yalovsky, S.","Protein lipid modifications in signaling and subcellular targeting",2009,"Current Opinion in Plant Biology","12","6",,"714","720",,35,10.1016/j.pbi.2009.09.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70450188170&partnerID=40&md5=f44e59352d2f85ccccc9a4d8f2a6c984",Review,Scopus,2-s2.0-70450188170
"Yalovsky, S., Bloch, D., Sorek, N., Kost, B.","Regulation of membrane trafficking, cytoskeleton dynamics, and cell polarity by ROP/RAC GTPases",2008,"Plant Physiology","147","4",,"1527","1543",,78,10.1104/pp.108.122150,"http://www.scopus.com/inward/record.url?eid=2-s2.0-53749092382&partnerID=40&md5=7796dcd558725ca7849779350f569e19",Review,Scopus,2-s2.0-53749092382
"Batistič, O., Sorek, N., Schültke, S., Yalovsky, S., Kudla, J.","Dual fatty acyl modification determines the localization and plasma membrane targeting of CBL/CIPK Ca21 signaling complexes in Arabidopsis",2008,"Plant Cell","20","5",,"1346","1362",,99,10.1105/tpc.108.058123,"http://www.scopus.com/inward/record.url?eid=2-s2.0-51549089239&partnerID=40&md5=9252ec91a877c8cf722904964be2a5d9",Article,Scopus,2-s2.0-51549089239
"Lavy, M., Bloch, D., Hazak, O., Gutman, I., Poraty, L., Sorek, N., Sternberg, H., Yalovsky, S.","A Novel ROP/RAC Effector Links Cell Polarity, Root-Meristem Maintenance, and Vesicle Trafficking",2007,"Current Biology","17","11",,"947","952",,107,10.1016/j.cub.2007.04.038,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34249662680&partnerID=40&md5=c4b0e660a04366a1df9cfe0ef7ea56cd",Article,Scopus,2-s2.0-34249662680
"Sorek, N., Poraty, L., Sternberg, H., Bar, E., Lewinsohn, E., Yalovsky, S.","Activation status-coupled transient S acylation determines membrane partitioning of a plant Rho-related GTPase",2007,"Molecular and Cellular Biology","27","6",,"2144","2154",,70,10.1128/MCB.02347-06,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33947266606&partnerID=40&md5=371074ab34b8c5d0fad8f6845cf3ed03",Article,Scopus,2-s2.0-33947266606
"Sorek, N., Meiri, H.","Aluminium modifies the electrical response of neuroblastoma cells to a short hypertonic pulse",1992,"Archives of Toxicology","66","2",,"90","94",,2,10.1007/BF02342500,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0026537603&partnerID=40&md5=c165e63f47a809c03964fd6ef790118f",Article,Scopus,2-s2.0-0026537603
