Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Liberman, L.M., Sparks, E.E., Moreno-Risueno, M.A., Petricka, J.J., Benfey, P.N.","MYB36 regulates the transition from proliferation to differentiation in the Arabidopsis root",2015,"Proceedings of the National Academy of Sciences of the United States of America","112","39",,"12099","12104",,,10.1073/pnas.1515576112,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942874559&partnerID=40&md5=e84bc74d90613bd0d32191132216f627",Article,Scopus,2-s2.0-84942874559
"Wachsman, G., Sparks, E.E., Benfey, P.N.","Genes and networks regulating root anatomy and architecture",2015,"New Phytologist","208","1",,"26","38",,1,10.1111/nph.13469,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940467294&partnerID=40&md5=23a6692a09b673b69ff3abcc186b99f4",Review,Scopus,2-s2.0-84940467294
"Sparks, E.E., Benfey, P.","HEC of a job regulating stem cells",2014,"Developmental Cell","28","4",,"349","350",,,10.1016/j.devcel.2014.02.006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894312609&partnerID=40&md5=b291fc5ca25102cbb5c412b406390af6",Short Survey,Scopus,2-s2.0-84894312609
"Sparks, E., Wachsman, G., Benfey, P.N.","Spatiotemporal signalling in plant development",2013,"Nature Reviews Genetics","14","9",,"631","644",,19,10.1038/nrg3541,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84882298592&partnerID=40&md5=eb86853e8fc333b7fdee5fabfcd8c869",Review,Scopus,2-s2.0-84882298592
"Walter, T.J., Sparks, E.E., Huppert, S.S.","3-dimensional resin casting and imaging of mouse portal vein or intrahepatic bile duct system.",2012,"Journal of visualized experiments : JoVE",,"68",,"","",,5,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84872876177&partnerID=40&md5=3cf51322bfae3673e2870342a104de3a",Article,Scopus,2-s2.0-84872876177
"Walter, T.J., Sparks, E.E., Huppert, S.S.","3-Dimensional resin casting and imaging of mouse portal vein or intrahepatic bile duct system",2012,"Journal of Visualized Experiments",,"68",,"","",,,10.3791/4272,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84868275642&partnerID=40&md5=188100a06567d6dbd39ba5b4b8006171",Article,Scopus,2-s2.0-84868275642
"Vanderpool, C., Sparks, E.E., Huppert, K.A., Gannon, M., Means, A.L., Huppert, S.S.","Genetic interactions between hepatocyte nuclear factor-6 and notch signaling regulate mouse intrahepatic bile duct development in vivo",2012,"Hepatology","55","1",,"233","243",,6,10.1002/hep.24631,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84155184607&partnerID=40&md5=86a759aceeda72ac5cb646489774ae68",Article,Scopus,2-s2.0-84155184607
"Sparks, E.E., Perrien, D.S., Huppert, K.A., Peterson, T.E., Huppert, S.S.","Defects in hepatic Notch signaling result in disruption of the communicating intrahepatic bile duct network in mice",2011,"DMM Disease Models and Mechanisms","4","3",,"359","367",,12,10.1242/dmm.005793,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79956153011&partnerID=40&md5=6d3c267e6117c8f23396534840aa96ea",Article,Scopus,2-s2.0-79956153011
"Sparks, E.E., Huppert, K.A., Brown, M.A., Washington, M.K., Huppert, S.S.","Notch signaling regulates formation of the three-dimensional architecture of intrahepatic bile ducts in mice",2010,"Hepatology","51","4",,"1391","1400",,43,10.1002/hep.23431,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77950609317&partnerID=40&md5=f6af91ed1719d61525df229fb5b4c7d4",Article,Scopus,2-s2.0-77950609317
"Hubchak, S.C., Sparks, E.E., Hayashida, T., Schnaper, H.W.","Rac1 promotes TGF-β-stimulated mesangial cell type I collagen expression through a PI3K/Akt-dependent mechanism",2009,"American Journal of Physiology - Renal Physiology","297","5",,"F1316","F1323",,25,10.1152/ajprenal.00345.2009,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70350702798&partnerID=40&md5=1c344ec2ed7a6d398f4e47c0b270bc4a",Article,Scopus,2-s2.0-70350702798
