Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Eichten, S.R., Springer, N.M.","Minimal evidence for consistent changes in maize DNA methylation patterns following environmental stress",2015,"Frontiers in Plant Science","6","MAY", 308,"","",10,,10.3389/fpls.2015.00308,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934877071&partnerID=40&md5=68e3d115e2396291a2dc5368a334df93",Article,Scopus,2-s2.0-84934877071
"Schaefer, R.J., Briskine, R., Springer, N.M., Myers, C.L.","Correction: Discovering functional modules across diverse maize transcriptomes using COB, the Co-expression Browser",2015,"PLoS ONE","10","3", e0120222,"","",,,10.1371/journal.pone.0120222,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946182010&partnerID=40&md5=c74f53f8b5080f25aa09f3cead3161bd",Erratum,Scopus,2-s2.0-84946182010
"Springer, N.M., McGinnis, K.M.","Paramutation in evolution, population genetics and breeding",2015,"Seminars in Cell and Developmental Biology",,,,"","",,,10.1016/j.semcdb.2015.08.010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941242228&partnerID=40&md5=2479e48990bfaf87de6fe75df27d7597",Article in Press,Scopus,2-s2.0-84941242228
"Hirsch, C.D., Springer, N.M., Hirsch, C.N.","Genomic limitations to RNA sequencing expression profiling",2015,"Plant Journal","84","3",,"491","503",,,10.1111/tpj.13014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84944876337&partnerID=40&md5=080e211c1ba687f83011f004259abb0b",Article,Scopus,2-s2.0-84944876337
"Li, Q., Song, J., West, P.T., Zynda, G., Eichten, S.R., Vaughn, M.W., Springer, N.M.","Examining the causes and consequences of context-specific differential DNA methylation in maize",2015,"Plant Physiology","168","4",,"1262","1274",,1,10.1104/pp.15.00052,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939143804&partnerID=40&md5=b485157cc3cf0619b801068fc1ba114a",Article,Scopus,2-s2.0-84939143804
"Li, Q., Suzuki, M., Wendt, J., Patterson, N., Eichten, S.R., Hermanson, P.J., Green, D., Jeddeloh, J., Richmond, T., Rosenbaum, H., Burgess, D., Springer, N.M., Greally, J.M.","Post-conversion targeted capture of modified cytosines in mammalian and plant genomes",2015,"Nucleic Acids Research","43","12", e81,"","",,1,10.1093/nar/gkv244,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942244533&partnerID=40&md5=0ff5f07fea628dc50245a3dea541808e",Article,Scopus,2-s2.0-84942244533
"Brady, S.M., Burow, M., Busch, W., Carlborg, Ö., Denby, K.J., Glazebrook, J., Hamilton, E.S., Harmer, S.L., Haswell, E.S., Maloof, J.N., Springer, N.M., Kliebenstein, D.J.","Reassess the t test: Interact with all your data via ANOVA",2015,"Plant Cell","27","8",,"2088","2094",,1,10.1105/tpc.15.00238,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941313296&partnerID=40&md5=c1e9125e02596f5200c6edf1870d7350",Article,Scopus,2-s2.0-84941313296
"Makarevitch, I., Waters, A.J., West, P.T., Stitzer, M., Hirsch, C.N., Ross-Ibarra, J., Springer, N.M.","Transposable Elements Contribute to Activation of Maize Genes in Response to Abiotic Stress",2015,"PLoS Genetics","11","1", e1004915,"","",12,7,10.1371/journal.pgen.1004915,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924405848&partnerID=40&md5=c0e012b75e57fa88d90fcbb64374caea",Article,Scopus,2-s2.0-84924405848
"Belova, T., Grønvold, L., Kumar, A., Kianian, S., He, X., Lillemo, M., Springer, N.M., Lien, S., Olsen, O.-A., Sandve, S.R.","Utilization of deletion bins to anchor and order sequences along the wheat 7B chromosome",2014,"TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik","127","9",,"2029","2040",,,10.1007/s00122-014-2358-z,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84927173148&partnerID=40&md5=9b6f0e4419c2cd9690ef1bf470a12d01",Article,Scopus,2-s2.0-84927173148
"Belova, T., Grønvold, L., Kumar, A., Kianian, S., He, X., Lillemo, M., Springer, N.M., Lien, S., Olsen, O.-A., Sandve, S.R.","Utilization of deletion bins to anchor and order sequences along the wheat 7B chromosome",2014,"Theoretical and Applied Genetics",,,,"","",,1,10.1007/s00122-014-2358-z,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84905880085&partnerID=40&md5=a55ddc271b658a91fab1a19816aecb1f",Article in Press,Scopus,2-s2.0-84905880085
