Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Kamoun, S., Furzer, O., Jones, J.D.G., Judelson, H.S., Ali, G.S., Dalio, R.J.D., Roy, S.G., Schena, L., Zambounis, A., Panabières, F., Cahill, D., Ruocco, M., Figueiredo, A., Chen, X.-R., Hulvey, J., Stam, R., Lamour, K., Gijzen, M., Tyler, B.M., Grünwald, N.J., Mukhtar, M.S., Tomé, D.F.A., Tör, M., Van Den Ackerveken, G., Mcdowell, J., Daayf, F., Fry, W.E., Lindqvist-Kreuze, H., Meijer, H.J.G., Petre, B., Ristaino, J., Yoshida, K., Birch, P.R.J., Govers, F.","The Top 10 oomycete pathogens in molecular plant pathology",2015,"Molecular Plant Pathology","16","4",,"413","434",,9,10.1111/mpp.12190,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928215460&partnerID=40&md5=2888a0309fc37034a475dd66c773a02a",Article,Scopus,2-s2.0-84928215460
"Stam, R., Mantelin, S., McLellan, H., Thilliez, G.","The role of effectors in nonhost resistance to filamentous plant pathogens",2014,"Frontiers in Plant Science","5","November", 582,"","",6,5,10.3389/fpls.2014.00582,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908620558&partnerID=40&md5=e2e50a7b940d4764a7d1d99f0d6b37b7",Review,Scopus,2-s2.0-84908620558
"Dong, S., Stam, R., Cano, L.M., Song, J., Sklenar, J., Yoshida, K., Bozkurt, T.O., Oliva, R., Liu, Z., Tian, M., Win, J., Banfield, M.J., Jones, A.M.E., Van Der Hoorn, R.A.L., Kamoun, S.","Effector specialization in a lineage of the Irish potato famine pathogen",2014,"Science","343","6170",,"552","555",,36,10.1126/science.1246300,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893146052&partnerID=40&md5=bf66e0cf659e1eee49c771235b7b4019",Article,Scopus,2-s2.0-84893146052
"Rodriguez, P.A., Stam, R., Warbroek, T., Bos, J.I.B.","Mp10 and Mp42 from the aphid species myzus persicae trigger plant defenses in nicotiana benthamiana through different activities",2014,"Molecular Plant-Microbe Interactions","27","1",,"30","39",,5,10.1094/MPMI-05-13-0156-R,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890500695&partnerID=40&md5=ef73fb8396cb2b25ed800802fcf408d5",Article,Scopus,2-s2.0-84890500695
"Stam, R., Howden, A.J.M., Delgado-Cerezo, M., Amaro, T.M.M.M., Motion, G.B., Pham, J., Huitema, E.","Characterization of cell death inducing Phytophthora capsici CRN effectors suggests diverse activities in the host nucleus",2013,"Frontiers in Plant Science","4","OCT", 387,"","",,10,10.3389/fpls.2013.00387,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84900856674&partnerID=40&md5=6e1ea36ec38f18f8dd3a9e5839c8782f",Article,Scopus,2-s2.0-84900856674
"Jupe, J., Stam, R., Howden, A.J.M., Morris, J.A., Zhang, R., Hedley, P.E., Huitema, E.","Phytophthora capsici-tomato interaction features dramatic shifts in gene expression associated with a hemi-biotrophic lifestyle",2013,"Genome Biology","14","6", R63,"","",,14,10.1186/gb-2013-14-6-r63,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879220850&partnerID=40&md5=3483cba3b644f865457613ee2f2f66ed",Article,Scopus,2-s2.0-84879220850
"Stam, R., Jupe, J., Howden, A.J.M., Morris, J.A., Boevink, P.C., Hedley, P.E., Huitema, E.","Correction: Identification and characterisation CRN effectors in Phytophthora capsici shows modularity and functional diversity (PLoS ONE)",2013,"PLoS ONE","8","4",,"","",,,10.1371/annotation/90bd45cb-33a7-426f-a928-9ddc351b08cc,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84895558983&partnerID=40&md5=2069ac5477fc3fec90b6114a4c41842c",Erratum,Scopus,2-s2.0-84895558983
"Stam, R., Jupe, J., Howden, A.J.M., Morris, J.A., Boevink, P.C., Hedley, P.E., Huitema, E.","Identification and Characterisation CRN Effectors in Phytophthora capsici Shows Modularity and Functional Diversity",2013,"PLoS ONE","8","3", e59517,"","",,25,10.1371/journal.pone.0059517,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875421974&partnerID=40&md5=575229d3c0d3337bf16dbed4f024ce73",Article,Scopus,2-s2.0-84875421974
"Lamour, K.H., Mudge, J., Gobena, D., Hurtado-Gonzales, O.P., Schmutz, J., Kuo, A., Miller, N.A., Rice, B.J., Raffaele, S., Cano, L.M., Bharti, A.K., Donahoo, R.S., Finley, S., Huitema, E., Hulvey, J., Platt, D., Salamov, A., Savidor, A., Sharma, R., Stam, R., Storey, D., Thines, M., Win, J., Haas, B.J., Dinwiddie, D.L., Jenkins, J., Knight, J.R., Affourtit, J.P., Han, C.S., Chertkov, O., Lindquist, E.A., Detter, C., Grigoriev, I.V., Kamoun, S., Kingsmore, S.F.","Genome sequencing and mapping reveal loss of heterozygosity as a mechanism for rapid adaptation in the vegetable pathogen Phytophthora capsici",2012,"Molecular Plant-Microbe Interactions","25","10",,"1350","1360",,57,10.1094/MPMI-02-12-0028-R,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84865734218&partnerID=40&md5=9ac6def9e5e88b941ad52e28bd60eef1",Article,Scopus,2-s2.0-84865734218
"Lamour, K.H., Stam, R., Jupe, J., Huitema, E.","The oomycete broad-host-range pathogen Phytophthora capsici",2012,"Molecular Plant Pathology","13","4",,"329","337",,45,10.1111/j.1364-3703.2011.00754.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84859428101&partnerID=40&md5=013fc0e75bf9f0a2aa9c1c1699a8735e",Article,Scopus,2-s2.0-84859428101
"Oliva, R., Win, J., Raffaele, S., Boutemy, L., Bozkurt, T.O., Chaparro-Garcia, A., Segretin, M.E., Stam, R., Schornack, S., Cano, L.M., van Damme, M., Huitema, E., Thines, M., Banfield, M.J., Kamoun, S.","Recent developments in effector biology of filamentous plant pathogens",2010,"Cellular Microbiology","12","7",,"1015","1015",,35,10.1111/j.1462-5822.2010.01484.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77954494851&partnerID=40&md5=f39b8e6c55fae749ca87efb6aaeb9364",Erratum,Scopus,2-s2.0-77954494851
