Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Coutinho Moraes, D.F., Still, D.W., Lum, M.R., Hirsch, A.M.","DNA-Based Authentication of Botanicals and Plant-Derived Dietary Supplements: Where Have We Been and Where Are We Going?",2015,"Planta Medica","81","9",,"687","695",,1,10.1055/s-0035-1545843,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934440836&partnerID=40&md5=f66b51f33519393b732a3bea63350c2a",Review,Scopus,2-s2.0-84934440836
"Hodgins, K.A., Lai, Z., Oliveira, L.O., Still, D.W., Scascitelli, M., Barker, M.S., Kane, N.C., Dempewolf, H., Kozik, A., Kesseli, R.V., Burke, J.M., Michelmore, R.W., Rieseberg, L.H.","Genomics of compositae crops: Reference transcriptome assemblies and evidence of hybridization with wild relatives",2014,"Molecular Ecology Resources","14","1",,"166","177",,5,10.1111/1755-0998.12163,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890147590&partnerID=40&md5=c1017a163010534b532317ed07ae71ff",Article,Scopus,2-s2.0-84890147590
"Hayashi, E., You, Y., Lewis, R., Calderon, M.C., Wan, G., Still, D.W.","Mapping QTL, epistasis and genotype × environment interaction of antioxidant activity, chlorophyll content and head formation in domesticated lettuce (Lactuca sativa)",2012,"Theoretical and Applied Genetics","124","8",,"1487","1502",,2,10.1007/s00122-012-1803-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84865688937&partnerID=40&md5=9336efcf2f931f1061cfff867a1db0ea",Article,Scopus,2-s2.0-84865688937
"Li, C., Raheja, A., Still, D.W.","Application of computer vision for lettuce seeds germination detection",2011,"Proceedings of the 2011 International Conference on Image Processing, Computer Vision, and Pattern Recognition, IPCV 2011","2",,,"679","683",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84864960390&partnerID=40&md5=9a87894b008569d163ff34efa40fe070",Conference Paper,Scopus,2-s2.0-84864960390
"Kim, C.L., Li, C., Raheja, A., Still, D.W.","Automated extraction of seed characteristics for germination detection",2010,"Proceedings of the 12th IASTED International Conference on Signal and Image Processing, SIP 2010",,,,"130","136",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84862083262&partnerID=40&md5=8190ea3494ce93b86f641bf76cef7537",Conference Paper,Scopus,2-s2.0-84862083262
"Kim, C.L., Raheja, A., Still, D.W.","Automated seed counting algorithm",2009,"Proceedings of the 2009 International Conference on Image Processing, Computer Vision, and Pattern Recognition, IPCV 2009","2",,,"604","608",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84862095801&partnerID=40&md5=e7c3e1a5a82a87867fb0719af0466aff",Conference Paper,Scopus,2-s2.0-84862095801
"Sadava, D., Still, D.W., Mudry, R.R., Kane, S.E.","Effect of Ganoderma on drug-sensitive and multidrug-resistant small-cell lung carcinoma cells",2009,"Cancer Letters","277","2",,"182","189",,23,10.1016/j.canlet.2008.12.009,"http://www.scopus.com/inward/record.url?eid=2-s2.0-62749176363&partnerID=40&md5=10ab8ceac96a1078f7755fdf2315e9c9",Article,Scopus,2-s2.0-62749176363
"Hayashi, E., Aoyama, N., Still, D.W.","Quantitative trait loci associated with lettuce seed germination under different temperature and light environments",2008,"Genome","51","11",,"928","947",,18,10.1139/G08-077,"http://www.scopus.com/inward/record.url?eid=2-s2.0-55549123556&partnerID=40&md5=63d619ecbbbfdb27897402f0ca91813e",Article,Scopus,2-s2.0-55549123556
"Argyris, J., Dahal, P., Hayashi, E., Still, D.W., Bradford, K.J.","Genetic variation for lettuce seed thermoinhibition is associated with temperature-sensitive expression of abscisic acid, gibberellin, and ethylene biosynthesis, metabolism, and response genes",2008,"Plant Physiology","148","2",,"926","947",,54,10.1104/pp.108.125807,"http://www.scopus.com/inward/record.url?eid=2-s2.0-57749094689&partnerID=40&md5=d57293fd1e26109168f98923d006e853",Article,Scopus,2-s2.0-57749094689
"Argyris, J., Dahal, P., Truco, M.J., Ochoa, O., Still, D.W., Michelmore, R.W., Bradford, K.J.","Genetic analysis of lettuce seed thermoinhibition",2008,"Acta Horticulturae","782",,,"23","33",,7,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-44349159017&partnerID=40&md5=fa357d79a784f987c16ac6807a2d6c78",Conference Paper,Scopus,2-s2.0-44349159017
