Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Strauss, S.H., Costanza, A., Séguin, A.","Genetically engineered trees: Paralysis from good intentions: Forest crises demand regulation and certification reform",2015,"Science","349","6250",,"794","795",,,10.1126/science.aab0493,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939838729&partnerID=40&md5=912be0f23a3791d154293249da1bc31e",Short Survey,Scopus,2-s2.0-84939838729
"Strauss, S.H., Myburg, A.A.","Plant scientists celebrate new woody plant genome",2015,"New Phytologist","206","4",,"1185","1187",,,10.1111/nph.13443,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928914388&partnerID=40&md5=1b140b311a782c5a67fbae39894c4942",Note,Scopus,2-s2.0-84928914388
"Klocko, A.L., Ma, C., Robertson, S., Esfandiari, E., Nilsson, O., Strauss, S.H.","FT overexpression induces precocious flowering and normal reproductive development in Eucalyptus",2015,"Plant Biotechnology Journal",,,,"","",,,10.1111/pbi.12431,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934344338&partnerID=40&md5=aa4534505b8f6263289b36748da17348",Article in Press,Scopus,2-s2.0-84934344338
"Vining, K.J., Romanel, E., Jones, R.C., Klocko, A., Alves-Ferreira, M., Hefer, C.A., Amarasinghe, V., Dharmawardhana, P., Naithani, S., Ranik, M., Wesley-Smith, J., Solomon, L., Jaiswal, P., Myburg, A.A., Strauss, S.H.","The floral transcriptome of Eucalyptus grandis",2015,"New Phytologist","206","4",,"1406","1422",,1,10.1111/nph.13077,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928923070&partnerID=40&md5=7edc5f7f56280c72b6d911cb78f90ae3",Article,Scopus,2-s2.0-84928923070
"Yordanov, Y.S., Ma, C., Strauss, S.H., Busov, V.B.","EARLY BUD-BREAK 1 (EBB1) is a regulator of release from seasonal dormancy in poplar trees",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","27",,"10001","10006",,4,10.1073/pnas.1405621111,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904016404&partnerID=40&md5=c6e4f12743d0adb4a806465ea20e16ad",Article,Scopus,2-s2.0-84904016404
"Elorriaga, E., Meilan, R., Ma, C., Skinner, J.S., Etherington, E., Brunner, A., Strauss, S.H.","A tapetal ablation transgene induces stable male sterility and slows field growth in Populus",2014,"Tree Genetics and Genomes","10","6",,"1583","1593",,,10.1007/s11295-014-0781-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939897764&partnerID=40&md5=2be561086ab783465cf80cf9fc9fcfea",Article,Scopus,2-s2.0-84939897764
"Klocko, A.L., Meilan, R., James, R.R., Viswanath, V., Ma, C., Payne, P., Miller, L., Skinner, J.S., Oppert, B., Cardineau, G.A., Strauss, S.H.","Bt-Cry3Aa transgene expression reduces insect damage and improves growth in field-grown hybrid poplar",2014,"Canadian Journal of Forest Research","44","1",,"28","35",,2,10.1139/cjfr-2013-0270,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892398034&partnerID=40&md5=f26d086ac7ad30d9c99cb7d6d7bdd512",Article,Scopus,2-s2.0-84892398034
"Myburg, A.A., Grattapaglia, D., Tuskan, G.A., Hellsten, U., Hayes, R.D., Grimwood, J., Jenkins, J., Lindquist, E., Tice, H., Bauer, D., Goodstein, D.M., Dubchak, I., Poliakov, A., Mizrachi, E., Kullan, A.R.K., Hussey, S.G., Pinard, D., Van Der Merwe, K., Singh, P., Van Jaarsveld, I., Silva-Junior, O.B., Togawa, R.C., Pappas, M.R., Faria, D.A., Sansaloni, C.P., Petroli, C.D., Yang, X., Ranjan, P., Tschaplinski, T.J., Ye, C.-Y., Li, T., Sterck, L., Vanneste, K., Murat, F., Soler, M., Clemente, H.S., Saidi, N., Cassan-Wang, H., Dunand, C., Hefer, C.A., Bornberg-Bauer, E., Kersting, A.R., Vining, K., Amarasinghe, V., Ranik, M., Naithani, S., Elser, J., Boyd, A.E., Liston, A., Spatafora, J.W., Dharmwardhana, P., Raja, R., Sullivan, C., Romanel, E., Alves-Ferreira, M., Külheim, C., Foley, W., Carocha, V., Paiva, J., Kudrna, D., Brommonschenkel, S.H., Pasquali, G., Byrne, M., Rigault, P., Tibbits, J., Spokevicius, A., Jones, R.C., Steane, D.A., Vaillancourt, R.E., Potts, B.M., Joubert, F., Barry, K., Pappas Jr., G.J., Strauss, S.H., Jaiswal, P., Grima-Pettenati, J., Salse, J., Van De Peer, Y., Rokhsar, D.S., Schmutz, J.","The genome of Eucalyptus grandis",2014,"Nature","510","7505",,"356","362",,70,10.1038/nature13308,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84903203459&partnerID=40&md5=21cedbd8bef494776dba5e8b7dcb1743",Article,Scopus,2-s2.0-84903203459
"Vining, K., Pomraning, K.R., Wilhelm, L.J., Ma, C., Pellegrini, M., Di, Y., Mockler, T.C., Freitag, M., Strauss, S.H.","Methylome reorganization during in vitro dedifferentiation and regeneration of Populus trichocarpa",2013,"BMC Plant Biology","13","1", 92,"","",,12,10.1186/1471-2229-13-92,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879227020&partnerID=40&md5=41fa94229ac99d6d775ea62401cf4ec9",Article,Scopus,2-s2.0-84879227020
"Zhu, R., Shevchenko, O., Ma, C., Maury, S., Freitag, M., Strauss, S.H.","Poplars with a PtDDM1-RNAi transgene have reduced DNA methylation and show aberrant post-dormancy morphology",2013,"Planta","237","6",,"1483","1493",,2,10.1007/s00425-013-1858-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878375922&partnerID=40&md5=fd0638958c7fd4eba26a58ee662a60d3",Article,Scopus,2-s2.0-84878375922
"Bräutigam, K., Vining, K.J., Lafon-Placette, C., Fossdal, C.G., Mirouze, M., Marcos, J.G., Fluch, S., Fraga, M.F., Guevara, M.A., Abarca, D., Johnsen, O., Maury, S., Strauss, S.H., Campbell, M.M., Rohde, A., Díaz-Sala, C., Cervera, M.-T.","Epigenetic regulation of adaptive responses of forest tree species to the environment",2013,"Ecology and Evolution","3","2",,"399","415",,40,10.1002/ece3.461,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84877029873&partnerID=40&md5=591e1ff2a416583f72c30d681a417867",Article,Scopus,2-s2.0-84877029873
"Chen, Y., Yordanov, Y.S., Ma, C., Strauss, S., Busov, V.B.","DR5 as a reporter system to study auxin response in Populus",2013,"Plant Cell Reports","32","3",,"453","463",,5,10.1007/s00299-012-1378-x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873988349&partnerID=40&md5=0d7aa1b2df281c52a21870591e2bb3ad",Article,Scopus,2-s2.0-84873988349
"Slavov, G.T., Difazio, S.P., Martin, J., Schackwitz, W., Muchero, W., Rodgers-Melnick, E., Lipphardt, M.F., Pennacchio, C.P., Hellsten, U., Pennacchio, L.A., Gunter, L.E., Ranjan, P., Vining, K., Pomraning, K.R., Wilhelm, L.J., Pellegrini, M., Mockler, T.C., Freitag, M., Geraldes, A., El-Kassaby, Y.A., Mansfield, S.D., Cronk, Q.C.B., Douglas, C.J., Strauss, S.H., Rokhsar, D., Tuskan, G.A.","Genome resequencing reveals multiscale geographic structure and extensive linkage disequilibrium in the forest tree Populus trichocarpa",2012,"New Phytologist","196","3",,"713","725",,42,10.1111/j.1469-8137.2012.04258.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84867402003&partnerID=40&md5=91ce3f7b3cf3adda07b25c1cbb7ff386",Article,Scopus,2-s2.0-84867402003
"Elias, A.A., Busov, V.B., Kosola, K.R., Ma, C., Etherington, E., Shevchenko, O., Gandhi, H., Pearce, D.W., Rood, S.B., Strauss, S.H.","Green revolution trees: Semidwarfism transgenes modify gibberellins, promote root growth, enhance morphological diversity, and reduce competitiveness in hybrid poplar",2012,"Plant Physiology","160","2",,"1130","1144",,9,10.1104/pp.112.200741,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84867121228&partnerID=40&md5=8ddb455662fa1ed0b1f3ba24ae105b4b",Article,Scopus,2-s2.0-84867121228
"Vining, K.J., Contreras, R.N., Ranik, M., Strauss, S.H.","Genetic methods for mitigating invasiveness of woody ornamental plants: Research needs and opportunities",2012,"HortScience","47","9",,"1210","1216",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84866705411&partnerID=40&md5=7a84b7baac5a02c58d90a94fb99569c7",Article,Scopus,2-s2.0-84866705411
"Zawaski, C., Ma, C., Strauss, S.H., French, D., Meilan, R., Busov, V.B.","PHOTOPERIOD RESPONSE 1 (PHOR1)-like Genes Regulate Shoot/root Growth, Starch Accumulation, and Wood Formation in Populus",2012,"Journal of Experimental Botany","63","15",,"5623","5634",,4,10.1093/jxb/ers217,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84866694772&partnerID=40&md5=6b4230d776e33a17def0168cbf233e45",Article,Scopus,2-s2.0-84866694772
