Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Dörmann, P., Kim, H., Ott, T., Schulze-Lefert, P., Trujillo, M., Wewer, V., Hückelhoven, R.","Cell-autonomous defense, re-organization and trafficking of membranes in plant-microbe interactions",2014,"New Phytologist",,,,"","",,9,10.1111/nph.12978,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906524399&partnerID=40&md5=79c93c2e843979b723e9d3293ca1358f",Article in Press,Scopus,2-s2.0-84906524399
"Stegmann, M., Anderson, R.G., Westphal, L., Rosahl, S., McDowell, J.M., Trujillo, M.","The exocyst subunit Exo70B1 is involved in the immune response of Arabidopsis thaliana to different pathogens and cell death",2014,"Plant Signaling and Behavior","8","12", e27421,"","",,4,10.4161/psb.27421,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892598345&partnerID=40&md5=b3f5d2ebf8ade005811f4c49285c4bfc",Article,Scopus,2-s2.0-84892598345
"Majovsky, P., Naumann, C., Lee, C.-W., Lassowskat, I., Trujillo, M., Dissmeyer, N., Hoehenwarter, W.","Targeted proteomics analysis of protein degradation in plant signaling on an LTQ-Orbitrap mass spectrometer",2014,"Journal of Proteome Research","13","10",,"4246","4258",,2,10.1021/pr500164j,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907857020&partnerID=40&md5=8b41a7eaf77c65cb7286913511b6b431",Article,Scopus,2-s2.0-84907857020
"Dörmann, P., Kim, H., Ott, T., Schulze-Lefert, P., Trujillo, M., Wewer, V., Hückelhoven, R.","Cell-autonomous defense, re-organization and trafficking of membranes in plant-microbe interactions",2014,"New Phytologist","204","4",,"815","822",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84911977029&partnerID=40&md5=e0279c8fdd186a2701f62c95a465ccf3",Article,Scopus,2-s2.0-84911977029
"Stegmann, M., Anderson, R.G., Ichimura, K., Pecenkova, T., Reuter, P., Žárský, V., Refidaff, C., Shirasu, K., Trujillo, M.","The ubiquitin ligase PUB22 targets a subunit of the exocyst complex required for PAMP-triggered responses in arabidopsisc w",2012,"Plant Cell","24","11",,"4703","4716",,38,10.1105/tpc.112.104463,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871857219&partnerID=40&md5=01ea216b680b2b1c3cd7d375ea674122",Article,Scopus,2-s2.0-84871857219
"Furlan, G., Klinkenberg, J., Trujillo, M.","Regulation of plant immune receptors by ubiquitination",2012,"Frontiers in Plant Science","3","OCT", 238,"","",,12,10.3389/fpls.2012.00238,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894047105&partnerID=40&md5=75ab58f38889ca62d5e780e3f98a27cb",Review,Scopus,2-s2.0-84894047105
"Jacobs, S., Zechmann, B., Molitor, A., Trujillo, M., Petutschnig, E., Likpa, V., Koge, K.-H., Schäfer, P.","Broad-spectrum suppression of innate immunity is required for colonization of arabidopsis roots by the fungus piriformospora indicas",2011,"Plant Physiology","156","2",,"726","740",,75,10.1104/pp.111.176446,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79958053665&partnerID=40&md5=29bd82a9d93cc84d4ec80da858a8903a",Article,Scopus,2-s2.0-79958053665
"Trujillo, M., Shirasu, K.","Ubiquitination in plant immunity",2010,"Current Opinion in Plant Biology","13","4",,"402","408",,56,10.1016/j.pbi.2010.04.002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77955087793&partnerID=40&md5=41a36601d03c54a34e4e145d9a4d3caf",Review,Scopus,2-s2.0-77955087793
"Trujillo, M., Ichimura, K., Casais, C., Shirasu, K.","Negative Regulation of PAMP-Triggered Immunity by an E3 Ubiquitin Ligase Triplet in Arabidopsis",2008,"Current Biology","18","18",,"1396","1401",,88,10.1016/j.cub.2008.07.085,"http://www.scopus.com/inward/record.url?eid=2-s2.0-52049119002&partnerID=40&md5=9b7fedc13a300b7ac0e36bb8c9863769",Article,Scopus,2-s2.0-52049119002
"Trujillo, M., Altschmied, L., Schweizer, P., Kogel, K.-H., Hückelhoven, R.","Respiratory burst oxidase homologue A of barley contributes to penetration by the powdery mildew fungus Blumeria graminis f. sp. hordei",2006,"Journal of Experimental Botany","57","14",,"3781","3791",,28,10.1093/jxb/erl191,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33845235998&partnerID=40&md5=992daa404127dbd5eec1de48377f14a2",Article,Scopus,2-s2.0-33845235998
