Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Rydahl, M.G., Fangel, J.U., Mikkelsen, M.D., Elisabeth Johansen, I., Andreas, A., Harholt, J., Ulvskov, P., Jørgensen, B., Domozych, D.S., Willats, W.G.T.","Penium margaritaceum as a model organism for cell wall analysis of expanding plant cells",2015,"Methods in Molecular Biology","1242",,,"1","21",,,10.1007/978-1-4939-1902-4_1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84911910759&partnerID=40&md5=715784d75758532a3f8eaa15e4452600",Article,Scopus,2-s2.0-84911910759
"Svava, R., Gurzawska, K., Yihau, Y., Haugshøj, K.B., Dirscherl, K., Levery, S.B., Jørgensen, N.R., Gotfredsen, K., Damager, I., Ulvskov, P., Jørgensen, B.","The structurally effect of surface coated rhamnogalacturonan i on response of the osteoblast-like cell line SaOS-2",2014,"Journal of Biomedical Materials Research - Part A","102","6",,"1961","1971",,,10.1002/jbm.a.34868,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899446570&partnerID=40&md5=95d470ccd58f80c48a6511a4e559ba56",Article,Scopus,2-s2.0-84899446570
"Mikkelsen, M.D., Harholt, J., Ulvskov, P., Johansen, I.E., Fangel, J.U., Doblin, M.S., Bacic, A., Willats, W.G.T.","Evidence for land plant cell wall biosynthetic mechanisms in charophyte green algae",2014,"Annals of Botany","114","6",,"1217","1236",,3,10.1093/aob/mcu171,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84910611044&partnerID=40&md5=cfa9048b298802979b210295112fff28",Article,Scopus,2-s2.0-84910611044
"Cankar, K., Kortstee, A., Toonen, M.A.J., Wolters-Arts, M., Houbein, R., Mariani, C., Ulvskov, P., Jorgensen, B., Schols, H.A., Visser, R.G.F., Trindade, L.M.","Pectic arabinan side chains are essential for pollen cell wall integrity during pollen development",2014,"Plant Biotechnology Journal","12","4",,"492","502",,3,10.1111/pbi.12156,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899072713&partnerID=40&md5=4534060c3a6a489bed94877fff56cbd3",Article,Scopus,2-s2.0-84899072713
"Knoch, E., Dilokpimol, A., Tryfona, T., Poulsen, C.P., Xiong, G., Harholt, J., Petersen, B.L., Ulvskov, P., Hadi, M.Z., Kotake, T., Tsumuraya, Y., Pauly, M., Dupree, P., Geshi, N.","A β-glucuronosyltransferase from Arabidopsis thaliana involved in biosynthesis of type II arabinogalactan has a role in cell elongation during seedling growth",2013,"Plant Journal","76","6",,"1016","1029",,13,10.1111/tpj.12353,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890313853&partnerID=40&md5=6393f592080e639c8820d21bac946992",Article,Scopus,2-s2.0-84890313853
"Ulvskov, P., Paiva, D.S., Domozych, D., Harholt, J.","Classification, Naming and Evolutionary History of Glycosyltransferases from Sequenced Green and Red Algal Genomes",2013,"PLoS ONE","8","10", e76511,"","",,2,10.1371/journal.pone.0076511,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885796303&partnerID=40&md5=b2a45d9e4d80e1fbcb609c532a7aa075",Article,Scopus,2-s2.0-84885796303
"DePamphilis, C.W., Palmer, J.D., Rounsley, S., Sankoff, D., Schuster, S.C., Ammiraju, J.S.S., Barbazuk, W.B., Chamala, S., Chanderbali, A.S., Determann, R., Hong, M., Ralph, P., Talag, J., Tomsho, L., Walts, B., Wanke, S., Wing, R.A., Chang, T.-H., Lan, T., Soltis, D.E., Arikit, S., Axtell, M.J., Ayyampalayam, S., Burnette III, J.M., De Paoli, E., Farrell, N.P., Harkess, A., Jiao, Y., Leebens-Mack, J., Liu, K., Mei, W., Meyers, B.C., Shahid, S., Wafula, E., Wessler, S.R., Zhai, J., Zhang, X., Albert, V.A., Carretero-Paulet, L., Lyons, E., Tang, H., Zheng, C., Altman, N.S., Chen, F., Chen, J.-Q., Chiang, V., Der, J.P., Fogliani, B., Guo, C., Harholt, J., Job, C., Job, D., Kim, S., Kong, H., Li, G., Li, N., Liu, J., Park, J., Qi, X., Rajjou, L., Burtet-Sarramegna, V., Sederoff, R., Sun, Y.-H., Ulvskov, P., Villegente, M., Xue, J.-Y., Yeh, T.-F., Yu, X., Acosta, J.J., Bruenn, R.A., De Kochko, A., Herrera-Estrella, L.R., Ibarra-Laclette, E., Kirst, M., Pissis, S.P., Poncet, V., Soltis, P.S.","The Amborella genome and the evolution of flowering plants",2013,"Science","342","6165", 1241089,"","",,65,10.1126/science.1241089,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890829647&partnerID=40&md5=7ef9fb8fcbd08f925be7554a857de95d",Article,Scopus,2-s2.0-84890829647
"Chiniquy, D., Sharma, V., Schultink, A., Baidoo, E.E., Rautengarten, C., Cheng, K., Carroll, A., Ulvskov, P., Harholt, J., Keasling, J.D., Pauly, M., Scheller, H.V., Ronald, P.C.","XAX1 from glycosyltransferase family 61 mediates xylosyltransfer to rice xylan",2012,"Proceedings of the National Academy of Sciences of the United States of America","109","42",,"17117","17122",,37,10.1073/pnas.1202079109,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84867644227&partnerID=40&md5=96caded74e5cc01e184adfa390803672",Article,Scopus,2-s2.0-84867644227
"Yang, Z., Bennett, E.P., Jørgensen, B., Drew, D.P., Arigi, E., Mandel, U., Ulvskov, P., Levery, S.B., Clausen, H., Petersen, B.L.","Toward stable Genetic engineering of human O-glycosylation in plants",2012,"Plant Physiology","160","1",,"450","463",,12,10.1104/pp.112.198200,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84865858922&partnerID=40&md5=f91f8ec83038114fcf8ae5bfbddcebff",Article,Scopus,2-s2.0-84865858922
"Fangel, J.U., Ulvskov, P., Knox, J.P., Mikkelsen, M.D., Harholt, J., Popper, Z.A., Willats, W.G.T.","Cell wall evolution and diversity",2012,"Frontiers in Plant Science","3","JUL", 152,"","",,20,10.3389/fpls.2012.00152,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84872261244&partnerID=40&md5=5754c9faf498d318a9afe25ad1ba5d43",Review,Scopus,2-s2.0-84872261244
