Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Li, X., Umen, J.G., Jonikas, M.C.","Erratum: Waking sleeping algal cells (Proceedings of the National Academy of Sciences of the United States of America (2014) 111 (15610-15611) DOI: 10.1073/pnas.1418295111)",2015,"Proceedings of the National Academy of Sciences of the United States of America","112","6",,"E596","",,,10.1073/pnas.1500845112,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922597901&partnerID=40&md5=de8c285a2afecd0659756caae27dadf7",Erratum,Scopus,2-s2.0-84922597901
"Umen, J.G.","Lost and found: The secret sex lives of bdelloid rotifers",2015,"Genetics","200","2",,"409","412",,,10.1534/genetics.115.176388,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84931462170&partnerID=40&md5=a9db75624269aef879903d8b53818c90",Note,Scopus,2-s2.0-84931462170
"Cross, F.R., Umen, J.G.","The Chlamydomonas cell cycle",2015,"Plant Journal","82","3",,"370","392",,2,10.1111/tpj.12795,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929046310&partnerID=40&md5=d86f34e4df01328717a6abd99d3ff5dd",Article,Scopus,2-s2.0-84929046310
"Goodenough, U., Blaby, I., Casero, D., Gallaher, S.D., Goodson, C., Johnson, S., Lee, J.-H., Merchant, S.S., Pellegrini, M., Roth, R., Rusch, J., Singh, M., Umen, J.G., Weiss, T.L., Wulan, T.","The path to triacylglyceride obesity in the sta6 strain of Chlamydomonas reinhardtii",2014,"Eukaryotic Cell","13","5",,"591","613",,13,10.1128/EC.00013-14,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899936462&partnerID=40&md5=bfefea607c001aba91f0a362370e026e",Article,Scopus,2-s2.0-84899936462
"Geng, S., De Hoff, P., Umen, J.G.","Evolution of Sexes from an Ancestral Mating-Type Specification Pathway",2014,"PLoS Biology","12","7", e1001904,"1","16",,2,10.1371/journal.pbio.1001904,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84905376725&partnerID=40&md5=078ac0ecc5e07262bfc77f72fd667469",Article,Scopus,2-s2.0-84905376725
"Umen, J.G.","Green Algae and the Origins of Multicellularity in the Plant Kingdom",2014,"Cold Spring Harbor Perspectives in Biology","6","11",,"","",27,3,10.1101/cshperspect.a016170,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908430742&partnerID=40&md5=aa0e9e538574db70fe8b8b751d2579f6",Article,Scopus,2-s2.0-84908430742
"Blaby, I.K., Blaby-Haas, C.E., Tourasse, N., Hom, E.F.Y., Lopez, D., Aksoy, M., Grossman, A., Umen, J., Dutcher, S., Porter, M., King, S., Witman, G.B., Stanke, M., Harris, E.H., Goodstein, D., Grimwood, J., Schmutz, J., Vallon, O., Merchant, S.S., Prochnik, S.","The Chlamydomonas genome project: A decade on",2014,"Trends in Plant Science","19","10",,"672","680",,17,10.1016/j.tplants.2014.05.008,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908165002&partnerID=40&md5=f6015b7e8dc8dfde9c02e5a74cef09c0",Review,Scopus,2-s2.0-84908165002
"Fang, S.-C., Chung, C.-L., Chen, C.-H., Lopez-Paz, C., Umen, J.G.","Defects in a new class of sulfate/anion transporter link sulfur acclimation responses to intracellular glutathione levels and cell cycle control",2014,"Plant Physiology","166","4",,"1852","1868",,1,10.1104/pp.114.251009,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84914133228&partnerID=40&md5=02d84e5d1ddc10e2bdbc1a9f42ad44fe",Article,Scopus,2-s2.0-84914133228
"Umen, J., Heitman, J.","Evolution of sex: Mating rituals of a pre-metazoan",2013,"Current Biology","23","22",,"R1006","R1008",,1,10.1016/j.cub.2013.10.009,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84889014547&partnerID=40&md5=12e8af3bae16ea00c528e7a7b2c1a829",Article,Scopus,2-s2.0-84889014547
"De Hoff, P.L., Ferris, P., Olson, B.J.S.C., Miyagi, A., Geng, S., Umen, J.G.","Species and Population Level Molecular Profiling Reveals Cryptic Recombination and Emergent Asymmetry in the Dimorphic Mating Locus of C. reinhardtii",2013,"PLoS Genetics","9","8", e1003724,"","",,8,10.1371/journal.pgen.1003724,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884605325&partnerID=40&md5=a6410572005eeda3f91b9dda507473cb",Article,Scopus,2-s2.0-84884605325
"Umen, J.G.","Genetics: Swinging ciliates' seven sexes",2013,"Current Biology","23","11",,"R475","R477",,2,10.1016/j.cub.2013.04.036,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878565728&partnerID=40&md5=2d4998e6c998a7f78e4538d0b8d83024",Article,Scopus,2-s2.0-84878565728
"Hiraide, R., Kawai-Toyooka, H., Hamaji, T., Matsuzaki, R., Kawafune, K., Abe, J., Sekimoto, H., Umen, J., Nozaki, H.","The evolution of male-female sexual dimorphism predates the gender-based divergence of the mating locus gene MAT3/RB",2013,"Molecular Biology and Evolution","30","5",,"1038","1040",,7,10.1093/molbev/mst018,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84876582438&partnerID=40&md5=4a78915ec761df0bc06cecd0b225004d",Article,Scopus,2-s2.0-84876582438
"Umen, J.G., Olson, B.J.S.C.","Genomics of Volvocine Algae",2012,"Advances in Botanical Research","64",,,"185","243",,9,10.1016/B978-0-12-391499-6.00006-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84866764744&partnerID=40&md5=4c9c0c3f92e8ef92ce9a06a9d84c1265",Article,Scopus,2-s2.0-84866764744
"Wood, C.R., Wang, Z., Diener, D., Zones, J.M., Rosenbaum, J., Umen, J.G.","IFT proteins accumulate during cell division and localize to the cleavage furrow in chlamydomonas",2012,"PLoS ONE","7","2", e30729,"","",,10,10.1371/journal.pone.0030729,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84856630786&partnerID=40&md5=8e5599f01ce513edbc9420da26ec1fcd",Article,Scopus,2-s2.0-84856630786
"Umen, J.G.","Evolution of sex and mating loci: An expanded view from Volvocine algae",2011,"Current Opinion in Microbiology","14","6",,"634","641",,19,10.1016/j.mib.2011.10.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-82555176588&partnerID=40&md5=05bd461e673f239953e4a471f0443c7c",Review,Scopus,2-s2.0-82555176588
"Balsemão-Pires, E., Jaillais, Y., Olson, B.J.S.C., Andrade, L.R., Umen, J.G., Chory, J., Sachetto-Martins, G.","The Arabidopsis translocator protein (AtTSPO) is regulated at multiple levels in response to salt stress and perturbations in tetrapyrrole metabolism",2011,"BMC Plant Biology","11",, 108,"","",,12,10.1186/1471-2229-11-108,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79959247590&partnerID=40&md5=d2921e949c1591fe67ef1c25f69775a6",Article,Scopus,2-s2.0-79959247590
"Umen, J.","Controlled chaos: New insights into genetically programmed cell cycle asynchrony",2010,"Cell Cycle","9","19",,"3843","3844",,,10.4161/cc.9.19.13379,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77958515738&partnerID=40&md5=abeeaf9e58bce53101c4eb936fcead72",Note,Scopus,2-s2.0-77958515738
"Prochnik, S.E., Umen, J., Nedelcu, A.M., Hallmann, A., Miller, S.M., Nishii, I., Ferris, P., Kuo, A., Mitros, T., Fritz-Laylin, L.K., Hellsten, U., Chapman, J., Simakov, O., Rensing, S.A., Terry, A., Pangilinan, J., Kapitonov, V., Jurka, J., Salamov, A., Shapiro, H., Schmutz, J., Grimwood, J., Lindquist, E., Lucas, S., Grigoriev, I.V., Schmitt, R., Kirk, D., Rokhsar, D.S.","Genomic analysis of organismal complexity in the multicellular green alga volvox carteri",2010,"Science","329","5988",,"223","226",,181,10.1126/science.1188800,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77954606278&partnerID=40&md5=6246331f6bf3d802e3f071fc1563b643",Article,Scopus,2-s2.0-77954606278
"Ferris, P., Olson, B.J.S.C., De Hoff, P.L., Douglass, S., Casero, D., Prochnik, S., Geng, S., Rai, R., Grimwood, J., Schmutz, J., Nishfi, I., Hamaji, T., Nozaki, H., Pellegrini, M., Umen, J.G.","Evolution of an expanded sex-determining locus in Volvox",2010,"Science","328","5976",,"351","354",,55,10.1126/science.1186222,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77951185385&partnerID=40&md5=46b2bec58603a1f2b3b541b77057521d",Article,Scopus,2-s2.0-77951185385
"Vítová, M., Hendrychová, J., Čížková, M., Cepák, V., Umen, J.G., Zachleder, V., Bišová, K.","Accumulation, activity and localization of cell cycle regulatory proteins and the chloroplast division protein FtsZ in the alga Scenedesmus quadricauda under inhibition of nuclear DNA replication",2008,"Plant and Cell Physiology","49","12",,"1805","1817",,3,10.1093/pcp/pcn162,"http://www.scopus.com/inward/record.url?eid=2-s2.0-57749178795&partnerID=40&md5=d964cf719518ed1823339393e7726de5",Article,Scopus,2-s2.0-57749178795
"Čížková, M., Pichová, A., Vítová, M., Hlavová, M., Hendrychová, J., Umysová, D., Gálová, E., Ševčovičová, A., Zachleder, V., Umen, J.G., Bišová, K.","CDKA and CDKB kinases from Chlamydomonas reinhardtii are able to complement cdc28 temperature-sensitive mutants of Saccharomyces cerevisiae (Protoplasma 232, (183-191))",2008,"Protoplasma","233","1-2",,"173","",,,10.1007/s00709-008-0312-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-51749096181&partnerID=40&md5=26180600a2441e5439404c74bb21a79c",Erratum,Scopus,2-s2.0-51749096181
"Fang, S.-C., Umen, J.G.","A suppressor screen in Chlamydomonas identifies novel components of the retinoblastoma tumor suppressor pathway",2008,"Genetics","178","3",,"1295","1310",,12,10.1534/genetics.107.085977,"http://www.scopus.com/inward/record.url?eid=2-s2.0-45149111167&partnerID=40&md5=02d41b9cb19943e41a3f177aa051aa5e",Article,Scopus,2-s2.0-45149111167
"Merchant, S.S., Prochnik, S.E., Vallon, O., Harris, E.H., Karpowicz, S.J., Witman, G.B., Terry, A., Salamov, A., Fritz-Laylin, L.K., Maréchal-Drouard, L., Marshall, W.F., Qu, L.-H., Nelson, D.R., Sanderfoot, A.A., Spalding, M.H., Kapitonov, V.V., Ren, Q., Ferris, P., Lindquist, E., Shapiro, H., Lucas, S.M., Grimwood, J., Schmutz, J., Grigoriev, I.V., Rokhsar, D.S., Grossman, A.R., Cardol, P., Cerutti, H., Chanfreau, G., Chen, C.-L., Cognat, V., Croft, M.T., Dent, R., Dutcher, S., Fernández, E., Fukuzawa, H., González-Ballester, D., González-Halphen, D., Hallmann, A., Hanikenne, M., Hippler, M., Inwood, W., Jabbari, K., Kalanon, M., Kuras, R., Lefebvre, P.A., Lemaire, S.D., Lobanov, A.V., Lohr, M., Manuell, A., Meier, I., Mets, L., Mittag, M., Mittelmeier, T., Moroney, J.V., Moseley, J., Napoli, C., Nedelcu, A.M., Niyogi, K., Novoselov, S.V., Paulsen, I.T., Pazour, G., Purton, S., Ral, J.-P., Riaño-Pachón, D.M., Riekhof, W., Rymarquis, L., Schroda, M., Stern, D., Umen, J., Willows, R., Wilson, N., Zimmer, S.L., Allmer, J., Balk, J., Bisova, K., Chen, C.-J., Elias, M., Gendler, K., Hauser, C., Lamb, M.R., Ledford, H., Long, J.C., Minagawa, J., Page, M.D., Pan, J., Pootakham, W., Roje, S., Rose, A., Stahlberg, E., Terauchi, A.M., Yang, P., Ball, S., Bowler, C., Dieckmann, C.L., Gladyshev, V.N., Green, P., Jorgensen, R., Mayfield, S., Mueller-Roeber, B., Rajamani, S., Sayre, R.T., Brokstein, P., Dubchak, I., Goodstein, D., Hornick, L., Huang, Y.W., Jhaveri, J., Luo, Y., Martínez, D., Ngau, W.C.A., Otillar, B., Poliakov, A., Porter, A., Szajkowski, L., Werner, G., Zhou, K.","The Chlamydomonas genome reveals the evolution of key animal and plant functions",2007,"Science","318","5848",,"245","251",,944,10.1126/science.1143609,"http://www.scopus.com/inward/record.url?eid=2-s2.0-35348896591&partnerID=40&md5=6e5dea621beac58d6423a8feec7480fd",Article,Scopus,2-s2.0-35348896591
"Fang, S.C., de los Reyes, C., Umen, J.G.","Cell size checkpoint control by the retinoblastoma tumor suppressor pathway.",2006,"PLoS genetics","2","10",,"","",,32,10.1371/journal.pgen.0020167,"http://www.scopus.com/inward/record.url?eid=2-s2.0-39049188623&partnerID=40&md5=ebad9a19582f2dfaf398b45540cf7586",Article,Scopus,2-s2.0-39049188623
"Fang, S.-C., De Los Reyes, C., Umen, J.G.","Cell size checkpoint control by the retinoblastoma tumor suppressor pathway",2006,"PLoS Genetics","2","10",,"1565","1579",,9,10.1371/journal.pgen.0020167,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33750493265&partnerID=40&md5=066d676b5aa2772b6d4723eaaeb6562c",Article,Scopus,2-s2.0-33750493265
"Ferris, P.J., Waffenschmidt, S., Umen, J.G., Lin, H., Lee, J.-H., Ishida, K., Kubo, T., Lau, J., Goodenough, U.W.","Plus and minus sexual agglutinins from Chlamydomonas reinhardtii",2005,"Plant Cell","17","2",,"597","615",,37,10.1105/tpc.104.028035,"http://www.scopus.com/inward/record.url?eid=2-s2.0-27944431671&partnerID=40&md5=24fb5cba2d92a72c3cc1f42c62349368",Article,Scopus,2-s2.0-27944431671
"Bisova, K., Krylov, D.M., Umen, J.G.","Genome-wide annotation and expression profiling of cell cycle regulatory genes in Chlamydomonas reinhardtii",2005,"Plant Physiology","137","2",,"475","491",,73,10.1104/pp.104.054155,"http://www.scopus.com/inward/record.url?eid=2-s2.0-19044374123&partnerID=40&md5=7276c5e5a8a66124c306ce1421ac4b80",Article,Scopus,2-s2.0-19044374123
"Umen, J.G.","The elusive sizer",2005,"Current Opinion in Cell Biology","17","4",,"435","441",,41,10.1016/j.ceb.2005.06.001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-22044454274&partnerID=40&md5=d08bc4ec45eefe832eb0a93877099bd1",Review,Scopus,2-s2.0-22044454274
"Beachy, R., Bennetzen, J.L., Chassy, B.M., Chrispeels, M., Chory, J., Ecker, J.R., Noel, J.P., Kay, S.A., Dean, C., Lamb, C., Jones, J., Santerre, C.R., Schroeder, J.I., Umen, J., Yanofsky, M., Wessler, S., Zhao, Y., Parrott, W., Avery, A.","Divergent perspectives on GM food [1]",2002,"Nature Biotechnology","20","12",,"1195","1197",,4,10.1038/nbt1202-1195,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036901299&partnerID=40&md5=dba6131f9d993e089ba00daa480c7e7e",Letter,Scopus,2-s2.0-0036901299
"Umen, J.G., Goodenough, U.W.","Chloroplast DNA methylation and inheritance in Chlamydomonas",2001,"Genes and Development","15","19",,"2585","2597",,40,10.1101/gad.906701,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035477135&partnerID=40&md5=a63cf4f12dc1115ef37750f28005c30f",Article,Scopus,2-s2.0-0035477135
"Umen, J.G., Goodenough, U.W.","Control of cell division by a retinoblastoma protein homolog in Chlamydomonas",2001,"Genes and Development","15","13",,"1652","1661",,104,10.1101/gad.892101,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035395939&partnerID=40&md5=6d075fa9ea0b8b2ec48dbb4a2a0924a8",Article,Scopus,2-s2.0-0035395939
"Duncan, K., Umen, J.G., Guthrie, C.","A putative ubiquitin ligase required for efficient mRNA export differentially affects hnRNP transport",2000,"Current Biology","10","12",,"687","696",,58,10.1016/S0960-9822(00)00527-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034659266&partnerID=40&md5=2e9ddf49efa11626c6f71afd67940394",Article,Scopus,2-s2.0-0034659266
"Umen, J.G., Guthrie, C.","Mutagenesis of the yeast gene PRP8 reveals domains governing the specificity and fidelity of 3′ splice site selection",1996,"Genetics","143","2",,"723","739",,67,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030030194&partnerID=40&md5=225412ea8bb95898d0ff443c22d0d893",Article,Scopus,2-s2.0-0030030194
"Umen, J.G., Guthrie, C.","Prp16p, Slu7p, and Prp8p interact with the 3′ splice site in two distinct stages during the second catalytic step of pre-mRNA splicing",1995,"RNA","1","6",,"584","597",,77,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0029349060&partnerID=40&md5=58f7996567c3f43b5627018eb5715528",Article,Scopus,2-s2.0-0029349060
"Umen, J.G., Guthrie, C.","The second catalytic step of pre-mRNA splicing.",1995,"RNA (New York, N.Y.)","1","9",,"869","885",,109,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0029397324&partnerID=40&md5=bb14f552646746bbadf734c330dbcc70",Review,Scopus,2-s2.0-0029397324
"Lee, S.I., Umen, J.G., Varmus, H.E.","A genetic screen identifies cellular factors involved in retroviral - 1 frameshifting",1995,"Proceedings of the National Academy of Sciences of the United States of America","92","14",,"6587","6591",,31,10.1073/pnas.92.14.6587,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0029014536&partnerID=40&md5=8a29c965f0848ad90d53b87a8179d9b0",Article,Scopus,2-s2.0-0029014536
"Umen, J.G., Guthrie, C.","A novel role for a U5 snRNP protein in 3′ splice site selection",1995,"Genes and Development","9","7",,"855","868",,145,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028960809&partnerID=40&md5=485fd121397d348737817c276bf64eff",Article,Scopus,2-s2.0-0028960809
