Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Tizioto, P.C., Kim, J., Seabury, C.M., Schnabel, R.D., Gershwin, L.J., Van Eenennaam, A.L., Toaff-Rosenstein, R., Neibergs, H.L., Taylor, J.F.","Immunological response to single pathogen challenge with agents of the bovine respiratory disease complex: An RNA-sequence analysis of the bronchial lymph node transcriptome",2015,"PLoS ONE","10","6", e0131459,"","",,,10.1371/journal.pone.0131459,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938630607&partnerID=40&md5=24fea7c2529810e4074628da7cd0929e",Article,Scopus,2-s2.0-84938630607
"Ng, T.F.F., Kondov, N.O., Deng, X., Van Eenennaam, A., Neibergs, H.L., Delwart, E.","A metagenomics and case-control study to identify viruses associated with bovine respiratory disease",2015,"Journal of Virology","89","10",,"5340","5349",,2,10.1128/JVI.00064-15,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928545627&partnerID=40&md5=2a64172c4dbda5b88f7316ce9fca8207",Article,Scopus,2-s2.0-84928545627
"Aly, S.S., Love, W.J., Williams, D.R., Lehenbauer, T.W., Van Eenennaam, A., Drake, C., Kass, P.H., Farver, T.B.","Agreement between bovine respiratory disease scoring systems for pre-weaned dairy calves",2014,"Animal Health Research Reviews","15","2",,"148","150",,,10.1017/S1466252314000164,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937936893&partnerID=40&md5=c2f8addd6f71ef52c7f1db989eff21b5",Article,Scopus,2-s2.0-84937936893
"Van Eenennaam, A., Neibergs, H., Seabury, C., Taylor, J., Wang, Z., Scraggs, E., Schnabel, R.D., Decker, J., Wojtowicz, A., Aly, S., Davis, J., Blanchard, P., Crossley, B., Rossitto, P., Lehenbauer, T., Hagevoort, R., Chavez, E., Neibergs, J.S., Womack, J.E.","Results of the BRD CAP project: Progress toward identifying genetic markers associated with BRD susceptibility",2014,"Animal Health Research Reviews","15","2",,"157","160",,,10.1017/S1466252314000231,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929023760&partnerID=40&md5=89c0732f40184b3586eecb83fb342d9b",Article,Scopus,2-s2.0-84929023760
"Van Eenennaam, A.L., Young, A.E.","Prevalence and impacts of genetically engineered feedstuffs on livestock populations",2014,"Journal of animal science","92","10",,"4255","4278",,,10.2527/jas.2014-8124,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946149011&partnerID=40&md5=d77336e02307153a9b8e79e98364d79c",Review,Scopus,2-s2.0-84946149011
"Van Eenennaam, A.L., Young, A.E.","Prevalence and impacts of genetically engineered feedstuffs on livestock populations",2014,"Journal of Animal Science","92","10",,"4255","4278",,5,10.2527/jas2014-8124,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907486313&partnerID=40&md5=593beb6f41e0cdd4964efe45ee512090",Article,Scopus,2-s2.0-84907486313
"Van Eenennaam, A.L., Weber, K.L., Drake, D.J.","Evaluation of bull prolificacy on commercial beef cattle ranches using DNA paternity analysis",2014,"Journal of Animal Science","92","6",,"2693","2701",,,10.2527/jas2013-7217,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901608802&partnerID=40&md5=d4ca08a6471b2d3230ffb588078ad859",Article,Scopus,2-s2.0-84901608802
"Love, W.J., Lehenbauer, T.W., Kass, P.H., Van Eenennaam, A.L., Aly, S.S.","Development of a novel clinical scoring systemfor on-farmdiagnosis of bovine respiratory disease in pre-weaned dairy calves",2014,"PeerJ","2013","1", 238,"","",,5,10.7717/peerj.238,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84895738027&partnerID=40&md5=135fe48059a444f10055482dcd69ee47",Article,Scopus,2-s2.0-84895738027
"Van Eenennaam, A.L., Weigel, K.A., Young, A.E., Cleveland, M.A., Dekkers, J.C.M.","Applied animal genomics: Results from the field",2014,"Annual Review of Animal Biosciences","2",,,"105","139",,8,10.1146/annurev-animal-022513-114119,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904106383&partnerID=40&md5=a8b433b87b03a271c8b21c2ea6764f9d",Review,Scopus,2-s2.0-84904106383
"Van Eenennaam, A.L.","Considerations related to breed or biological type",2013,"Veterinary Clinics of North America - Food Animal Practice","29","3",,"493","516",,1,10.1016/j.cvfa.2013.07.012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84886835049&partnerID=40&md5=45fbe56d4413c6d5954efbefb4d3fecb",Review,Scopus,2-s2.0-84886835049
"McClure, M.C., Sonstegard, T.S., Wiggans, G.R., Van Eenennaam, A.L., Weber, K.L., Penedo, C.T., Berry, D.P., Flynn, J., Garcia, J.F., Carmo, A.S., Regitano, L.C.A., Albuquerque, M., Silva, M.V.G.B., Machado, M.A., Coffey, M., Moore, K., Boscher, M.-Y., Genestout, L., Mazza, R., Taylor, J.F., Schnabel, R.D., Simpson, B., Marques, E., McEwan, J.C., Cromie, A., Coutinho, L.L., Kuehn, L.A., Keele, J.W., Piper, E.K., Cook, J., Williams, R., Van Tassell, C.P.","Imputation of microsatellite alleles from dense SNP genotypes for parentage verification across multiple Bos taurus and Bos indicus breeds",2013,"Frontiers in Genetics","4","SEP", Article 176,"","",,1,10.3389/fgene.2013.00176,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84886006221&partnerID=40&md5=18c6d6a0f3f028b22fc8c7bd541b011a",Article,Scopus,2-s2.0-84886006221
"Van Eenennaam, A.L.","GMOs in animal agriculture: Time to consider both costs and benefits in regulatory evaluations",2013,"Journal of Animal Science and Biotechnology","4","1", 37,"","",,5,10.1186/2049-1891-4-37,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894463583&partnerID=40&md5=56935a38cdfc0157b061846354c812ca",Review,Scopus,2-s2.0-84894463583
"Mateescu, R.G., Garrick, D.J., Tait Jr., R.G., Garmyn, A.J., Duan, Q., Liu, Q., Mayes, M.S., Van Eenennaam, A.L., VanOverbeke, D.L., Hilton, G.G., Beitz, D.C., Reecy, J.M.","Genome-wide association study of concentrations of iron and other minerals in longissimus muscle of Angus cattle",2013,"Journal of Animal Science","91","8",,"3593","3600",,4,10.2527/jas.2012-6079,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84882726076&partnerID=40&md5=3fa02b061c1d67ae527c9dbda1574960",Article,Scopus,2-s2.0-84882726076
"Mateescu, R.G., Garmyn, A.J., Tait, R.G., Duan, Q., Liu, Q., Mayes, M.S., Garrick, D.J., Van Eenennaam, A.L., VanOverbeke, D.L., Hilton, G.G., Beitz, D.C., Reecy, J.M.","Genetic parameters for concentrations of minerals in longissimus muscle and their associations with palatability traits in angus cattle",2013,"Journal of Animal Science","91","3",,"1067","1075",,5,10.2527/jas.2012-5744,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875776219&partnerID=40&md5=2ec1ab1786daef5a4f0943cbb49fcb54",Article,Scopus,2-s2.0-84875776219
"Weber, K.L., Thallman, R.M., Keele, J.W., Snelling, W.M., Bennett, G.L., Smith, T.P.L., McDaneld, T.G., Allan, M.F., Van Eenennaam, A.L., Kuehn, L.A.","Accuracy of genomic breeding values in multibreed beef cattle populations derived from deregressed breeding values and phenotypes",2012,"Journal of Animal Science","90","12",,"4177","4190",,22,10.2527/jas.2011-4586,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84882711405&partnerID=40&md5=0c51fa8c37fe393cd387b84c0fcccccd",Article,Scopus,2-s2.0-84882711405
