Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Xu, C., Liberatore, K.L., Macalister, C.A., Huang, Z., Chu, Y.-H., Jiang, K., Brooks, C., Ogawa-Ohnishi, M., Xiong, G., Pauly, M., Van Eck, J., Matsubayashi, Y., Van Der Knaap, E., Lippman, Z.B.","A cascade of arabinosyltransferases controls shoot meristem size in tomato",2015,"Nature Genetics","47","7",,"784","792",,3,10.1038/ng.3309,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84933039897&partnerID=40&md5=54b99c74c322ce2f857c030eb418f2a6",Article,Scopus,2-s2.0-84933039897
"Van Eck, J., Swartwood, K.","Setaria viridis",2015,"Methods in Molecular Biology","1223",,,"57","67",,1,10.1007/978-1-4939-1695-5_5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921722166&partnerID=40&md5=f9c28e40df744a7829e9cc67c6d3a17b",Article,Scopus,2-s2.0-84921722166
"Brooks, C., Nekrasov, V., Lipppman, Z.B., Van Eck, J.","Efficient gene editing in tomato in the first generation using the clustered regularly interspaced short palindromic repeats/CRISPR-associated9 system",2014,"Plant Physiology","166","3",,"1292","1297",,4,10.1104/pp.114.247577,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908584019&partnerID=40&md5=8b637f8563ed754b9e12cc96632772a3",Article,Scopus,2-s2.0-84908584019
"Sato, S., Tabata, S., Hirakawa, H., Asamizu, E., Shirasawa, K., Isobe, S., Kaneko, T., Nakamura, Y., Shibata, D., Aoki, K., Egholm, M., Knight, J., Bogden, R., Li, C., Shuang, Y., Xu, X., Pan, S., Cheng, S., Liu, X., Ren, Y., Wang, J., Albiero, A., Dal Pero, F., Todesco, S., Van Eck, J., Buels, R.M., Bombarely, A., Gosselin, J.R., Huang, M., Leto, J.A., Menda, N., Strickler, S., Mao, L., Gao, S., Tecle, I.Y., York, T., Zheng, Y., Vrebalov, J.T., Lee, J., Zhong, S., Mueller, L.A., Stiekema, W.J., Ribeca, P., Alioto, T., Yang, W., Huang, S., Du, Y., Zhang, Z., Gao, J., Guo, Y., Wang, X., Li, Y., He, J., Li, C., Cheng, Z., Zuo, J., Ren, J., Zhao, J., Yan, L., Jiang, H., Wang, B., Li, H., Li, Z., Fu, F., Chen, B., Han, B., Feng, Q., Fan, D., Wang, Y., Ling, H., Xue, Y., Ware, D., Richard McCombie, W., Lippman, Z.B., Chia, J.-M., Jiang, K., Pasternak, S., Gelley, L., Kramer, M., Anderson, L.K., Chang, S.-B., Royer, S.M., Shearer, L.A., Stack, S.M., Rose, J.K.C., Xu, Y., Eannetta, N., Matas, A.J., McQuinn, R., Tanksley, S.D., Camara, F., Guigó, R., Rombauts, S., Fawcett, J., Van De Peer, Y., Zamir, D., Liang, C., Spannagl, M., Gundlach, H., Bruggmann, R., Mayer, K., Jia, Z., Zhang, J., Ye, Z., Bishop, G.J., Butcher, S., Lopez-Cobollo, R., Buchan, D., Filippis, I., Abbott, J., Dixit, I.R., Singh, M., Singh, A., Pal, J.K., Pandit, A., Singh, P.K., Mahato, A.K., Dogra, V., Gaikwad, K., Sharma, T.R., Mohapatra, T., Singh, N.K., Causse, M., Rothan, C., Noirot, C., Bellec, A., Klopp, C., Delalande, C., Berges, H., Mariette, J., Frasse, P., Vautrin, S., Zouine, T.M., Latché, A., Rousseau, C., Regad, F., Pech, J.-C., Philippot, M., Bouzayen, M., Pericard, P., Osorio, S., Del Carmen, A.F., Monforte, A., Granell, A., Fernandez-Muñoz, R., Conte, M., Lichtenstein, G., Carrari, F., De Bellis, G., Fuligni, F., Peano, C., Grandillo, S., Termolino, P., Pietrella, M., Fantini, E., Falcone, G., Fiore, A., Giuliano, G., Lopez, L., Facella, P., Perrotta, G., Daddiego, L., Bryan, G., Orozco, B.M., Pastor, X., Torrents, D., Van Schriek, M.G.M., Feron, R.M.C., Van Oeveren, J., De Heer, P., Da Ponte, L., Jacobs-Oomen, S., Cariaso, M., Prins, M., Van Eijk, M.J.T., Janssen, A., Van Haaren, J.J., -HwanJo, S., Kim, J., Kwon, S.-Y., Kim, S., Koo, D.-H., Lee, S., Clouser, C., Rico, A., Hallab, A., Gebhardt, C., Klee, K., Jöcker, A., Warfsmann, J., Göbel, U., Kawamura, S., Yano, E., Sherman, J.D., Fukuoka, H., Negoro, S., Bhutty, S., Chowdhury, P., Chattopadhyay, D., Datema, E., Smit, S., Schijlen, E.G.W.M., Van De Belt, J., Van Haarst, J.C., Peters, S.A., Van Staveren, M.J., Henkens, M.H.C., Mooyman, P.J.W., Hesselink, T., Van Ham, R.C.H.J., Jiang, G., Droege, M., Choi, D., Kang, B.-C., Kim, B.D., Park, M., Kim, S., Yeom, S.-I., Lee, Y.-H., Choi, Y.-D., Li, G., Gao, J., Liu, Y., Huang, S., Fernandez-Pedrosa, V., Collado, C., Zuñ Iga, S., Wang, G., Cade, R., Dietrich, R.A., Rogers, J., Knapp, S., Fei, Z., White, R.A., Thannhauser, T.W., Giovannoni, J.J., Botella, M.A., Gilbert, L., Gonzalez, F.R., Goicoechea, J.L., Yu, Y., Kudrna, D., Collura, K., Wissotski, M., Wing, R., Meyers, B.C., Gurazada, A.B., Green, P.J., Mathur, S., Vyas, S., Solanke, A.U., Kumar, R., Gupta, V., Sharma, A.K., Khurana, P., Khurana, J.P., Tyagi, A.K., Dalmay, T., Mohorianu, I., Walts, B., Chamala, S., Barbazuk, W.B., Li, J., Guo, H., Lee, T.-H., Wang, Y., Zhang, D., Paterson, A.H., Wang, X., Tang, H., Barone, A., Chiusano, M.L., Ercolano, M.R., D'Agostino, N., Di Filippo, M., Traini, A., Sanseverino, W., Frusciante, L., Seymour, G.B., Elharam, M., Fu, Y., Hua, A., Kenton, S., Lewis, J., Lin, S., Najar, F., Lai, H., Qin, B., Shi, R., Qu, C., White, D., White, J., Xing, Y., Yang, K., Yi, J., Yao, Z., Zhou, L., Roe, B.A., Vezzi, A., D'Angelo, M., Zimbello, R., Schiavon, R., Caniato, E., Rigobello, C., Campagna, D., Vitulo, N., Valle, G., Nelson, D.R., De Paoli, E., Szinay, D., De Jong, H.H., Bai, Y., Visser, R.G.F., Lankhorst, R.K., Beasley, H., McLaren, K., Nicholson, C., Riddle, C., Gianese, G.","The tomato genome sequence provides insights into fleshy fruit evolution",2012,"Nature","485","7400",,"635","641",,627,10.1038/nature11119,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863693752&partnerID=40&md5=d7544b7cbc59037d07ee99585395b618",Article,Scopus,2-s2.0-84863693752
"Li, L., Yang, Y., Xu, Q., Owsiany, K., Welsch, R., Chitchumroonchokchai, C., Lu, S., Van Eck, J., Deng, X.-X., Failla, M., Thannhauser, T.W.","The or gene enhances carotenoid accumulation and stability during post-harvest storage of potato tubers",2012,"Molecular Plant","5","2",,"339","352",,24,10.1093/mp/ssr099,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84859153982&partnerID=40&md5=7fde0b6dabe45b062dc45171c5818c41",Conference Paper,Scopus,2-s2.0-84859153982
"Ju, H.-J., van Eck, J., Gray, S.M.","Factors influencing plant regeneration from seedling explants of Hairy nightshade (Solanum sarrachoides)",2012,"Plant Cell, Tissue and Organ Culture","108","1",,"121","128",,3,10.1007/s11240-011-0020-x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-81555198420&partnerID=40&md5=343439e7e245631dd94c99331d97c1b8",Article,Scopus,2-s2.0-81555198420
"Cavatorta, J., Perez, K.W., Gray, S.M., Van Eck, J., Yeam, I., Jahn, M.","Engineering virus resistance using a modified potato gene",2011,"Plant Biotechnology Journal","9","9",,"1014","1021",,19,10.1111/j.1467-7652.2011.00622.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80955151510&partnerID=40&md5=839094ffb5cbbd639bc7efbf13bf454d",Article,Scopus,2-s2.0-80955151510
"Zhou, X., Mcquinn, R., Fei, Z., Wolters, A.-M.A., Van Eck, J., Brown, C., Giovannoni, J.J., Li, L.","Regulatory control of high levels of carotenoid accumulation in potato tubers",2011,"Plant, Cell and Environment","34","6",,"1020","1030",,17,10.1111/j.1365-3040.2011.02301.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79955741346&partnerID=40&md5=8a9844540f727535d0326bfa4ef9533a",Article,Scopus,2-s2.0-79955741346
"Van Eck, J., Zhou, X., Lu, S., Li, L.","Modulation of carotenoid accumulation in transgenic potato by inducing chromoplast formation with enhanced sink strength",2010,"Methods in Molecular Biology","643",,,"77","93",,3,10.1007/978-1-60761-723-5_6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77956927803&partnerID=40&md5=ad47688e3fc1d63da8748308846e563b",Article,Scopus,2-s2.0-77956927803
"Brutnell, T.P., Wang, L., Swartwood, K., Goldschmidt, A., Jackson, D., Zhu, X.-G., Kellogg, E., van Eck, J.","Setaria viridis: A model for C4 photosynthesis",2010,"Plant Cell","22","8",,"2537","2544",,71,10.1105/tpc.110.075309,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77957767706&partnerID=40&md5=388836b6ab24e009e0876dd0f0388ea2",Article,Scopus,2-s2.0-77957767706
