Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Kumar, M.N., Hsieh, Y.-F., Verslues, P.E.","At14a-Like1 participates in membrane-associated mechanisms promoting growth during drought in Arabidopsis thaliana",2015,"Proceedings of the National Academy of Sciences of the United States of America","112","33",,"10545","10550",,,10.1073/pnas.1510140112,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940186508&partnerID=40&md5=1462527b7be7be41f2353420c2b3b99f",Article,Scopus,2-s2.0-84940186508
"Bhaskara, G.B., Yang, T.-H., Verslues, P.E.","Dynamic proline metabolism: Importance and regulation in water limited environments",2015,"Frontiers in Plant Science","6","JUNE", 484,"","",7,,10.3389/fpls.2015.00484,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84936951943&partnerID=40&md5=70b018b2eebce295e55212dfb99d1b0d",Article,Scopus,2-s2.0-84936951943
"Kumar, M.N., Verslues, P.E.","Stress physiology functions of the Arabidopsis histidine kinase cytokinin receptors",2015,"Physiologia Plantarum","154","3",,"369","380",,1,10.1111/ppl.12290,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84931826428&partnerID=40&md5=3576bb99f28a008694f0890fe26f22c2",Article,Scopus,2-s2.0-84931826428
"Lovell, J.T., Mullen, J.L., Lowry, D.B., Awole, K., Richards, J.H., Sen, S., Verslues, P.E., Juenger, T.E., McKay, J.K.","Exploiting differential gene expression and epistasis to discover candidate genes for drought-associated QTLs in Arabidopsis thaliana",2015,"Plant Cell","27","4",,"969","983",,3,10.1105/tpc.15.00122,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928942213&partnerID=40&md5=a953dc63ef2de69a71bbd04ab04fa2e8",Article,Scopus,2-s2.0-84928942213
"Verslues, P.E., Bhaskara, G.B., Kesari, R., Kumar, M.N.","Drought tolerance mechanisms and their molecular basis",2014,"Plant Abiotic Stress, Second Edition",,,,"15","46",,1,10.1002/9781118764374.ch2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84927029083&partnerID=40&md5=c18188462089307b4b74991ecae88b3b",Book Chapter,Scopus,2-s2.0-84927029083
"Wilson, M.E., Basu, M.R., Bhaskara, G.B., Verslues, P.E., Haswell, E.S.","Plastid osmotic stress activates cellular stress responses in Arabidopsis",2014,"Plant Physiology","165","1",,"119","128",,4,10.1104/pp.114.236620,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899868179&partnerID=40&md5=766aeb592651554c5f28def2735afe3d",Article,Scopus,2-s2.0-84899868179
"Verslues, P.E., Lasky, J.R., Juenger, T.E., Liu, T.-W., Nagaraj Kumar, M.","Genome-wide association mapping combined with reverse genetics identifies new effectors of low water potential-induced proline accumulation in Arabidopsis",2014,"Plant Physiology","164","1",,"144","159",,13,10.1104/pp.113.224014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891786424&partnerID=40&md5=36df183751c5c433108518be3c590a03",Article,Scopus,2-s2.0-84891786424
"Sharma, S., Shinde, S., Verslues, P.E.","Functional characterization of an ornithine cyclodeaminase-like protein of Arabidopsis thaliana",2013,"BMC Plant Biology","13","1", 182,"","",,3,10.1186/1471-2229-13-182,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84887796039&partnerID=40&md5=6c96d87eb070f1240b20b357f11123b5",Article,Scopus,2-s2.0-84887796039
"Sharma, S., Lin, W., Villamor, J.G., Verslues, P.E.","Divergent low water potential response in Arabidopsis thaliana accessions Landsberg erecta and Shahdara",2013,"Plant, Cell and Environment","36","5",,"994","1008",,8,10.1111/pce.12032,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84876132580&partnerID=40&md5=a87023afd763d76d6108bdc241b1bded",Article,Scopus,2-s2.0-84876132580
"Nagaraj Kumar, M., Jane, W.-N., Verslues, P.E.","Role of the putative osmosensor arabidopsis histidine kinase1 in dehydration avoidance and low-water- potential response",2013,"Plant Physiology","161","2",,"942","953",,22,10.1104/pp.112.209791,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873252943&partnerID=40&md5=70c11130c375031303d639afd31d205e",Article,Scopus,2-s2.0-84873252943
"Bhaskara, G.B., Nguyen, T.T., Verslues, P.E.","Unique drought resistance functions of the highly ABA-induced clade a protein phosphatase 2Cs",2012,"Plant Physiology","160","1",,"379","395",,36,10.1104/pp.112.202408,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84865849646&partnerID=40&md5=cf060b2674218d9b8dc9643027994728",Article,Scopus,2-s2.0-84865849646
"Kesari, R., Lasky, J.R., Villamor, J.G., Des Marais, D.L., Chen, Y.-J.C., Liu, T.-W., Lin, W., Juenger, T.E., Verslues, P.E.","Intron-mediated alternative splicing of Arabidopsis P5CS1 and its association with natural variation in proline and climate adaptation",2012,"Proceedings of the National Academy of Sciences of the United States of America","109","23",,"9197","9202",,32,10.1073/pnas.1203433109,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84861897524&partnerID=40&md5=c7ee683ea0a5fa5a1dd249f49f2cda3d",Article,Scopus,2-s2.0-84861897524
"Sharma, S., Villamor, J.G., Verslues, P.E.","Essential role of tissue-specific proline synthesis and catabolism in growth and redox balance at low water potential",2011,"Plant Physiology","157","1",,"292","304",,59,10.1104/pp.111.183210,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80052400919&partnerID=40&md5=8afef40a852062dfda4577af0791dc81",Article,Scopus,2-s2.0-80052400919
"Verslues, P.E., Juenger, T.E.","Drought, metabolites, and Arabidopsis natural variation: A promising combination for understanding adaptation to water-limited environments",2011,"Current Opinion in Plant Biology","14","3",,"240","245",,43,10.1016/j.pbi.2011.04.006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79957729503&partnerID=40&md5=00ba2a945fcaf17e2dd9cf98a381bc35",Review,Scopus,2-s2.0-79957729503
"Fujii, H., Verslues, P.E., Zhu, J.-K.","Arabidopsis decuple mutant reveals the importance of SnRK2 kinases in osmotic stress responses in vivo",2011,"Proceedings of the National Academy of Sciences of the United States of America","108","4",,"1717","1722",,74,10.1073/pnas.1018367108,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79952146183&partnerID=40&md5=ca1fd0661c4b9433b2795961e7e3bd2a",Article,Scopus,2-s2.0-79952146183
"Sharma, S., Verslues, P.E.","Mechanisms independent of abscisic acid (ABA) or proline feedback have a predominant role in transcriptional regulation of proline metabolism during low water potential and stress recovery",2010,"Plant, Cell and Environment","33","11",,"1838","1851",,54,10.1111/j.1365-3040.2010.02188.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77958612353&partnerID=40&md5=4c7a222bbd5139189bf79f8fe0d20790",Article,Scopus,2-s2.0-77958612353
"Zhu, J., Verslues, P.E., Zheng, X., Lee, B.H., Zhan, X., Manabe, Y., Sokolchik, I., Zhu, Y., Dong, C.H., Zhu, J.K., Hasegawa, P.M., Bressan, R.A.","Retraction for Zhu et al., HOS10 encodes an R2R3-type MYB transcription factor essential for cold acclimation in plants.",2010,"Proceedings of the National Academy of Sciences of the United States of America","107","31",,"13972","",,,10.1073/pnas.1009100107,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77956406105&partnerID=40&md5=6ff615d15588547d6f421b88a6cde3cb",Erratum,Scopus,2-s2.0-77956406105
"Zhu, J., Verslues, P.E., Zheng, X., Lee, B.-H., Zhan, X., Manabe, Y., Sokolchik, I., Zhu, Y., Dong, C.-H., Zhu, J.-K., Hasegawa, P.M., Bressan, R.A.","HOS10 encodes an R2R3-type MYB transcription factor essential for cold acclimation in plants (Plant Biology (2005), 102, (9966-9971) DOI: 10.1073/pnas.0503960102)",2010,"Proceedings of the National Academy of Sciences of the United States of America","107","31",,"13972","",,,10.1073/pnas.1009100107,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77956377308&partnerID=40&md5=5603833acbd2896bf0edb7f9f467e78a",Erratum,Scopus,2-s2.0-77956377308
"Verslues, P.E.","Quantification of water stress-induced osmotic adjustment and proline accumulation for Arabidopsis thaliana molecular genetic studies.",2010,"Methods in molecular biology (Clifton, N.J.)","639",,,"301","315",,7,10.1007/978-1-60761-702-0_19,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77954077605&partnerID=40&md5=de8010303efa34b4885ef54ff62f6f74",Article,Scopus,2-s2.0-77954077605
"Verslues, P.E., Batelli, G., Grillo, S., Agius, F., Kim, Y.-S., Zhu, J., Agarwal, M., Katiyar-Agarwal, S., Zhu, J.-K.","Interaction of SOS2 with nucleoside diphosphate kinase 2 and catalases reveals a point of connection between salt stress and H2O2 signaling in Arabidopsis thaliana",2007,"Molecular and Cellular Biology","27","22",,"7771","7780",,67,10.1128/MCB.00429-07,"http://www.scopus.com/inward/record.url?eid=2-s2.0-36048982154&partnerID=40&md5=25ee7fcdb2b967aa4f7fd5a05d4d6c92",Article,Scopus,2-s2.0-36048982154
"Batelli, G., Verslues, P.E., Agius, F., Qiu, Q., Fujii, H., Pan, S., Schumaker, K.S., Grillo, S., Zhu, J.-K.","SOS2 promotes salt tolerance in part by interacting with the vacuolar H+-ATPase and upregulating its transport activity",2007,"Molecular and Cellular Biology","27","22",,"7781","7790",,97,10.1128/MCB.00430-07,"http://www.scopus.com/inward/record.url?eid=2-s2.0-36049031801&partnerID=40&md5=832298ca1f35694d777aa90cc5a2e6fe",Article,Scopus,2-s2.0-36049031801
"Verslues, P.E., Zhu, J.-K.","New developments in abscisic acid perception and metabolism",2007,"Current Opinion in Plant Biology","10","5",,"447","452",,62,10.1016/j.pbi.2007.08.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34848898171&partnerID=40&md5=2a2a6d3dbcd9ddcdb9c81cc3697ef5ff",Review,Scopus,2-s2.0-34848898171
"Verslues, P.E., Kim, Y.-S., Zhu, J.-K.","Altered ABA, proline and hydrogen peroxide in an Arabidopsis glutamate:glyoxylate aminotransferase mutant",2007,"Plant Molecular Biology","64","1-2",,"205","217",,52,10.1007/s11103-007-9145-z,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34247196207&partnerID=40&md5=0b3f748a780443b3788a572d73c9de7d",Article,Scopus,2-s2.0-34247196207
"Fujii, H., Verslues, P.E., Zhu, J.-K.","Identification of two protein kinases required for abscisic acid regulation of seed germination, root growth, and gene expression in Arabidopsis",2007,"Plant Cell","19","2",,"485","494",,225,10.1105/tpc.106.048538,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34250660857&partnerID=40&md5=b96c9c2043fb08ea2a12306b8e66c552",Article,Scopus,2-s2.0-34250660857
"Verslues, P.E., Guo, Y., Dong, C.-H., Ma, W., Zhu, J.-K.","Mutation of SAD2, an importin β-domain protein in Arabidopsis, alters abscisic acid sensitivity",2006,"Plant Journal","47","5",,"776","787",,41,10.1111/j.1365-313X.2006.02833.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33747045183&partnerID=40&md5=28da75fb89fdcb43d90d2ccd7f5cb40c",Article,Scopus,2-s2.0-33747045183
"Verslues, P.E., Agarwal, M., Katiyar-Agarwal, S., Zhu, J., Zhu, J.-K.","Erratum: Methods and concepts in quantifying resistance to drought, salt and freezing, abiotic stresses that affect plant water status (Plant Journal (2006) 45 (523-539))",2006,"Plant Journal","46","6",,"1092","",,5,10.1111/j.1365-313X.2006.02817.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33745189163&partnerID=40&md5=f60384b2e2710ca4b92eaa3e6174a7b3",Erratum,Scopus,2-s2.0-33745189163
"Verslues, P.E., Agarwal, M., Katiyar-Agarwal, S., Zhu, J., Zhu, J.-K.","Methods and concepts in quantifying resistance to drought, salt and freezing, abiotic stresses that affect plant water status",2006,"Plant Journal","45","4",,"523","539",,400,10.1111/j.1365-313X.2005.02593.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33644924397&partnerID=40&md5=238be67782be2d3392654f9e97dd6d67",Article,Scopus,2-s2.0-33644924397
"Verslues, P.E., Bray, E.A.","Role of abscisic acid (ABA) and Arabidopsis thaliana ABA-insensitive loci in low water potential-induced ABA and proline accumulation",2006,"Journal of Experimental Botany","57","1",,"201","212",,85,10.1093/jxb/erj026,"http://www.scopus.com/inward/record.url?eid=2-s2.0-29344472132&partnerID=40&md5=179ef9f4cb8aa16dcbb5b2dd1b034b41",Conference Paper,Scopus,2-s2.0-29344472132
"Borsani, O., Zhu, J., Verslues, P.E., Sunkar, R., Zhu, J.-K.","Endogenous siRNAs derived from a pair of natural cis-antisense transcripts regulate salt tolerance in Arabidopsis",2005,"Cell","123","7",,"1279","1291",,588,10.1016/j.cell.2005.11.035,"http://www.scopus.com/inward/record.url?eid=2-s2.0-29244490062&partnerID=40&md5=ab629ba4d1632e5d23945edaf6ad5cd0",Article,Scopus,2-s2.0-29244490062
"Zhu, J., Verslues, P.E., Zheng, X., Lee, B.-H., Zhan, X., Manabe, Y., Sokolchik, I., Zhu, Y., Dong, C.-H., Zhu, J.-K., Hasegawa, P.M., Bressan, R.A.","HOS10 encodes an R2R3-type MYB transcription factor essential for cold acclimation in plants",2005,"Proceedings of the National Academy of Sciences of the United States of America","102","28",,"9966","9971",,103,10.1073/pnas.0503960102,"http://www.scopus.com/inward/record.url?eid=2-s2.0-22244455773&partnerID=40&md5=533ac38685dbd4ceefa2e6687f1eef56",Article,Scopus,2-s2.0-22244455773
"Verslues, P.E., Zhu, J.-K.","Before and beyond ABA: Upstream sensing and internal signals that determine ABA accumulation and response under abiotic stress",2005,"Biochemical Society Transactions","33","2",,"375","379",,99,10.1042/BST0330375,"http://www.scopus.com/inward/record.url?eid=2-s2.0-18044390885&partnerID=40&md5=700f25c5a9b75682d5df4df911c9704b",Conference Paper,Scopus,2-s2.0-18044390885
"Verslues, P.E., Bray, E.A.","LWR1 and LWR2 are required for osmoregulation and osmotic adjustment in Arabidopsis.",2004,"Plant physiology","136","1",,"2831","2842",,41,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-16544363426&partnerID=40&md5=06f8a84419a9002607440c1ad4944cfb",Article,Scopus,2-s2.0-16544363426
"Verslues, P.E., Sharp, R.E.","Proline accumulation in maize (Zea mays L.) primary roots at low water potentials. II. Metabolic source of increased proline deposition in the elongation zone",1999,"Plant Physiology","119","4",,"1349","1360",,71,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032783215&partnerID=40&md5=f2c0a947b0491522aaf17d5c4492f91d",Article,Scopus,2-s2.0-0032783215
"Verslues, P.E., Ober, E.S., Sharp, R.E.","Root Growth and Oxygen Relations at Low Water Potentials. Impact of Oxygen Availability in Polyethylene Glycol Solutions",1998,"Plant Physiology","116","4",,"1403","1412",,108,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0000524967&partnerID=40&md5=cdfd886c0c2f27ca0ddce4f469f64a01",Article,Scopus,2-s2.0-0000524967
"Mihail, J.D., McGraw, R.L., Verslues, P.E., Taylor, S.J.","Episodic dynamics of tar spot of annual lespedeza within and among years",1997,"Plant Disease","81","5",,"535","540",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030892628&partnerID=40&md5=4f48d116cdcdf1014168939e9345d46b",Article,Scopus,2-s2.0-0030892628
"Verslues, P.E., Braun, D.M., Garcia, Ma.X.U., Stone, J.M.","Protein phosphorylation: Examining the plant CPU",1996,"Trends in Plant Science","1","9",,"289","291",,2,10.1016/1360-1385(96)88168-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030238139&partnerID=40&md5=3456a043c35d0e313c96713db79bdc09",Note,Scopus,2-s2.0-0030238139
